"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Geranium","Polygonum aviculare-type","Scrophulariaceae","Ulmus","Lythrum","Brassicaceae","Rosaceae","Plantago major-type","Persicaria maculosa","Plumbaginaceae","Carpinus betulus","Poaceae (Cerealia-type) undiff.","Centaurea solstitialis-type","Cercis siliquastrum","Serratula-type","Theligonum cynocrambe","Cistus albidus-type","Sarcopoterium/Sanguisorba minor","Polypodiophyta","Trilete (verrucate)","Artemisia","Platanus","Juglans","Rhamnus","Corylus","Xanthium","Alnus","Ranunculus acris-type","Mercurialis","Sparganium-type","Olea","Ranunculaceae","Senecio-type","Ostrya/Carpinus orientalis","Varia","Pistacia","Salix","Abies","Erica","Anemone-type","Cyperaceae","Cichorioideae","Amaranthaceae","Pinus","Phillyrea","Quercus ilex/Q. coccifera-type","Asteroideae","Quercus ithaburensis-type","Poaceae","Lycopodium spike","Betula","Vitis","Liliaceae","Fabaceae","Rumex acetosa-type","Typha","Aconitum","Solanum","Centaurea cyanus","Dipsacoideae","Hordeum-type","Cistus salviifolius","Plantago lagopus-type","Fagus","Lonicera","Malvaceae","Asphodelus","Cistus monspeliensis","Phaeoceros","Quercus cerris-type","Fraxinus ornus","Plantago lanceolata-type","Pteridium","Polypodium","Apiaceae","Viola","Euphorbiaceae","Rubiaceae","Juniperus","Ephedra distachya","Ephedra fragilis","Arbutus","Secale","Gypsophila","Lamiaceae","Trifolium-type","Scleranthus","Avena-type","Triticum-type","Plantago coronopus-type","Fraxinus excelsior","Cotinus coggygria","Potamogeton","Gentianaceae","Sambucus","Picea","Salvia","Genista-type","Tilia","Linum catharticum-type","Cornus-type","Elaeagnus","Populus","Vicia-type","Filipendula","Hedera","Campanulaceae","Plantago","Knautia","Myrtus","Pediastrum simplex","Urtica","Loranthus","Nigella","Acer","Thymelaeaceae","Sorbus-type","Pediastrum duplex","Humulus-type","Panicum","Centaurea scabiosa","Primulaceae","Helianthemum","Valeriana","Rhinanthus-type","Staphylea","Viburnum","Cladium mariscus","Myriophyllum spicatum-type","Asphodelus luteus","Convolvulus arvensis","Heliotropium-type","Taxus","Jasminum","Stachys-type","Scabiosa","Botrychium","Succisa","Delphinium","Fallopia convolvulus","Armeria","Myriophyllum","Epilobium","Alchemilla-type","Thalictrum","Centaurea","Alchemilla","Pseudopediastrum boryanum","Onobrychis","Cistaceae","Papaveraceae","Micranthes stellaris","Ligustrum","Ilex"
1082,NA,NA,192,"2","21","","8","2","","3","4","2","1","","","","6","6","","","","","1","6","","3","","","","2","","1","","1","460","5","","","4","7","5","","1","9","6","418","20","8","14.5","16","12","30","215","155","1102, 10679","2","","","","","2","","","","","2","","","2","","","","","","","4","1","8","2","4","","1","3","","","1","","1","","4","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1130,NA,NA,200,"1.7","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","8","","","","","4","","","1","1","","18","5","2","3.5","","","2","19","4","659, 21358","","","","","","1","","","","","","","","","","","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1177,NA,NA,208,"1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","3","1","2233, 21358","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1224,NA,NA,216,"2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","7","","","","","","1","4","2","101, 10679","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1272,NA,NA,224,"2.2","1","","1","","19","5","2","","2","","","","5","1","","","","","","2","","10","1","","","","","4","","1","3","","","","8","9","7","","3","7","","14","1","1","1.5","6","26","1","420","57","612, 10679","1","3","","","","","","","","","","","","","","","1","","","1","","1","","","2","","","1","1","","","","","","","1","","","1","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1319,NA,NA,232,"3","4","","1","3","","1","2","1","1","","","","2","1","","","","","3","","","4","","","","2","","2","","","18","","","2","1","13","2","","1","38","3","43","2","4","1","6","6","2","237","28","1423, 21358","1","","","","","","","","","","3","","","","","1","","","","","","1","3","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1367,NA,NA,240,"2","27","","","2","4","7","2","1","1","2","","4","8","5","","","","","","3","1","3","","1","","1","","2","1","3","252","1","9","","5","8","3","1","2","42","15","225","13","2","6","24","14","23","286","72","1185, 10679","","3","","","","","","","","","10","","","1","","5","","","","1","","1","2","1","2","","","","1","","","","","","10","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1414,NA,NA,248,"2.6","33","1","1","2","3","5","","","1","","","1","4","12","","","","","","","","6","","4","","3","","","4","","393","6","","","2","8","2","","3","20","32","303","10","5","1.5","23","24","38","189","50","1198, 21358","1","1","","","","2","","","","","2","","","1","1","7","","","","","1","2","2","","2","","","1","","","","","1","","24","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1462,NA,NA,256,"1.2","20","","4","2","4","31","1","","1","2","1","1","1","3","","2","1","","","6","","5","","","","4","","2","1","","389","1","10","","3","11","4","","3","16","15","821","7","6","1","31","11","20","206","38","1772, 21358","1","2","1","1","","2","","","","","2","","","","","2","","","","","3","","3","","","","","2","","","1","","","","15","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1509,NA,NA,264,"2","22","","11","","6","17","11","2","3","","","","3","15","","","","","2","2","3","11","","1","1","","","1","","2","257","7","9","5","7","14","3","","7","42","33","444","23","5","4.5","43","38","9","318","102","1015, 10679","1","2","1","","1","4","","","","","","","1","1","","4","3","","1","","2","","9","2","6","","1","5","1","","","","","","42","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1556,NA,NA,272,"1.9","","","","","","8","","","1","","","","1","2","","","","","","3","","","","","","1","","","","","1","","","","","1","","","","2","","1","16","1","","1","1","","5","12","299, 10679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1645,NA,NA,287,"1.3","6","","1","","5","12","","1","1","","","","3","2","","1","","","1","1","","10","3","2","","2","1","3","4","","76","1","1","1","6","4","10","","2","21","18","46","21","5","4.5","11","17","11","224","49","1020, 10679","","3","","","","1","","","","","","","","","","1","","","","","2","1","9","","","","1","2","","","","","2","","3","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1687,NA,NA,294,"1.6","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","9","1","","","","3","2","","","2","1","4","4","","0.5","1","1","2","13","1","370, 21358","","1","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1734,NA,NA,302,"1.8","7","","2","2","9","1","","2","1","","","1","6","8","","142","","","","3","","8","","1","2","2","1","1","1","1","29","1","","10","4","4","9","","2","36","8","23","18","6","4","43","43","7","314","57","1017, 10679","2","3","","","","","","","","","2","","","1","","","1","1","","1","2","1","6","","2","","","","","","","","","","2","","","2","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1782,NA,NA,310,"1.8","3","","1","3","24","3","1","3","","","","2","9","6","","2","","1","1","1","","4","","1","1","4","","4","6","","55","4","2","6","19","3","12","","3","27","25","102","13","5","5","36","25","13","308","73","1220, 10679","","1","","","1","7","","1","1","","2","","2","2","","1","","","","2","1","1","3","4","2","","","1","","","","1","","","14","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1829,NA,NA,318,"1.7","5","","1","1","5","","1","","1","","","","","5","","","","","","1","","9","1","2","","7","1","","","","71","","","1","3","10","1","","7","19","1","16","8","5","1.5","36","8","4","212","68","976, 10679","1","1","","","","1","","","","","","","","4","","","","","1","","","1","1","1","2","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1876,NA,NA,326,"1.8","5","","1","","4","5","2","","","","","","1","6","","","","","1","2","","6","","1","","3","","4","1","","5","","","7","2","6","1","","4","19","1","59","10","6","3","12","11","3","225","49","985, 10679","","1","","","","420","","","","","","","","2","","","","","","","","1","5","3","","","","","","","","","3","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1924,NA,NA,334,"1.7","","1","","3","11","13","1","3","2","","","2","4","3","","","","1","","1","","3","1","1","1","2","","2","1","","5","1","","","4","4","7","","5","13","","19","5","7","8.5","27","26","","364","116","453, 10679","1","5","","","","","1","","","","1","","","2","","","2","","","","1","4","5","2","","","2","1","","","","","1","","","","","1","","","","","","","","","","","1","","","","1","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1971,NA,NA,342,"2.1","6","","1","","8","2","2","6","1","","","","3","4","","","","","1","","","8","","1","","5","","4","12","","31","3","14","2","14","6","7","","11","10","53","25","20","7","2.5","89","32","3","292","311","151, 10679","1","1","","","","","","","","","2","","1","3","1","1","","","","2","1","2","3","","4","","","","","","","","1","","1","","","1","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2019,NA,NA,350,"1.6","6","1","2","2","5","2","3","","2","","","1","3","6","","","","3","","5","1","5","","1","","1","1","","","1","13","2","3","4","5","12","6","","3","11","","76","10","25","6","70","21","4","353","149","310, 10679","","2","","","","3","","","","","1","","","4","","1","1","","","2","2","","1","","","","","3","","","2","","","","2","","","1","","","","","","","","","","","2","","","","","","","1","","","1","","","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
2066,NA,NA,358,"1.8","3","","","1","7","6","","","2","","","4","8","1","","","2","","1","2","","5","","","","2","","1","","1","15","9","","2","9","1","11","","8","16","","44","2","6","10","42","16","2","344","154","340, 21358","","1","","","","8","","","","","1","","","","","","","","","","","","3","","","","","7","","","","","","","6","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2113,NA,NA,366,"1.7","9","","","2","1","152","1","1","6","","","2","4","","","","","","4","1","","5","1","5","1","1","","6","","6","25","6","","2","16","11","12","2","3","17","1","29","3","9","5","153","45","5","202","691","141, 10679","","4","1","","5","1","","","","","","","","1","","","","","","","2","3","1","","11","","1","3","3","","2","","1","","13","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
2161,NA,NA,374,"1.4","1","","2","2","1","1","1","2","4","","","1","4","","","","","","1","","","4","2","","","3","1","1","8","2","4","2","","2","16","6","9","","3","8","233","27","1","3","3.5","103","38","4","113","192","1098, 10679","","","","1","2","2","","","","","1","","1","2","","","","","","2","","1","1","","1","","","1","1","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2208,NA,NA,382,"2","9","","11","","1","","1","2","2","","","3","7","","","1","1","","1","1","1","3","","","","5","","3","3","","64","7","","2","12","9","3","","2","25","21","51","7","6","2.5","233","67","8","127","1170","601, 10679","","","","","2","1","","","","","5","","","3","","","1","","","4","4","2","2","","3","","","","1","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2256,NA,NA,390,"2.7","2","","18","1","","","3","1","2","","","2","11","3","","","1","2","1","1","","4","1","","","6","2","","","2","28","6","1","3","11","6","4","","1","14","19","115","8","3","3","292","39","6","103","1071","318, 10679","","1","","","","","","","","","3","","","2","","","1","","1","","","1","2","","1","","","2","","","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
