Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha,Acanthaceae,Aerva-type,Afraegle,Alchornea,Allophyllus,Amaranthaceae/Chenopodiaceae,Ampelidaceae undiff.,Annonaceae,Antidesma,Apiaceae,Apocynaceae,Artemisia,Asteraceae (Asteroideae),Asteraceae (Lactuceae),Balanites,Betula,Bombax,Borassus/Hyphaene,Borreria,Brassicaceae,Caesalpiniaceae undiff.,Capparidaceae undiff.,Capparis,Cassia,Celtis,Chrozophora,Cissampelos cf. mucronata,Clematis,Combretaceae,Commelinaceae,Commiphora,Corylus,Cucurbitaceae,Cyperaceae,Detarium,Diospyros,Elaeis guineenis,Ephedra,Ericaceae,Euphorbiaceae undiff.,Fabaceae undiff.,Ficus,Grewia,Heliotropium,Hymenocardia,Indeterminate,Indigofera,Ipomoea,Irvingiaceae,Khaya,Kohautia,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Lythraceae,Macaranga,Malvaceae,Menispermaceae undiff.,Mimosa pigra,Mitracarpus scaber,Mitragyna,Monoletes,Moraceae undiff.,Morelia senegalensis,Nymphaeaceae,Olea,Phoenix,Phyllanthus cf. reticulatus,Phyllanthus undiff.,Piliostigma,Pinus,Poaceae,Podocarpus,Polycarpaea,Polygonum cf. senegalense,Portulaceae,Potamogeton,Quercus,Rubiaceae undiff.,Salvadora,Sapindaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Triletes,Typha,Uapaca,Unknown,Urticaceae,Utricularia,Vernonia,Vitex,Ximenia americana,Ziziphus
258,24,0,0,0,0,0,0,0,12,0,0,0,0,0,2,2,1,0,0,0,11,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,555,0,2,0,0,0,0,0,0,0,1,0,0,0,0,147,0,0,0,0,0,0,0,0
283,27,1,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,167,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,261,0,0,0,0,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
299,29,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
307,30,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,1,0,0,0,0,0,1,0,0,0,0,0,0,71,0,2,0,0,1,0,0,0
356,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
405,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,267,0,2,0,0,0,0,0,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
455,48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,1,0,0,0,0,0,0
504,54,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,171,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,0,0,0,0,0,0,0,1
553,60,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,171,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,1,0,0,0,0,0,1,0,1,0,0,0,0,81,0,0,0,0,0,0,0,0
602,66,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,1,0,0,0,0,0,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
651,72,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,0,2,0,0,0,0,0,0
708,79,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,199,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,1,0,0,1,0,0,0,0,88,0,0,0,0,0,0,0,0
757,85,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,159,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
807,91,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,150,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,1,0,0,0,0,0,0,0,1,0,0,0,0,84,0,1,0,0,0,0,0,0
856,97,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,165,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,1,0,0,0,0,3,0,0,0,1,0,0,59,0,0,0,0,0,0,0,0
913,104,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,2,0,0,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0,0,0,0,0
996,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
1088,118,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1164,123,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
1240,128,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,147,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
1317,133,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,5,0,0,0,0,158,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,336,0,2,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1424,140,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,0,0,0,3,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1500,145,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,102,0,0,0,4,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,380,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
1576,150,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,159,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,316,0,1,0,0,0,0,0,1,1,0,0,0,0,0,22,0,1,0,1,0,0,0,0
1653,155,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,127,0,0,0,6,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,3,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0
1729,160,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,118,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1805,165,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,87,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,1,0,1,0,0,0,1
1882,170,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,89,1,0,0,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,431,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2
1973,176,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,111,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,343,0,1,0,0,0,0,0,2,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0
2049,181,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,93,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2126,186,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,89,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2246,192,0,0,0,0,0,2,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,65,1,0,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
2340,196,1,0,0,0,0,22,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,0,85,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1
2505,203,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,10,0,0,0,0,71,1,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,1,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
2623,208,2,0,0,1,0,6,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,84,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
2764,214,1,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,1,1,0,14,0,0,0,0,75,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,390,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
2881,219,0,0,0,0,0,5,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,96,1,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
3023,225,0,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,10,1,0,0,0,63,3,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,398,1,0,0,0,1,0,0,0,0,0,0,1,0,1,6,0,2,1,0,0,0,0,0
3140,230,0,1,0,0,0,7,0,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,74,1,0,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,421,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0
3258,235,0,1,0,0,0,4,0,12,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,1,0,6,0,0,0,7,0,0,0,0,98,5,0,0,0,0,1,2,0,0,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,3,0,9,0,0,0,0,4,0,0,0,0,0,0,412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,1,0,0,0,2,0,0
3375,240,0,0,0,0,0,6,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,5,0,0,0,0,125,11,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,2,0,5,0,0,1,0,1,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,2,0,0,0,6,0,0
3493,245,0,0,0,0,0,11,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,9,1,0,0,0,117,12,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,4,1,0,0,0,0,0,3,0,18,0,0,0,0,7,1,0,0,0,0,0,361,0,0,0,0,2,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,2,1,0
3611,250,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,9,0,1,0,0,134,11,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,1,0,0,0,3,2,0
3728,255,1,1,0,0,2,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,1,0,17,0,0,0,0,125,14,0,0,0,0,4,1,0,0,0,0,3,0,0,2,1,0,1,0,0,0,0,1,0,2,0,16,0,1,1,0,5,1,0,0,1,0,0,304,0,0,0,0,1,0,0,0,0,1,0,0,9,0,8,0,3,0,0,0,3,1,0
3846,260,1,0,0,0,0,10,0,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,6,4,0,0,4,0,0,0,0,110,11,0,0,0,0,0,2,0,0,0,0,4,0,0,3,0,0,1,1,3,0,0,0,0,1,0,9,0,0,0,0,4,0,0,0,2,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,3,0,0,0,3,2,0
3963,265,1,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,0,14,0,0,0,0,99,2,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,373,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,1,2,0,0,0,2,1,0
4081,270,1,0,0,0,0,15,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,110,8,0,0,0,0,3,1,0,0,0,0,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,419,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0
4199,275,0,0,0,0,0,8,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,8,0,0,0,0,149,2,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,3,0,0,2,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0
4316,280,1,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,132,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,3,0,0,0,0,0,0,353,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,2,1,1,0,0,0,1,0
4458,286,0,0,0,0,0,12,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,5,0,0,0,0,105,1,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,419,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,2,0,0,0,0,0,0
4565,291,0,0,0,0,0,11,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,80,3,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,383,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0
