"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Plantago","Centaurea","Rubiaceae","Artemisia","Nymphaea","Pinus","Quercus coccifera","Asteraceae","Myriophyllum","Quercus","Olea","Sparganium","Cyperaceae","Poaceae","Corylus","Alnus","Fabaceae","Typha","Ericaceae","Chenopodium","Brassicaceae","Abies","Callitriche","Carpinus","Fraxinus ornus","Ulmus","Pistacia","Juniperus","Sarcopoterium","cf. Cirsium","Salix","Phillyrea","Cistaceae","Taxus","Thalictrum","Utricularia","Lamiaceae","Poaceae (Cerealia-type)","Potamogeton","Polygonum","Ranunculaceae","cf. Rhamnaceae","Ostrya","Corylus-type","Tilia","Rosaceae","Alisma","Centaurea cyanus","Acer","cf. Primulaceae","Fagus","Nuphar","Rumex","Vitis","cf. Scrophulariaceae","Betula","cf. Solanaceae","cf. Cannabaceae","Consolida","Jasione","cf. Hottonia","cf. Liliaceae","cf. Urtica","Plumbaginaceae"
7070,7312,6842,256,NA,1,1,2,1,1,5,142,3,3,12,NA,12,5,51,2,1,NA,NA,3,1,NA,NA,NA,NA,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,1,5,NA,NA,NA,NA,NA,1,NA,6,8,1,1,NA,NA,NA,NA,NA,NA
7733,8010,7487,281,1,2,NA,NA,1,NA,16,39,4,NA,69,NA,6,3,34,1,1,2,NA,NA,2,3,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA
8238,8568,7967,300,NA,NA,NA,NA,4,NA,7,24,3,NA,112,NA,3,7,32,2,2,NA,NA,NA,1,3,NA,NA,NA,NA,3,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
8397,8748,8115,306,1,NA,NA,NA,2,NA,7,161,4,NA,1,NA,2,6,18,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
8556,8928,8260,312,NA,1,NA,1,NA,1,4,9,5,NA,134,NA,6,6,47,1,NA,NA,NA,NA,7,1,1,NA,NA,NA,3,5,16,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,16,NA,NA,NA,NA,NA
8715,9110,8402,318,1,1,NA,4,1,NA,3,6,4,NA,127,NA,5,4,40,NA,1,NA,NA,NA,3,2,1,NA,NA,NA,1,7,8,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
8901,9324,8566,325,1,NA,2,NA,4,NA,3,9,3,NA,119,NA,10,7,46,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,2,5,36,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
9061,9508,8704,331,NA,4,8,3,18,2,20,11,33,1,198,NA,25,23,202,NA,1,NA,NA,NA,26,1,NA,NA,NA,NA,6,56,42,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,2,4,NA,NA,NA
9220,9692,8841,337,NA,1,NA,2,1,1,3,10,4,1,138,NA,7,6,35,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,4,28,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9379,9877,8977,343,NA,NA,NA,NA,3,1,2,1,2,NA,133,NA,9,8,28,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9565,10092,9134,350,1,NA,2,NA,1,1,2,3,17,NA,98,NA,6,5,51,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,1,14,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9724,10277,9269,356,1,NA,2,2,4,NA,2,31,3,NA,40,NA,1,7,41,NA,NA,NA,NA,NA,7,1,NA,NA,1,NA,NA,25,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9883,10462,9403,362,NA,NA,NA,1,1,NA,1,NA,3,NA,65,NA,5,8,31,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,8,76,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10043,10647,9536,368,NA,NA,NA,NA,NA,NA,4,5,5,NA,83,NA,6,4,38,NA,NA,NA,NA,NA,10,2,NA,NA,NA,NA,4,6,51,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10255,10895,9715,376,NA,NA,1,5,5,1,2,2,6,NA,64,NA,18,9,57,1,NA,NA,1,NA,11,4,NA,NA,NA,NA,NA,4,42,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA
10361,11019,9803,380,NA,NA,4,6,7,NA,8,7,5,4,68,NA,47,8,65,NA,1,NA,1,NA,12,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
10574,11267,9981,388,NA,1,NA,2,10,3,7,2,4,5,51,NA,31,12,104,NA,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
10680,11391,10069,392,NA,NA,2,3,4,4,2,2,4,2,34,NA,46,9,126,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10786,11515,10157,396,NA,NA,NA,NA,4,3,1,1,2,4,20,NA,18,4,33,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
10892,11640,10246,400,3,NA,1,3,6,1,12,37,14,2,42,NA,15,6,70,NA,NA,NA,NA,NA,21,4,NA,NA,NA,NA,NA,2,9,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11051,11827,10379,406,2,1,6,4,11,NA,17,NA,16,NA,102,NA,2,10,85,1,NA,1,1,NA,32,5,NA,NA,NA,NA,NA,3,63,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11211,12013,10511,412,NA,NA,2,3,11,NA,12,1,17,NA,48,NA,6,17,37,NA,NA,NA,NA,NA,14,3,NA,NA,NA,NA,1,1,36,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11370,12200,10643,418,NA,2,8,7,27,NA,18,3,18,2,67,NA,14,12,108,NA,NA,1,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,61,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11556,12419,10798,425,NA,NA,8,7,16,NA,12,NA,5,2,33,NA,20,13,69,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11715,12606,10931,431,3,NA,4,4,10,NA,19,23,12,1,8,NA,18,5,88,NA,2,1,NA,NA,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
11874,12794,11063,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12379,13387,11481,456,NA,NA,NA,2,NA,NA,6,3,1,NA,9,NA,295,4,85,NA,NA,NA,2,NA,44,1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
13042,14169,12032,481,NA,1,1,7,35,NA,12,1,7,1,5,NA,88,7,72,NA,NA,NA,1,NA,67,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
13971,15265,12802,516,2,NA,3,6,22,NA,52,3,14,NA,11,NA,4,4,62,NA,NA,NA,NA,NA,25,2,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
15086,16582,13726,558,2,NA,3,5,14,2,22,NA,14,1,11,NA,8,12,39,NA,NA,NA,NA,NA,16,9,NA,NA,NA,NA,NA,NA,21,1,NA,5,NA,NA,NA,1,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
15750,17366,14276,583,4,NA,2,13,8,NA,28,NA,16,1,4,NA,6,6,78,NA,NA,NA,NA,NA,30,4,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
17077,18935,15376,633,2,NA,NA,5,14,NA,51,1,2,1,6,NA,10,8,78,NA,NA,NA,NA,NA,34,1,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
18351,20443,16433,681,NA,1,2,3,18,NA,21,2,7,NA,3,NA,7,8,27,NA,NA,NA,NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19068,21290,17026,708,1,2,1,4,18,NA,7,1,6,NA,3,NA,9,10,41,NA,NA,NA,1,NA,17,4,NA,NA,NA,NA,NA,1,20,2,NA,3,NA,NA,1,NA,NA,NA,7,3,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19944,22326,17752,741,3,NA,1,4,14,NA,9,1,13,3,13,NA,8,4,64,NA,1,1,NA,NA,39,3,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1
21059,23645,18676,783,11,NA,NA,6,24,NA,37,1,8,2,9,NA,3,6,53,NA,NA,NA,NA,NA,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
22386,25215,19776,833,4,2,NA,11,16,NA,21,NA,4,1,3,NA,7,7,79,NA,NA,NA,NA,NA,36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
25040,28356,21975,933,3,NA,NA,4,16,NA,1,5,9,NA,1,NA,15,9,110,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27695,31496,24174,1033,2,1,NA,5,36,NA,27,1,11,2,19,NA,19,10,86,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29022,33065,25272,1083,8,NA,4,10,23,NA,27,10,7,NA,NA,NA,2,6,48,NA,NA,NA,NA,NA,28,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
