"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Ericaceae","Salix","Alnus","Fabaceae","Poaceae (Cerealia)","Myrtaceae","Thymelaeaceae","Fraxinus excelsior","Centaurea jacea-type","Mercurialis annua-type","Rumex spinosus","Unknown (trilete, non-psilate)","Caryophyllaceae","Cyperaceae","Rumex","Typha/Sparganium","Apiaceae","Tamarix","Ephedra fragilis-type","Indeterminable undiff.","Pistacia","Plantago","Indeterminable","Brassicaceae","Sarcopoterium","Casuarina","Betula","Cupressaceae","Cichorioideae","Unknown","Pinus","Poaceae","Olea","Asteroideae","Quercus coccifera","Artemisia","Pollen concentration","Amaranthaceae","Picea","Thalictrum","Echium","Casuarina/Corylus","Quercus infectoria subsp. veneris-type","Centaurea scabiosa","Ornithogalum-type","Liliaceae","Ranunculaceae","Rosaceae","Centaurea","Euphorbiaceae","Bistorta officinalis-type","Convolvulaceae","Succisa","Calligonum","Rubiaceae (hexacolpate)","Alisma","Corylus","Geranium","Lamiaceae","Urticaceae","Nitraria","Theligonum cynocrambe","Combretaceae","Rhamnaceae","Castanea","Cannabaceae/Urticaceae","Unknown (trilete, psilate)","Unknown (monolete, psilate)","Ceratonia","Erodium","Ulmus/Zelkova","Carpinus orientalis","Fagus","Prosopis","Haplophyllum","Populus","Plumbaginaceae","Dipsacoideae","Juglans","Phillyrea","Fraxinus ornus","Zygophyllum","Lomelosia argentea-type","Boraginaceae","Echinops-type","Chrozophora","Sphagnum","Styrax","Cannabis","Isoëtes","Helianthemum","Teucrium","Ephedra distachya-type","Lycopodium","Scabiosa","Oleaceae","Celtis","Cedrus","Euphorbia","Vitis","Calicotome villosa","Rhus","Ricinus","Malvaceae","Asphodelus","Acacia","Marchantiophyta","Carpinus betulus","Centaurea collina-type","Lygeum","Ranunculus acris-type","Centaurea cyanus","Cynoglossum officinale-type","Fraxinus","Unknown (monolete, non-psilate)","Blepharisma","Cistaceae","Potamogeton","Cistus","Phlomis","Riccia"
512,NA,NA,87.5,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,5,1,3,1,1,NA,NA,NA,4,13,14,11,10,NA,NA,NA,8,11,8,10,18,14,29,51,597,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,NA,NA,102,NA,NA,NA,NA,1,1,NA,1,NA,NA,2,NA,1,1,1,2,2,5,1,NA,7,2,11,18,4,12,NA,NA,1,20,29,14,9,20,21,13,54,812,119,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,NA,NA,115,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,2,4,3,NA,NA,1,2,4,4,9,15,6,3,NA,NA,1,14,24,13,22,20,15,14,43,2857,76,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
773,NA,NA,127.5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,8,1,NA,1,1,8,2,5,NA,2,1,4,10,1,3,3,NA,NA,NA,11,8,5,21,10,8,34,37,1018,98,NA,NA,NA,NA,7,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
835,NA,NA,137,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,NA,NA,2,2,5,NA,4,1,1,4,7,19,6,7,2,NA,NA,NA,4,14,10,6,9,13,36,29,272,104,NA,NA,1,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,NA,NA,148,NA,NA,NA,NA,NA,5,NA,NA,NA,1,6,1,NA,4,5,3,NA,NA,NA,1,3,10,25,9,15,14,NA,NA,1,9,10,29,40,5,18,31,39,479,81,NA,NA,NA,NA,26,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,NA,NA,161.5,NA,NA,1,NA,1,4,NA,1,NA,NA,6,NA,NA,3,NA,2,NA,6,4,NA,2,7,12,8,7,7,NA,NA,NA,4,24,6,19,13,13,42,39,3338,82,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,NA,NA,172,NA,NA,NA,1,1,4,NA,1,NA,NA,1,NA,NA,4,3,6,1,4,1,2,5,9,12,12,10,5,NA,NA,NA,8,15,9,27,16,13,33,41,3909,92,NA,NA,1,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,NA,NA,182.5,NA,NA,1,1,1,2,NA,NA,NA,NA,6,NA,NA,NA,2,1,1,3,NA,NA,4,9,12,14,8,6,NA,NA,NA,13,9,7,23,7,25,51,30,1181,114,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,NA,NA,195,NA,NA,NA,NA,NA,5,NA,1,NA,1,2,1,NA,NA,3,2,2,1,NA,2,2,10,13,4,3,11,NA,NA,NA,4,10,32,28,31,11,22,59,4339,59,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1261,NA,NA,202.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,1,3,1,2,1,NA,NA,5,4,18,NA,2,NA,NA,3,14,18,16,14,15,13,26,59,1914,94,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352,NA,NA,216.5,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,NA,NA,2,1,1,1,2,NA,2,NA,4,17,22,1,3,NA,NA,NA,5,32,52,18,17,11,8,43,9783,97,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,NA,NA,222.8,NA,NA,2,1,1,6,NA,2,1,NA,2,NA,NA,6,6,9,NA,1,NA,1,2,10,33,4,3,7,NA,3,4,1,12,21,57,25,10,7,43,1,62,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,NA,NA,225.9,NA,NA,NA,NA,12,2,NA,NA,NA,NA,4,1,NA,NA,5,3,2,NA,NA,1,NA,7,14,13,5,5,NA,NA,1,5,11,18,35,32,14,11,67,1,58,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1432,NA,NA,228.7,NA,NA,1,NA,1,8,NA,1,NA,NA,1,NA,NA,1,3,2,1,NA,NA,1,2,4,18,NA,3,3,NA,NA,1,9,10,13,44,77,10,9,63,1,83,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1452,NA,NA,231.8,NA,NA,NA,NA,1,4,NA,NA,NA,NA,4,NA,NA,3,NA,1,1,NA,NA,1,4,3,9,2,8,2,NA,NA,1,6,3,5,19,64,15,2,71,1,77,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1476,NA,NA,235.5,NA,1,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,NA,NA,NA,7,12,8,1,2,NA,NA,NA,6,5,12,12,23,77,22,6,32,1,72,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1504,NA,NA,239.8,NA,1,NA,NA,5,5,NA,NA,NA,NA,3,NA,NA,3,2,3,2,2,1,NA,1,1,11,3,4,2,NA,NA,7,7,4,4,15,60,19,3,45,15501,88,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1519,NA,NA,242.1,NA,NA,NA,NA,1,7,NA,1,NA,NA,4,NA,NA,5,4,4,NA,2,NA,NA,3,2,10,4,4,2,NA,NA,NA,12,23,3,32,80,12,6,48,18317,104,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1556,NA,NA,247.8,NA,NA,NA,NA,1,3,NA,NA,1,NA,1,NA,NA,2,4,4,NA,1,NA,1,8,5,23,3,6,3,NA,NA,NA,13,8,3,28,73,17,7,46,13590,101,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591,NA,NA,253.2,NA,NA,NA,1,1,4,NA,NA,NA,NA,3,NA,NA,3,4,12,1,5,NA,1,2,1,32,3,7,1,NA,NA,1,7,15,9,51,75,13,12,67,7761,75,NA,NA,NA,NA,6,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1621,NA,NA,257.7,NA,NA,1,1,NA,3,NA,NA,NA,NA,4,NA,NA,2,1,6,1,5,NA,2,6,2,12,2,14,1,NA,NA,NA,5,13,2,21,64,8,9,34,13925,81,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,NA,NA,262.2,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,5,11,3,NA,NA,NA,1,6,20,2,7,NA,NA,NA,4,10,7,5,31,66,13,8,35,10715,83,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1757,NA,NA,269.2,NA,NA,NA,1,NA,3,NA,2,NA,NA,2,NA,1,4,4,2,2,2,NA,1,2,1,15,2,5,NA,NA,NA,NA,13,10,15,34,79,21,NA,34,9645,96,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
