"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium sp. (type 7A, HdV)","Carabidae (type 107, HdV)","Pseudoschizaea circula","Juniperus-type","Plantago lanceolata-type","Cistus ladanifer-type","Leucojum","Spike","Polypodiophyta (trilete) undiff.","Habrotrocha angusticollis (type 37, HdV)","Betula","Cardueae","Rumex acetosa-type","Parnassia palustris","Colchicum filifolium-type","Fungi (type 18, HdV)","Amaranthaceae","Caryophyllaceae","Indeterminable undiff.","Polypodiophyta (monolete) undiff.","Glomus cf. G. fasciculatum (type 207, HdV)","Cichorioideae","Cytisus/Genista-type","Pinus pinaster","Cyperaceae","Quercus suber","Alnus","Aster-type","Erica arborea-type","Fungi (type 729, HdV)","Sordaria-type (type 55A, HdV)","Olea europaea","Quercus pyrenaica-type","Pinus sylvestris-type","Poaceae undiff.","Ranunculaceae","Anemone","Liliaceae undiff.","Urtica dioica-type","Sphagnum","Polypodium vulgare-type","Coniochaeta xylariispora (type 6A, HdV)","Araneidae (type 71B, HdV)","Fungi (type 568C, HdV)","Invertebrata (type 88A, HdV)","Animalia? (type 175, HdV)","Gyratrix hermaphroditus","Fraxinus","Rumex acetosella-type","Plantago coronopus-type","Sedum album-type","cf. Persiciospora (type 124, HdV)","Spirogyra sp. (type 315, HdV)","Rhabdocoela undiff.","Brassicaceae","Pedicularis","Phillyrea","Fungi (type 200, HdV)","Unknown (type 181, HdV)","Unknown (type 119, HdV)","Erodium","Allium-type","Quercus ilex-type","Coniochaeta ligniaria (type 172, HdV)","Scrophulariaceae","Invertebrate? (type 178, HdV)","Fabaceae undiff.","Sporormiella (type 113, HdV)","Riccia","Unknown (type 716, HdV)","Oribatida (type 36, HdV)","Artemisia","Castanea","Corylus","Salix","Apiaceae","Viburnum","Myriophyllum alterniflorum-type","Osmunda regalis","Alona rustica (type 72, HdV)","Rivularia-type","Polygonum aviculare-type","Scheuchzeria palustris","Hypericum","Juglans","Pinus halepensis/P. pinea-type","Fungi undiff.","Melampyrum","Humulus/Cannabis","Arcella","Cercophora sp. (type 112, HdV)","Archerella flavum (type 31A, HdV)","Unknown (type 74, HdV)","Zygnemataceae (type 62, HdV)","Unknown (type 182, HdV)","Calluna vulgaris","Invertebrata (type 52, HdV)","Poaceae (Cerealia-type)","Chara sp. Glomerus (type 764A)","Unknown (type 150, HdV)","Betula/Alnus/Corylus/Myrica (type 114, HdV)","Pistacia","Unknown (type 728, HdV)","Pteridium aquilinum","Gelasinospora (type 1, HdV)","Pediastrum (type 900, HdV)","Asphodelus albus-type"
1441,NA,NA,77,"5","","1","","7","","2","","1, 9","1","","10","1","","","","","","4","","84","","4","","7","","4","11","38","31","","","2","23","342","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","",""
1513,NA,NA,80,"5","","","","","","","","1, 16","","","8","1","","","","","","6","","69","","2","","9","","1","10","43","27","","","","22","310","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","4","","1",""
1588,NA,NA,83,"5.1","","","","","","2","","1, 28","","","5","","","","","2","","","","46","","8","","22","","5","2","42","33","","2","4","13","373","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","1",""
1711,NA,NA,87,"5.2","","","","","","1","","1, 25","","","5","","","","","","","9","","33","","","","16","","4","6","46","39","","1","3","19","300","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1"
1803,NA,NA,90,"5","","1","","","","","","1, 29","1","","6","2","","","","","","5","","74","","1","","17","","","8","31","61","","1","","19","315","65","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","",""
1842,NA,NA,93,"5","","","","","","","","1, 25","","","7","","","","","1","","2","","17","","","","39","","2","11","16","36","","","5","13","365","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","",""
1860,NA,NA,97,"5.1","","2","","","","","","1, 17","","","12","2","","","","1","","6","","17","","3","","34","","1","8","19","26","","2","1","11","307","102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","","","","","","","",""
1874,NA,NA,100,"5","","","","","","","","1, 16","","","4","1","","","","","","7","","18","","1","","37","","2","9","18","25","","","1","12","344","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
1876,NA,NA,103,"5","","","","","","1","","1, 22","","","10","","","","","1","","3","","17","","1","","38","","3","12","1","28","","2","","18","403","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1894,NA,NA,107,"5","","1","","","","2","","1, 38","","","7","","","","","2","","3","","39","","2","","32","","4","10","20","32","","1","","17","397","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
1908,NA,NA,110,"5","","1","","","","1","","1, 123","","","5","","","","","","","5","","52","","3","","42","1","2","4","16","44","","2","","28","340","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2","","",""
1930,NA,NA,115,"5","","1","","","","3","","1, 100","","","7","1","","1","","","","4","","27","","2","1","45","","3","8","11","33","","3","","31","423","46","2","","2","","","","","","","","","","1","1","","1","","","","1","","","","","","","","","","2","","","","","","","","","1","1","1","","","","","","","","","","","","1","","","","","","","","2","","","","","","","","3","","",""
1953,NA,NA,120,"5","","","","","","1","","1, 88","","","9","","1","1","","","1","3","","38","","2","","37","","5","11","5","27","","","","37","388","33","1","","2","1","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","2","","",""
