"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Charcoal","Lycopodium tablets","Sample quantity","Podospora-type","Potentilla-type","Apiaceae","Populus","Plantago lanceolata-type","Quercus ilex-type","Sedum-type","Eryngium campestre-type","Unknown","Salix","Juniperus-type","Brassicaceae","Ranunculus","Rumex acetosa-type","Calluna vulgaris","Anthemis-type","Aster-type","Olea europaea","Unknown (monolete)","Cichorioideae","Quercus pyrenaica-type","Pinus","Poaceae","Cyperaceae","Lycopodium","Lycopodium for charcoal","Pollen concentration","Viscum","Genista-type","Erodium cicutarium-type","Fraxinus angustifolia-type","Pteridium aquilinum","Scrophulariaceae","Amaranthaceae","Gentianaceae","Liliaceae undiff.","Campanulaceae","Rosaceae","Trifolium-type","Caryophyllaceae undiff.","Artemisia vulgaris-type","Urtica dioica-type","Ulmus","Arenaria serpyllifolia-type","Rubiaceae","Sordaria-type","Secale","Sporormiella-type","Filipendula vulgaris-type","Pseudoschizaea","Plantago major/P. media","Erica arborea-type","Urtica pilulifera","Allium-type","Stachys-type","Rosa-type","Prunus-type","Alnus glutinosa-type","Silene vulgaris-type","Lotus-type","Succisa pratensis-type","Plantaginaceae","Betula pubescens-type","Daucus carota-type","Unknown (trilete)","Fabaceae undiff.","Bistorta officinalis-type","Rhamnus","Silene flos-cuculi","Sagina procumbens-type","Crataegus-type","Helianthemum-type","Corylus avellana","Poaceae (Cerealia-type)","Valeriana officinalis-type","Asphodelus","Centaurea nigra-type","Cistus-type","Boraginaceae undiff.","Heracleum sphondylium-type","Herniaria glabra-type","Cirsium-type","Fagus sylvatica","Frangula alnus","Ilex aquifolium","Sphagnum","Vicia/Lathyrus-type","Vitis vinifera","Echium vulgare-type","Sanguisorba minor-type","Sambucus nigra-type","Ericaceae undiff.","Cerastium fontanum-type"
360,NA,NA,62,"15743.8681640625, 67","13911, 1","0.800000011920929","","","1","","","1","3","","","1","","","1","2","","","","1","","","5","6, 347","20","20","22","74","316159.09375","","4","","","1","","","","","","1","","1","1","1","1","","1","","","","","","3","","","","","","","","","","","","1","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","",""
416,NA,NA,64,"16351.5263671875, 67","13911, 1","0.5","","1","","","1","1","2","","1","","1","","","2","","","1","2","3","","4","19, 387","8","26","53","114","220476.21875","","2","","1","1","1","","","","1","","1","","3","","","","1","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
558,NA,NA,68,"19369.74609375, 44","13911, 1","0.400000005960464","","1","1","2","1","1","3","","","","","","2","1","","","","","","1","8","21, 357","12","17","58","79","235647.546875","","","","1","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","",""
700,NA,NA,72,"53905.125, 155","13911, 1","0.5","","2","","1","","1","16","","4","1","4","1","1","1","1","1","","1","2","3","3","1, 341","34","16","62","80","192061.546875","","2","","1","22","","","","","","","2","","1","","","","1","","","9","1","","","3","","","","","","","","1","","","1","","1","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","",""
842,NA,NA,76,"36607.89453125, 150","13911, 1","0.5","3","","2","","1","","15","","1","3","","","1","3","","","1","","8","2","8","372","29","14","57","114","220623.578125","","4","","1","18","","","","","2","","1","","3","","","","","2","","6","","","","","","","","","","","","2","","","1","","2","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
984,NA,NA,80,"61826.66796875, 148","13911, 1","0.449999988079071","","","2","","","","17","","2","","","","1","2","","2","1","","6","5","15","1, 337","23","11","68","74","192753.71875","","4","","1","15","2","","","","1","","1","","","","","","1","2","","6","","","","4","","","1","","","","","1","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
1126,NA,NA,84,"276425.03125, 308","13911, 1","0.5","1","","3","","","","10","","","5","","1","4","2","","","","","6","4","9","394","22","8","45","31","294294.9375","","5","","2","15","","","","","1","","3","","1","","","","","","","4","","","","","","","","","","","","2","","1","1","","","2","","","","","2","","","","","","1","","1","1","1","2","","","","","","","","","","",""
1197,NA,NA,86,"24089.78125, 142","13911, 1","1","1","3","2","1","","1","6","","1","3","5","","1","1","","2","","","4","5","6","7, 320","27","14","27","82","204543.21875","","","","1","4","","1","","","1","","","","1","1","","1","","3","","","","","","1","","1","","","","","1","1","","","","","1","","1","","","","","","","1","","","","","","","","","1","1","1","1","","","","","","",""
1268,NA,NA,88,"46370, 135","13911, 1","0.5","","","1","","","3","","","2","","2","2","1","4","","","","","2","","12","8, 361","26","41","76","81","155583.546875","","1","","","5","","","","","","","","","1","","","2","4","","2","","","","","1","","","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
1409,NA,NA,92,"53114.7265625, 105","13911, 1","0.5","","","","","","1","","","2","1","","1","1","1","","","","1","2","1","14","50, 315","27","17","25","55","432910.3125","1","3","","2","5","","","","","","","2","","4","","1","","5","","1","1","1","","","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","",""
1551,NA,NA,96,"41316.859375, 139","13911, 1","0.600000023841858","","","","1","","1","1","","","2","","1","1","4","","","","1","","","8","52, 305","26","9","41","78","209230.484375","","2","","1","5","1","","","","","","2","","5","","","1","1","1","","1","1","","","1","","","","","","","","2","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","1","","","",""
1693,NA,NA,100,"59924.30859375, 140","13911, 1","0.5","","1","","","","1","","2","","4","","1","3","3","","","","","1","","12","51, 322","22","13","45","65","243597.0625","","4","","2","2","","","","1","","","1","","4","","","1","2","","1","","","","","1","","","","","","","","1","","","","","2","","","","","","","","","","","","","4","","","","","","","","","2","","1","1","","",""
1779,NA,NA,104,"78556.234375, 192","13911, 1","0.400000005960464","","","1","","","2","1","","1","1","1","1","3","5","","2","1","","1","","16","26, 335","20","18","104","85","134094.015625","","1","","1","5","1","","","","","","1","","1","","","","","","","","","","","2","","","","","","","","1","","","","","1","","","","","","","1","2","","","","","2","","","","","","","","","2","","","","","",""
1808,NA,NA,108,"76714.2890625, 200","9666, 1","0.600000023841858","","1","1","","","2","","","1","2","","2","4","3","","1","","","4","1","14","12, 354","21","21","53","42","128576.0390625","","3","","","6","1","","","","","","2","","3","","","","2","","","","","","1","3","","","","","","","","2","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","2","",""
1823,NA,NA,110,"49682.14453125, 200","13911, 1","0.800000011920929","1","3","","1","","3","2","","1","","4","1","3","2","","","","2","2","","23","4, 308","28","14","69","70","97780.21875","","1","","","5","2","","","","","1","","","1","","","1","2","1","","1","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","1",""
1851,NA,NA,112,"88927.203125, 207","9666, 1","0.5","","1","1","","1","3","3","","","3","2","1","2","4","","1","","1","3","2","18","39, 353","26","18","61","45","138176.265625","","1","","","3","1","","","1","","","2","","3","","","1","","","","","","","","2","","","","","","","","2","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","1","","",""
1909,NA,NA,116,"132562.28125, 192","9666, 1","0.400000005960464","","","1","","","1","","","2","1","","","","3","","","","","1","1","9","59, 297","25","19","48","35","174692.8125","","","","","3","","","","","","","1","","3","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1"
1952,NA,NA,119,"86931.234375, 277","9666, 1","0.699999988079071","","","","","","1","1","","","","2","1","","1","","","","","1","","6","39, 317","9","5","53","44","90146.5234375","1","1","","","4","","","","","","","","1","","","","","","","1","1","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1"
2024,NA,NA,124,"153343.328125, 257","9666, 1","0.600000023841858","","1","2","","","","1","","2","2","","","3","2","","1","1","","1","1","8","14, 304","34","10","32","27","187278.75","","1","","","","","","","","1","","2","","5","","","1","","","","","1","","","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2082,NA,NA,128,"114854.8203125, 202","9666, 1","0.5","","","","","","1","1","","1","3","2","","1","1","","1","","","1","2","9","8, 317","24","9","54","34","133176","","1","","","4","","","","","","","2","","3","","","3","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2140,NA,NA,132,"169538.578125, 221","9666, 1","0.600000023841858","","","3","","1","1","6","","1","2","2","1","","1","","","","","","3","10","288","18","6","51","21","110874.703125","","4","","","2","","","","1","1","","","","2","","","","1","1","","","","","","1","","","","3","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
2197,NA,NA,136,"140411.375, 276","9666, 1","0.5","","","1","","","1","2","","","","","","","2","1","","2","","","2","12","303","23","7","51","38","137219.296875","","2","","","1","1","","","","","","3","","2","","","","","","","","1","","1","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2226,NA,NA,138,"130335.09375, 209","9666, 1","0.5","","","4","","","4","2","","","","1","","2","","","","","","1","4","10","286","20","1","52","31","128260.3828125","","1","","","2","","1","","1","","","2","","3","","","","2","","","","1","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
2255,NA,NA,140,"73974.4921875, 225","9666, 1","0.600000023841858","","","","","","1","","","1","1","","","","","","","","","","","15","269","15","8","49","49","102577.9609375","","","","1","3","","","","","","","","","1","","","","1","","","","2","","","2","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","","1","","","","","","","","","","",""
2284,NA,NA,142,"87199.65625, 212","9666, 1","0.5","","","2","","","2","5","","","","","","","2","","","","","","2","12","273","14","6","43","47","144765.203125","","2","","","5","","","1","","","","1","","2","","","","1","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2313,NA,NA,144,"79051.3984375, 211","9666, 1","0.600000023841858","","","1","","","","1","","","","2","1","","1","","","","","1","1","11","263","32","8","46","43","112419.78125","","","","","2","","1","","","","","","","2","","","","3","","","","","","","1","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2334,NA,NA,146,"133247.125, 250","13911, 1","0.899999976158142","","","3","1","","","6","","2","","4","","","","","","","","2","6","15","226","48","13","49","29","105042.2421875","","","","","1","2","","1","","","","","2","7","","","1","1","2","","","3","","","3","","","","","","","","","","","1","","","","","","","","","1","","","1","","","","","","1","","","","","","","","","","","",""
