"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Polygonum aviculare-type","Amaranthaceae","Poaceae","Quercus cerris-type","Alnus","Cirsium/Gundelia","Dryopteris-type","Cyperaceae","Convolvulus","Matricaria-type","Cichorioideae","Pinus","Centaurea solstitialis-type","Cedrus","Pseudopediastrum boryanum","Euphorbia","Sparganium-type","Sambucus nigra-type","Dipsacus-type","Botrychium","Butomus","Sphagnum","Brassica-type","Onopordum-type","Scorzonera-type","Unknown","Pteris","Poaceae (Cerealia-type)","Artemisia herba-alba-type","Quercus coccifera-type","Carthamus","Caryophyllaceae","Trifolium-type","Senecio-type","Lomelosia rotata-type","Lycopodium","Apiaceae","Olea","Nymphaea","Juglans","Lysimachia","Campanula-type","Rumex acetosa-type","Styrax","Ostrya/Carpinus orientalis","Isoëtes","Potentilla-type","Pistacia","Galium-type","Plantago coronopus-type","Ranunculus sceleratus-type","Sanguisorba-type","Juniperus","Myriophyllum spicatum/M. verticillatum","Centaurea cyanus-type","Ranunculus repens-type","Ophioglossum","Cuscuta","Pteridium","Crataegus-type","Artemisia vulgaris-type","Noaea-type","Bunium-type","Rhus/Cotinus","Plantago lanceolata-type","Salix","Knautia","Plantago media-type","Onobrychis-type","Cousinia","Ephedra fragilis-type","Castanea","Ericaceae","Fraxinus ornus","Cladium mariscus","Cheilanthes","Polypodium","Platanus","Xanthium","Valerianella","Cephalaria","Fontanesia phillyreoides","Ranunculus sect. Batrachium-type","Abies","Alisma","Helianthemum","Corylus","Ulmus","Anthriscus-type","Tilia","Vitis","Persicaria maculosa-type","Urtica pilulifera-type","Eryngium-type","Ephedra distachya-type","Ferula-type","Geranium","Rhamnus","Delphinium-type","Ranunculus peltatus-type","Saxifragaceae","Linum","Humulus/Cannabis","Mercurialis annua","Inula-type","Rhynchospora-type","Centaurea scabiosa-type","Ranunculus arvensis-type","Equisetum","Filipendula","Erodium","Glaucium","Filago-type","Fabaceae","Stachys-type","Lemna","Carpinus betulus","Teucrium","Asphodeline","Potamogeton","Phillyrea","Arceuthobium oxycedri","Maianthemum","Persicaria amphibia","Fagus","Genista-type","Thymus/Mentha"
NA,NA,NA,90,NA,NA,4,15,29,3,NA,NA,7,NA,10,5,631,5,275,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,20,128,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,1,2,NA,1,9,14,349,NA,1,NA,NA,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,6,5,16,23,NA,2,NA,129,3,4,11,996,56,241,18,NA,7,NA,NA,1,NA,NA,1,NA,NA,NA,NA,23,22,52,NA,5,NA,NA,NA,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,52,3,2,350,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,NA,4,4,9,2,NA,22,6,17,15,14,34,219,256,77,9,NA,4,NA,NA,3,10,NA,12,NA,NA,1,NA,2,12,1,1,NA,NA,NA,NA,1,NA,1,NA,4,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110,NA,9,25,6,20,NA,1,2,15,2,11,2,582,27,205,17,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,14,7,38,NA,4,NA,1,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,NA,4,1,1,69,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,130,NA,5,1,10,28,NA,4,1,328,11,15,9,578,67,246,2,NA,5,NA,NA,NA,1,NA,4,NA,NA,NA,NA,4,10,23,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,25,4,3,92,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,NA,3,11,14,133,6,NA,1,3,NA,3,1,594,12,283,1,NA,2,NA,NA,NA,NA,NA,5,1,NA,1,NA,7,16,60,NA,2,NA,NA,NA,NA,3,1,NA,4,NA,NA,NA,NA,9,NA,NA,2,NA,1,NA,13,29,180,NA,NA,NA,NA,NA,1,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,1,4,8,6,1,4,17,9,11,11,17,50,306,250,81,2,NA,7,NA,NA,2,30,NA,29,NA,NA,NA,NA,10,6,1,NA,1,NA,2,NA,1,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,NA,9,8,11,4,NA,27,3,18,2,30,33,360,271,307,5,NA,12,NA,NA,2,30,NA,67,NA,NA,1,1,17,13,4,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140,NA,7,10,11,10,1,7,2,119,22,15,29,627,143,177,2,NA,4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,6,10,27,NA,4,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,3,3,161,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,190,NA,8,1,12,1,2,28,5,15,3,54,48,302,437,156,4,2,13,NA,NA,3,23,NA,33,2,NA,NA,NA,7,13,2,1,2,NA,1,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,60,NA,3,6,22,79,NA,NA,2,7,NA,5,1,453,8,396,NA,NA,3,NA,NA,2,NA,NA,2,2,NA,1,NA,5,26,175,NA,5,NA,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,9,24,191,1,NA,NA,NA,NA,5,8,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,NA,3,12,35,37,1,2,NA,22,NA,16,28,403,24,201,1,NA,5,NA,NA,NA,1,NA,4,1,NA,NA,NA,4,16,45,1,NA,1,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,NA,NA,2,3,NA,NA,6,45,154,1,1,NA,NA,1,NA,1,NA,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,NA,6,13,18,84,NA,NA,3,6,NA,7,4,623,7,513,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,5,40,133,NA,2,NA,3,NA,NA,1,5,NA,2,NA,NA,1,NA,4,NA,NA,3,6,NA,NA,3,32,678,1,1,NA,NA,NA,1,8,3,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,5,NA,1,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,3,10,27,67,NA,1,2,11,NA,5,7,475,13,316,4,1,58,NA,NA,NA,NA,NA,3,NA,NA,1,NA,7,18,48,NA,2,4,NA,1,1,1,3,NA,1,NA,NA,1,NA,10,NA,NA,4,NA,1,2,3,18,47,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA,NA
NA,NA,NA,40,NA,13,12,31,89,1,2,4,56,NA,6,8,612,24,647,3,NA,20,NA,NA,1,NA,NA,2,2,NA,1,NA,26,20,108,NA,1,NA,2,NA,NA,1,4,NA,6,NA,NA,1,NA,7,NA,NA,4,NA,NA,6,5,62,191,1,NA,NA,NA,1,1,5,1,1,NA,13,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1
