"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Caryophyllaceae","Crassulaceae","Vitis","Acer","Juniperus-type","Polygala","Astragalus-type","Juglans regia","Teucrium","Sideritis","Gelasinospora","Salix","Bupleurum","Scabiosa","Berberis","Alchemilla","Armeria-type","Thalictrum","Typha angustifolia","Ephedra fragilis-type","Lamiaceae (hexacolpate)","Helleborus foetidus","Indeterminable (unknown)","Botryococcus","Mougeotia","Ononis-type","Bryophyta (trilete)","Ulmus","Juncus","Asteroideae","Spirogyra (psilate)","Artemisia","Cyperaceae","Prunus-type","Helianthemum","Centaurea nigra-type","Quercus (evergreen)","Lamiaceae (tricolpate)","Brassicaceae","Rhamnus","Pinus pinaster","Riccia cf. R. sorocarpa (type 165, HdV)","Spirogyra (type 132, HdV)","Cichorioideae","Lamiaceae","Plantago lanceolata-type","Poaceae","Quercus (deciduous)","Fungi undiff.","Genista-type","Amaranthaceae","Polyadosporites","Asteraceae","Zygnema","Fraxinus angustifolia-type","Zygnemataceae","Fallopia convolvulus/F. dumetorum","Charcoal","Pinus nigra-type","Lycopodium spike","Alnus","Primula","Olea","Pteridophyta (monolete)","Pistacia","Daphne","Fungi","Pteridium aquilinum","Paronychia-type","Hypecoum","Betula","Pedicularis","Rubiaceae","Papaver","Poaceae (Cerealia)","Unknown (type 128, HdV)","Erica arborea","Allium-type","Closterium","Taxus","Erodium","Asphodelus","Arbutus","Corylus","Liliaceae","Phillyrea","Fabaceae","Cistus","Ephedra major subsp. major","Adiantum capillus-veneris","Pseudoschizaea","Polypodium","Cheilanthes"
3746.9,NA,NA,88,25,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,36,NA,NA,NA,1,NA,3,1,4,1,35,22,146,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
3783.2,NA,NA,90,30,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,2,NA,34,3,11,NA,2,10,8,16,12,16,125,135,70,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4337.7,NA,NA,96,21,2,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,15,21,NA,NA,42,10,14,NA,6,7,21,NA,2,15,49,13,125,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5168.9,NA,NA,102,20,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,17,NA,NA,1,NA,NA,NA,2,13,8,NA,NA,NA,NA,NA,NA,NA,13,NA,39,NA,NA,NA,26,3,19,NA,NA,8,NA,28,38,69,120,25,175,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
6230.2,NA,NA,108,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,29,NA,NA,2,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,3,1,12,NA,NA,NA,21,18,7,NA,12,14,NA,9,NA,21,49,19,96,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7082.4,NA,NA,112,19,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,26,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,24,1,NA,69,11,8,NA,NA,NA,28,9,8,9,18,144,162,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,30,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7965,NA,NA,116,17,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,16,18,NA,NA,1,NA,NA,10,NA,5,NA,NA,NA,NA,4,NA,NA,NA,2,NA,6,2,NA,NA,48,7,3,NA,4,NA,12,27,10,33,72,151,168,59,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8396.8,NA,NA,118,20,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,17,NA,NA,2,NA,NA,14,NA,70,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,9,5,NA,228,NA,NA,NA,11,NA,23,4,3,4,NA,87,48,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA
8827.7,NA,NA,120,21,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,10,NA,50,NA,NA,NA,NA,NA,11,9,NA,NA,1,NA,11,11,NA,158,NA,2,NA,10,NA,21,2,6,2,NA,138,26,130,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,11,NA,NA,NA,NA,NA,1,NA,NA,NA,20,NA,NA,1,NA
9131.5,NA,NA,124,41,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,19,6,NA,NA,1,NA,NA,4,NA,26,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,18,7,NA,56,NA,1,NA,12,NA,22,1,NA,1,2,99,28,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,2,NA,19,NA,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,NA
9406.9,NA,NA,128,31,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,4,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,68,NA,NA,NA,6,NA,12,1,NA,1,NA,140,19,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
