"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Salix","Artemisia","Nerium","Styrax","Caryophyllaceae","Rosaceae","Polygonum","Hippophaë","Cercis","Arbutus","Laurus","Asteraceae","Juglans","Lamiaceae","Fraxinus ornus","Ericaceae","Rhus","Rumex","Apiaceae","Urticaceae","Centaurea","Crataegus","Acantholimon","Alnus","Rhamnus","Plantago","Cistus","Carpinus orientalis","Ulmus","Poaceae (Cerealia)","Alisma","Lemna","Pistacia","Populus","Typha","Quercus ithaburensis","Phillyrea","Liliaceae","Fraxinus","Olea","Cyperaceae","Quercus coccifera","Ranunculaceae","Juniperus","Poaceae","Pinus","Helianthemum","Scabiosa","Sarcopoterium","Ephedra fragilis","Poterium sanguisorba","Amaranthaceae","Dipsacoideae","Zygophyllaceae","Tamarix","Cedrus libani","Ziziphus","Vitis","Boraginaceae","Thalictrum","Scrophulariaceae","Orobanche","Nuphar","Hydrocharis"
186,NA,NA,58,NA,NA,25,NA,NA,6,NA,2,NA,NA,NA,NA,67,1,NA,1,3,NA,2,3,NA,4,NA,3,NA,4,4,4,3,NA,2,1,NA,5,NA,NA,NA,4,1,1,5,NA,32,NA,32,12,80,13,5,13,25,12,53,5,6,8,8,10,NA,NA,NA,NA,NA,NA,NA
206.6667,NA,NA,64,NA,NA,23,NA,NA,8,NA,4,NA,NA,NA,NA,59,2,NA,1,5,NA,5,6,NA,5,1,6,NA,7,6,6,6,NA,5,NA,NA,12,NA,NA,NA,8,2,2,8,2,45,2,38,16,92,9,4,8,14,6,43,3,3,5,5,6,NA,NA,NA,NA,NA,NA,NA
227.3333,NA,NA,70,NA,NA,17,NA,NA,9,1,8,NA,NA,NA,NA,41,1,NA,1,7,NA,6,6,1,11,1,7,NA,8,8,8,9,NA,8,1,NA,15,NA,1,NA,11,4,3,10,5,48,10,42,29,98,4,3,4,8,5,29,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,76,NA,NA,23,NA,NA,8,NA,4,NA,NA,NA,NA,59,2,NA,1,5,NA,5,6,NA,5,1,6,NA,7,6,6,6,NA,5,NA,NA,12,NA,NA,NA,8,2,2,8,2,45,2,38,16,92,9,4,8,15,6,43,3,3,5,5,6,NA,NA,NA,NA,NA,NA,NA
268.6667,NA,NA,82,NA,NA,22,NA,NA,7,NA,4,NA,NA,NA,NA,60,NA,NA,NA,3,NA,2,1,NA,7,NA,1,NA,8,4,12,5,NA,1,NA,NA,13,NA,NA,2,11,NA,1,8,NA,58,NA,50,19,110,12,14,20,14,13,35,2,4,NA,4,2,NA,NA,NA,NA,NA,NA,NA
289.3333,NA,NA,88,NA,NA,23,NA,NA,8,NA,4,NA,NA,NA,NA,59,2,NA,1,5,NA,5,6,NA,5,1,6,NA,7,6,6,6,NA,5,NA,NA,12,NA,NA,NA,8,2,2,8,2,45,2,38,16,92,9,4,8,14,6,43,3,3,5,5,6,NA,NA,NA,NA,NA,NA,NA
310,NA,NA,94,NA,NA,25,NA,NA,6,NA,2,NA,NA,NA,NA,67,1,NA,1,3,NA,2,3,NA,4,NA,3,NA,4,4,4,3,NA,2,1,NA,5,NA,NA,NA,4,1,1,5,NA,32,NA,32,12,80,13,5,13,19,12,53,5,6,8,8,10,NA,NA,NA,NA,NA,NA,NA
375,NA,NA,99,NA,NA,22,NA,NA,7,NA,5,NA,NA,NA,NA,55,1,NA,1,4,NA,4,5,NA,5,1,5,NA,6,6,5,5,NA,7,NA,NA,11,NA,NA,NA,8,2,2,7,2,41,2,36,15,85,10,4,8,15,7,42,4,3,6,7,7,NA,NA,NA,NA,NA,NA,NA
453,NA,NA,105,NA,NA,8,NA,NA,11,1,6,NA,NA,NA,NA,23,3,NA,2,15,1,6,9,1,9,3,11,NA,15,12,15,15,NA,8,3,NA,29,NA,1,NA,20,15,3,16,18,67,25,65,45,158,1,1,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
531,NA,NA,111,NA,NA,12,NA,NA,10,1,6,NA,NA,NA,NA,35,3,NA,2,9,1,6,7,1,8,2,10,NA,11,9,11,11,NA,8,1,NA,22,NA,1,NA,18,10,2,15,16,59,20,56,29,128,3,1,3,4,3,12,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA
635,NA,NA,117,NA,NA,17,NA,NA,9,1,8,NA,NA,NA,NA,41,1,NA,NA,7,NA,6,6,1,11,1,7,NA,8,8,8,9,NA,2,1,NA,15,NA,1,NA,11,4,3,10,5,48,10,42,29,98,4,3,4,8,5,29,1,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA
687,NA,NA,123,NA,NA,12,NA,NA,10,1,6,NA,NA,NA,NA,35,3,NA,2,9,1,6,7,1,8,2,10,NA,11,9,11,11,NA,8,1,NA,22,NA,1,NA,18,10,2,15,16,59,20,56,29,128,3,1,3,4,3,12,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA
765,NA,NA,129,NA,NA,11,1,NA,6,NA,NA,NA,NA,NA,NA,11,2,NA,1,19,NA,1,5,NA,8,2,1,1,16,5,13,15,NA,1,NA,NA,26,NA,NA,1,18,NA,5,15,10,100,12,72,38,135,3,8,9,NA,9,8,NA,NA,NA,2,NA,39,NA,NA,NA,NA,NA,NA
774.5745,NA,NA,135,NA,NA,14,NA,2,8,NA,4,1,NA,1,NA,30,4,NA,4,6,NA,5,6,5,8,2,6,1,16,10,13,12,NA,8,NA,NA,21,1,NA,2,20,6,6,16,15,60,9,53,29,116,2,NA,2,4,2,10,NA,NA,2,1,2,22,NA,NA,NA,NA,NA,NA
784.1489,NA,NA,141,NA,NA,15,NA,1,6,NA,2,1,NA,1,NA,32,3,NA,3,5,NA,3,5,4,6,1,5,1,15,8,12,11,NA,6,NA,NA,20,NA,NA,1,19,2,5,15,11,58,8,52,22,115,2,1,3,4,4,12,1,1,2,1,2,25,NA,NA,NA,NA,NA,NA
793.7234,NA,NA,147,NA,NA,10,NA,1,17,NA,7,NA,1,3,NA,21,1,NA,NA,23,NA,8,4,1,27,1,5,5,19,16,16,8,NA,5,1,NA,27,1,NA,4,20,4,3,15,16,100,19,72,32,202,5,6,7,NA,7,10,1,NA,1,NA,NA,29,NA,NA,NA,NA,NA,NA
