"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ficus","Ziziphus","Scrophulariaceae","Thymelaeaceae","Polygalaceae","Primulaceae","Rumex","Fabaceae","Campanulaceae","Urticaceae","Boraginaceae","Malvaceae","Ranunculaceae","Brassicaceae","Polygonum","Papaveraceae","Teucrium","Cistus","Ericaceae","Pinus","Lamiaceae","Centaurea","Juniperus","Plantago","Lemna","Olea","Sarcopoterium","Apiaceae","Acantholimon","Prunus","Rosaceae","Tamarix","Caryophyllaceae","Rubiaceae","Typha","Alismataceae","Scabiosa","Cyperaceae","Poaceae (Cerealia)","Helianthemum","Myrtus","Lonicera","Asteraceae","Phillyrea","Artemisia","Liliaceae","Poaceae","Quercus coccifera","Amaranthaceae","Pistacia palaestina","Dipsacoideae","Euphorbiaceae","Zygophyllaceae","Ephedra fragilis","Rhus","Fraxinus","Rhamnus","Crataegus","Cercis","Arbutus","Acer","Juglans","Fraxinus ornus","Vitis","Platanus","Populus","Salix","Ulmus","Hippophaë","Hedera","Nerium","Laurus","Elaeagnus","Styrax","Orobanchaceae","Pistacia atlantica","Quercus ithaburensis","Dinoflagellata"
4260,NA,NA,161,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,23,NA,NA,NA,4,5,8,27,6,1,26,2,NA,4,22,NA,NA,4,4,4,5,1,NA,NA,4,1,2,7,3,2,12,6,16,4,7,18,30,18,11,10,8,8,15,24,22,24,11,13,15,NA,NA,NA,NA,NA,NA,NA,13,15,14,15,NA,NA,NA,NA,1,NA
4360,NA,NA,163,NA,3,2,1,1,2,NA,NA,2,2,2,2,21,NA,1,2,5,8,4,18,3,1,22,2,NA,5,6,4,3,7,7,4,10,4,4,2,10,12,2,4,6,6,11,11,12,6,22,26,13,26,5,3,3,4,14,23,21,23,10,12,14,NA,NA,NA,NA,NA,NA,NA,12,14,13,14,1,NA,NA,1,5,NA
4460,NA,NA,165,NA,NA,5,6,5,7,1,NA,7,11,6,8,36,NA,1,7,NA,NA,NA,30,NA,2,35,1,6,5,NA,8,6,NA,NA,NA,NA,NA,15,8,NA,26,2,NA,NA,NA,2,2,NA,NA,42,22,NA,22,NA,NA,NA,NA,20,20,32,23,19,30,23,NA,NA,NA,2,3,3,4,18,21,20,21,5,4,2,5,13,NA
4560,NA,NA,167,NA,NA,5,6,5,7,1,NA,7,11,6,8,36,NA,NA,7,NA,NA,NA,26,NA,1,33,2,6,5,NA,8,6,NA,NA,NA,NA,NA,15,8,NA,26,2,NA,1,1,3,4,NA,NA,42,22,1,22,NA,NA,NA,NA,18,18,31,21,18,28,21,NA,NA,NA,1,1,2,3,17,19,19,19,4,3,2,4,12,NA
4660,NA,NA,169,NA,NA,4,5,4,6,NA,NA,6,10,5,7,32,NA,NA,6,NA,NA,NA,25,NA,1,31,2,4,4,NA,7,5,NA,NA,NA,NA,NA,13,7,NA,24,3,NA,2,2,4,5,NA,1,36,22,2,22,NA,NA,NA,NA,17,17,30,19,17,27,20,NA,NA,NA,NA,NA,NA,NA,16,18,18,17,2,1,1,3,10,NA
4760,NA,NA,171,NA,NA,3,4,3,5,1,NA,5,7,4,6,25,NA,1,5,NA,NA,NA,20,NA,1,25,2,2,5,NA,6,4,NA,NA,NA,NA,4,10,5,NA,18,2,NA,5,5,3,11,NA,NA,33,23,1,23,NA,NA,NA,NA,11,11,20,15,11,20,15,NA,NA,NA,NA,NA,NA,NA,13,12,12,13,1,NA,NA,2,9,NA
4860,NA,NA,173,NA,NA,4,5,4,6,NA,NA,6,10,5,7,32,NA,1,6,NA,NA,NA,25,NA,1,30,3,4,4,NA,7,5,NA,NA,NA,NA,NA,13,7,NA,24,2,NA,2,2,4,5,NA,1,36,22,2,22,NA,NA,NA,NA,17,17,30,19,17,27,20,NA,NA,NA,NA,NA,NA,NA,16,18,18,17,2,1,1,3,10,NA
4910.952,NA,NA,175,NA,NA,3,4,3,5,NA,NA,5,5,4,5,25,NA,NA,5,NA,1,NA,23,1,NA,27,2,1,5,1,6,4,NA,NA,NA,1,1,12,5,NA,21,2,NA,3,3,7,6,1,4,34,18,5,18,NA,NA,NA,NA,16,16,25,18,16,17,16,NA,NA,NA,NA,1,1,1,15,17,16,16,3,4,2,4,12,NA
4961.905,NA,NA,177,NA,NA,3,4,3,5,1,NA,5,5,4,5,20,NA,NA,5,NA,2,NA,21,2,1,25,2,3,5,1,6,4,1,1,NA,2,1,15,6,1,22,3,NA,4,4,8,8,2,5,34,18,8,18,NA,NA,NA,NA,15,15,23,16,15,15,15,NA,NA,NA,1,2,2,2,14,16,15,15,3,4,2,4,12,NA
5012.857,NA,NA,179,NA,NA,2,3,2,4,1,NA,4,3,3,4,19,NA,1,4,1,4,1,16,5,1,21,1,1,4,4,3,2,3,3,1,4,4,10,4,2,10,2,1,4,4,11,8,4,11,22,22,10,22,1,NA,NA,1,13,12,19,14,13,13,12,NA,NA,NA,NA,NA,NA,NA,13,13,14,14,1,2,1,3,9,NA
