"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Artemisia","Caryophyllaceae","Cyperaceae","Cichorioideae","Triticum-type","Plantago lanceolata-type","Plantago major-type","Mercurialis","Fraxinus excelsior","Pteridium","Polypodiophyta (trilete, verrucate)","Abies","Pistacia","Phillyrea","Erica","Amaranthaceae","Asteroideae","Polypodiophyta","Varia","Juniperus","Pinus","Olea","Poaceae","Quercus ilex/Q. coccifera-type","Quercus robur/Q. pubescens-type","Pediastrum simplex","Lycopodium spike","Geranium","Polygonum aviculare-type","Primulaceae","Sparganium-type","Alnus","Hedera","Fraxinus ornus","Brassicaceae","Ostrya/Carpinus orientalis","Hordeum-type","Polypodium","Platanus","Scrophulariaceae","Rumex acetosa-type","Poaceae (Cerealia-type) undiff.","Theligonum cynocrambe","Corylus","Ephedra fragilis","Sanguisorba minor-type","Asphodelus","Juglans","Rosaceae","Ulmus","Vitis","Acer","Trifolium-type","Gypsophila","Myrtus","Plantago lagopus-type","Botrychium","Fagus","Ilex","Typha","Plantago coronopus-type","Secale","Centaurea scabiosa","Lonicera","Ranunculaceae","Lamiaceae","Ranunculus acris-type","Anemone-type","Aquilegia","Scleranthus","Aster-type","Menyanthes","Polypodiophyta (trilete, psilate)","Pediastrum duplex","Salix","Apiaceae","Liliaceae","Plumbaginaceae","Carpinus betulus","Centaurea solstitialis-type","Reseda","Cistus albidus-type","Nymphaea","Myriophyllum spicatum-type","Tilia","Papaveraceae","Jasminum","Teucrium","Cistus monspeliensis","Fabaceae","Euphorbiaceae","Rhamnus","Potamogeton","Fagopyrum","Vicia-type","Pseudopediastrum boryanum","Humulus","Urtica","Castanea","Rubiaceae","Lythrum","Serratula-type","Betula","Avena-type","Alchemilla","Ilex aquifolium","Heliotropium europaeum","Scilla-type","Convolvulus arvensis","Campanulaceae","Populus","Paliurus","Picea"
624,NA,NA,184,"1.9","9","","6","7","","1","1","1","2","20","1","15","25","71","17","4","7","1","20","","29.5","8","82","21","309","5532","68, 37626","","","1","4","7","","3","1","7","","","2","2","7","","1","","2","2","","","1","1","2","","","","","","","","","","","1","1","","","","","","","","6","","","","","","","","1","","","","2","2","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","",""
652,NA,NA,192,"1.7","6","2","4","15","1","5","1","1","6","13","","8","24","13","10","3","9","1","8","2","17","41","89","55","280","38623.99723","853, 37626","","","","","11","","3","","14","","","5","1","1","3","1","4","2","1","","","","2","2","","","","","1","","2","","","1","2","","","","1","","","","","","","","","3","","","","","","1","1","","2","","","","","","1","1","4","7","","","","","","","","","","","","","","","","","","","",""
681,NA,NA,200,"1.8","4","1","3","6","","1","1","","","2","","5","17","21","8","3","5","1","1","","11","2","44","5","121","","269, 12542","","1","1","2","1","1","2","1","14","","","1","2","","1","","","","","1","1","","2","3","","","","","","","1","","","","1","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","",""
710,NA,NA,208,"2.1","5","1","9","4","","1","","","1","7","","4","31","22","14","2","7","3","5","1","19.5","1","86","17","230","464","219, 12542","","1","1","2","2","","","1","3","","2","2","1","1","8","","","2","1","2","1","","3","4","","","","","","","2","","","","3","","","","","","1","","","1","","","1","","","","","","1","","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
739,NA,NA,216,"2.2","8","3","31","3","","4","4","2","2","16","","3","19","29","11","9","4","1","10","3","21.5","4","179","14","353","970","344, 12542","","","","5","4","3","6","4","10","","1","13","9","5","5","","1","2","4","","","1","2","14","","1","","1","","","4","","","","2","","","","","2","3","","","3","","","1","","","","","2","2","","1","","2","","","","","","","","","","","","1","1","1","2","2","","","","","","","","","","","","",""
767,NA,NA,224,"2","9","6","17","5","","2","2","","1","19","1","6","49","53","32","6","8","1","11","1","42.5","3","193","8","423","4087","1997, 37626","","","","4","3","","3","5","17","2","","2","10","4","2","","1","","3","","1","1","4","2","","","","","","","2","","","","4","","","","","","2","","","4","","","1","","","2","","","3","","2","1","7","","","","","","","","2","","","","","","","","","1","1","","","","","","","","","","",""
796,NA,NA,232,"1.4","8","7","8","17","1","2","4","1","","13","1","3","34","7","20","1","22","2","9","2","28.5","25","164","25","348","857","2197, 37626","","1","","3","3","","4","2","6","3","","1","5","3","2","","","","1","1","1","3","2","6","","2","","","","2","5","","","","3","3","","","1","","","","","","","","","2","","","","1","1","","","3","4","","","","","","","1","","","","1","1","","","","1","","","1","1","1","","","","","","","",""
825,NA,NA,240,"1.8","8","1","10","6","","4","10","1","3","14","","","42","28","10","6","20","","13","2","16","6","167","17","342","102","291, 12542","1","5","1","5","5","","3","2","18","","2","7","7","4","5","1","1","","1","","1","","7","13","","","","1","","","","","","","4","","","3","","","","","","1","","","","","","1","","","9","","","2","14","","","","","","","","","","","","4","","","","","","","","","","1","1","","","","","",""
854,NA,NA,248,"1.9","5","5","12","4","1","3","2","","1","26","","5","19","10","9","7","1","2","7","2","40.5","1","137","8","391","700","245, 12542","","1","","4","5","1","4","2","8","","2","8","5","3","4","","1","","2","","1","1","8","5","","","","","","","3","","","","5","","","","1","","1","","","","","","6","","2","","","","1","","","3","1","","","","","","1","","","","","","1","","","1","1","","","","1","","","","1","1","","","",""
883,NA,NA,256,"1.7","8","4","7","2","","5","","","3","16","","3","22","17","8","2","2","1","3","2","15","2","194","19","390","1391","167, 12542","1","1","1","2","3","","","3","8","","","5","2","3","3","","","","1","","","1","5","12","","","","","","","2","","","","","","","1","","","","","","1","","","9","","","","","1","4","","1","4","3","1","","","","","1","1","","","","","","","","1","","","","1","","1","","","","","1","1","",""
974,NA,NA,264,"1.7","6","1","4","1","","1","1","1","1","19","","10","18","8","9","5","5","2","","","36.5","5","140","6","432","352","652, 37626","","1","","","1","1","2","4","4","4","","","1","1","","","","1","1","","","2","2","1","","","","","","","1","","1","","","","1","","2","1","","","","","","","28","","","1","","1","3","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1",""
1089,NA,NA,271,"1.2","6","3","6","11","3","1","3","2","","20","1","4","8","3","12","2","11","4","3","2","57","11","125","15","312","1249","1073, 37626","","","","3","1","","1","2","3","3","1","","","1","3","","2","2","1","2","","","2","4","","","","","","1","5","","","1","3","","","","","","","","","","","","35","","","","","1","","","","12","2","1","","","","","","","","","","","3","","","","","","","","1","","","","","","","","","1"
