"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Ericaceae","Ephedra","Poaceae (Cerealia-type)","Olea","Unknown (trilete)","Sparganium-type","Fabaceae","Tamarix","Cyperaceae","Unknown (monolete)","Plantago","Pinus","Poaceae","Asteroideae","Apiaceae","Pseudoschizaea","Amaranthaceae","Cichorioideae","Caryophyllaceae","Malvaceae","Rumex","Convolvulus","Cannabaceae","Corylus","Carpinus","Quercus robur-type","Alnus","Centaurea-type","Phillyrea","Quercus ilex-type","Lamiaceae","Lygeum-type","Thymelaea","Betula","Rosaceae","Ligustrum","Helianthemum","Ulmus","Rubiaceae","Urticaceae","Vitis","Brassicaceae","Geraniaceae","Populus","Cistus","Ranunculaceae","Juniperus","Pistacia","Polygonum","Buxus","Coriaria myrtifolia","Myriophyllum","Typha latifolia-type","Euphorbia","Tilia","Potamogeton","Dinoflagellata","Rhamnus","Lythrum","Juglans","Nuphar","Hedera","Abies"
5540,6073,5014,425,4,3,1,1,3,8,85,1,1,NA,1,6,16,13,15,23,NA,3,NA,NA,NA,NA,NA,4,6,NA,9,5,NA,NA,14,6,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,31,1,NA,219,1,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA
5727,6326,5103,450,1,NA,1,1,7,5,18,NA,NA,3,2,15,14,33,23,18,NA,2,NA,NA,NA,NA,NA,1,19,1,15,5,NA,NA,19,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,76,NA,NA,201,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5814,6399,5208,475,3,3,8,1,NA,8,36,NA,1,2,1,12,9,9,51,23,NA,3,NA,NA,NA,NA,NA,3,10,NA,10,6,NA,NA,9,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,77,1,NA,222,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
5901,6472,5312,500,4,NA,2,3,81,9,17,10,5,81,7,25,6,63,45,17,3,15,8,NA,NA,NA,NA,NA,5,NA,NA,7,NA,3,17,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
5970,6531,5396,520,8,9,NA,7,33,2,2,7,NA,36,3,50,11,29,12,18,4,47,56,NA,NA,NA,NA,NA,2,NA,5,NA,NA,2,6,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6040,6589,5478,540,1,NA,NA,2,2,6,18,1,NA,4,4,1,11,45,34,11,NA,4,NA,NA,NA,NA,NA,NA,8,NA,12,9,NA,NA,8,3,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,97,3,NA,164,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6109,6647,5560,560,3,1,5,1,6,9,55,1,NA,1,4,9,22,22,37,23,NA,4,NA,1,NA,NA,NA,3,22,NA,15,1,NA,1,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,79,6,NA,281,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6179,6705,5642,580,2,1,4,NA,2,8,23,1,1,4,1,12,15,34,15,18,NA,3,NA,NA,1,NA,NA,NA,6,NA,13,NA,NA,1,9,6,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,65,3,NA,193,NA,8,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
6249,6764,5726,600,1,NA,5,NA,1,10,42,NA,NA,5,1,6,15,15,11,17,NA,1,2,3,NA,NA,NA,NA,4,NA,7,2,NA,NA,9,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,65,NA,NA,182,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6318,6824,5810,620,2,5,1,NA,1,6,47,1,NA,3,NA,NA,5,19,16,20,NA,2,3,NA,NA,NA,NA,2,20,NA,14,4,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,53,2,NA,160,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6388,6884,5892,640,11,NA,4,NA,4,6,19,NA,NA,NA,NA,4,7,14,22,13,NA,3,NA,NA,NA,1,NA,NA,3,NA,5,NA,NA,NA,14,7,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,91,5,NA,188,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
6457,6945,5974,660,2,2,1,NA,8,6,32,3,NA,5,3,11,9,25,24,11,NA,12,NA,NA,NA,NA,NA,NA,6,NA,4,4,NA,NA,17,10,NA,NA,1,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,67,5,NA,193,NA,NA,9,NA,1,NA,5,NA,NA,NA,NA,NA,NA
6527,7005,6053,680,NA,2,3,13,21,19,5,13,NA,10,1,146,17,32,36,5,NA,1,1,4,NA,NA,NA,NA,4,NA,NA,NA,NA,9,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
6596,7065,6132,700,5,4,NA,3,92,5,2,8,4,28,2,30,13,34,39,55,7,29,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,2,NA,1,NA,NA,NA,NA,NA,2,NA,1,8,1,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6666,7125,6208,720,5,6,8,NA,5,6,39,3,NA,1,1,9,10,33,24,27,NA,1,NA,1,NA,NA,NA,NA,14,NA,15,1,NA,2,23,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,52,1,NA,209,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6736,7185,6285,740,3,4,4,2,2,8,45,NA,1,9,2,1,12,72,13,8,NA,8,NA,NA,NA,NA,NA,NA,26,NA,11,4,NA,NA,13,19,NA,3,NA,NA,NA,NA,3,1,NA,NA,5,NA,NA,NA,2,61,3,NA,155,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
6805,7246,6361,760,4,1,2,NA,3,8,25,NA,NA,2,2,NA,7,11,21,10,NA,4,NA,NA,NA,NA,NA,2,7,NA,8,NA,NA,1,14,6,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,39,1,NA,190,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
6875,7308,6438,780,1,3,NA,NA,3,1,21,4,NA,5,3,NA,13,30,23,10,NA,2,NA,NA,NA,NA,NA,NA,12,NA,11,4,NA,1,13,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,53,NA,NA,116,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6944,7371,6514,800,6,9,9,2,8,8,26,2,NA,3,2,3,12,28,19,21,NA,6,NA,NA,NA,NA,NA,NA,25,NA,24,11,NA,NA,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,93,NA,NA,245,NA,NA,4,NA,1,NA,3,NA,NA,NA,NA,NA,NA
7066,7484,6647,835,2,4,NA,NA,5,5,14,1,NA,3,1,5,9,24,17,11,NA,3,1,NA,NA,NA,NA,NA,8,NA,8,5,NA,2,16,3,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,51,1,NA,94,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
7188,7597,6774,870,4,2,4,1,7,11,19,2,1,3,2,4,18,33,26,12,NA,7,NA,1,NA,NA,NA,NA,5,NA,5,5,NA,1,16,16,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,43,2,NA,157,NA,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA
7310,7718,6903,905,2,1,2,NA,9,9,8,1,NA,3,2,2,12,29,16,6,NA,3,NA,NA,NA,NA,NA,1,3,NA,10,1,NA,NA,5,6,3,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,40,NA,1,108,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
7431,7845,7033,940,NA,NA,3,1,1,4,31,1,NA,1,NA,4,18,19,11,7,NA,2,NA,NA,NA,NA,NA,1,15,NA,1,NA,NA,NA,9,3,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,19,5,NA,133,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
7553,7976,7161,975,NA,1,2,NA,1,14,39,1,NA,2,2,2,18,22,21,13,NA,1,NA,NA,NA,NA,NA,2,18,NA,11,NA,NA,NA,11,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,16,NA,NA,255,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
7675,8109,7285,1010,8,4,4,NA,NA,13,73,1,NA,5,3,3,19,31,29,15,NA,2,NA,NA,NA,NA,NA,1,27,NA,14,1,NA,1,8,5,NA,1,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,31,1,NA,191,NA,2,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA
7797,8242,7402,1045,4,3,6,3,3,23,105,1,NA,5,2,7,18,29,31,25,NA,1,NA,NA,NA,NA,NA,NA,33,NA,9,1,NA,NA,25,4,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,9,2,NA,121,NA,1,2,1,1,2,NA,1,NA,NA,NA,NA,NA
7919,8372,7513,1080,5,2,7,NA,2,10,72,4,NA,1,NA,5,9,15,16,18,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,4,NA,NA,NA,9,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,NA,116,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7988,8445,7575,1100,1,5,9,NA,NA,11,52,1,1,NA,2,NA,23,14,24,19,NA,2,NA,1,NA,NA,NA,NA,14,NA,3,1,NA,NA,10,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,2,14,2,NA,222,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
8214,8691,7779,1165,4,4,4,NA,NA,13,75,3,NA,5,2,4,16,20,17,19,NA,2,NA,NA,NA,NA,NA,1,41,NA,5,2,NA,NA,7,1,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA,113,NA,1,3,1,1,NA,6,NA,NA,NA,NA,1,NA
8440,8945,7982,1230,5,NA,3,NA,NA,3,91,6,2,3,NA,4,21,27,48,49,NA,1,NA,1,NA,NA,NA,NA,38,NA,7,1,NA,NA,6,1,NA,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,26,NA,NA,227,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8667,9207,8179,1295,3,8,3,NA,2,3,71,2,NA,3,1,3,29,29,32,31,NA,5,1,2,NA,NA,NA,NA,35,NA,9,1,NA,1,12,NA,NA,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,24,NA,NA,192,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8893,9477,8371,1360,2,5,9,NA,1,9,86,1,1,4,2,2,32,43,29,20,NA,2,NA,1,NA,NA,NA,NA,13,NA,8,NA,NA,NA,16,8,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,275,NA,3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1
