"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cyperus-type","Rhamnus","Dipsacoideae","cf. Juniperus","Liliaceae","Poaceae (Cerealia-type)","Myriophyllum","Equisetum","Plantago","Asteroideae","Quercus (evergreen)","Sparganium-type","Artemisia","Cyperaceae","Apiaceae","Cichorioideae","Poaceae","Pinus","Amaranthaceae","Thymelaeaceae","Erica","Triletes","Anthoceros-type","Selaginella-type","Ulmus","Ranunculaceae","Monoletes","Malvaceae","Scrophulariaceae","Lamiaceae","Ophioglossum","Corylus","Phillyrea","Botrychium-type","Urticaceae","Alnus","Olea","Tamarix","Cistaceae","Centaurea","Salix","Helianthemum","Quercus (deciduous)","Brassicaceae","Hedera","Pistacia","Carpinus","Ephedra fragilis-type","Ephedra distachya-type","Boraginaceae","Saxifragaceae","Rosaceae","Ephedraceae","Polypodium","Scabiosa","Vitis","Betula","Fabaceae","Fagus","Rubiaceae","Caryophyllaceae","Galium-type","Cistus","Lycopodium","Asphodelus","Buxus","Pteris-type","Plantago coronopus-type","Sanguisorba minor-type","Allium","Geraniaceae","Asplenium-type"
2194,NA,NA,100,3,NA,5,7,NA,3,11,NA,20,14,17,33,20,24,29,28,130,85,61,NA,21,3,NA,NA,NA,13,1,NA,NA,NA,2,3,NA,NA,3,1,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2309,NA,NA,110,NA,NA,NA,7,NA,NA,2,NA,4,37,37,7,10,39,17,17,43,62,53,2,4,NA,NA,2,NA,5,4,NA,NA,1,NA,NA,1,NA,5,2,1,NA,1,NA,2,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2398,NA,NA,120,NA,NA,3,3,NA,1,2,NA,5,10,12,13,2,4,10,10,87,30,19,NA,8,NA,NA,NA,NA,4,1,NA,23,NA,NA,2,NA,NA,7,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2487,NA,NA,130,NA,NA,NA,4,NA,4,NA,NA,18,4,16,13,9,30,22,18,21,49,45,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,5,NA,4,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2576,NA,NA,140,NA,NA,NA,5,NA,3,7,2,7,4,64,17,8,14,22,4,78,77,69,NA,23,1,NA,NA,NA,4,3,NA,12,NA,2,4,NA,NA,3,3,1,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2664,NA,NA,150,NA,1,1,8,NA,8,NA,NA,17,11,18,7,8,44,20,25,39,43,17,NA,8,NA,NA,NA,NA,4,2,NA,3,NA,NA,2,1,NA,6,2,2,NA,1,2,NA,NA,4,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2753,NA,NA,160,NA,NA,9,16,NA,4,2,6,17,9,15,14,4,12,42,42,87,44,20,NA,12,4,NA,NA,1,4,2,NA,18,NA,2,2,NA,NA,3,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2842,NA,NA,170,NA,NA,NA,21,NA,1,NA,NA,13,1,13,33,4,67,9,4,58,115,6,NA,27,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2931,NA,NA,180,NA,NA,NA,17,NA,1,NA,NA,14,4,13,7,6,20,8,17,96,35,33,NA,9,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,3,2,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3020,NA,NA,190,NA,NA,NA,13,NA,1,NA,NA,40,24,24,33,6,107,32,47,56,94,65,NA,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3108,NA,NA,200,1,NA,NA,5,NA,4,4,6,12,5,24,8,9,13,23,49,62,48,31,NA,5,NA,NA,NA,NA,4,3,NA,NA,NA,2,2,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3197,NA,NA,210,NA,NA,NA,10,NA,1,NA,NA,12,9,19,6,16,39,14,11,31,48,22,1,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3286,NA,NA,220,5,NA,2,14,NA,6,NA,3,5,7,45,5,10,28,22,32,60,114,9,NA,16,10,NA,NA,NA,2,3,NA,2,NA,5,1,2,NA,NA,4,3,1,2,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3375,NA,NA,230,NA,NA,NA,1,NA,1,NA,NA,NA,3,2,1,NA,7,NA,NA,27,110,3,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3464,NA,NA,240,NA,NA,NA,2,1,1,1,2,3,6,11,NA,4,4,1,5,19,114,13,NA,5,4,NA,NA,NA,NA,6,NA,NA,NA,NA,3,2,NA,NA,6,5,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
3553,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3641,NA,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6,3,2,4,NA,1,23,91,6,NA,1,1,NA,NA,NA,NA,7,NA,1,NA,2,1,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3847,NA,NA,280,NA,NA,NA,1,NA,1,NA,NA,4,2,10,NA,4,4,1,4,11,26,11,NA,5,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4057,NA,NA,300,NA,NA,2,5,NA,7,NA,NA,1,3,6,2,7,8,1,9,9,6,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4267,NA,NA,320,NA,NA,NA,1,NA,3,NA,NA,8,11,20,2,2,5,5,15,32,28,22,NA,1,2,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4477,NA,NA,340,NA,NA,NA,6,NA,1,NA,NA,5,13,61,2,3,15,6,2,43,84,28,NA,17,1,NA,NA,NA,NA,3,NA,NA,NA,2,2,3,NA,1,4,6,NA,1,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4687,NA,NA,360,NA,NA,NA,12,NA,NA,NA,2,6,13,107,2,6,11,NA,2,26,66,56,NA,14,5,NA,NA,NA,1,5,NA,1,NA,5,7,NA,NA,NA,4,8,5,1,NA,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,1,1,2,5,NA,NA,NA,NA
4897,NA,NA,380,1,NA,NA,8,NA,1,NA,3,5,10,88,1,4,10,2,2,18,30,31,NA,14,2,NA,NA,NA,NA,3,1,NA,1,6,2,NA,NA,1,6,NA,1,1,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,NA
5107,NA,NA,400,NA,NA,NA,7,NA,2,NA,NA,3,9,31,6,1,7,2,1,6,32,11,NA,13,2,NA,NA,NA,1,1,1,NA,NA,NA,4,NA,NA,1,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5317,NA,NA,420,NA,NA,NA,3,NA,4,1,3,17,53,63,7,NA,5,3,5,21,15,13,NA,NA,29,NA,NA,NA,1,4,NA,NA,NA,12,6,NA,NA,NA,4,2,NA,1,1,NA,NA,7,NA,NA,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,33,NA,NA,NA,NA,NA
5527,NA,NA,440,NA,NA,NA,1,2,1,1,NA,11,24,73,1,2,NA,4,2,14,13,36,NA,9,50,NA,NA,NA,2,4,NA,NA,NA,16,7,NA,NA,NA,1,6,1,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,36,1,NA,NA,NA
5737,NA,NA,460,NA,NA,NA,1,NA,3,NA,NA,1,1,11,4,1,NA,2,7,8,3,2,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6157,NA,NA,500,NA,NA,NA,5,NA,NA,1,NA,13,23,14,23,5,6,7,13,32,130,13,NA,5,12,NA,NA,NA,NA,4,NA,NA,NA,43,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6367,NA,NA,520,NA,NA,NA,11,NA,9,2,2,12,31,41,22,8,19,5,63,55,53,24,NA,13,10,11,NA,NA,1,6,NA,NA,NA,35,12,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,13,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
6577,NA,NA,540,NA,NA,NA,1,NA,3,1,NA,5,14,31,19,9,18,4,6,24,42,12,NA,20,14,11,NA,NA,7,9,NA,NA,NA,54,9,NA,NA,NA,4,NA,NA,2,NA,NA,NA,19,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
6787,NA,NA,560,NA,NA,NA,1,NA,4,NA,9,12,4,51,13,8,14,5,8,11,71,3,NA,27,5,14,NA,NA,5,4,2,NA,NA,54,2,NA,NA,1,15,NA,NA,2,NA,NA,4,16,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA
6997,NA,NA,580,NA,NA,NA,4,NA,4,NA,NA,21,10,47,12,3,4,1,5,28,31,7,NA,12,20,7,NA,2,NA,1,NA,NA,NA,35,5,NA,NA,NA,2,2,NA,NA,NA,NA,NA,16,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7207,NA,NA,600,NA,NA,NA,1,NA,3,NA,NA,NA,4,5,2,1,2,1,5,5,5,4,NA,4,NA,3,NA,NA,NA,4,NA,NA,NA,6,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7417,NA,NA,620,NA,2,1,9,NA,4,NA,5,8,38,57,8,4,42,6,14,18,37,7,NA,16,4,12,NA,NA,NA,5,NA,NA,NA,105,5,NA,NA,NA,3,3,2,4,NA,NA,1,12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA
7627,NA,NA,640,NA,NA,NA,9,NA,8,NA,NA,19,44,68,6,4,19,7,2,26,41,16,NA,5,3,NA,NA,NA,NA,2,NA,NA,NA,20,8,NA,NA,1,5,1,NA,NA,NA,4,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,2
7837,NA,NA,660,NA,NA,NA,4,NA,1,NA,NA,5,4,2,NA,NA,NA,1,1,5,9,6,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8047,NA,NA,680,NA,NA,NA,NA,NA,1,NA,NA,4,6,6,1,2,1,NA,3,5,9,5,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8215,NA,NA,696,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,4,4,3,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
