"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Castanea","Geum-type","Cichorioideae","Sagittaria","Xanthium","Pistacia","Ranunculus","Plantago major-type","Papaver","Convolvulus","Capsella-type","Centaurea solstitialis-type","Ephedra distachya-type","Ephedra fragilis-type","Paliurus","Betula","Nuphar","Asteroideae","Persicaria maculosa-type","Poaceae (Cerealia-type)","Polypodium","Caryophyllaceae","Nymphaea","Ulmus","Populus","Juniperus","Nymphoides","Olea","Pteridium","Juglans","Alisma","Myriophyllum alterniflorum","Polygonum aviculare-type","Tilia","Plantago lanceolata-type","Artemisia herba-alba-type","Poterium sanguisorba","Apiaceae","Isoëtes","Abies","Ericaceae","Amaranthaceae","Rumex acetosa-type","Dryopteris-type","Alnus","Fagus","Fraxinus ornus","Sparganium-type","Brassica-type","Carpinus betulus","Corylus","Unknown","Quercus ilex","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Poaceae","Myriophyllum spicatum/M. verticillatum","Quercus robur-type","Acer","Liliaceae","Ranunculaceae","Rosaceae","Helianthemum","Lotus-type","Hypericum perforatum-type","Thalictrum","Galium-type","Matricaria-type","Fallopia convolvulus-type","Platanus","Vitis","Lysimachia","Malva","Butomus umbellatus","Trifolium-type","Plantago media-type","Fraxinus excelsior","Ranunculus repens-type","Thymus/Mentha","Ranunculus sect. Batrachium-type","Crataegus-type","Typha latifolia","Stachys-type","Phillyrea angustifolia","Ophioglossum","Lythrum","Plantago undiff.","Fabaceae","Rumex hydrolapathum","Menyanthes trifoliata","Potamogeton","Humulus/Cannabis","Mercurialis","Clematis-type","Artemisia vulgaris-type","Colchicum","Calligonum","Equisetum","Cornus","Ranunculus sceleratus-type","Persicaria amphibia","Hedera","Centaurea cyanus-type","Asphodelus albus-type","Scilla-type","Cladium mariscus","Muscari","Scorzonera-type","Ranunculus circinatus","Helleborus","Viburnum-type","Oleaceae","Campanula-type","Plantago coronopus-type","Plantago maritima-type","Abutilon","Centaurea scabiosa-type","Bupleurum-type","Centaurea jacea-type","Potentilla-type","Pediastrum duplex","Rhinanthus-type","Teucrium","Scrophularia/Verbascum","Onobrychis-type","Salix","Ranunculus acris","Pediastrum divergens","Urtica","Pediastrum longicorne","Valeriana","Knautia","Allium","Solanum dulcamara","Boraginaceae","Euphorbia","Trifolium pratense","Geraniaceae","Centaurea undiff.","Salvinia","Thelypteris palustris","Monactinus simplex","Pseudopediastrum kawraiskyi","Filipendula","Ilex","Buxus","Sphagnum","Cistaceae","Taxus","Pseudopediastrum brevicorne","Lemna","Geranium","Hippophaë","Caltha","cf. Lycopodium","Armeria/Limonium","Saxifraga rotundifolia","Cirsium/Gundelia","Senecio-type","Scabiosa","Noaea-type","Lonicera","Linum","Utricularia","Hippuris","Aquilegia-type","Epilobium","Azolla","Erodium","Herniaria-type","Sambucus nigra-type","Fraxinus","Juniperus sabina","Myosotis","Adonis","Nigella","Lamiaceae","Dipsacoideae","Leontice leontopetalum","Saxifraga oppositifolia","Dipsacus-type","Genista-type","Spergularia-type","Rhamnaceae","Botrychium","Picea","Stratiotes","Symphytum-type","Echinops","Acorus calamus","Cistus","Viscum","Succisa","Brassicaceae","Rumex patientia var. kurdicus","Delphinium-type","Rhus","Vicia-type","Matthiola"
7136,7369,6841,195,21,NA,NA,4,NA,NA,4,NA,NA,NA,NA,6,1,NA,NA,NA,1,1,10,1,4,NA,2,31,11,NA,3,NA,NA,6,NA,6,NA,2,9,1,NA,1,5,NA,8,NA,15,5,4,3,1,NA,8,2,4,19,15,NA,120,25,19,218,29,197,NA,1,NA,NA,NA,NA,1,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,2,3,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7687,7922,7370,205,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,13,NA,14,NA,NA,13,21,NA,7,NA,NA,16,NA,NA,1,NA,93,NA,12,18,12,NA,2,2,11,NA,18,21,1,NA,7,2,NA,43,138,NA,191,59,2,443,61,167,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8003,8234,7713,210,337,NA,NA,1,NA,NA,5,NA,2,NA,NA,2,5,NA,NA,NA,NA,NA,9,1,17,NA,1,4,33,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,5,22,6,NA,3,NA,17,2,1,9,1,NA,5,4,NA,21,43,NA,16,55,3,457,32,250,10,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8634,8864,8376,220,98,NA,NA,12,NA,NA,23,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,8,1,16,NA,3,16,31,NA,9,NA,NA,NA,NA,NA,NA,1,37,NA,10,23,10,NA,5,1,24,2,1,19,NA,1,4,4,1,48,55,NA,18,46,1,819,13,461,3,NA,3,1,NA,NA,NA,NA,5,14,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9265,9504,9001,230,14,NA,NA,10,NA,NA,17,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,7,1,15,NA,1,14,12,NA,3,NA,NA,4,NA,1,NA,1,30,NA,7,18,9,1,3,NA,37,4,1,6,1,NA,4,NA,NA,29,24,1,94,33,3,422,28,432,3,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10212,10492,9887,245,124,1,NA,7,NA,NA,23,1,NA,1,NA,9,NA,1,2,NA,3,NA,7,3,18,NA,NA,14,26,NA,9,NA,NA,NA,NA,NA,16,5,18,4,12,31,13,NA,3,NA,74,31,2,14,3,NA,9,11,2,25,105,3,126,52,7,696,95,620,1,NA,NA,1,NA,NA,NA,4,3,16,4,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10528,10822,10172,250,40,NA,NA,7,NA,NA,64,NA,1,NA,NA,2,1,NA,NA,NA,10,NA,12,1,21,NA,1,9,19,NA,10,NA,NA,NA,NA,1,NA,3,5,NA,14,35,15,NA,1,1,74,57,4,13,NA,NA,28,6,2,18,24,1,38,23,1,538,44,547,2,NA,NA,NA,NA,NA,NA,3,4,12,NA,NA,3,NA,NA,1,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11159,11577,10743,260,21,NA,NA,14,NA,NA,10,1,NA,NA,NA,1,7,4,6,NA,8,NA,19,7,3,NA,5,7,17,NA,13,NA,NA,1,NA,2,NA,8,6,2,43,5,23,NA,2,NA,50,62,4,12,1,2,46,3,1,14,14,1,77,31,2,604,34,389,2,NA,NA,NA,NA,NA,NA,2,7,8,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11790,12286,11316,270,15,NA,NA,2,NA,NA,3,NA,NA,NA,NA,1,1,5,3,NA,2,NA,4,NA,NA,NA,NA,11,3,NA,5,NA,NA,NA,NA,1,NA,5,NA,NA,40,1,13,NA,3,NA,45,10,NA,3,NA,NA,100,5,NA,2,26,1,31,35,NA,307,7,209,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12334,12610,12032,280,13,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,1,1,1,NA,NA,NA,2,NA,1,NA,6,1,NA,NA,2,NA,NA,1,NA,4,NA,4,NA,NA,58,NA,3,NA,13,NA,37,NA,7,4,NA,NA,100,3,1,4,17,NA,49,56,2,244,20,106,1,NA,NA,NA,NA,NA,1,2,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12847,13181,12399,290,115,NA,NA,8,NA,NA,2,NA,NA,NA,NA,1,6,3,5,NA,8,NA,19,1,3,NA,3,2,6,NA,5,NA,NA,2,NA,3,NA,3,NA,NA,143,1,15,NA,41,NA,122,3,33,7,NA,NA,48,15,13,2,27,NA,106,198,6,321,15,135,2,NA,2,NA,NA,NA,NA,6,14,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,13,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13583,13913,13150,305,2,NA,NA,6,NA,NA,3,4,NA,NA,NA,3,5,4,2,NA,6,1,11,NA,NA,NA,5,1,11,NA,NA,NA,NA,1,NA,2,3,6,1,2,140,NA,12,NA,67,1,65,3,20,2,1,NA,16,1,11,5,34,NA,116,247,7,251,23,112,NA,NA,NA,NA,NA,NA,NA,2,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14074,14407,13650,315,59,1,NA,6,NA,NA,NA,NA,NA,NA,NA,4,6,1,2,NA,14,1,16,1,4,NA,8,3,3,NA,NA,NA,NA,NA,NA,NA,1,16,1,12,238,1,20,NA,24,NA,129,3,41,1,5,NA,20,23,14,10,45,NA,77,171,3,604,45,124,2,NA,4,1,2,NA,NA,7,34,17,15,NA,NA,NA,NA,NA,1,3,NA,24,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,5,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14565,14901,14148,325,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA,11,1,10,2,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,95,NA,4,NA,22,NA,51,4,17,2,1,NA,10,4,5,3,6,NA,60,87,7,240,21,55,NA,NA,NA,NA,NA,NA,NA,4,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,8,5,NA,NA,8,1,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14810,15148,14396,330,24,NA,NA,6,NA,NA,NA,7,1,NA,NA,4,2,NA,1,NA,3,NA,6,1,5,NA,6,1,2,NA,2,NA,NA,1,NA,1,2,5,NA,6,39,NA,4,1,16,NA,48,3,20,2,1,NA,6,4,10,2,6,NA,68,56,3,197,14,55,1,NA,2,NA,1,NA,NA,8,10,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,1,NA,NA,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15105,15445,14694,336,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,7,1,2,1,NA,1,NA,11,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5,71,NA,8,NA,30,NA,49,8,13,3,4,NA,2,3,4,1,5,NA,63,125,2,183,13,71,NA,NA,NA,NA,NA,NA,NA,6,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,2,NA,NA,NA,NA,4,NA,2,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,6,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15547,15891,15140,345,34,NA,NA,8,NA,NA,NA,3,NA,NA,NA,8,5,3,5,NA,12,NA,21,2,4,NA,9,1,4,NA,2,NA,NA,NA,1,NA,7,9,3,8,133,NA,8,NA,62,NA,55,1,85,3,9,NA,11,2,11,2,19,1,224,312,3,268,32,94,6,1,3,NA,NA,NA,NA,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,2,NA,NA,NA,23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,5,3,NA,NA,NA,1,12,NA,NA,NA,NA,16,19,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,1,NA,NA,NA,28,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15792,16138,15386,350,6,NA,NA,3,NA,NA,1,NA,NA,NA,NA,5,3,3,1,NA,18,NA,14,1,5,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,14,2,4,147,NA,11,NA,38,NA,115,2,31,2,7,NA,12,3,8,2,13,NA,134,197,2,373,13,72,1,NA,4,NA,NA,NA,NA,8,21,9,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,7,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16234,16585,15829,359,13,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,5,6,NA,3,NA,8,NA,9,1,3,NA,6,1,2,NA,1,NA,NA,NA,NA,NA,NA,5,1,2,101,1,11,NA,32,NA,61,4,30,3,1,NA,2,1,7,4,12,NA,103,141,3,293,21,68,2,NA,NA,NA,NA,NA,NA,10,16,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,1,NA,NA,NA,NA,20,NA,NA,NA,12,NA,NA,NA,29,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16774,17135,16371,370,69,NA,NA,8,NA,NA,NA,7,NA,NA,2,NA,6,3,2,NA,6,NA,8,3,1,1,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,28,2,10,130,NA,13,NA,17,NA,52,2,17,1,7,NA,12,4,2,4,34,1,171,208,1,459,34,94,NA,NA,NA,NA,NA,NA,NA,10,24,27,23,NA,NA,NA,NA,NA,NA,2,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,41,NA,NA,NA,1,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17265,17634,16862,380,34,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,3,7,1,2,NA,18,NA,19,2,2,NA,6,NA,4,NA,1,NA,NA,1,NA,1,NA,12,1,12,93,NA,13,NA,5,NA,41,2,19,1,2,NA,6,7,6,3,8,NA,53,28,1,172,15,38,1,NA,NA,NA,NA,NA,1,8,11,9,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,10,NA,2,NA,NA,1,NA,9,NA,NA,NA,3,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17756,18134,17350,390,296,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,23,8,NA,4,NA,12,NA,20,2,3,NA,6,NA,5,NA,1,NA,NA,NA,NA,NA,NA,4,NA,3,71,NA,5,NA,11,NA,79,4,6,1,3,NA,37,6,NA,1,50,1,208,91,NA,474,48,51,NA,1,4,NA,NA,NA,NA,7,14,22,NA,NA,NA,NA,NA,1,NA,1,NA,2,2,2,NA,1,NA,NA,NA,NA,12,3,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,76,NA,3,NA,NA,NA,NA,NA,NA,32,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
