"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pseudopediastrum boryanum","Fagus","Polygonum aviculare-type","Apiaceae","Lysimachia","Galium-type","Olea","Delphinium-type","Cirsium/Gundelia","Matricaria-type","Myriophyllum spicatum/M. verticillatum","Unknown","Thelypteris palustris","Artemisia","Nymphaea","Juniperus","Centaurea cyanus-type","Maianthemum","Capsella-type","Quercus pubescens-type","Rumex acetosa-type","Quercus coccifera-type","Anthericum-type","Caryophyllaceae","Poaceae (Cerealia-type)","Brassica-type","Dryopteris-type","Butomus umbellatus","Ranunculus repens-type","Asteroideae","Cedrus","Poaceae","Cichorioideae","Centaurea solstitialis-type","Sparganium-type","Amaranthaceae","Pinus","Cyperaceae","Carya","Ulmus","Juglans","Plantago lanceolata-type","Ephedra fragilis-type","Turgenia-type","Abies","Potentilla-type","Alnus","Fabaceae","Malva","Betula","Picea","Iris","Centaurea scabiosa-type","Ostrya/Carpinus orientalis","Pteris","Lomelosia rotata-type","Convolvulus","Elaeagnus","Euphorbia","Utricularia","Equisetum","Helianthemum","Ephedra distachya-type","Pteridium","Corylus","Ericaceae","Salix","Typha latifolia","Linum","Noaea-type","Arctium/Jurinea","Cheilanthes","Erodium","Rhus","Tilia","Vitis","Hypericum perforatum-type","Armeria/Limonium","Fraxinus ornus","Geranium","Senecio-type","Asphodelus fistulosus-type","Carthamus","Cornus sanguinea","Thymus/Mentha","Asphodeline","Anemone","Valerianella","Polypodium","Dipsacus-type","Hibiscus","Phillyrea","Aesculus","Acer","Humulus/Cannabis","Thalictrum","Myrica","Urtica","Asparagus-type","Taxus","Nigella","Isoëtes","Myriophyllum alterniflorum","Chrozophora","Carpinus betulus","Onopordum-type","Rumex undiff.","Sanguisorba-type","Spergula","Jasione-type","Botrychium","Knautia","Rumex hydrolapathum","Platanus","Populus","Vicia-type","Datisca","Sphagnum","Fagopyrum","Solanum dulcamara"
2368,2533,2185,160,NA,NA,1,4,NA,NA,NA,NA,1,1,1,1,NA,15,NA,NA,NA,NA,NA,2,NA,5,NA,3,4,2,13,NA,5,32,115,19,54,45,32,25,251,129,2,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2516,2685,2326,170,NA,NA,NA,3,NA,2,NA,NA,3,1,4,NA,NA,14,NA,1,NA,NA,NA,1,NA,1,NA,10,8,NA,21,NA,1,68,89,24,61,71,138,69,307,229,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2804,3006,2587,190,NA,NA,2,1,NA,4,NA,NA,NA,1,8,NA,NA,2,NA,2,2,NA,NA,1,NA,NA,NA,NA,3,1,8,NA,NA,29,19,19,47,36,224,102,116,88,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3100,3349,2838,210,NA,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,29,NA,1,NA,NA,NA,1,NA,2,NA,3,3,1,5,NA,NA,115,42,46,70,150,93,89,203,101,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3396,3699,3082,230,NA,NA,1,6,NA,2,NA,NA,NA,1,1,NA,NA,54,NA,4,NA,NA,1,3,1,1,NA,1,5,NA,3,NA,NA,272,8,73,92,593,7,132,117,11,NA,1,NA,NA,1,NA,NA,1,4,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3693,4052,3324,250,NA,NA,NA,12,NA,1,1,NA,NA,NA,NA,NA,NA,60,NA,3,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,120,12,54,38,459,4,196,32,4,NA,NA,1,NA,NA,NA,1,NA,1,5,NA,NA,NA,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3989,4408,3564,270,NA,NA,4,5,NA,NA,NA,NA,1,2,NA,1,NA,60,NA,1,NA,NA,NA,3,2,2,NA,4,9,1,1,NA,NA,345,17,94,48,470,7,180,93,8,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,1,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4285,4764,3802,290,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,1,1,NA,NA,4,NA,1,NA,NA,3,NA,NA,NA,NA,245,7,45,22,217,7,160,10,3,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4581,5119,4039,310,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,2,NA,215,NA,NA,NA,NA,NA,2,2,4,NA,2,9,NA,2,1,2,545,15,52,44,209,14,272,75,29,1,3,NA,1,1,NA,NA,NA,2,NA,NA,2,NA,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4729,5296,4156,320,NA,NA,2,6,NA,1,NA,NA,1,1,NA,1,NA,53,NA,1,NA,NA,NA,3,NA,2,NA,NA,12,NA,1,NA,NA,280,26,18,30,211,4,116,47,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,1,NA,2,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4877,5474,4274,330,NA,NA,4,9,NA,20,2,NA,3,5,NA,1,1,61,NA,4,2,NA,NA,4,5,6,NA,2,10,1,2,NA,NA,19,23,80,27,38,8,66,108,16,1,1,2,1,1,NA,2,NA,2,1,NA,2,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,1,NA,7,NA,NA,6,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5025,5652,4391,340,NA,NA,7,8,NA,2,NA,NA,NA,NA,1,2,NA,38,NA,NA,2,NA,NA,3,1,6,NA,NA,7,NA,5,NA,2,169,32,57,25,105,14,40,65,29,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5173,5829,4508,350,NA,NA,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,4,NA,1,NA,NA,188,23,47,27,106,4,76,45,8,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5469,6185,4742,370,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,1,NA,NA,NA,NA,3,NA,1,3,NA,1,NA,1,150,16,27,23,90,3,75,28,1,2,NA,NA,NA,NA,NA,1,NA,5,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
5617,6363,4859,380,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,1,NA,NA,NA,1,NA,3,NA,NA,3,1,1,NA,NA,71,61,37,20,51,NA,28,72,2,2,1,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
5765,6541,4976,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,8,51,3,25,3,1,5,86,1,6,NA,NA,2,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
5913,6719,5093,400,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,2,48,5,15,3,NA,7,21,1,2,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1
