"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Typha/Sparganium","Ranunculaceae","Cistus","Cedrus","Quercus (deciduous)","Cyperaceae","Juniperus","Poaceae (Cerealia-type)","Pistacia","Poaceae","Valerianoideae","Scabiosa","Quercus (evergreen)","Helianthemum","Ephedra","Artemisia","Asteraceae","Amaranthaceae","Pinus","Apiaceae","Liliaceae","Fabaceae","Olea","Solanaceae","Rhamnus","Alismataceae","Caryophyllaceae","Ulmus","Centaurea","Corylus","Plantago","Brassicaceae","Fraxinus","Populus","Alnus","Carpinus betulus","Lamiaceae","Ericaceae","Juglans","Malvaceae"
2864.468,NA,NA,560,4,2,NA,5,5,2,2,3,9,6,2,6,4,4,22,75,38,100,36,1,7,NA,2,NA,NA,3,4,NA,NA,NA,1,1,1,1,NA,NA,2,NA,NA,NA
2943.106,NA,NA,567,6,7,3,8,9,7,5,12,12,1,NA,2,1,NA,8,35,24,82,53,NA,4,3,7,NA,NA,9,1,NA,NA,NA,NA,4,2,6,2,NA,NA,NA,NA,NA
2976.809,NA,NA,570,NA,2,3,6,5,2,7,10,16,6,NA,5,5,4,17,60,20,91,55,NA,2,3,10,1,1,1,2,NA,NA,NA,NA,1,NA,7,1,NA,NA,NA,NA,NA
3201.489,NA,NA,590,3,4,2,6,4,4,4,3,11,11,5,6,2,6,22,88,40,100,34,2,1,1,2,1,1,1,6,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
3257.66,NA,NA,595,8,2,5,11,8,14,6,32,30,24,NA,NA,15,1,9,48,20,87,55,NA,2,1,3,1,1,2,3,2,1,NA,2,2,7,3,NA,NA,NA,NA,NA,NA
3313.83,NA,NA,600,NA,7,NA,2,3,11,NA,25,31,5,NA,1,3,NA,8,16,11,86,51,2,4,3,8,NA,1,5,2,2,NA,NA,NA,2,6,4,NA,NA,NA,1,NA,NA
3370,NA,NA,605,3,NA,2,20,1,19,NA,23,41,8,1,3,3,2,4,12,28,70,66,NA,3,NA,2,1,1,8,6,2,1,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA
3373.953,NA,NA,610,NA,5,NA,6,8,13,4,12,42,10,NA,2,6,NA,NA,9,20,84,46,NA,5,2,8,2,NA,4,2,3,3,NA,NA,NA,1,2,1,NA,NA,1,NA,NA
3377.907,NA,NA,615,6,2,NA,5,11,6,5,14,44,11,NA,1,3,1,1,5,9,64,81,NA,2,1,12,1,NA,5,3,7,5,3,NA,2,3,1,NA,NA,NA,NA,NA,NA
3381.86,NA,NA,620,NA,6,NA,3,13,8,1,12,52,6,NA,NA,2,NA,NA,3,8,67,81,1,8,4,19,NA,NA,2,1,6,1,1,NA,NA,1,4,NA,1,NA,NA,NA,NA
3385.814,NA,NA,625,4,2,NA,6,6,14,4,11,43,8,NA,NA,7,2,NA,3,20,61,66,2,4,3,11,NA,NA,5,3,5,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA
3389.767,NA,NA,630,3,4,1,8,3,15,10,35,47,4,1,NA,2,NA,NA,8,14,35,98,NA,NA,NA,15,NA,NA,5,4,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,1
3397.674,NA,NA,640,9,6,NA,4,10,10,NA,12,52,9,NA,NA,6,NA,NA,8,14,56,71,NA,NA,NA,30,NA,1,7,5,7,NA,NA,1,3,5,2,NA,2,2,NA,NA,NA
3413.488,NA,NA,660,8,2,1,7,15,8,7,16,57,7,NA,NA,2,NA,NA,9,33,59,64,NA,3,1,11,NA,NA,6,3,2,NA,1,NA,1,4,NA,NA,1,1,NA,NA,NA
3421.395,NA,NA,670,NA,6,NA,7,6,12,3,17,78,7,NA,2,3,NA,NA,9,12,63,84,NA,5,2,12,1,1,3,1,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
3437.209,NA,NA,690,3,3,NA,3,6,10,1,10,73,5,2,1,7,NA,NA,5,15,46,57,NA,4,3,23,2,1,6,NA,8,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA
3445.116,NA,NA,700,1,4,1,5,8,16,4,8,76,9,NA,NA,3,NA,NA,4,15,51,76,NA,4,2,28,1,1,3,3,6,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA
3453.023,NA,NA,710,3,3,NA,3,1,15,1,22,64,7,NA,3,1,NA,NA,9,18,58,59,2,5,3,35,1,2,13,1,8,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
3460.93,NA,NA,720,8,2,NA,38,1,16,3,28,66,26,2,2,NA,2,NA,NA,14,23,62,NA,10,NA,5,NA,NA,7,2,3,4,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1
3468.837,NA,NA,730,4,4,NA,8,9,18,3,13,69,4,NA,NA,1,NA,1,6,14,51,64,NA,1,3,15,NA,NA,7,NA,3,1,NA,NA,1,1,NA,2,2,1,NA,NA,NA
3484.651,NA,NA,750,4,10,NA,1,16,26,8,15,101,4,1,NA,6,NA,NA,11,23,44,90,2,1,2,34,NA,NA,3,5,5,NA,1,2,1,NA,5,NA,NA,1,1,NA,NA
3500.465,NA,NA,770,NA,2,NA,8,17,10,4,16,80,3,NA,NA,8,NA,1,2,10,27,72,NA,4,4,24,NA,1,6,1,4,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA
3508.372,NA,NA,780,1,6,NA,6,6,9,5,11,94,10,NA,1,3,NA,5,3,10,19,101,1,1,NA,11,NA,1,2,3,4,1,NA,NA,1,NA,2,1,NA,1,NA,NA,NA
3540,NA,NA,820,2,8,NA,5,9,16,4,5,96,4,NA,1,1,NA,NA,4,7,34,66,1,1,NA,21,NA,NA,3,NA,9,NA,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA
3547.907,NA,NA,830,NA,6,NA,8,10,30,4,8,131,4,NA,NA,2,NA,NA,4,7,19,37,NA,3,1,17,NA,NA,4,NA,4,4,1,NA,2,5,3,2,2,NA,NA,NA,NA
