"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Juglans","Plantago","Typha","Polypodium","Corylus","Tsuga","Botryococcus","Cyperaceae","Ericaceae","Asteraceae","Abies","Algae (Inaperturate spC1)","Amaranthaceae","Quercus (evergreen)","Quercus (deciduous)","Poaceae","Pinus","Olea","Anthoceris/Isotoma","Alnus","Ephedra","Picea","Plumbaginaceae","Cistaceae","Sparganium","Helianthemum","Ostrya/Carpinus orientalis","Ranunculaceae","Cupressaceae","Fungi","Dinoflagellata","Celtis","Sanguisorba","Centaurea","Brassicaceae","Sigmopollis","Knautia","Acer","Ulmus","Algae","Lythrum","Euphorbiaceae","Indeterminable","Fagus","Rumex","Thalictrum","Hippophaë","Zelkova","Betula","Algae (Inaperturate spC)","Liliaceae","Valeriana","Cedrus","Sphagnum","Lycopodium","Unknown (monolete)","Araliaceae","Malvaceae","Fraxinus","Pistacia","Osmundaceae","Anogramma","Polygonaceae","Asparagales","Unknown","Dryopteris","Turgenia","Linum","Erodium","Dipsacales","Apiaceae","Alismataceae","Centranthus","Cathaya","Riccia","Scabiosa","Armeria","Unknown (monolete, psilate)","Lamiaceae","Rosaceae","Castanea","Sagittaria","Fabaceae","Sideritis","Lemna","Myrica","Arceuthobium","Carya","Geranium","Rhamnus","Cryptogramma","Buxus","Selaginella","Carpinus betulus","Eucommia","Parrotia","Euphrasia","Parthenocissus","Solanaceae","Daphne","Iridaceae/Liliaceae","Potamogeton","Phlomis","Polygalaceae","Salix","Pterocarya","Unknown (trilete)","Hamamelidaceae","Viscum album","Scrophularia","Unknown (trilete, psilate)","Cicatricosisporites","Filipendula","Populus","Ilex aquifolium","Saxifraga","Coriaria","Boraginaceae","Epilobium","Rubiaceae","Tamarix","Drosera","Asplenium","Verbenaceae"
NA,NA,NA,111.44,180,1,1,NA,NA,NA,NA,NA,1,8,NA,19,2,NA,24,3,6,40,37,3,NA,NA,NA,3,NA,1,NA,NA,NA,2,6,8,12,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,83.54,44,NA,NA,NA,1,NA,NA,2,NA,3,4,14,13,NA,27,37,45,27,487,3,NA,NA,2,64,1,1,2,1,2,NA,NA,2,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,63.62,70,4,NA,3,2,NA,NA,NA,NA,12,NA,14,2,NA,42,4,3,104,495,NA,NA,NA,27,6,3,NA,NA,3,NA,NA,3,8,4,1,NA,NA,1,9,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,98.85,132,4,3,4,7,NA,NA,NA,2,14,NA,45,6,2,23,12,10,25,372,NA,NA,NA,NA,6,1,NA,1,NA,NA,NA,8,16,2,NA,NA,2,5,22,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,69.14,40,1,NA,2,NA,NA,NA,NA,NA,8,16,47,7,7,59,27,31,27,505,NA,NA,1,9,3,2,NA,NA,1,NA,2,21,1,76,1,1,NA,NA,NA,NA,NA,2,NA,NA,1,4,NA,NA,NA,NA,NA,2,29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,26.2,20,1,NA,4,2,NA,NA,NA,NA,3,2,29,8,NA,105,40,26,65,87,1,NA,NA,4,4,NA,3,NA,1,2,1,4,2,95,2,1,NA,NA,42,NA,NA,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,109.36,38,1,NA,4,NA,NA,NA,NA,6,2,23,74,10,NA,31,40,34,55,672,2,NA,2,NA,18,1,5,NA,7,4,1,NA,1,NA,3,1,3,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,82.82,40,1,NA,2,NA,NA,NA,1,1,3,2,17,15,NA,22,78,18,59,900,2,NA,NA,1,76,NA,NA,3,NA,NA,1,5,1,NA,2,NA,1,NA,25,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,124.88,43,2,1,3,NA,NA,NA,NA,4752,4,12,20,6,NA,37,22,30,102,264,NA,NA,NA,NA,27,4,1,NA,4,NA,NA,4,14,40,3,2,2,NA,365,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,64.01,86,2,NA,1,2,NA,1,NA,3,12,1,17,2,8,52,12,9,51,225,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,7,12,319,2,NA,NA,NA,3,NA,NA,1,4,NA,1,1,NA,1,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,92.24,45,2,NA,2,NA,NA,2,NA,12,1,14,36,12,NA,32,36,24,70,377,4,NA,2,NA,7,NA,3,1,NA,NA,2,5,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,79.08,105,3,NA,NA,1,NA,NA,1,NA,6,1,34,3,NA,55,22,11,107,177,1,NA,NA,38,8,1,2,NA,5,NA,NA,3,10,3,2,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,140.05,47,2,1,NA,1,NA,NA,NA,11,2,14,97,2,NA,20,13,18,55,122,1,NA,NA,NA,21,NA,NA,4,NA,NA,NA,NA,6,16,NA,NA,8,NA,2,NA,NA,2,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,49.08,69,2,NA,2,1,NA,NA,NA,6,14,3,32,2,NA,21,32,16,80,58,2,NA,NA,5,NA,2,NA,NA,NA,2,4,12,4,9,NA,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,94.44,61,NA,NA,6,NA,NA,NA,1,3,3,2,15,6,NA,10,64,35,47,718,4,NA,NA,NA,33,NA,2,NA,NA,NA,NA,3,NA,NA,3,NA,1,1,20,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,75.45,121,NA,1,NA,NA,NA,NA,1,3,10,1,27,2,NA,34,5,6,76,167,NA,NA,NA,11,5,4,1,NA,NA,NA,1,5,5,NA,NA,NA,NA,1,10,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,81.32,51,1,NA,7,NA,NA,2,NA,NA,8,8,21,2,NA,66,30,44,50,330,2,NA,2,6,2,1,4,NA,NA,NA,NA,14,8,15,4,NA,1,NA,1116,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,46.54,36,4,NA,NA,8,NA,NA,NA,NA,11,3,11,25,NA,39,85,56,90,200,7,NA,NA,1,4,NA,NA,NA,NA,2,5,10,3,2,NA,NA,2,NA,36,NA,NA,2,1,NA,NA,2,2,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,119.83,139,NA,2,1,3,NA,NA,1,1116,13,NA,29,8,6,15,17,7,51,248,1,NA,NA,NA,12,6,NA,NA,NA,NA,2,11,2,249,NA,NA,NA,NA,2,NA,NA,3,1,NA,4,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,135.51,74,1,NA,2,NA,NA,NA,NA,9,NA,5,20,1,NA,36,40,41,31,202,NA,NA,NA,NA,23,4,3,NA,1,NA,NA,2,6,26,1,NA,3,NA,45,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30.07,139,1,4,2,NA,NA,NA,NA,6,2,3,33,1,18,50,1,5,37,147,5,NA,NA,24,1,2,2,NA,NA,NA,2,15,6,NA,1,NA,1,NA,4,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,51.6,101,NA,NA,1,NA,NA,NA,NA,80,32,1,36,NA,NA,27,3,5,66,248,NA,NA,NA,19,10,NA,1,NA,NA,1,NA,17,4,200,2,1,NA,2,9,1,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,126.48,48,2,NA,3,NA,NA,NA,NA,NA,6,2,35,8,NA,31,36,29,117,281,1,NA,NA,NA,11,2,NA,NA,1,NA,1,10,5,76,1,NA,NA,NA,143,NA,NA,2,5,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,25.05,74,NA,NA,2,1,NA,NA,NA,NA,9,2,23,5,30,45,15,12,96,350,1,NA,NA,1,5,2,NA,NA,NA,NA,2,10,10,58,3,NA,NA,1,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,54.19,153,3,1,NA,2,NA,NA,NA,131,13,NA,46,4,8,42,3,1,57,82,NA,NA,NA,16,4,1,NA,NA,NA,NA,1,4,9,27,1,NA,NA,6,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,142.18,37,NA,NA,6,NA,NA,2,NA,NA,1,2,25,3,NA,17,62,30,50,510,NA,NA,NA,NA,30,NA,2,NA,1,1,NA,8,5,7,NA,NA,2,NA,47,NA,NA,2,3,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,72.84,46,NA,3,4,4,NA,NA,NA,NA,11,24,31,NA,1,70,43,43,40,324,5,NA,NA,1,32,NA,1,NA,1,5,7,1,1,2,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,104.2,40,1,6,5,NA,NA,NA,1,2,1,26,26,13,1,45,15,24,73,914,NA,NA,NA,NA,5,NA,8,NA,NA,NA,1,2,2,563,NA,NA,1,1,NA,NA,NA,3,NA,NA,5,1,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,138.22,45,1,NA,3,1,NA,1,NA,NA,5,2,34,11,NA,11,59,27,80,202,1,NA,NA,NA,8,1,1,1,NA,NA,NA,5,4,2,2,NA,2,1,41,NA,NA,NA,NA,NA,1,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,109.6,21,1,3,3,1,NA,NA,NA,1,7,8,55,3,NA,23,21,26,120,805,NA,NA,NA,NA,7,NA,3,NA,1,NA,4,5,5,4,NA,1,1,NA,NA,NA,NA,4,5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120.52,80,NA,NA,NA,NA,NA,2,NA,617,NA,5,37,13,NA,26,50,26,33,864,NA,NA,NA,NA,35,7,2,1,NA,1,1,3,6,54,1,2,1,NA,70,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,105.35,38,1,1,4,NA,NA,NA,1,NA,7,2,26,21,NA,15,34,17,73,1789,NA,NA,NA,NA,34,1,1,NA,NA,NA,3,8,4,10,2,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,42.84,46,1,NA,NA,1,NA,1,NA,3,7,4,28,6,NA,62,42,48,53,102,1,NA,NA,2,1,NA,2,1,1,1,5,28,5,540,4,1,NA,NA,10,NA,NA,2,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,59.21,39,NA,2,3,5,NA,1,NA,3,6,4,46,15,5,51,20,59,89,360,NA,NA,NA,NA,2,4,3,NA,NA,NA,1,4,3,NA,NA,9,2,3,55,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,124.13,142,5,NA,4,NA,NA,NA,NA,78,2,9,38,5,NA,33,6,5,57,127,NA,NA,NA,NA,5,1,4,1,1,1,NA,NA,2,NA,6,1,1,NA,17,NA,NA,NA,1,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,81.7,53,1,NA,NA,NA,NA,NA,NA,1,2,5,32,23,3,72,56,8,32,425,NA,NA,NA,3,16,1,2,NA,1,NA,3,6,5,1,2,1,NA,NA,156,NA,NA,1,4,NA,1,NA,1,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
