"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Carya","Castanea","Corylus","Fagus","Juglans","Linum","Trifolium-type","Cirsium/Gundelia","Ephedra fragilis-type","Ranunculus repens-type","Maianthemum-type","Narthecium-type","Calligonum","Asperula-type","Haplophyllum","Malabaila","Cheilanthes-type","Abies","Salix","Juniperus","Centaurea cyanus-type","Matricaria-type","Quercus cerris-type","Dryopteris-type","Pteridium","Caryophyllaceae","Polygonum aviculare-type","Sparganium-type","Filipendula","Delphinium-type","Fabaceae","Apiaceae","Plantago lanceolata-type","Galium-type","Poaceae (Cerealia-type)","Senecio-type","Artemisia","Cyperaceae","Butomus umbellatus","Brassica-type","Poaceae","Amaranthaceae","Asteroideae","Cedrus","Centaurea solstitialis-type","Cichorioideae","Pinus","Alnus","Rosaceae","Anemone","Convolvulus","Capsella-type","Bunium-type","Echium-type","cf. Prosopis","Unknown","Ulmus","Olea","Potamogeton","Ephedra distachya-type","Lomelosia rotata-type","Geranium","Potentilla-type","Stachys-type","Plantago undiff.","Spergularia-type","Vitex agnus-castus","Myriophyllum spicatum/M. verticillatum","Gossypium","Taxus","Dipsacus-type","Knautia","Arctium/Jurinea","Quercus ilex-type","Cousinia","Thymus/Mentha","Pteris","Pseudopediastrum kawraiskyi","Thalictrum","Tilia","Onopordum-type","Malva","Botrychium","Erodium","Ericaceae","Euphorbia","Rhus","Centaurea scabiosa-type","Populus","Sambucus nigra-type","Noaea-type","Cornus","Phillyrea","Utricularia","Humulus/Cannabis","Valerianella","Quercus coccifera-type","Ranunculus sceleratus-type","Turgenia-type","Vitis","Carthamus","Typha latifolia","Hippophaë","Lycopodium","Anthoceros laevis-type","Picea","Elaeagnus","Lysimachia","Rumex acetosa-type","Sphagnum","Ostrya/Carpinus orientalis","Nigella","Callitriche","Epilobium","Urtica dioica-type","Asphodelus albus-type","Armeria/Limonium","Scabiosa columbaria-type","Roemeria","Campanula-type","Fraxinus excelsior","Ranunculus sect. Batrachium-type","cf. Equisetum","Polypodium","Helianthemum","Anthericum-type","Poterium sanguisorba","Alisma","Allium-type","Myriophyllum alterniflorum","Ferula-type","Isoëtes","Acer","Caltha-type","Araceae","Symphytum-type","Rhinanthus-type","Carduus-type","Fraxinus ornus","Glaucium","Pimpinella-type","Fagopyrum","Sisyrinchium","Hypericum perforatum-type","Aesculus","Valeriana","Hydrocotyle-type","Orobanche","Scorzonera-type","Anchusa/Pulmonaria","Nuphar","cf. Lycopodium clavatum","Scrophularia/Verbascum","Pseudopediastrum boryanum","Tamarix"
3422,3706,3146,180,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,12,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,9,2,3,253,3,6,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3803,4066,3552,200,1,3,NA,NA,NA,1,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,6,NA,1,8,72,NA,NA,NA,1,NA,1,32,NA,3,107,NA,NA,18,64,104,126,141,162,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4185,4426,3956,220,NA,4,NA,NA,1,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,1,4,1,NA,4,14,NA,NA,NA,3,NA,NA,23,NA,2,5,NA,NA,3,21,41,413,78,131,390,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4566,4786,4359,240,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,NA,1,1,6,NA,1,NA,2,NA,NA,9,NA,1,14,NA,NA,15,71,69,218,193,445,368,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4948,5146,4758,260,NA,NA,NA,1,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,NA,3,1,NA,NA,11,32,43,353,82,85,266,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5329,5505,5154,280,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,10,22,35,255,105,48,124,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5520,5686,5352,290,1,4,NA,1,NA,NA,NA,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2,7,2,NA,NA,14,3,NA,6,NA,1,NA,5,7,1,53,11,NA,NA,14,17,79,351,279,218,387,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,12,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5710,5867,5549,300,2,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,7,NA,1,3,5,NA,NA,NA,NA,NA,NA,5,NA,1,2,NA,NA,8,3,44,103,160,234,531,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5901,6049,5745,310,2,1,NA,1,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,2,1,NA,3,5,NA,NA,NA,NA,NA,1,NA,NA,7,2,NA,NA,4,13,53,276,158,113,235,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6092,6234,5942,320,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,2,5,11,281,12,5,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6473,6608,6334,340,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,5,7,272,3,NA,158,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6854,6987,6723,360,NA,1,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,2,NA,NA,6,4,6,251,7,3,49,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7045,7180,6916,370,NA,6,NA,1,1,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,7,4,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,2,17,2,NA,NA,10,16,36,217,29,23,58,7,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7236,7374,7108,380,NA,2,NA,2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,18,1,NA,1,6,20,33,94,31,26,31,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8258,8394,8123,400,2,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,1,18,1,NA,1,19,NA,NA,NA,1,NA,NA,1,NA,12,6,NA,NA,7,6,23,114,97,17,328,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
