"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Lamiaceae","Dipsacoideae","Olea","Ulmus","Cedrus","Castanea","Corylus","Cyperaceae","Malvaceae","Thalictrum","Hypericum","Alnus","Juglans","Juniperus","Rumex","Ranunculaceae","Polygonum","Cichorioideae","Sanguisorba","Quercus coccifera","Poaceae (Cerealia)","Equisetum","Brassicaceae","Plantago","Asteroideae","Caryophyllaceae","Ericaceae","Quercus cerris","Centaurea","Poaceae","Pinus","Iridaceae","Populus","Saxifraga","Elodea","Potamogeton","Typha","Scabiosa","Liliaceae","Lemna","Valerianoideae","Ephedra","Amaranthaceae","Fraxinus ornus","Fraxinus","Alismataceae","Apiaceae","Helianthemum","Pistacia","Nymphaea","Rosaceae","Carpinus orientalis","Rhamnus","Matthiola","Aegilops","Euphrasia","Cistus","Acer","Celtis","Butomus","Vitis","Cercis","Hydrocharis","Scrophulariaceae","Orobanchaceae","Ligustrum","Myriophyllum","Betula","Urticaceae","Salix","Tilia","Polygalaceae","Galium","Sagittaria","Sambucus","Fagopyrum","Euphorbiaceae","Campanulaceae","Fumaria","Papaveraceae","Cerastium","Arceuthobium","Platanus","Boraginaceae","Humulus"
235.1852,NA,NA,111,3,4,5,NA,NA,2,2,1,2,12,NA,NA,NA,4,7,1,NA,6,NA,5,5,5,4,1,NA,17,4,5,5,22,20,122,136,1,2,NA,NA,NA,3,4,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466.6667,NA,NA,121,3,5,NA,NA,NA,3,1,1,2,8,NA,NA,NA,4,6,1,NA,7,NA,5,6,6,4,3,NA,18,6,5,4,16,26,113,135,1,2,NA,1,NA,3,5,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721.2963,NA,NA,132,4,4,NA,NA,NA,5,5,2,1,18,NA,NA,NA,10,5,3,1,10,NA,2,5,6,6,4,NA,12,5,4,5,15,22,92,119,2,3,NA,4,NA,6,4,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
952.7778,NA,NA,142,7,2,NA,NA,NA,6,5,2,1,13,NA,NA,NA,13,4,3,1,10,NA,NA,5,3,7,4,NA,13,2,5,7,13,21,91,128,2,3,NA,2,NA,2,4,1,NA,1,NA,1,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114.815,NA,NA,149,4,6,NA,NA,NA,5,3,NA,1,37,1,NA,5,9,NA,5,NA,9,NA,3,NA,5,NA,NA,NA,5,7,NA,NA,35,13,84,113,4,2,NA,4,NA,5,NA,5,1,NA,NA,4,2,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207.407,NA,NA,153,4,8,NA,NA,NA,3,NA,NA,1,36,2,NA,4,9,NA,3,NA,9,NA,1,NA,3,NA,NA,NA,4,6,NA,NA,36,10,134,135,3,2,NA,4,NA,4,NA,6,2,NA,NA,5,2,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1300,NA,NA,157,4,8,2,NA,NA,4,2,NA,1,46,NA,NA,5,8,NA,5,1,15,NA,5,1,10,NA,NA,NA,6,8,NA,NA,34,9,88,99,4,3,NA,4,NA,11,NA,5,3,NA,NA,4,2,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1335,NA,NA,164,2,11,4,NA,NA,4,3,NA,NA,41,NA,NA,4,8,NA,4,1,21,NA,5,2,7,NA,NA,NA,5,10,NA,NA,51,11,56,108,3,2,NA,2,NA,13,NA,10,3,NA,NA,4,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1385,NA,NA,174,2,6,NA,NA,NA,5,3,NA,1,33,NA,NA,5,7,NA,1,1,15,NA,3,3,6,NA,NA,NA,6,5,NA,NA,43,9,47,103,3,3,NA,NA,NA,18,2,13,3,NA,NA,4,NA,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,NA,NA,186,NA,8,NA,NA,NA,1,NA,NA,1,30,NA,NA,5,3,2,1,2,16,NA,2,5,8,NA,NA,NA,10,5,NA,NA,48,10,48,118,3,1,NA,NA,NA,42,3,16,1,NA,NA,5,2,NA,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,NA,NA,192,2,4,NA,NA,NA,1,2,1,2,36,NA,NA,4,5,NA,1,2,17,NA,3,4,6,NA,NA,NA,6,3,NA,NA,41,14,52,119,5,1,NA,NA,NA,79,2,14,1,NA,NA,4,NA,NA,5,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1500,NA,NA,197,2,4,NA,NA,NA,1,1,1,2,35,NA,NA,8,3,NA,1,3,11,NA,2,5,5,NA,NA,NA,5,4,NA,NA,46,13,32,113,3,1,NA,NA,NA,82,3,18,1,NA,NA,4,NA,NA,4,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1600,NA,NA,203,NA,8,NA,NA,2,NA,1,13,15,17,NA,NA,2,NA,11,16,3,4,9,2,4,43,8,NA,NA,17,9,8,NA,5,17,82,12,12,NA,NA,NA,NA,NA,3,12,NA,NA,6,19,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1618.554,NA,NA,210,NA,6,NA,NA,2,NA,1,11,13,20,2,NA,4,NA,10,10,3,6,9,2,5,32,8,NA,NA,18,10,8,NA,8,18,113,25,10,NA,NA,NA,NA,2,4,12,2,NA,1,10,5,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1637.108,NA,NA,217,NA,23,NA,NA,2,NA,NA,6,9,11,4,NA,1,NA,11,13,5,4,5,6,7,27,4,2,NA,11,18,3,3,6,16,105,24,2,NA,NA,NA,NA,NA,6,2,NA,NA,5,12,3,NA,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1655.663,NA,NA,224,NA,21,NA,NA,7,NA,NA,5,5,12,6,NA,1,1,6,6,4,6,5,5,8,26,5,5,NA,15,16,3,5,6,16,111,37,2,NA,NA,NA,NA,NA,5,2,NA,NA,7,11,4,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1668.916,NA,NA,229,NA,34,NA,NA,4,NA,1,3,4,3,2,NA,1,NA,5,12,3,4,5,6,5,37,4,10,NA,13,18,NA,NA,7,14,126,24,NA,NA,NA,NA,NA,NA,6,2,NA,NA,6,28,3,NA,NA,NA,10,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1682.169,NA,NA,234,NA,36,NA,NA,5,NA,1,1,1,4,2,NA,1,NA,5,13,4,6,6,5,5,36,5,16,NA,16,15,NA,NA,5,12,103,25,NA,NA,NA,NA,NA,NA,5,7,NA,NA,7,26,3,NA,NA,NA,12,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1698.072,NA,NA,240,NA,22,NA,NA,13,NA,NA,1,2,5,NA,NA,NA,NA,2,12,5,5,5,8,5,42,4,4,NA,13,34,4,NA,8,16,113,18,NA,NA,NA,NA,NA,NA,4,5,NA,NA,5,27,3,NA,NA,NA,9,5,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1719.277,NA,NA,248,NA,12,NA,NA,10,NA,NA,NA,2,5,NA,NA,NA,1,3,10,5,5,12,4,11,28,10,5,NA,23,20,5,NA,11,18,96,32,4,NA,NA,NA,1,NA,5,16,NA,NA,5,23,3,NA,1,NA,8,4,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1745.783,NA,NA,258,NA,29,NA,NA,15,NA,NA,NA,NA,4,NA,NA,1,NA,3,15,4,3,3,13,4,46,6,4,NA,9,31,5,4,6,22,118,9,NA,NA,NA,NA,NA,NA,6,2,NA,NA,7,29,5,NA,NA,NA,12,7,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1772.289,NA,NA,268,1,36,NA,NA,16,1,NA,NA,NA,2,NA,NA,2,NA,2,16,4,1,3,16,4,41,7,4,NA,13,22,5,4,5,16,107,14,NA,NA,NA,NA,NA,NA,4,3,NA,NA,9,24,5,NA,NA,NA,9,11,NA,1,1,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1790.843,NA,NA,275,1,9,NA,NA,15,1,1,NA,NA,12,4,NA,2,NA,9,9,1,4,5,8,5,30,8,5,NA,8,34,14,2,7,21,64,22,NA,NA,NA,NA,NA,NA,2,10,NA,NA,6,9,11,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1806.747,NA,NA,281,3,9,NA,NA,20,2,2,NA,NA,10,5,NA,NA,NA,8,9,1,5,5,8,4,22,8,26,NA,17,27,18,7,7,17,72,28,NA,NA,NA,NA,1,2,NA,12,1,NA,5,12,10,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,NA,NA,286,3,5,3,NA,10,1,4,1,NA,34,1,NA,NA,1,6,4,NA,12,3,4,3,15,14,15,NA,9,5,9,4,9,20,35,36,1,NA,NA,NA,2,9,NA,8,12,NA,NA,4,15,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1821.711,NA,NA,290,1,4,3,NA,13,2,1,1,2,22,1,NA,NA,1,10,4,NA,9,3,2,4,12,15,22,NA,11,7,10,6,12,16,51,42,3,1,NA,NA,4,5,NA,12,12,NA,NA,6,13,1,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1822.995,NA,NA,293,NA,4,2,NA,14,2,NA,1,5,23,3,NA,2,NA,6,12,NA,5,4,4,6,11,10,18,NA,12,5,12,5,12,22,82,25,6,1,NA,NA,NA,2,NA,6,5,NA,NA,5,14,NA,2,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1824.706,NA,NA,297,NA,8,3,NA,20,NA,1,1,3,15,3,NA,NA,NA,6,10,NA,6,6,2,6,16,14,51,NA,16,5,15,8,8,21,72,28,5,NA,NA,NA,NA,2,NA,6,5,NA,NA,5,11,NA,3,3,2,13,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1827.273,NA,NA,303,1,7,3,NA,18,NA,1,1,4,8,4,NA,NA,NA,8,15,NA,4,6,6,5,14,9,26,NA,12,10,8,2,12,12,85,18,3,NA,NA,NA,NA,NA,5,12,2,NA,3,16,8,NA,NA,NA,5,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1829.412,NA,NA,308,1,11,3,NA,22,NA,NA,1,4,12,4,NA,2,NA,5,13,NA,5,4,4,6,21,14,41,NA,16,10,5,2,7,14,63,23,5,NA,NA,NA,NA,NA,2,10,2,NA,3,8,11,NA,NA,NA,3,10,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1831.979,NA,NA,314,1,15,1,NA,8,NA,4,4,5,8,2,NA,2,NA,9,6,NA,5,6,6,2,14,9,22,2,14,16,8,NA,9,12,92,31,3,NA,NA,NA,NA,NA,2,8,NA,NA,NA,11,9,NA,NA,2,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834.118,NA,NA,319,1,6,3,NA,13,2,5,3,4,21,2,NA,1,NA,8,5,NA,6,6,4,NA,17,11,36,5,18,12,11,NA,9,18,76,42,3,NA,NA,NA,NA,2,NA,11,NA,NA,NA,4,8,NA,NA,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835.829,NA,NA,323,1,9,NA,NA,5,1,3,3,5,42,2,NA,NA,1,6,6,NA,16,8,4,4,8,13,12,2,9,6,5,NA,15,14,34,34,6,1,NA,NA,NA,31,NA,8,NA,NA,NA,5,16,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837.54,NA,NA,327,1,8,NA,NA,7,2,3,2,5,36,11,NA,NA,1,7,3,1,13,7,3,3,12,16,20,3,13,5,8,2,13,16,48,35,5,1,NA,NA,NA,22,NA,13,1,NA,NA,4,14,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,2,NA,2,3,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839.251,NA,NA,331,1,4,1,NA,6,2,4,4,2,45,3,NA,NA,1,6,3,NA,16,8,2,2,8,12,15,2,9,4,5,1,14,10,32,75,4,1,NA,NA,NA,25,NA,5,1,NA,1,1,15,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840.963,NA,NA,335,1,5,4,NA,8,3,4,5,2,15,NA,NA,NA,2,6,4,NA,8,5,NA,3,13,16,12,1,11,1,8,1,12,9,58,52,6,1,NA,NA,NA,56,NA,5,5,NA,1,1,13,NA,2,NA,NA,5,NA,NA,1,NA,NA,NA,NA,3,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842.674,NA,NA,339,NA,12,2,NA,15,NA,NA,NA,NA,8,NA,NA,2,NA,5,10,NA,4,7,6,5,26,8,18,NA,18,18,6,NA,5,14,118,18,NA,NA,NA,NA,NA,4,5,12,1,NA,5,16,5,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844.385,NA,NA,342,NA,16,1,NA,13,NA,NA,NA,NA,10,3,NA,4,NA,4,14,2,3,5,8,2,22,10,36,NA,27,22,5,NA,7,15,90,22,NA,NA,NA,NA,NA,3,2,10,1,NA,4,13,4,NA,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846.096,NA,NA,343,NA,8,NA,NA,17,NA,NA,NA,NA,8,2,NA,2,NA,5,9,1,6,6,5,2,26,9,25,NA,15,15,9,NA,5,14,120,20,2,NA,NA,NA,NA,2,NA,12,NA,NA,4,7,5,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847.807,NA,NA,346,NA,6,NA,NA,22,NA,NA,NA,NA,12,NA,NA,1,NA,5,5,2,4,10,8,2,17,14,50,NA,22,4,13,NA,9,17,86,36,6,NA,NA,NA,NA,2,NA,12,NA,NA,1,4,11,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849.519,NA,NA,347,NA,8,2,NA,17,NA,NA,NA,NA,16,NA,NA,NA,NA,9,11,1,10,8,6,1,25,9,31,NA,16,9,9,NA,7,15,110,18,2,NA,NA,NA,NA,3,2,6,NA,NA,2,7,8,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851.658,NA,NA,350,NA,12,2,NA,21,NA,NA,NA,1,11,NA,NA,NA,1,8,10,NA,8,8,8,1,18,12,45,NA,18,8,10,NA,8,18,97,22,NA,NA,NA,NA,NA,4,2,6,NA,NA,1,8,7,NA,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854.225,NA,NA,351,4,5,NA,NA,4,4,2,NA,2,52,NA,NA,NA,2,5,1,NA,20,10,6,5,4,10,15,NA,10,6,5,NA,33,8,51,56,NA,NA,NA,NA,NA,15,NA,5,7,NA,1,1,13,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
