"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Carya","Corylus","Geranium","Thalictrum","Liliaceae","Lamiaceae","Triticum-type","Bistorta officinalis","Bupleurum-type","Scabiosa","Galium-type","Centaurea-type","Thymelaeaceae","Cistus","Ephedra fragilis","Plantago coronopus","Urtica pilulifera-type","Ziziphus-type","Polypodiophyta (monolete)","Cistaceae","Mentha-type","Typha angustifolia/Sparganium","Delphinium-type","Platanus orientalis","Potamogeton","Trifolium-type","Eucalyptus","Theligonum","Plantago indeterminata","Caryophyllaceae","Crataegus-type","Rumex","Centaurea scabiosa-type","Phillyrea-type","Polypodiophyta (trilete)","Salix","Fabaceae","Hordeum-type","Ranunculaceae","Juglans","Apiaceae","Pistacia","Cirsium/Carduus-type","Poaceae (Cerealia-type)","Varia","Brassicaceae","Rosaceae","Casuarina","Herniaria-type","Cyperaceae","Plantago lanceolata","Polygonum aviculare","Xanthium","Artemisia","Cichorioideae","Quercus ithaburensis","Asteroideae","Cupressaceae","Sarcopoterium","Amaranthaceae","Olea-type","Pinus","Myriophyllum","Poaceae","Quercus coccifera","Pediastrum","Lycopodium spike","Botryococcus","Prunus-type","Avena-type","Echinops","Veronica-type","Centaurea nigra-type","Pimpinella-type","Polygonum oxyspermum","Vitis","Chelidonium-type","Quercus indet.","Equisetum","Alnus","Urtica dioica-type","Ericaceae","Hypericum","Potentilla-type","Lemna","Solanum","Carpinus betulus","Dipsacoideae","Tamarix","Heracleum-type","Fraxinus syriaca","Acer","Polygonum indeterminata","Ebenus-type","Elaeagnus","Knautia","Ulmus","Anchusa","Agrostemma","Cannabis","Scrophulariaceae","Zea mays","Populus","Plantago major/P. media","Alisma plantago-aquatica","Papaver-type","Salvia-type","Lythrum salicaria-type","Campanula-type","Carpinus orientalis","Cedrus","Fraxinus ornus","Boraginaceae","Vicia-type","Stachys-type","Adonis-type","Asphodelus","Tilia","Papaveraceae","Echium","Ranunculus aquatilis-type","Centaurea solstitialis-type","Carthamus-type","Erodium","Apium-type","Lythrum portula-type","Fagus","Sambucus","Ephedra distachya","Ceratonia","Aesculus","Picea","Persicaria amphibia","Secale-type","Armeria-type","Epilobium","Osmunda","Helianthemum","Linum bienne-type","Abies","Symphytum","Acacia","Celtis","Euphorbiaceae","Convolvulus","Acanthus","Rhamnus-type","Rhus","Rhinanthus-type","Aconitum-type","Mercurialis","Linum austriacum-type"
1525.5,NA,NA,173.5,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,96,6,NA,3,3,1,1,2,NA,NA,NA,NA,2,NA,47,12,11,11,4,15,10,2,9,NA,3,18,5,20,NA,22,45,6,16,4,27,22,293,40,302,187,86,33,526,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597.2,NA,NA,178.5,NA,1,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,2,3,2,8,49,7,NA,2,3,3,1,1,2,NA,3,3,4,4,72,15,12,8,4,7,5,6,3,NA,3,23,6,12,NA,34,81,5,36,12,23,29,315,53,270,197,85,136,535,NA,NA,NA,NA,1,NA,NA,NA,7,NA,3,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1670.4,NA,NA,183.5,NA,1,NA,NA,NA,NA,3,NA,NA,2,1,4,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,3,147,1,NA,3,13,NA,1,2,2,NA,2,7,1,4,35,14,6,2,6,20,9,2,1,NA,4,15,4,17,1,31,87,9,27,40,17,26,298,27,289,211,43,189,495,NA,NA,NA,NA,NA,1,NA,NA,9,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA
1744,NA,NA,188.5,NA,3,NA,NA,NA,NA,3,NA,NA,2,2,NA,NA,NA,1,1,1,NA,NA,NA,3,3,1,2,110,5,NA,1,6,5,1,1,2,2,3,12,3,5,60,15,3,8,1,12,14,9,3,NA,1,21,8,17,1,27,72,10,24,56,3,23,242,32,252,247,41,560,507,NA,NA,NA,1,NA,NA,NA,NA,6,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1817.4,NA,NA,193.5,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,71,3,NA,3,8,1,1,NA,2,1,4,2,NA,2,33,21,9,9,1,14,12,4,2,NA,6,10,4,21,1,29,80,11,38,26,2,19,271,29,230,244,38,263,658,1,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
1890.9,NA,NA,198.5,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,1,NA,NA,1,NA,3,NA,NA,NA,NA,1,2,6,50,3,NA,1,2,5,NA,2,5,1,3,8,3,NA,21,12,9,3,1,9,20,7,4,NA,1,6,5,12,1,37,161,10,101,56,4,29,161,24,239,232,17,3706,659,NA,NA,NA,NA,NA,NA,1,NA,12,NA,NA,1,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948.8,NA,NA,203.5,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,1,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,3,59,5,NA,1,6,6,NA,7,3,1,3,5,2,3,19,11,3,1,5,12,12,6,4,NA,7,15,1,27,2,29,99,15,66,19,7,24,242,47,292,183,59,18564,190,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999.5,NA,NA,208.5,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,3,12,NA,NA,NA,NA,3,NA,4,4,NA,1,11,7,NA,11,3,6,1,NA,5,22,7,1,NA,2,7,6,21,NA,22,197,9,193,57,1,25,105,11,59,269,17,2524,631,6,NA,NA,NA,1,1,1,NA,8,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049.8,NA,NA,213.5,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,6,NA,NA,1,5,3,NA,3,4,1,3,7,3,4,2,9,5,3,3,17,22,1,7,NA,3,3,1,36,1,19,236,16,186,21,3,22,132,7,54,235,26,201,847,8,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,NA,2,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2099.7,NA,NA,218.5,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,2,NA,1,NA,NA,3,11,2,NA,NA,4,8,NA,2,5,NA,3,1,2,4,11,3,6,2,3,17,26,8,4,NA,NA,9,4,35,1,20,202,7,161,14,5,18,84,16,59,315,17,941,559,18,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2149.3,NA,NA,223.5,NA,NA,NA,NA,NA,3,2,NA,1,NA,1,2,1,NA,3,NA,1,NA,NA,1,NA,NA,NA,5,4,7,NA,1,4,6,NA,3,NA,NA,5,2,4,6,3,9,10,1,4,13,24,4,6,NA,9,12,6,30,NA,28,204,6,163,5,1,21,126,12,72,287,28,3292,680,24,NA,NA,1,1,NA,NA,1,3,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2188.5,NA,NA,227.5,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,8,3,NA,2,2,3,NA,NA,3,NA,NA,NA,11,3,18,7,13,3,5,7,20,5,2,NA,2,7,5,18,NA,30,190,3,163,3,2,22,110,13,66,315,16,393,363,89,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2210.9,NA,NA,229.75,NA,NA,NA,NA,1,5,4,NA,NA,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,25,10,NA,3,9,5,NA,6,1,2,1,3,1,1,6,3,10,7,7,21,8,4,6,NA,5,16,3,28,2,27,165,20,127,3,1,16,182,13,181,342,34,697,715,235,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2287.5,NA,NA,237.5,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,5,NA,1,NA,1,NA,NA,NA,2,6,24,3,NA,1,2,3,1,NA,6,NA,NA,1,4,3,26,3,6,11,6,12,21,9,3,NA,2,16,6,9,NA,21,132,10,72,12,3,19,102,14,169,359,30,1921,262,1746,NA,NA,2,NA,NA,NA,NA,5,NA,1,1,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2327.8,NA,NA,241.5,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,NA,NA,1,1,2,1,1,NA,NA,NA,NA,NA,2,3,NA,2,7,3,NA,8,1,4,NA,NA,3,6,3,4,9,6,2,17,6,4,2,NA,1,7,2,13,5,47,150,18,76,4,4,44,155,21,134,303,54,936,473,38,NA,NA,NA,NA,NA,2,1,4,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2342.9,NA,NA,243,NA,NA,NA,NA,NA,2,7,1,1,NA,2,1,NA,NA,1,NA,1,NA,2,NA,3,NA,NA,1,10,5,NA,3,5,9,1,5,NA,1,2,1,3,4,6,1,9,10,8,16,9,11,9,NA,6,23,5,13,1,47,115,14,68,4,1,25,115,12,318,302,62,538,538,205,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2395.8,NA,NA,248.5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,7,4,NA,2,1,6,NA,6,3,1,3,NA,3,5,18,4,6,6,3,17,18,10,7,NA,NA,30,11,3,NA,41,114,13,73,6,5,27,64,15,365,445,49,2338,341,292,NA,NA,NA,1,NA,2,NA,4,NA,1,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2429.4,NA,NA,253.5,NA,NA,NA,NA,1,8,8,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,1,NA,44,2,NA,6,4,4,NA,7,NA,NA,NA,4,2,9,8,8,8,10,5,30,17,5,6,NA,9,39,7,7,1,35,106,38,65,5,6,31,98,17,458,435,48,5904,607,21,NA,1,NA,NA,NA,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457.1,NA,NA,258.5,NA,NA,1,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,5,255,NA,NA,1,6,6,1,4,4,2,NA,1,6,1,8,4,13,2,3,8,19,9,6,NA,2,35,6,1,NA,33,168,18,135,8,3,45,85,15,244,419,40,35913,517,2,NA,NA,NA,1,NA,1,NA,4,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2485.9,NA,NA,263.5,NA,NA,NA,NA,2,4,2,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,2,26,2,NA,1,10,7,1,3,1,1,1,NA,6,3,8,2,5,3,16,14,14,3,7,NA,8,34,5,6,NA,33,161,21,114,7,3,42,60,9,154,317,29,23907,1374,10,NA,NA,NA,1,1,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2514.8,NA,NA,268.5,NA,NA,NA,NA,1,2,2,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,10,NA,NA,NA,5,12,NA,1,5,NA,3,1,10,2,20,1,12,1,6,9,23,5,7,NA,2,22,5,3,NA,32,198,30,166,2,3,35,30,11,71,347,32,7200,720,9,NA,NA,NA,1,NA,1,NA,12,NA,2,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,4,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2545.1,NA,NA,274,NA,1,NA,NA,3,3,2,NA,NA,NA,4,5,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,28,1,NA,5,6,9,1,1,NA,NA,3,1,3,2,6,1,9,3,18,19,15,3,10,NA,3,30,4,3,NA,36,171,78,165,2,3,36,53,7,69,339,30,4254,549,183,NA,1,NA,2,1,NA,NA,7,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2570.3,NA,NA,278.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,2,NA,NA,1,1,2,NA,2,1,NA,1,5,NA,22,1,NA,2,2,8,1,2,5,NA,2,NA,6,3,6,1,7,NA,7,8,23,6,10,NA,NA,19,3,4,1,25,173,46,193,4,1,26,23,7,36,325,24,1432,490,188,NA,NA,NA,3,NA,NA,NA,6,NA,6,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2603.6,NA,NA,284.5,NA,NA,NA,NA,NA,4,2,NA,NA,2,3,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,1,10,1,NA,NA,2,12,NA,1,4,1,2,1,4,1,3,NA,9,5,14,12,6,9,8,NA,8,17,NA,1,NA,28,195,108,174,2,3,30,16,13,16,221,47,135,735,54,1,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2620.1,NA,NA,287.5,NA,NA,NA,NA,1,1,2,NA,NA,1,1,2,NA,1,NA,NA,1,NA,1,NA,1,NA,4,1,3,1,NA,2,10,11,2,4,3,NA,2,NA,2,2,22,1,8,5,8,11,24,15,4,NA,1,5,7,1,1,26,142,95,138,1,4,20,29,9,43,347,25,70,475,11,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2648.2,NA,NA,292.5,NA,1,NA,NA,5,3,2,NA,1,NA,3,5,NA,NA,NA,1,NA,NA,2,NA,NA,2,3,NA,5,NA,NA,5,9,2,5,11,1,2,4,1,3,4,24,NA,5,7,9,17,6,7,6,NA,1,21,5,NA,2,36,71,307,70,3,5,27,36,6,89,253,80,4105,311,78,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2659.7,NA,NA,294.5,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,2,1,1,4,1,1,1,2,3,2,29,NA,7,3,4,7,4,7,5,NA,NA,19,6,NA,NA,18,23,691,15,2,3,15,7,4,47,142,56,22,93,5,NA,NA,NA,NA,1,1,NA,3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2671.2,NA,NA,296.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,9,1,NA,2,NA,NA,2,NA,3,NA,NA,2,NA,1,22,NA,5,3,2,4,2,5,1,NA,1,4,1,NA,NA,7,9,825,11,NA,1,13,2,3,45,124,50,2,78,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
2682.7,NA,NA,298.5,NA,NA,NA,NA,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,11,NA,NA,2,NA,2,2,1,NA,NA,NA,1,NA,NA,23,NA,5,4,3,2,NA,3,3,NA,1,15,3,NA,NA,8,16,867,5,NA,1,14,1,4,32,110,56,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2705.6,NA,NA,302.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,2,1,NA,4,3,NA,1,NA,NA,NA,10,NA,6,1,2,4,1,4,2,NA,2,5,2,NA,NA,7,9,742,9,1,1,11,10,3,45,120,50,NA,106,NA,NA,NA,1,NA,NA,4,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
