"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Epilobium","Ericaceae","Typha latifolia","Fabaceae","Ononis-type","Centaurea solstitialis-type","Myriophyllum spicatum/M. verticillatum","Viburnum-type","Ferula-type","Betula","Cichorioideae","Ulmus","Poaceae (Cerealia-type)","Artemisia herba-alba-type","Thymus/Mentha","Dryopteris-type","Amaranthaceae","Sparganium-type","Corylus","Juniperus","Abies","Pteridium","Carpinus betulus","Unknown","Fagus","Poaceae","Quercus cerris-type","Cyperaceae","Pinus","Platanus","Salix","Apiaceae","Gentiana","Centaurea scabiosa-type","Ostrya/Carpinus orientalis","Sambucus racemosa-type","Populus","Sanguisorba-type","Equisetum","Plantago lanceolata-type","Alnus","Castanea","Polygonum aviculare-type","Vitis","Lythrum","Rumex acetosa-type","Bunium-type","Onobrychis-type","Menyanthes trifoliata","Galium-type","Mercurialis annua","Fraxinus","Cladium mariscus","Acer","Filipendula","Potentilla-type","Tilia","Juglans","Rosaceae","Urtica","Lysimachia","Anemone","Calystegia","Brassica-type","Olea","Rhinanthus-type","Matricaria-type","Scrophularia/Verbascum","Calluna-type","Trifolium-type","Plantago coronopus-type","Thalictrum","Caryophyllaceae","Nymphaea","Vicia-type","Digitalis","Ranunculus sect. Batrachium-type","Senecio-type","Pistacia","Medicago","Lemna","Butomus umbellatus","Epipactis","Cirsium/Gundelia","Ranunculus repens-type","Rumex hydrolapathum","Parnassia palustris","Plantago tenuiflora-type","Lycopodium","Asteroideae","Brassicaceae","Potamogeton","Eryngium-type","Lotus-type","Cotoneaster","Heracleum-type","Cerinthe-type","Ephedra fragilis-type","Caltha","Liliaceae","Ranunculaceae","Valerianella","Anchusa/Pulmonaria","Aquilegia-type","Pedicularis","Helianthemum","Taxus","Veronica","Hypericum","Loranthus","Plantago","Stachys-type","Zygophyllum","Ophioglossum","Solanaceae","Fallopia convolvulus-type","Hippocrepis-type","Persicaria amphibia","Centaurea","Plantago media-type","Quercus coccifera-type","Convolvulus","Artemisia vulgaris-type","Prunus-type","Polypodium","Cedrus","Plantago ovata-type","Pediastrum","Scrophulariaceae","Daphne","Lathyrus-type","Muscari","Nigella","Hedera","Teucrium","Ranunculus peltatus-type","Eremurus","Astragalus-type","Lobelia","Apium-type","Hedysarum/Ebenus","Ceratocephala","Micranthes nivalis-type","Melilotus","Bupleurum-type","Papaver","Hippophaë","Carya","Humulus/Cannabis","Delphinium-type","Rosa-type","Ephedra distachya-type","Carduus-type","Pterocarya","Arctium/Jurinea","Tulipa-type","Sanguisorba officinalis","Genista-type","Centaurea cyanus-type","Gagea-type","Centaurea jacea-type","Turgenia-type","Sambucus nigra-type","Persicaria maculosa-type","Cousinia"
5205,5628,4784,830,"","1","3","","","","","","","","","1","","7","","91","1","2","4","17","39","4","6","17","19","31","58","397","158","","2","1","","","","","","","1","","","1","","","1","","","","","","","1","","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5324,5729,4924,850,"1","1","4","1","1","","","","","","1","1","4","8","","31","1","3","11","7","24","3","30","11, 11","42","25","86","878","119","","1","","","","","","","1","2","","2","","3","","3","","2","","","9","","1","","","","","","","","","","","","3","1","4","1","","","1","","","","","","","","1","","","1","","","","","","2","","","1","","","","","","","","","","","","","","","18","","7","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5532,5903,5166,885,"","1","1","","","","","","","","","3","2","4","","65","1","1","4","4","71","5","6","11","16","18","42","277","129","","8","","","","","","","","1","","","","3","","1","","1","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5799,6128,5477,930,"","","","","","","","","","","","1","","1","","116","","","1","3","53","","9","11","14","34","40","240","131","","","","","","","","","","","","1","","","","","","","","","1","","4","","","4","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6007,6304,5718,965,"","","2","","","","","","","","","2","","1","","53","","","1","5","47","","4","1, 10","37","9","68","357","137","","","","","","","","","","","","2","","","","","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6096,6379,5820,980,"","","2","1","","","","","","","2","2","1","5","","63","","2","1","19","47","6","2","14","6","61","19","217","86","","4","","","","","","","","","","1","","","","","","","","","3","","","","","1","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","1","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6394,6634,6163,1030,"","","3","","","","","","","","","4","","4","","963","1","3","6","4","39","","14","15","26","26","64","268","221","","4","","","","","","","","","","1","","","1","","1","","","","17","","","","1","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6512,6736,6299,1050,"","","3","","","","","","1","","","1","","1","","265","2","3","5","11","32","3","","1","3","35","16","270","80","","3","","","","","","","","","1","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6780,6974,6606,1095,"","","2","","","","","","","","","3","","2","1","555","","2","18","1","71","","23","11","37","26","71","586","191","","3","","","","","","","","","","2","","","","","","","","","15","","7","","","","","","","","1","","","","1","","","1","1","","","","2","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6988,7158,6834,1130,"","","","","","","","","","","","2","","","","321","1","","3","2","49","2","8","1, 6","7","28","26","74","158","","4","","","","","","","","1","","1","","","","","","","","","7","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7107,7266,6962,1150,"","","1","","","","","","","","","2","1","","1","912","1","1","18","9","63","1","38","1, 2","47","28","98","516","207","","7","2","","","","","","","","","","","","1","1","","","","","3","","5","","","","","","1","","1","","","","","","","","","","1","","1","","","","","","","","","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7226,7378,7089,1170,"","","9","","","","","","1","","","2","1","","","230","1","1","8","2","44","1","16","23","17","26","48","114","101","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7285,7436,7152,1180,"","","","","","","","","","","1","4","","5","1","110","1","1","18","9","64","3","22","1, 2","25","19","85","247","194","","3","","1","","","","","1","","","1","","","2","4","1","1","","","3","4","","","","1","1","1","","","1","","","","1","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7374,7525,7246,1195,"","","2","","","","","","","","1","","2","5","","211","4","","11","6","12","6","8","11","1","21","8","115","128","2","2","1","","","","","","","1","","","","","","","","","","","2","","","","","2","","1","","","","","","","","","","","","","","","3","","","","","","","","","","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7612,7768,7485,1235,"","2","5","","","","","","","","","1","","2","","269","5","","4","","25","2","2","6","2","22","11","30","121","1","","","","","3","","","","","","","","1","","","","","","","4","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7731,7893,7600,1255,"","","8","","","","5","","","","","3","3","4","1","372","1","1","21","7","47","","19","4, 10","24","186","52","189","64","","7","1","","","","","","1","2","","","","","","3","2","","","","5","","2","","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","7","","","","","","","","","","","7","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","1","2","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7803,7945,7682,1270,"","","15","","","","1","","1","","2","4","","8","","304","","45","27","2","30","","32","2","19","338","63","137","77","","17","","","","","","","","","","","","","","1","1","","","","","","1","","","3","","","","","","","","","7","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7845,7969,7732,1280,"","","14","","","","","","","4","","2","1","2","","31","1","23","58","8","36","7","28","2","28","375","72","75","42","2","5","2","","","","","","3","","","3","","","","4","2","1","","","1","","","","","","","","","","15","","","","4","","","1","","","","","4","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7950,8064,7845,1305,"","","11","","","","2","","","","1","3","1","5","3","15","3","12","29","6","47","2","23","2","18","379","79","171","51","1","1","","","","","","","3","2","","3","","","","2","1","","","","1","","1","","","2","","1","","","1","","","","7","","","1","","","2","","3","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8055,8215,7928,1330,"","","14","2","","","","","","","","2","","2","","28","4","8","44","4","50","6","30","19","39","297","101","383","64","","1","","","","","","","","","","1","","1","","20","2","1","","","1","1","2","","","","1","","","1","","","","","15","","","1","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","2","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8388,8539,8254,1355,"","","","","","","","","","2","","","","7","","","2","","6","29","110","4","4","6","2","142","25","682","87","1","1","","","","","","","","","","","","","","","","","","","3","","3","","","1","","1","","","","","","","3","","","1","","","","","","","","","","","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","4","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8874,9034,8723,1380,"","","3","","","2","","","3","1","","2","1","2","","4","2","4","9","12","96","1","5","14","10","131","70","250","129","","","","","","","","","","4","","1","","","","","","","","","12","","1","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9068,9240,8901,1390,"","","6","","","","1","","1","","1","","","2","","364","3","","4","11","65","5","2","11","3","193","42","311","113","","2","5","","","","","","","3","","","","","","","","","","","4","","1","","","1","","1","","","","","","","7","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9457,9661,9248,1410,"","","","","","","1","","","","1","","","2","2","21","3","","4","9","50","1","1","4","2","101","17","133","77","","1","3","","","3","","","1","1","","","","","1","","","","","","6","","3","","1","1","","","","","","","","","1","","","1","","","","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9845,10091,9589,1430,"","","","","","1","","","","","1","","","6","","23","2","8","","6","55","","5","2, 18","","97","36","87","81","","","2","","","2","","","","94","","","","","","","","","","","3","","","","","","","","","","","","","","8","","","","","","1","","2","","","","","","","","","","","","","","","","","1","2","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10137,10420,9846,1445,"","","","","","","1","","","","2","2","","7","","16","3","2","6","9","52","3","","1, 8","3","183","46","901","75","","1","11","","","","","","","1","","2","","","","","","3","","","12","","3","","","","1","","","","","","","","17","","","1","","","","","1","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","",""
10428,10751,10102,1460,"","","1","","","","1","","2","","2","3","","3","2","12","3","","9","11","36","4","4","4, 7","11","221","116","1877","91","","2","10","","","","","","2","4","","1","","","","3","","3","","","8","","","","","1","","1","","1","","","","","4","","","","","","","","","1","","","","","","","","","","","1","2","","","","","1","","","","","","","","","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","",""
10816,11193,10440,1480,"","","","","","","2","","","1","4","","","2","","8","5","28","3","4","61","","6","5, 16","","361","69","165","122","","","64","","","","","","","81","","","","","","","","","","","6","","","1","1","1","","2","","","","","","","11","","","","","","","","1","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","",""
11205,11636,10777,1500,"","","1","","","","4","","","","2","1","","4","","","7","3","3","5","41","6","1","1, 9","","171","28","146","47","","1","10","","","","","","","328","","","","","","","","","","","3","","1","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","1","1","","","","","","","","","","","","","","","","","",""
11496,11967,11027,1515,"","","","","","","","","","3","1","1","","3","","","2","18","3","2","29","","2","3, 6","1","105","36","106","28","","","","","","","","","","314","","","","","","","","1","","","1","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","",""
11788,12299,11278,1530,"","","","","","","","","5","","2","2","","9","","","11","39","2","4","25","","","4, 29","2","237","25","257","22","","2","4","","","","","","","1283","","1","","1","","","","","","","6","","2","","","3","","3","","","","","","","3","","","","1","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","","","","","","","",""
12294,12725,11852,1545,"","","1","1","","2","","","","","1","","1","47","","","13","46","","13","17","","1","8, 10","2","209","33","611","14","","","9","","","","","","","","","","","1","","1","","2","","","5","","","","","","","","","","","","","","12","","","3","","","","","4","","","","","","2","","","","2","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","4","","","","","","","","","","","","",""
12660,13037,12264,1555,"","","","","","2","","","","3","","","2","69","","","11","1","2","2","19","","","4, 22","","98","23","429","13","","","1","","","","","","","","","","","1","","","","1","","","3","","","","","","","","","","","","","","","","","4","","","","","2","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","2","2","","","","","","","","",""
13209,13575,12849,1570,"","","","","","1","","","","7","1","","1","105","","","19","","","","4","","","4","","723","15","322","12","","2","2","","","","","","1","","","1","","1","","","","","","","2","","","","","","","","","2","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","3","","","","","","","",""
13392,13772,13034,1575,"","","","1","","","","","","2","1","","","100","","","25","2","2","6","15","","","3, 12","1","105","31","1690","17","1","1","1","","","","","","","1","","2","","1","","","2","","","","13","","","","1","","","","1","","1","","","","1","","1","","","","2","","8","2","","","","","1","","","","","","","1","","","","","4","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","3","","","","","","",""
13575,13981,13217,1580,"","","","","","","","","","1","","","","31","","","12","1","1","9","17","","3","1, 2","","74","11","774","16","","1","3","","","","","","","","1","","","1","","","","","","","4","","","","","","","1","","","","","","","1","","","2","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
13941,14406,13564,1590,"","","3","1","","","10","","","5","1","1","3","43","","","7","","2","10","14","","","1, 5","","88","54","889","13","","1","3","","","","","","","","","1","","1","","","","1","","","11","","","","1","1","","1","","","","","","","","","","2","","","","","2","","","","","","3","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","2","","","","","1","","","","","","","1","","","","","",""
14307,14842,13880,1600,"","","","","","","","","","10","5","2","2","54","","2","22","3","2","35","21","","","6","1","88","64","864","30","","","3","","","","","","","","","","","2","","","","2","","","16","","","1","1","2","","1","","","","","","","7","","","6","","","","","2","1","","","","","3","","","","2","","","1","","","","","2","5","","","","","","","1","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","1","","","","","","","","3","","","","",""
14654,15265,14159,1610,"","","","1","","","","","","4","1","","1","47","","1","14","7","","30","5","","","24","1","79","37","302","23","","6","6","","","","","","","","","3","","1","","","","","","","11","","","","","","1","","","","","","","","1","","","3","","","","","7","","","","","","","","","","1","","","","","","","","6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
15020,15716,14440,1620,"","","44","","","2","1","","2","14","11","","3","61","","4","28","56","","25","7","","","13","","99","37","1079","92","","1","25","","","","","","","","","","","","","","","2","","","8","","","","","","","","","","","","","","7","","","8","","","","","24","1","","1","","","4","","","","1","","","1","","","","","4","8","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","",""
15935,16874,15129,1645,"","","","1","","","","","","1","75","","","184","","","40","1","","11","1","","","3, 215","","116","","336","25","","","1","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
16484,17578,15541,1660,"","","","","","2","","","","2","93","","1","15","","","8","","","1","","","","9, 14","","15","","323","61","","","4","","","","","","","","","","","","","","","","","","3","","","","","","","","","","1","","","","","","","2","","","","","","1","","","","","1","","","","","","4","","","","","","28","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
17216,18519,16088,1680,"","","","1","","","","","","4","147","","","99","","","66","2","","","","1","","4, 171","","77","","542","68","","","","","","","","","","","","1","","9","","","","","","","2","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","6","","","","","65","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","3","","","","","","","","","","","1","",""
