"age_NA","ageolder_BP","ageyounger_BP","depth","Ericaceae","Apiaceae","Asteroideae","Rosaceae","Senecio-type","Poaceae (Cerealia-type)","Oleaceae","Centaurea solstitialis-type","Matricaria-type","Ostrya/Carpinus orientalis","Plantago coronopus-type","Plantago maritima-type","Ricinus","Dryopteris-type","Polypodium","Cryptogramma crispa","Anthoceros laevis-type","Sanguisorba-type","Unknown","Cyperaceae","Artemisia herba-alba-type","Juniperus","Capsella-type","Abies","Amaranthaceae","Poaceae","Brassica-type","Quercus cerris-type","Phillyrea","Pistacia","Cichorioideae","Olea","Quercus coccifera-type","Pinus","Caryophyllaceae","Vitis","Plantago lanceolata-type","Asphodelus albus-type","Nigella","Acanthus","Rumex acetosa-type","Pteridium","Cistus/Helianthemum","Mercurialis annua","Carya","Corylus","Euphorbia","Sparganium-type","Tilia","Alnus","Fabaceae","Vicia-type","Thymus/Mentha","Juniperus sabina","Platanus","Fagus","Thalictrum","Juglans","Papaver","Bupleurum-type","Calystegia","Ephedra fragilis-type","Datisca","Plantago ovata-type","Galium-type","Primulaceae","Taxus","Ulmus","Acer","Ranunculus sceleratus-type","Orobanche","Ophioglossum","Osmunda regalis","Betula","Campanula-type","Hippophaë","Rhinanthus-type","Teucrium","Carduus-type","Ephedra distachya-type","Scrophularia/Verbascum","Crupina","Fraxinus ornus","Allium","Cuscuta","Liliaceae","Plantaginaceae","Ruppia","Convolvulus","Plantago media-type","Hedysarum/Ebenus","Lomelosia rotata-type","Eryngium-type","Ranunculus arvensis-type","Filago-type","Valerianella","Delphinium-type","Centaurea cyanus-type","Cirsium/Gundelia","Arctium/Jurinea","Onopordum-type","Ranunculus asiaticus-type","Chrozophora","Bongardia","Unknown (trilete)","Theligonum","Urtica","Polygonum aviculare-type","Rhododendron","Fumaria","Gagea-type","Plantago tenuiflora-type","Calligonum","Spinacia-type","Andrachne","Carpinus betulus","Scilla-type","Calendula","Equisetum","Prunus-type","Rhamnaceae","Astragalus-type","Botrychium","Salix","Humulus/Cannabis","Knautia","Hypericum perforatum-type","Anagallis","Mercurialis perennis","Scorzonera-type","Aquilegia-type","Geranium","Zea mays","Fraxinus","Hippocrepis-type","Crataegus-type","Ligustrum","Stachys-type","Linum","Dipsacoideae","Rumex hydrolapathum","Anchusa/Pulmonaria","Bunium-type","Ranunculaceae","Helleborus","Heliotropium-type","Crassulaceae","Trifolium-type","Adonis","Heracleum-type","Artemisia vulgaris-type","Anthriscus-type","Centaurea scabiosa-type","Ranunculus repens-type","Echium-type","Tamarix","Xanthium","Thesium","Lycopodium","Cheilanthes","Rhus","Gentiana","Plantago major-type","Filipendula","Veronica","Hydrocotyle","Echinops","Lotus-type","Centaurea undiff.","Leontice leontopetalum","Hypericum hirtellum var. assyriacum-type","Isoëtes","Ferula-type","Anemone","Cousinia","Viburnum-type","Antirrhinum/Linaria","Roemeria hybrida-type","Inula-type","Viola","Onagraceae","Onobrychis-type","Spergula","Genista-type","Bidens-type","Castanea","Cerinthe-type","Nitraria","Carthamus","Malva","Loranthus","Noaea-type","Solanum nigrum","Psoraleeae","Ilex","Salvia","Apium-type","Thymelaea","Plantago cylindrica-type","Populus","Anisosciadium-type"
NA,NA,NA,150,5,2,NA,NA,1,16,NA,NA,2,8,NA,NA,NA,2,NA,6,NA,3,2,5,5,1,1,10,15,15,6,76,NA,10,54,15,19,96,1,NA,NA,1,NA,NA,NA,6,1,4,NA,2,1,2,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0,7,3,NA,NA,2,5,NA,1,10,2,NA,NA,1,5,NA,5,NA,10,5,4,8,22,NA,6,19,13,23,40,NA,25,50,98,89,218,NA,1,4,2,NA,NA,NA,9,NA,2,NA,NA,NA,1,NA,2,NA,NA,1,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,NA,32,34,1,2,30,NA,2,8,1,NA,NA,NA,3,NA,NA,NA,11,52,9,5,NA,6,1,20,49,NA,65,NA,8,233,NA,15,10,2,NA,6,4,NA,NA,NA,4,7,11,NA,4,6,9,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,7,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,1,1,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,375,NA,52,3,NA,9,11,NA,2,22,2,NA,NA,NA,9,1,NA,NA,12,3,NA,11,NA,NA,NA,215,4,2,68,NA,11,115,NA,12,1,NA,NA,6,5,NA,2,NA,2,3,11,NA,12,2,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,14,NA,2,1,NA,NA,1,NA,5,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,1,1,1,2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,2,32,22,3,1,3,NA,1,23,NA,NA,NA,NA,1,3,NA,NA,3,21,2,4,NA,2,NA,426,8,NA,53,1,8,66,NA,10,4,3,NA,6,2,NA,NA,1,NA,8,15,NA,5,5,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,320,NA,65,2,NA,3,14,NA,1,18,1,NA,NA,NA,4,1,NA,NA,66,3,2,4,NA,1,NA,23,6,2,52,NA,5,85,NA,NA,3,3,1,5,13,NA,6,1,2,39,1,NA,3,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,11,NA,3,NA,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,19,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,335,NA,44,3,NA,13,5,NA,1,18,NA,2,NA,NA,4,NA,NA,NA,9,5,3,3,NA,NA,NA,158,10,2,75,NA,6,112,1,15,3,2,NA,4,4,NA,4,2,1,8,9,NA,7,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,3,NA,1,NA,NA,1,2,6,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,165,2,28,23,NA,5,19,NA,2,15,2,NA,1,NA,8,NA,NA,NA,9,24,1,4,NA,3,2,25,20,3,93,NA,9,111,6,48,9,3,1,5,5,NA,1,2,2,14,18,NA,10,3,5,1,1,4,1,6,NA,NA,NA,2,NA,NA,1,NA,1,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,385,NA,15,10,1,1,16,NA,NA,14,1,NA,NA,NA,3,NA,NA,NA,7,26,2,1,1,6,1,208,45,1,75,2,11,169,NA,11,6,2,1,16,8,NA,1,1,3,4,15,NA,1,4,2,1,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,425,NA,26,NA,NA,7,33,NA,NA,40,NA,1,NA,NA,7,NA,NA,NA,3,9,17,6,NA,NA,NA,411,83,1,79,1,2,186,1,4,10,NA,NA,4,7,NA,NA,1,8,5,8,NA,3,3,15,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,12,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,160,1,13,1,NA,11,15,NA,2,10,2,NA,NA,NA,9,NA,NA,NA,3,1,2,2,NA,NA,4,18,12,7,68,NA,8,168,7,22,41,1,NA,2,NA,NA,NA,NA,4,1,1,NA,2,5,2,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,NA,44,41,NA,4,19,NA,NA,14,2,1,1,NA,1,NA,NA,NA,17,44,4,2,NA,2,1,23,30,2,84,1,9,174,NA,3,4,1,NA,5,8,NA,2,3,4,25,15,NA,12,7,2,5,1,7,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,4,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,345,4,41,1,NA,10,6,NA,NA,19,NA,1,NA,NA,12,1,NA,NA,18,1,2,10,NA,1,NA,141,14,1,78,1,10,158,1,9,3,3,NA,8,7,NA,1,2,2,17,12,NA,12,2,2,NA,3,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3,8,NA,NA,1,NA,NA,NA,NA,NA,2,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,7,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,170,NA,36,5,NA,11,23,NA,NA,12,NA,NA,2,NA,4,1,NA,NA,5,1,4,3,NA,7,NA,33,20,6,69,1,11,337,1,1,5,4,NA,6,2,NA,NA,NA,4,17,9,NA,4,2,9,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,11,NA,NA,3,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,190,NA,34,4,NA,17,20,NA,NA,19,1,1,NA,NA,5,NA,1,NA,6,NA,1,4,NA,1,NA,34,10,4,76,NA,6,186,NA,12,5,1,1,3,2,NA,3,2,1,5,7,NA,8,2,26,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,NA,7,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,NA,1,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,NA,64,47,2,13,53,NA,3,28,5,NA,3,NA,5,NA,1,NA,15,56,6,NA,NA,3,1,43,61,4,147,NA,15,340,1,9,24,5,1,15,9,NA,2,1,1,9,12,NA,11,5,14,5,1,4,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3,NA,1,NA,NA,NA,4,6,NA,NA,5,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,5,NA,NA,7,NA,2,NA,NA,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,415,NA,28,30,NA,1,25,NA,3,19,3,NA,NA,NA,5,1,NA,NA,1,40,25,3,NA,10,1,1063,157,5,126,2,18,382,NA,4,12,2,NA,18,5,NA,NA,4,2,7,25,NA,4,4,8,2,1,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,12,NA,NA,2,NA,2,NA,2,NA,3,1,NA,1,2,5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,6,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,355,NA,55,3,NA,8,13,NA,1,19,2,4,NA,NA,7,1,NA,NA,13,2,2,4,NA,NA,NA,110,14,2,78,NA,5,133,1,7,4,6,NA,12,5,NA,NA,2,2,18,9,NA,16,3,6,1,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,NA,3,NA,1,1,NA,1,NA,NA,NA,4,NA,NA,3,NA,1,8,NA,2,2,NA,NA,NA,NA,8,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,4,1,3,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,195,NA,65,4,NA,25,38,NA,1,32,NA,2,NA,NA,12,NA,NA,NA,8,3,4,6,NA,6,NA,55,16,8,123,2,19,284,NA,14,9,4,NA,8,3,NA,4,2,2,23,32,NA,7,3,34,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,5,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10,NA,3,NA,NA,NA,1,1,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,1,NA,2,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,NA,2,NA,NA,NA,1,1,NA,4,2,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA
NA,NA,NA,235,NA,43,1,NA,7,39,NA,NA,46,NA,NA,NA,NA,7,NA,NA,NA,3,NA,7,7,NA,2,5,43,21,5,71,1,13,173,NA,4,9,8,1,2,6,NA,1,NA,1,6,16,NA,6,4,16,2,3,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,11,NA,NA,2,NA,NA,NA,NA,NA,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,2,1,NA,NA,2,NA,5,NA,NA,NA,1,3,1,1,NA,NA,NA,4,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,6,NA,NA,NA,NA,1,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
NA,NA,NA,300,NA,64,10,2,21,42,NA,2,40,NA,5,2,NA,6,1,NA,NA,33,3,8,3,NA,2,NA,67,31,5,118,NA,11,290,1,7,12,5,NA,15,16,NA,1,3,6,22,16,NA,29,4,6,2,4,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,15,NA,NA,2,NA,NA,NA,1,NA,4,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,4,NA,NA,24,NA,9,2,NA,NA,6,NA,3,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,NA,2,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
