sample_name,depth,Monoletes undiff.,Poaceae undiff.,Asteraceae undiff.,Cyperaceae undiff.,Triletes undiff.,Podocarpus,Euphorbia-type,Suaeda-type monoica,Rubiaceae undiff.,Amaranthaceae/Chenopodiaceae,Indeterminable,Undetermined,Hypoestes-type,Ericaceae undiff.,Juniperus procera-type,Rumex,Acacia,Plantago africana-type,Olea capensis-type,Euclea,Dodonaea viscosa-type,Acanthus-type,Combretum-type molle,Typha,Myrica,Nuxia/dobera,Lamiaceae undiff.,Lannea-type,Celtis,Acalypha,Hagenia abyssinica,Apiaceae undiff.,Clematis-type,Malvaceae undiff.,Syzygium-type,Artemisia,Allophylus,Phytolacca,Ricinus communis,Trilepisium-type madagascariensis,Urticaceae undiff.,Maesa lanceolata-type,Protea-type,Capparidaceae undiff.,Anthospermum,Cyathula-type orthacantha,Vahlia somalensis-type,Scrophulariaceae undiff.,Adenium-type obesum,Fabaceae undiff.,Polygonum senegalense-type,Sapotaceae undiff.,Portulacaceae undiff.,Bersama abyssinica-type,Brucea antidysenterica-type,Commelina-type benghalensis,Rosa abyssinica-type,Cichorieae undiff.,Achyranthes-type aspera,Sapindaceae undiff.,Anthocerotaceae undiff.,Polygala-type,Rhus-type,Hypericum,Phyllanthus-type amarus,Brassicaceae undiff.,Zanthoxylum-type usambarense,Menispermaceae undiff.,Monocotyledoneae undiff.,Steganotaenia-type,Ilex mitis,Dipsacus-type pinnatifidus,Galiniera-type saxifraga,Combretaceae undiff.,Celastraceae/Hippocrateaceae undiff.,Digera-type muricata,Resedaceae undiff.,Acanthaceae undiff.,Ephedra,Dombeya-type,Potamogeton thunbergii-type,Commiphora,Cucurbitaceae undiff.,Caryophyllaceae undiff.,Prunus africana-type,Cissus-type quadrangularis,Araliaceae undiff.,Trichocladus ellipticus-type,Ipomoea-type,Thymelaeaceae undiff.,Borassus-type aethiopum,Tribulus,Centaurea-type,Rhamnaceae undiff.,Pteridophyta undiff.,Croton-type,Caesalpiniaceae undiff.,Macaranga-type,Solanum-type,Aizoaceae undiff.,Laurembergia tetrandra,Salix subserrata-type,Ebenaceae undiff.,Alchemilla,Ekebergia-type,Ranunculaceae undiff.,Cussonia,Thalictrum,Caucanthus-type,Rubia-type,Corchorus-type fascicularis,Dyschoriste-type,Pinus,Trema-type orientalis,Tamarix,Carduus-type,Buxus hildebrandtii-type,Hydrocotyle,Polyscias fulva-type,Ficus,Balanites rotundifolia-type,Chenopodiaceae undiff.,Grewia-type tenax,Phoenix reclinata-type,Vernonieae undiff.,Kohautia-type caespitosa,Cyathea-type manniana,Teclea-type,Isoglossa,Euphorbiaceae undiff.,Flueggea-type virosa,Pilea-type bambuseti,Crassocephalum-type montuosum,Myrsine africana,Swertia-type kilimandscharica,Dorstenia foetida-type,Ranunculus stagnalis-type,Hallea-type rubrostipulata,Apodytes dimidiata,Carissa-type edulis,Tacazzea-type apiculata,Tarenna-type graveolens,Mimulopsis-type,Gunnera perpensa,Psydrax-type schimperiana,Lactuceae undiff.,Rubus pinnatus-type,Stoebe kilimandscharica-type,Vepris-type daniellii,Nymphaea lotus-type
,2150,9,267,2,173,9,45,5,,,2,44,5,,,,,,,1,3,,1,,10,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,27,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,15,299,8,22,14,95,1,7,,,6,12,,5,,1,,,9,,1,,3,5,5,,,,,,5,,2,,,,1,,,1,,,1,,6,,,,,,,,,,,,,,,,,,1,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,325,34,272,3,39,15,75,,,11,2,3,4,,3,,2,,,7,,2,,,12,12,,,,,,3,1,,,,,4,,,,4,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,350,40,295,4,31,14,69,1,2,,1,2,4,,4,,2,,,18,1,2,,,8,9,,,,3,1,3,2,,,,1,,,1,,,,,,5,,,,,3,,,,,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,29,287,9,41,17,69,,,,2,1,1,,1,,2,,,11,,5,,,8,27,,2,,,3,2,3,,,,,,,3,,,,,,8,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,21,333,11,36,4,46,1,,,6,4,7,,,,,,,12,,1,,1,17,1,,,,,,,2,3,,,,,,,1,1,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,425,84,185,6,18,39,153,,,,2,8,1,2,3,,,,,7,,,,,7,6,,,,,,,,,,,,1,,,,,,,,5,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450,25,322,7,49,12,81,,2,,4,7,5,,2,1,1,,,10,,1,,,13,16,,,,2,,1,1,5,,,,,,6,,,,,,6,,,1,,,,,,,,,,5,,1,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,475,26,214,7,111,15,167,,8,,5,8,,,,2,,,,5,,,,,18,7,,,,7,,,1,2,,,,,,2,1,,,,,1,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,500,38,170,6,140,31,137,1,31,,6,10,3,,,,,,,2,,,1,8,9,2,2,,1,,,3,,2,,,,,,,,,2,,,1,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,525,27,104,1,106,9,40,,14,,3,5,,,2,,1,,,2,,,,,199,2,,,,,,1,,,,,,,,1,,,,,,1,2,,,,1,,,,1,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,535,6,274,,118,1,46,3,2,,6,64,2,,1,,,,1,,,,,1,16,1,,,,,,,,,,,1,1,,1,,,,,,1,9,1,,,5,,,,,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,550,34,180,4,44,28,71,,3,,1,18,,,,,,,,1,,,,,3,1,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,575,36,315,6,41,22,126,,4,1,1,3,1,1,1,3,3,,,3,,2,,2,36,5,,,,2,,2,2,3,,1,,1,,1,,1,,,,4,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,4,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,600,28,216,8,36,30,124,32,3,1,3,6,6,,,2,1,,1,8,,,,1,18,2,,,,,,5,,,,,,,,,,,,,,2,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,625,24,280,18,48,14,77,1,6,1,5,10,2,,,6,5,,3,15,,,,3,15,2,,,,2,,2,1,2,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,650,14,221,4,66,9,100,2,7,,4,7,1,1,,1,,1,,2,1,1,,,41,4,1,,,1,,1,,1,1,,1,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,675,13,268,11,50,11,59,4,4,2,1,8,5,,,2,1,,1,2,,3,,,30,2,,,,1,,5,,,,3,1,1,,,1,,,,,1,,,,,1,,,,,,,,7,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,700,34,215,10,97,22,53,2,8,,1,13,7,2,,3,1,,1,2,1,2,,,23,3,,,,1,,1,,2,,,,1,,9,,2,,,,,,,,,1,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,725,1,89,7,4,2,16,,4,,2,1,1,,,1,,,2,3,,,,1,12,,,,,,,,,,,1,1,,,,,1,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,775,2,64,7,24,9,24,2,2,,6,11,6,,1,3,1,1,4,6,1,1,,,6,,,,,,,1,1,,,,1,,,2,,4,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,800,3,90,2,24,6,12,,1,,,7,,,,6,4,,3,,,,1,,8,,,,,1,,,,1,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,978,1,28,4,3,,11,3,,1,,2,5,,,,1,,4,,,,,,2,,,,,,,,,,,1,3,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000,23,326,4,42,20,86,9,1,,2,8,2,,6,5,,,,6,,1,,,3,4,,,,1,,4,1,1,,3,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1125,28,157,12,86,10,139,1,1,,1,25,4,,,5,5,,4,3,,3,,,6,1,,,,1,,,1,,,2,8,,,,,4,,,,,,1,,,1,,,,,,,,2,,,14,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1150,7,132,9,15,2,15,,,2,1,14,4,,,3,2,,2,9,,,,,2,4,,1,,,,1,1,,,,5,,,,,9,,,,,,2,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200,45,116,,141,32,138,,,,2,18,1,,,1,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1250,20,123,,84,5,80,,,,2,21,3,,,1,,,1,,,,,,3,,,,1,,,,1,,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1275,3,60,2,14,3,18,,,,,14,2,,1,4,,,,2,,1,,,1,,,,1,,,,,,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1485,15,148,1,91,,40,,,,1,25,1,1,,1,,,1,,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1555,8,302,5,137,3,61,3,1,,5,21,4,1,,,,,1,,,,1,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,13,198,3,115,30,80,2,,,6,46,4,,,3,,1,,1,,,,1,17,3,,,,,,,2,,,,2,,,,,1,,,,,,,,,6,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,6,27,,21,8,29,,,,,3,4,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2050,42,99,1,112,22,168,1,,,4,25,2,,,2,,,7,1,,1,,,8,,,,,,,,4,,,,1,,,,,7,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2125,8,230,2,181,6,27,2,2,,4,36,6,,,,,,,,3,,1,,11,1,,,,,,,,,,,,,,,,,,,,1,,,,,15,,,,,,,,,,,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2200,14,274,1,150,8,29,,1,,2,39,7,,,1,,,1,,,,,,5,1,,,,,,,,2,,,,1,,,,,1,,,1,,,,,3,,,,,,,,2,,,4,3,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2225,7,259,4,141,5,49,1,,,7,47,1,,,2,,,,,,,,,12,,1,,,,,1,,,,,,1,,,,,,,,1,,,,,13,,,,,,,,3,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2250,10,237,4,174,6,53,1,,1,2,28,5,,,1,,,,,,,,1,13,1,,,,,,,,1,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2275,24,206,,144,10,86,1,,,1,25,,,,1,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2300,17,49,1,78,2,53,3,,,1,16,,,,,,,,,,,,1,5,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2325,28,181,,142,2,120,,1,,6,19,1,,,,,,,,,1,,1,12,,,,,,,,,,,,,1,,,,,,,,,,,,,10,,,,,,,,5,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2350,17,182,5,153,3,69,,4,,5,26,1,,,,,,,2,,,,,35,1,,,,,,,,,,,,,,,,,,,,1,,,,,22,,,,,,,,5,1,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2375,18,207,4,118,4,81,1,1,,3,32,1,1,,,,,1,1,1,1,,,28,,,,,,,,,,,,,,,,,,,,,1,,,,,15,,,,,,,,4,1,,9,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2400,27,187,3,125,,103,2,2,,2,41,3,,2,1,1,,,2,,,,1,27,,,,,,,2,1,1,,,,1,,,,1,,,,1,,,,,9,,,,,,,,2,,,12,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2425,89,158,2,106,12,104,,,,2,14,,,,1,,,,,,,,,7,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2450,44,114,,101,8,60,,,,,12,,,,2,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2475,50,91,2,76,7,89,,1,,,9,1,,,4,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,25,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2500,7,60,1,36,2,5,,,,,19,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2525,12,49,,19,3,26,,,,,5,,,,11,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2575,14,88,,31,1,49,,,,2,8,2,,,6,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2600,2,69,1,22,1,20,15,3,,,11,2,,1,3,2,,,,1,,,,1,4,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2625,5,37,,23,,23,,,,,4,,,2,1,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
