"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Lycopodium tablets","Euphorbia","Sanguisorba","Lythrum","Liliaceae","Juglans","Helianthemum","Nerium","Lamiaceae (hexacolpate)","Lamiaceae (tricolpate)","Ulmus","Vitis","Thymelaeaceae","Pistacia","Typha angustifolia-type","Cistus","Rumex conglomeratus-type","Sordariaceae","Prunus-type","Quercus (deciduous)","Phillyrea","Genista-type","Glomus","Berberis","Cyperaceae","Cichorioideae","Brassicaceae","Fungi undiff.","Asteroideae","Olea","Amaranthaceae","Plantago","Artemisia","Juniperus","Poaceae","Bryophyta","Pinus","Coniferae undiff.","Quercus (evergreen)","Pollen concentration","Lycopodium spike","Charcoal","Spirogyra (psilate)","Collembola","Copepoda (type 179, HdV)","Caryophyllaceae","Pteridophyta","Pteridophyta (monolete)","Euastrum bidentatum (type 985, HdV)","Tilletia","Puccinia","Unknown (type 222, HdV)","Pseudoschizaea","Centaurea","Ononis-type","Ephedra fragilis","Pluricellaesporites","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Euastrum ansatum (type 984, HdV)","Unknown (type 181, HdV)","Unknown (type 224, HdV)","Equisetum","Polyadosporites","Oribatida","Solanaceae","Lotus","Selaginella denticulata","Gelasinospora","Rhizopoda","Unknown (type 988, HdV)","Dictyosporiaceae","Invertebrata (type 219, HdV)","Teucrium","Ophioglossum","Chaetomium","Ericaceae","Trichuris","Betula","Rhamnus","Rivularia","Ranunculaceae","Gloeotrichia","Alnus","Corylus","Sparganium","Dipsacoideae","Zygnema","Apium","Botryococcus","Tetraëdron cf. T. minimum","Spermatophyta undiff. (aquatics)","Potamogeton","Epilobium","Polypodium","Crocus","Closterium idiosporum-type","Rubiaceae","Mougeotia","Unknown (type 128, HdV)","Unknown (type 119, HdV)","Ceratophyllum","Myriophyllum spicatum","Unknown (type 304, HdV)","Asplenium-type","Myrtus","Fraxinus","Campanula","Polygonum","Buxus","Nuphar","Salix","Apiaceae","Scrophulariaceae","Alisma","Botrychium","Thalictrum","Bupleurum","Isoëtes","Acer","Sorbus","Viola","Hydrocotyle"
4204.9,NA,NA,274,"1.3","12542, 2","","","2","","","3","","1","","1","","","11","16","1","","","","26","8","","7","","6","1","","10","2","","3","2","1","","39","","16","16","58","33540.3","149","240692.3","1","","3","","4","4","","","","","","","","","3","4","","7","1","2","","","","","","","1","","","1","","","","13","","","3","","","","6","9","","","1","","12","","13","7","","","","2","","","11","11","","6","2","","","4","","1","7","","","","","","","","","","","","",""
4261.5,NA,NA,278,"1.6","12542, 2","","","","","","","","","","","","","11","2","","","","","38","3","","","","7","3","","","5","","5","2","","","27","","10","10","80","23417.03","158","118500","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","8","","","2","","","","3","5","1","","6","","","","13","12","","","","12","","","10","10","","","1","","","7","","","2","1","","","","","","","","","","","",""
4318.6,NA,NA,282,"1.5","12542, 2","","","","","","","","","","","","","19","6","3","","","","19","7","","4","","6","2","","7","2","1","3","3","2","1","33","","27","28","61","29154.65","152","40533.33","","","4","","","","","","","","","","","","3","2","","","","1","","","","","","","","","","19","","","","21","","4","10","","","","6","2","","","1","","11","1","18","11","","","","11","","","3","11","","7","","","","3","","","3","","1","1","","","","","","","","","",""
4375.3,NA,NA,286,"1.6","12542, 2","","","","","","","","","","","","","8","11","1","","","","48","1","","7","","6","4","","7","1","1","3","4","1","1","31","","19","20","76","27409.67","151","56625","","","","","","","","","","","","","","","","4","","12","","","","","","","","","","","","3","","","","6","","2","3","","1","","4","3","1","","1","","","1","13","6","","","","1","","","4","12","1","6","12","","","11","","","2","1","1","1","","","","","","","","","",""
4518.7,NA,NA,296,"1.5","12542, 2","","","","","","3","","","","","","","25","23","3","","","","29","5","","12","","5","6","","12","3","","5","4","3","","31","","17","17","52","34236.27","148","69066.67","","","4","","","","","","","","","","","","","","","2","","","","","","","","","","","","15","","","","11","","3","4","","1","","7","16","","","","","1","4","17","13","","","","12","","","6","18","1","4","","","","17","","6","","","4","2","1","","","","","","","","",""
4677.8,NA,NA,307,"1.7","12542, 2","","","","","","1","","","","","","","19","22","1","","","","32","3","","5","","3","4","","5","15","","","4","1","1","20","","17","18","80","25641.82","164","135058.8","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","6","","","","16","","1","3","","1","","4","7","1","","","","2","1","7","5","","","","11","","","3","17","","1","","","","12","","3","1","1","3","3","","","","","","","","","",""
4867.2,NA,NA,320,"1.5","12542, 2","","","","","","2","","","","2","","","17","21","","","","","39","6","","8","","6","4","","8","8","","","1","1","","34","","16","16","67","36863.11","137","54800","","","","","3","3","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","16","","3","","","","","4","13","","","","","","","20","17","","","","2","","","14","16","","2","11","","1","7","","1","2","1","4","2","","","","","","","","","",""
5011.4,NA,NA,330,"1.5","12542, 2","","","","","","2","","","","4","","","26","19","","","","","29","5","","6","","7","6","","6","14","","","5","2","","29","","28","28","54","38590.77","156","83200","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","1","","","","31","","5","","","","","16","9","","","1","","","1","24","15","","","","1","","","10","18","1","5","9","","1","13","","2","1","3","7","9","","1","","","","","","","",""
5098.7,NA,NA,336,"1.1","12542, 2","","","","","","5","","","","7","","","7","5","","","","","46","3","","","","4","","","7","4","","2","","4","3","36","","35","38","74","119311.9","56","35636.36","","","","","1","","","","","","","","","","","","","","","","7","","","","","","","","","2","","","","19","","4","","","","","2","2","","","","","","","15","12","","","","6","","","13","19","","2","","","1","4","","","1","","7","","","1","1","2","","","","","",""
5127.4,NA,NA,338,"1.2","12542, 2","","","","","","","","1","","2","","","2","8","1","","","","43","","","","","13","","","19","","","","1","","3","25","","32","35","51","34548.57","144","132000","","","","","","","","","","","","","","","18","","","","","","1","","","","","","","","","14","","","","15","","2","","","","","2","11","","","","","","","11","9","","","","1","","","13","24","","2","9","","","9","","","","","4","","","","","2","","","","","",""
5156.4,NA,NA,340,"0.7","12542, 2","","","2","","","2","","","2","6","","","11","11","","","","","106","","","","","2","","","23","7","2","7","1","","4","63","","30","34","59","127841.2","111","111000","","","","","3","","","","","","","","","","14","","","","","","8","","","","","","","","1","","1","","","22","","9","1","","","","13","15","","","","","1","","6","2","","","","4","","","27","11","","1","2","1","1","1","","","","1","3","3","","","2","1","2","2","","","",""
5186,NA,NA,342,"0.8","12542, 2","","","","","","","","","","1","","1","2","6","","","","","63","","","","","18","","","8","","","","1","9","3","44","","28","31","46","59640.28","143","214500","","","","","1","","","","","","","","","","6","","","","","","","","","","","","","","2","2","","1","","6","","1","","","","","","16","","1","3","","3","1","9","7","","","","5","","","21","32","","1","","","2","2","","","2","","7","2","","","","1","","1","","","",""
5215.5,NA,NA,344,"1.5","12542, 2","","","","","","6","","","","1","","","1","3","","","","","64","3","","","","2","","","26","3","","3","4","7","3","31","","17","20","57","72945.42","58","42533.33","","","","","1","","","","","","","","","","16","","","2","","","9","","","","","","","","","11","","","1","11","","1","","","","","","17","","","4","","1","1","8","7","","","","5","","","22","27","","1","2","","2","2","","","2","","4","","","","1","","","","","","",""
5273.5,NA,NA,348,"1.3","12542, 2","","","","","","","","1","","3","","","10","","1","","","","77","7","","","","3","1","","45","","3","2","5","","6","35","","19","25","78","33607.89","182","224000","2","","","","","","","","","","","","","","33","","","1","","","1","","","","","","","","11","6","","","","24","","7","1","","","","1","15","","","6","","11","7","4","4","","","","13","","","16","28","","","9","","2","6","","","1","","3","","","","","","","","2","","",""
5331.6,NA,NA,352,"1.2","12542, 2","","","","","","","","","","3","","","8","","","","","","66","4","","","","14","3","","34","","","2","4","1","7","34","","23","30","31","39484.07","162","135000","9","","","","","","","","","","","","","","25","","","1","","","6","","","","","1","","","2","13","","","","18","","4","1","1","1","1","12","18","","","","1","21","5","18","10","","","","17","","","31","35","","7","6","","6","14","","","2","1","7","","","","","1","","","2","1","",""
5387.5,NA,NA,356,"1.5","12542, 2","","","","","","","","","","3","","","7","","","","","","71","4","","","","5","","","39","2","","","3","","3","24","","27","30","26","83613.34","54","39600","2","","","","","","","","","","","","","","26","","","1","","","6","","","","","","","","7","8","","","","15","","12","1","1","","1","5","11","","","1","","4","7","17","12","","","","3","","","18","34","","5","15","","1","19","","","2","","9","","","","","1","","","2","","",""
5446.9,NA,NA,360,"1.5","12542, 2","","","","","","","","","","3","","","14","","","","","","79","4","","","","3","","","24","","1","","","1","3","23","","22","25","27","79754.26","52","0","3","","","","","","","","","","","","","","4","","","8","","","18","","","","","1","","","","16","","","1","16","","6","1","1","","","1","16","","","4","","6","1","11","11","","","","11","","","13","24","","","14","","","13","","","","","","","","","","","","","3","1","",""
5490.4,NA,NA,363,"1.2","12542, 2","","","","","","","","","","","","","13","","","","","","109","","","8","","5","","","25","","","1","","1","1","32","","35","36","37","42081.71","152","50666.67","3","","","1","","","","","","","","","","","7","","","1","1","","9","","","","","1","","","","21","","","","6","","13","","","","","1","17","","","6","","17","13","11","9","","","","19","","","18","29","","1","5","","","22","","","","1","","","","","","","","","","1","",""
5548.6,NA,NA,367,"1.2","12542, 2","","","","1","","","","","","3","","","14","","","","","","157","","","5","","6","1","","6","","","1","2","1","1","49","","45","46","36","68364.18","122","0","","","","1","","","","","","","","","","","","","","12","1","","1","","","","","","","","","18","","","","","","16","","","6","","5","3","","","1","","20","6","29","17","","","","8","","","43","30","","11","9","","","21","","","","1","","","","","","","","","","","1",""
5592.4,NA,NA,370,"1.2","12542, 2","","","","","","","","","","","","","6","","","","","","58","","","","","7","","","16","","1","","2","","","22","","43","43","13","52526.32","78","45500","","","","","","","","","","","","","","","11","","","","4","","5","","","","","","","","","8","","","","","","8","","","","1","4","2","","","5","","39","3","17","8","","","","3","","","39","61","","9","5","","","11","","","","","2","","","","","","","","","","",""
5635.5,NA,NA,373,"1.2","12542, 2","","","","","","","","","","3","","","7","4","","","","","49","","","","","7","","","25","","","","","1","","49","","42","42","19","34542.39","141","0","9","","","","","","","","","","","","","","21","","","5","","","3","","","","","","","","1","","","","","6","","3","","","","","4","11","","","9","","38","23","13","13","","","","28","","","1","59","","","1","","","10","","","","","4","","","","","","","","","1","",""
5693.6,NA,NA,377,"1.9","12542, 2","","","1","","","","","1","","4","","","6","3","1","","2","","58","","","23","","14","","","42","1","","1","1","1","1","26","","50","51","17","34351.11","103","0","14","","7","","12","12","","","","","","","","","6","2","","21","12","","11","","","","","","1","","","1","","","","1","","10","","","1","","1","19","","","12","","15","11","6","4","1","","","6","","1","2","13","","","12","","","16","","1","","1","12","","","","","","","","2","","","1"
5737.2,NA,NA,380,"1.9","12542, 2","","","2","","","","","","","3","","","","","","","","","53","","","14","","18","","","82","","","","","1","","19","12","41","41","9","24067.55","113","0","","","9","","20","20","","","","","","","","","22","13","","28","22","","44","","","","","1","","","1","","","","","","","7","","","1","","3","9","","","8","","28","","5","3","","","","2","","","5","4","","2","2","","","2","","","","","","","","","","","","","1","","",""
5795.3,NA,NA,384,"1.9","12542, 2","","","1","","","","","","","","","","7","","","","3","","62","","","","","20","","","31","","","1","5","1","1","18","13","48","49","19","23303.04","149","0","16","","4","","7","7","","","","","","","","","9","","","13","1","","17","","","","","1","","","1","1","","","","","","8","","","1","1","9","8","","","4","","21","8","5","4","1","","","4","","","16","3","","","","","","16","","","","1","11","","","","","","","","1","","",""
5853.9,NA,NA,388,"1.9","12542, 2","","","","","","","","","","","","","9","","","","5","","74","","","","","7","","","31","","","","","1","1","34","11","70","71","4","19451.62","169","17789.47","3","","","","1","1","","","","","","","","","21","","","12","21","","4","","","","","","","","1","","","","","","","15","","","1","","1","4","","","9","","17","","12","11","","","","9","","","21","4","","1","4","","","4","","","","","","","","","","","","","","","",""
5911.9,NA,NA,392,"1.9","12542, 2","","","1","","","","","2","","3","","","4","","","","","","67","","","","","3","1","","39","1","","","3","2","2","22","","69","71","26","28483.28","127","6684.21","5","","","","1","","","","","","","","","","4","12","","14","13","","35","","","","","","","","","","","1","","","","9","","","","","3","23","","","9","","31","","6","4","","","","8","","","24","9","","","4","","","14","","","","","12","","","","","","","","","","","2"
5983.6,NA,NA,397,"1.6","12542, 2","","","1","","","","","","","","","","","7","","","","","69","","","10","","8","","","55","","1","","2","1","1","49","2","66","67","9","21666.66","178","0","","","8","","4","1","","","","","","","","","3","2","","12","1","","41","","","","1","1","","","","","","2","","","","5","","","","1","2","2","","","9","","14","","8","2","","","","1","","1","12","15","","3","3","","","8","","","","","","","","","","","","","1","","","3"
6041.3,NA,NA,401,"1.6","12542, 2","","","1","","","","","","","3","","","13","1","","","6","","77","","","1","","3","1","","32","","1","2","","1","1","34","","76","77","12","26977.52","154","0","1","","8","","1","","","","","","","","","","17","","","20","1","2","6","","","","","","","","2","","","1","","2","","8","","","1","","","3","","","1","","26","","8","6","","","","9","","","2","18","","2","4","","","3","","","","","11","","","","","","","","","","",""
6099.7,NA,NA,405,"1.6","12542, 2","","","","","","","","","","","","","2","2","","","3","","66","","","3","","9","","","23","","","","","2","4","18","","39","43","23","18229.65","172","32250","","","3","","2","","","","","","","","","","7","","","31","12","4","8","","","","1","","","","2","","","1","","2","","6","","","","","1","","","","8","","12","","14","9","","","","9","","","2","12","","2","1","","","6","","","","","","","","","","","","","","","","3"
6180.4,NA,NA,410,"1.4","12542, 2","","","1","","","","","","","","","","2","","","","12","","16","","","24","","38","","","82","1","","5","","1","2","57","8","72","74","24","25477.56","173","49428.57","1","","6","","2","1","","","","","","","","","17","2","","26","21","7","29","1","","","1","","3","","","","","","","","","4","","","1","","","2","2","","8","","9","","1","1","","","","2","","","8","9","","","8","","","","","","","","","","","","","","","","","","",""
6303.5,NA,NA,414,"1.4","12542, 2","","","1","","","","","","","","","","8","2","1","","","","6","","","12","","11","","","74","","","","","6","3","56","11","76","79","26","26168.46","152","76000","","1","4","","","","","","","","","","","","14","1","","8","31","","44","1","","","","1","3","","3","","","","","3","","3","","1","1","1","","","3","","21","","24","7","4","","1","","","3","","","18","4","","4","2","","","","","","","","","","","","","","","","","","",""
6424.9,NA,NA,418,"1.2","12542, 2","","","","","","","","1","","1","","","1","","","","","","13","1","","1","","9","","","32","","","","1","2","2","31","9","83","85","10","24253.23","156","13000","3","","","","1","","","","","","","","","","","","","4","1","","29","2","","","","1","","","","","","1","1","1","","2","","1","","","3","1","","","9","","7","3","8","6","","","","9","","","21","12","2","2","4","","","","","","","","1","","","","","","","","","","",""
6545.3,NA,NA,422,"1.2","12542, 2","","","","","","","","","","","","","2","","","","1","","2","","","16","","26","1","","44","","","","","4","2","52","8","78","80","21","31645.32","144","12000","","","","","1","1","","","","","","","","","8","","","24","2","","16","1","","","","1","","","","","","","2","1","","4","","","","1","1","1","","","12","","19","","10","3","","","","4","","","20","23","","5","8","","","3","","1","","","","","","2","","","","","","","",""
6666.7,NA,NA,426,"1.6","12542, 2","","","","","","","","","","","","","8","","","","","","6","","","16","","9","","","38","","","1","2","7","4","36","","69","73","12","36439.59","74","13875","","","5","","","","","","","","","","","","3","1","","9","1","","16","","","","","1","","","","","","","2","","","","","","","","","","","","6","","8","","7","","","","","","","1","1","7","1","4","4","","","10","","","","1","1","","","2","","","","","","","",""
6791.4,NA,NA,430,"1.7","12542, 2","","","","1","","","","","","","","","4","","1","","12","","7","","","9","","12","","","65","1","","","","3","2","26","","76","78","16","12701.72","194","45647.06","11","1","2","","1","","","","","","","","","","11","1","","1","1","","27","1","","","","","","","6","","","1","","","","3","","1","","1","","","1","","29","","23","5","6","4","","","","2","","","2","11","","","9","","","6","","1","","1","","","","1","","","","","","","",""
7247.5,NA,NA,445,"1.4","12542, 2","","","","1","","","","","","","","","3","","","","1","","6","","","6","","6","","","19","","","","2","3","3","13","","67","70","12","20929.76","113","56500","2","","3","","","","","","","","","","","","4","","","13","","","8","3","","","","","","","","","","","","1","","2","","","","3","","2","","","10","","7","2","6","4","","","","","","","2","3","","2","7","","","3","","2","","","","","","","","","","","","","",""
7486.9,NA,NA,453,"1.4","12542, 2","","","","","","","","","","","","","","","1","","1","","5","","","9","","6","","","23","","1","2","","3","4","17","","88","92","15","36331.98","72","56571.43","12","","10","","","","","","","","","","","2","6","","","7","","","7","","","","","","","","","","","","","1","","","","1","1","","","","","","12","","11","","","","","","","2","","","5","6","","","8","","","","","","","","","","","","","","","","","","",""
7572.2,NA,NA,456,"1.6","12542, 2","","","","","","","","","","","","","2","","","","","","6","","","","","7","","","","","","2","","4","5","18","","97","102","3","16467.01","139","121625","","","6","","","","","","","","","","","","","","","14","1","","","","","","","","","","","","","","","1","","","","","1","","","","","","13","","11","1","","","","","","1","","","10","7","","","14","","","","","","","","","","","","","","","","","","",""
7680.9,NA,NA,460,"1.6","12542, 2","","","","","","","","","","","","","2","","","","","","1","","","2","","5","","","2","1","1","1","1","5","9","25","","87","96","","15677.5","143","241312.5","1","","8","","","","","","","","","","","2","","","","12","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","6","","12","","","","","","","2","","","5","5","","","32","","","","","","","","","","","","","","","","","","",""
7782.9,NA,NA,464,"1.2","12542, 2","","","","","","","","","","","","","1","","1","","","","2","","","","","5","1","","","","","1","1","2","10","31","","90","100","","20229.03","155","374583.3","","","","","","","","","","","","","","2","","","","11","1","","","","","","","","","","","","","","","","","","","","1","4","","","","","12","","11","1","2","1","","","","1","","","25","10","","","29","","","","","","","","","","","1","","","","","","","",""
7964.8,NA,NA,471,"1.2","12542, 2","","","","","","","","","","","","","","","","","","","1","","","","","3","","","","","","","","14","11","13","","110","121","","19776.81","167","264416.7","","","","","","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","1","","","","3","2","","","","","","4","","2","3","3","2","","","","6","","","34","20","","1","45","","","","","","","","","","","","","","","","","","",""
8149.8,NA,NA,478,"1.6","12542, 2","","","","","","","","","","","","","","","","","","","1","","","2","","4","","","2","","2","1","","4","2","29","","120","122","","15237.12","178","200250","","","","","","","","","","","","","","1","","","","16","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","10","","7","7","","","","3","","","12","26","","","28","","","","","","","","","","","","","","","","","","",""
8306.8,NA,NA,484,"1.4","12542, 2","","","","","","1","","1","","","","","1","","1","","","","","2","","2","","","","","2","","1","3","","12","7","10","1","101","108","3","14805.22","190","176428.6","1","","","","1","1","","","","","","","","1","","","","3","","","","","","","","","","","","","","","","1","","","1","1","","","","1","2","","2","1","8","","5","3","","","","5","","","29","27","2","1","12","","","","","","","","","","","1","","","","","","","",""
8466,NA,NA,490,"1.5","12542, 2","","","","","","","","1","","","","","1","1","1","","","","","2","","3","","","","","3","","1","","","12","6","18","1","79","85","","10591.02","210","294000","2","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","1","","1","","","1","","","","1","","5","1","7","1","5","4","","","","2","","","21","29","2","1","14","","","","","","","","","","","","","","","","","","",""
8621.6,NA,NA,496,"1.7","12542, 2","","","","","","","","","","","","","","","2","","","","","1","","6","","2","","","6","","","1","1","10","10","21","2","86","96","","10825.49","199","304352.9","","","","","","","","","","","","","","3","","","","6","","","","","","","","","","","","","","","","1","","","","","","","","","","","4","","7","","6","6","","","","1","","","54","20","3","","10","","","","","","","","","","","","","","","","","","",""
8751.6,NA,NA,501,"1.9","12542, 2","","","","","","","","","","","","1","","","","","","","","1","","3","","","","","3","","","2","2","7","8","22","","113","121","","10970.76","213","123315.8","","","","","5","5","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","2","","1","","","1","","","","","","5","","4","1","10","8","","","","10","","","41","27","","1","19","","","","","","","","","","","1","","","","","","","",""
8934.9,NA,NA,508,"2.1","12542, 2","","","","","","","","","","","","","","","","","","","1","","","1","","","","","1","1","1","5","3","6","7","4","","118","125","2","12549.56","158","240761.9","","","","","","","","","","","","","","1","","","","6","","1","","","","","","","","","","","","","","1","","1","","","","","","","","","2","","2","","14","11","","","","7","","","39","19","","1","14","","","","","","","","","","","","","","","","","","","2"
9013.4,NA,NA,511,"2.3","12542, 2","","","","","","","","","","","","","3","","1","","","","1","","","","","","1","","","","2","","","8","10","12","","99","109","","8454.719","218","142173.9","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","3","","","1","","1","","","1","","","","","","","20","13","","","","9","","","43","15","","2","12","","","","","1","","","","","","","","","","1","","","","4"
9117.4,NA,NA,515,"2.4","12542, 2","","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","1","3","","4","12","11","","104","116","","8361.333","200","125000","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","1","","","","","3","","","","","","","","8","","15","10","","","","1","","","67","32","1","1","11","","","","","1","","1","","","","","","","","","","","","3"
9221.1,NA,NA,519,"2.4","12542, 2","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","3","4","","2","8","10","1","121","129","","9345.67","189","126000","","","","","2","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","","","7","","12","7","","","","2","","","58","38","1","2","15","","","","","","","1","","","","","","","","","","","","2"
9299.3,NA,NA,522,"2.3","12542, 2","","","","","","","","","","","","1","","","1","","","","","","","","","","1","","","","","6","2","10","8","9","","93","101","1","9242.446","177","76956.52","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","6","","11","7","","","","4","","","32","41","2","1","16","","","","","","","2","","","","","","","","","","","","1"
9404.1,NA,NA,526,"2.5","12542, 2","","","","","","1","","","","","","","1","","","","","","","1","","2","","","","","2","","","3","3","1","9","12","","85","94","1","8435.893","157","144440","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","","","12","","9","5","","","","1","","","24","35","","2","20","","","","","","","","","","","","","","","1","","","","1"
9485.1,NA,NA,529,"2.8","12542, 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","5","7","18","","68","75","","4559.994","222","134785.7","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","1","","3","3","","","","","","","","","","3","","2","1","","","","1","","","42","23","","","3","","","","","1","","","","","","","","","","1","","","",""
9616.6,NA,NA,534,"3","12542, 2","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","3","","6","4","15","","66","70","","4160.664","209","104500","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","4","3","","","","","","","23","21","","","2","","","","","","","","","","","","","","","","","","","1"
