"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Potamogeton undiff.","Ulmus","Poaceae (Cerealia)","Rubiaceae","Carpinus betulus","Filipendula","Olea","Buxus","Veronica-type","Cornus suecica-type","Urtica undiff.","Indeterminable (corroded)","Pediastrum","Cladium","Salix","Vitis","Pistacia","Amaranthaceae","Ranunculus-type","Rumex undiff.","Quercus (evergreen)","Plantago coronopus-type","Lythrum salicaria-type","Sanguisorba minor-type","Nuphar","Juglans","Populus","Myriophyllum undiff.","Fraxinus excelsior-type","Urtica urens","Indeterminable (broken)","Artemisia","Platanus","Asteroideae","Mentha-type","Indeterminable (hidden)","Indeterminable (degraded)","Alnus","Corylus avellana-type","Apiaceae","Fraxinus ornus","Fagus","Pinus","Nymphaea","Ostrya-type","Unknown (monolete)","Cyperaceae undiff.","Carex","Quercus (deciduous)","Poaceae undiff.","Juniperus","Sparganium","Abies","Cichorioideae","Cannabis sativa-type","Tamarix","Phillyrea","Digitalis-type","Chrysosplenium-type","Sambucus nigra","Unknown (trilete) undiff.","Frangula","Indeterminable (crumpled)","Caryophyllaceae","Myriophyllum verticillatum","Myriophyllum alterniflorum","Myriophyllum spicatum","Ephedra fragilis-type","Oxyria-type","Brassicaceae","Typha latifolia-type","Betula","Plantago undiff.","Rosaceae","Crassulaceae","Ericaceae","Potamogeton","Androsace","Solanum dulcamara","Scrophularia-type","Rhamnus","Thalictrum","Acer campestre-type","Myricaria germanica","Tilia cordata-type","Hedera","Pedicularis","Liliaceae undiff.","Helianthemum","Viburnum","Lythrum portula","Ephedra distachya-type","Caltha-type","Gentianella campestris-type","Lamiaceae","Urtica pilulifera","Reseda lutea-type","Lonicera","Plantago lanceolata-type","Cirsium","Indeterminable (reworked)","Polygala","Centaurea undiff.","Gentianaceae undiff."
3814,NA,NA,449,1,NA,3,NA,NA,5,NA,1,1,NA,NA,NA,NA,NA,12,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,NA,NA,NA,3,17,3,3,1,3,1,78,NA,11,40,375,121,72,17,11,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4132,NA,NA,486,1,1,1,NA,NA,3,NA,NA,1,NA,NA,1,1,NA,17,NA,NA,NA,1,2,1,2,1,NA,1,8,NA,NA,NA,1,NA,4,NA,NA,1,NA,3,10,7,11,NA,3,6,79,14,16,16,31,9,115,31,10,15,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4459,NA,NA,524,1,NA,1,NA,1,6,NA,NA,1,NA,NA,1,1,NA,18,NA,NA,2,NA,NA,NA,1,1,1,NA,5,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,7,3,3,NA,1,5,49,17,16,26,21,15,64,22,19,20,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4778,NA,NA,561,1,NA,1,NA,1,8,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,4,1,NA,NA,2,NA,NA,NA,5,NA,1,NA,7,NA,4,1,NA,1,NA,1,8,10,3,1,NA,4,49,12,25,4,12,10,113,27,22,2,8,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,6,NA,1,NA,NA,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4950,NA,NA,581,1,NA,5,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,4,4,11,1,3,NA,68,12,51,14,8,11,81,35,18,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5053,NA,NA,593,1,NA,8,NA,2,13,NA,2,1,NA,NA,NA,1,1,7,NA,1,2,1,NA,2,1,2,1,NA,5,NA,2,NA,6,NA,1,3,NA,1,NA,2,2,11,7,1,4,4,53,24,23,12,26,3,80,51,16,5,6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5165,NA,NA,606,1,NA,1,NA,1,8,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,2,NA,1,NA,1,3,NA,NA,3,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,5,8,5,NA,4,10,65,22,27,7,8,14,82,55,12,3,8,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5268,NA,NA,618,1,NA,4,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,3,1,NA,NA,NA,NA,NA,5,NA,2,NA,5,NA,1,3,1,2,NA,1,5,10,4,NA,10,13,60,12,43,13,6,6,80,34,12,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5371,NA,NA,630,1,NA,4,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,4,NA,1,2,NA,NA,1,1,3,NA,NA,NA,NA,2,NA,2,1,2,1,NA,NA,NA,NA,4,2,11,NA,1,1,88,8,31,20,17,11,93,37,4,NA,10,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5483,NA,NA,643,1,NA,2,NA,1,11,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,11,1,1,6,NA,62,12,59,8,10,3,94,25,15,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,21,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5586,NA,NA,655,1,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,5,1,2,NA,1,NA,NA,NA,5,11,14,2,1,NA,86,19,45,2,10,13,73,24,12,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,13,NA,NA,1,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5689,NA,NA,667,1,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,1,1,3,5,7,4,NA,8,1,82,20,49,5,9,1,102,20,9,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,19,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5801,NA,NA,680,1,NA,NA,NA,1,10,NA,NA,1,NA,NA,NA,NA,NA,5,1,1,2,NA,NA,2,1,4,NA,2,4,NA,1,NA,3,NA,5,2,NA,2,2,3,2,10,7,NA,6,6,58,18,34,8,10,12,82,38,18,5,10,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5904,NA,NA,692,1,NA,2,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,8,NA,3,1,NA,NA,NA,1,1,6,8,NA,10,NA,82,10,50,10,20,2,82,28,8,3,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008,NA,NA,704,1,NA,2,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,1,1,NA,1,4,NA,NA,NA,2,NA,2,NA,NA,1,NA,2,NA,6,8,NA,3,1,77,8,44,4,12,5,98,17,8,NA,8,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6223,NA,NA,729,1,NA,2,NA,NA,10,NA,NA,1,NA,NA,NA,2,NA,5,NA,1,2,2,NA,NA,1,1,NA,NA,3,NA,NA,NA,5,NA,1,1,NA,NA,NA,3,1,5,18,1,8,1,65,9,47,13,7,10,90,24,14,NA,10,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6326,NA,NA,741,1,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,1,1,1,NA,1,NA,NA,NA,NA,3,NA,2,1,1,1,NA,NA,4,3,11,NA,7,NA,83,1,34,15,8,2,106,30,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6429,NA,NA,753,1,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,2,10,1,4,NA,100,2,38,7,5,7,91,19,8,1,5,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6541,NA,NA,766,1,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,NA,NA,NA,1,6,6,13,1,9,1,89,18,50,4,6,5,74,26,9,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6644,NA,NA,778,1,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,4,1,NA,1,2,NA,NA,NA,1,NA,1,NA,6,1,4,7,NA,NA,NA,4,1,3,15,3,7,2,71,3,6,15,9,4,83,54,15,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,2,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6747,NA,NA,790,1,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,15,1,3,2,NA,NA,NA,1,1,2,NA,4,NA,1,NA,5,NA,5,2,NA,NA,2,NA,9,6,20,2,11,2,54,15,55,9,8,2,63,47,17,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6859,NA,NA,803,1,NA,3,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,8,1,1,NA,NA,NA,NA,1,NA,1,NA,6,NA,1,NA,8,NA,3,3,NA,NA,1,1,7,6,26,NA,9,NA,68,11,36,16,13,4,59,47,13,2,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6988,NA,NA,815,1,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,3,NA,4,2,NA,2,1,1,3,6,13,1,7,NA,74,9,57,13,7,2,66,32,11,2,13,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7152,NA,NA,827,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,4,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,4,NA,3,11,NA,NA,NA,1,9,1,32,NA,7,1,133,NA,7,5,25,1,54,9,22,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7330,NA,NA,840,1,NA,6,NA,1,2,NA,NA,NA,NA,2,NA,1,NA,9,NA,NA,2,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,5,NA,6,3,NA,1,NA,NA,14,2,17,3,8,NA,72,9,51,28,14,7,71,33,19,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7494,NA,NA,852,1,NA,4,NA,NA,1,2,1,NA,NA,NA,NA,3,NA,7,1,2,4,1,NA,NA,1,1,NA,1,NA,NA,NA,1,3,1,2,4,NA,3,2,3,8,3,14,3,11,NA,50,5,10,72,20,8,79,59,33,9,8,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,32,1,NA,NA,NA,3,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7658,NA,NA,864,1,NA,3,3,NA,NA,1,NA,NA,NA,NA,NA,1,NA,12,1,3,4,2,NA,3,NA,1,NA,1,NA,NA,3,NA,6,NA,2,10,NA,1,1,2,10,1,17,4,9,NA,57,5,4,61,15,8,68,60,31,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7836,NA,NA,877,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,10,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,5,NA,1,3,NA,NA,NA,3,NA,3,17,1,9,1,70,17,5,4,3,1,66,84,29,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8001,NA,NA,889,1,NA,5,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,6,3,2,2,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,11,NA,2,5,NA,1,1,1,9,7,13,3,6,NA,64,3,11,19,5,1,69,49,36,3,5,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,12,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8124,NA,NA,898,1,NA,2,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,4,8,1,NA,2,3,NA,1,2,1,NA,NA,NA,10,NA,4,4,NA,NA,1,1,6,6,24,4,10,NA,56,2,2,30,3,NA,86,29,30,1,11,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,22,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
8206,NA,NA,904,1,NA,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,7,NA,3,6,1,NA,2,NA,2,NA,NA,1,NA,1,NA,6,NA,10,11,NA,NA,2,NA,6,3,27,4,10,NA,79,5,5,13,3,2,56,49,23,1,5,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,13,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8302,NA,NA,911,1,NA,3,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,14,NA,2,1,5,18,1,16,6,6,NA,53,NA,1,24,197,11,64,38,42,7,5,1,NA,NA,NA,NA,NA,1,2,NA,5,1,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
