"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Thalictrum","Pistacia","Centaurea","Helianthemum","Typha latifolia-type","Poaceae (Cerealia-type)","Cistus","Quercus robur-type","Ericaceae","Sparganium-type","Unknown (trilete)","Unknown (monolete)","Apiaceae","Ephedra","Corylus","Poaceae","Plantago","Olea","Cyperaceae","Juniperus","Artemisia","Quercus ilex/Q. coccifera","Asteroideae","Cichorioideae","Pseudoschizaea","Pinus","Amaranthaceae","Lamiaceae","Solanaceae","Vitis","Caryophyllaceae","Polygonum","Daphne","Phillyrea","Myrtaceae","Alnus","Fabaceae","Rumex","Ulmus","Echium","Plantago coronopus-type","Geraniaceae","Rhamnus","Tamarix","Cannabaceae","Oleaceae","Rosaceae","Papaveraceae","Cedrus","Lygeum-type","Urticaceae","Potamogeton-type","Betula","Abies","Ranunculaceae","Euphorbia","Ligustrum","Convolvulus","Coriaria myrtifolia","Monocotyledoneae","Fagus","Rubiaceae","Brassicaceae","Buxus","Salix","Thymelaea","Botryococcus","Myriophyllum","Lythrum","Platanus","Scrophulariaceae","Acer","Tilia","Boraginaceae","Hedera","Scabiosa","Fraxinus","Dinoflagellata","Sanguisorba","Viburnum","Asphodelus-type","Juglans","Hypecoum-type","Sambucus","Sedum-type","Malvaceae"
8897,9137,8708,1430,1,51,NA,1,NA,29,3,19,NA,2,1,NA,20,12,4,101,1,51,4,4,12,55,12,12,1,32,203,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
8909,9148,8720,1440,NA,6,1,4,2,4,NA,3,NA,NA,2,NA,18,6,2,99,NA,11,3,NA,4,37,9,11,1,68,23,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8920,9161,8733,1450,1,4,NA,3,NA,2,3,4,NA,3,6,NA,30,11,2,66,NA,8,5,NA,7,69,19,10,4,38,13,NA,NA,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
8932,9171,8744,1460,2,6,NA,1,NA,8,1,8,NA,1,2,NA,26,5,NA,116,NA,7,2,NA,17,95,7,9,NA,31,10,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8943,9182,8755,1470,3,18,1,4,1,9,6,20,1,3,4,2,17,11,3,99,NA,28,10,6,12,65,11,13,NA,26,34,NA,NA,1,1,1,NA,4,NA,NA,2,NA,1,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,5,NA,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA
8955,9193,8765,1480,NA,11,2,5,1,8,13,16,NA,NA,4,2,38,9,NA,84,1,26,9,1,20,116,10,20,NA,35,12,2,NA,3,NA,2,NA,4,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,6,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8966,9205,8777,1490,1,12,1,2,1,2,1,13,1,2,7,2,24,12,1,74,NA,31,2,NA,12,50,16,8,2,14,43,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8978,9215,8787,1500,NA,8,NA,2,NA,6,6,15,NA,NA,1,2,20,9,NA,86,NA,31,3,NA,8,95,17,11,3,27,40,NA,NA,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,9,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8989,9225,8797,1510,1,2,1,2,NA,4,7,22,NA,2,2,1,47,9,NA,79,NA,17,18,2,23,101,10,11,2,21,21,NA,NA,2,NA,1,NA,3,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9001,9237,8808,1520,1,15,1,5,NA,12,1,13,3,2,5,5,30,8,NA,107,NA,15,8,6,9,41,11,6,2,27,18,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9012,9247,8817,1530,NA,3,2,6,2,12,5,6,NA,NA,1,3,30,7,1,114,NA,18,11,NA,6,66,20,14,2,36,14,NA,NA,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9024,9259,8828,1540,NA,18,NA,1,NA,5,2,5,NA,NA,NA,1,21,10,1,101,NA,19,10,1,12,79,4,5,1,22,16,NA,NA,1,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9035,9271,8838,1550,1,21,NA,2,NA,15,1,14,NA,5,2,2,22,4,1,90,1,37,1,2,14,75,13,11,NA,27,22,NA,NA,1,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,1,2,NA,NA,NA,1,1,NA,2,NA,NA,2,NA,5,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9047,9282,8847,1560,2,8,NA,5,NA,7,4,5,NA,3,1,2,24,11,1,73,NA,38,1,NA,10,60,9,9,4,31,22,NA,NA,3,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9058,9294,8857,1570,1,7,NA,6,2,12,7,9,NA,1,4,3,31,10,NA,59,NA,11,17,5,13,54,11,19,NA,32,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,5,NA,1,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
9070,9306,8867,1580,1,11,NA,5,2,12,6,16,NA,3,4,2,9,9,4,126,NA,24,10,NA,12,69,14,7,2,48,16,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9081,9318,8876,1590,2,1,NA,3,1,17,7,10,NA,1,2,2,14,6,1,100,1,19,5,2,16,45,7,8,1,31,12,NA,NA,1,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9093,9330,8886,1600,1,9,NA,3,4,7,4,15,2,70,1,NA,20,23,1,79,NA,27,5,NA,19,58,19,6,NA,32,62,1,NA,2,1,NA,NA,5,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,2,2,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9104,9343,8896,1610,NA,17,NA,1,NA,3,7,10,NA,28,NA,NA,24,2,NA,84,NA,22,4,2,3,47,6,4,NA,18,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9116,9357,8907,1620,1,9,2,9,NA,14,9,13,NA,4,3,1,28,15,2,69,NA,38,7,7,5,44,10,15,4,31,6,NA,NA,NA,NA,NA,NA,8,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,3,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9127,9370,8917,1630,NA,2,NA,2,NA,8,7,9,NA,NA,6,NA,43,7,NA,47,NA,12,8,1,8,94,6,10,1,35,5,NA,NA,1,1,1,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9139,9384,8927,1640,NA,6,NA,3,1,8,3,8,1,3,4,1,36,4,2,91,NA,15,11,2,13,92,10,19,NA,15,8,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9150,9396,8936,1650,NA,5,NA,4,2,4,4,9,NA,94,1,NA,30,9,3,86,NA,24,15,1,6,68,7,14,4,31,6,1,NA,1,NA,NA,NA,3,NA,2,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,NA,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
9162,9411,8947,1660,NA,4,1,3,1,2,1,5,NA,29,1,1,12,8,2,70,NA,28,7,1,5,61,13,9,1,36,9,1,NA,NA,NA,1,NA,6,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9173,9425,8957,1670,1,6,2,2,2,7,4,9,NA,37,4,NA,21,24,1,72,NA,17,8,4,2,42,8,16,4,33,12,NA,NA,NA,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9185,9439,8967,1680,1,13,NA,NA,8,12,10,16,NA,56,3,NA,22,19,1,56,2,81,10,2,6,108,12,6,2,44,24,NA,NA,NA,NA,2,NA,14,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,2,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,156,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9196,9453,8977,1690,2,4,NA,5,7,9,4,12,1,32,1,1,20,5,2,92,NA,32,6,1,6,90,11,21,2,24,6,1,NA,NA,NA,NA,NA,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9208,9467,8987,1700,NA,4,NA,3,2,6,6,7,NA,232,1,1,20,6,1,75,NA,34,9,2,16,80,12,12,2,78,9,NA,NA,NA,NA,1,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9219,9482,8997,1710,2,10,NA,2,2,4,10,8,1,74,4,NA,11,16,1,74,NA,68,15,1,14,111,9,15,NA,43,11,NA,NA,NA,NA,2,NA,4,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9231,9495,9006,1720,NA,5,NA,5,1,11,2,7,NA,4,8,7,36,4,NA,87,NA,6,9,6,7,77,6,27,NA,24,15,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9242,9510,9016,1730,NA,1,1,2,1,6,1,5,NA,1,7,5,30,3,2,51,NA,12,10,3,23,120,5,18,NA,32,6,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9254,9524,9026,1740,1,11,1,1,1,8,1,9,NA,2,2,7,29,4,NA,99,NA,6,6,3,9,108,9,14,NA,35,7,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9265,9538,9035,1750,NA,4,NA,1,1,4,3,14,NA,NA,8,1,37,7,2,94,NA,10,10,4,8,125,10,15,NA,29,13,NA,NA,NA,1,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9277,9553,9045,1760,NA,10,NA,1,NA,9,5,9,10,6,3,2,26,6,1,96,1,21,17,2,8,75,8,15,NA,36,7,NA,NA,1,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9288,9567,9054,1770,NA,8,2,4,2,20,1,17,NA,5,5,7,26,9,1,69,NA,31,16,6,11,71,7,34,7,34,11,NA,NA,3,NA,2,NA,2,NA,1,2,2,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9300,9581,9063,1780,1,2,2,2,1,9,2,14,NA,2,6,4,30,2,NA,76,NA,14,28,1,16,92,14,14,NA,50,16,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9311,9597,9073,1790,NA,4,1,1,NA,10,1,16,NA,19,NA,NA,22,6,2,139,1,24,10,3,7,63,11,12,2,20,11,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9323,9611,9082,1800,1,6,1,2,NA,13,2,13,NA,1,1,NA,25,8,1,139,1,11,10,4,5,95,14,22,3,44,15,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
9334,9626,9092,1810,NA,6,NA,4,1,4,1,7,NA,2,2,1,19,12,1,58,NA,11,2,NA,11,62,10,31,1,25,20,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9346,9640,9100,1820,NA,8,3,4,1,15,4,25,NA,3,7,5,47,12,NA,76,NA,12,9,7,7,82,11,35,2,35,6,1,NA,3,NA,2,NA,2,NA,1,5,2,1,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,3,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9357,9656,9110,1830,NA,6,1,1,1,8,2,20,1,15,NA,NA,12,9,1,144,1,21,2,4,9,64,6,9,NA,23,16,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9369,9670,9119,1840,NA,6,3,4,4,7,4,13,1,3,6,2,48,9,NA,113,NA,17,21,3,20,105,14,15,2,31,4,1,NA,NA,NA,2,NA,4,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9381,9686,9129,1850,1,12,NA,2,1,7,5,14,NA,2,3,NA,19,12,NA,132,NA,31,9,3,9,95,5,10,4,39,18,NA,NA,NA,NA,1,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
9392,9701,9138,1860,NA,4,NA,4,1,8,1,21,NA,1,4,5,44,8,NA,92,NA,24,21,4,19,119,11,25,NA,31,7,1,NA,NA,NA,1,NA,5,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9404,9715,9147,1870,1,19,NA,3,2,19,4,19,2,16,NA,NA,15,12,3,111,1,36,17,8,7,65,11,16,6,61,15,NA,NA,NA,NA,NA,NA,7,NA,2,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
9415,9731,9157,1880,NA,5,2,1,3,11,1,14,NA,2,3,NA,30,2,1,84,NA,26,10,6,18,81,6,29,2,16,4,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9427,9746,9166,1890,NA,3,NA,2,NA,10,4,16,NA,NA,2,1,25,2,1,84,NA,22,12,4,16,74,10,16,2,28,7,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9438,9762,9176,1900,2,3,NA,1,NA,7,1,12,NA,NA,5,5,28,8,2,90,2,15,15,8,8,88,15,24,NA,39,13,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9450,9777,9186,1910,NA,3,NA,1,3,9,3,19,NA,4,2,NA,26,22,2,105,1,17,26,2,9,87,11,32,5,58,20,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9461,9793,9196,1920,1,16,1,7,3,14,3,15,NA,3,1,NA,26,11,4,125,NA,14,6,7,5,38,6,24,2,27,13,NA,NA,2,1,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9473,9808,9205,1930,1,6,NA,4,NA,5,2,19,NA,6,4,3,29,4,1,66,NA,22,17,6,13,81,17,26,3,26,15,1,NA,NA,1,1,NA,5,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9484,9822,9213,1940,NA,4,NA,1,NA,5,2,20,NA,NA,3,NA,34,3,NA,58,2,14,14,5,12,98,5,37,NA,20,10,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9496,9838,9224,1950,1,2,NA,1,2,5,2,9,NA,1,4,2,26,5,1,67,NA,31,18,8,13,77,18,35,1,28,6,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9507,9853,9233,1960,1,6,NA,2,4,11,3,13,NA,2,6,2,32,1,1,83,NA,18,13,6,10,50,17,43,1,44,14,1,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9519,9868,9242,1970,NA,19,1,5,2,4,6,16,NA,5,4,1,21,8,1,45,1,13,11,1,12,36,9,14,4,31,6,NA,NA,2,NA,3,NA,3,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9530,9883,9251,1980,NA,4,NA,NA,2,6,3,19,NA,1,1,4,43,4,NA,75,NA,21,29,4,23,75,15,21,1,30,7,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
