"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Thalictrum","Pistacia","Centaurea","Helianthemum","Typha latifolia-type","Poaceae (Cerealia-type)","Cistus","Quercus robur-type","Ericaceae","Sparganium-type","Unknown (trilete)","Unknown (monolete)","Apiaceae","Ephedra","Corylus","Poaceae","Plantago","Olea","Cyperaceae","Juniperus","Artemisia","Quercus ilex/Q. coccifera","Asteroideae","Cichorioideae","Pseudoschizaea","Pinus","Amaranthaceae","Lamiaceae","Solanaceae","Vitis","Caryophyllaceae","Polygonum","Daphne","Phillyrea","Myrtaceae","Alnus","Fabaceae","Rumex","Ulmus","Echium","Plantago coronopus-type","Geraniaceae","Rhamnus","Tamarix","Cannabaceae","Oleaceae","Rosaceae","Papaveraceae","Cedrus","Lygeum-type","Urticaceae","Potamogeton-type","Betula","Abies","Ranunculaceae","Euphorbia","Ligustrum","Convolvulus","Coriaria myrtifolia","Monocotyledoneae","Fagus","Rubiaceae","Brassicaceae","Buxus","Salix","Thymelaea","Botryococcus","Myriophyllum","Lythrum","Platanus","Scrophulariaceae","Acer","Tilia","Boraginaceae","Hedera","Scabiosa","Fraxinus","Dinoflagellata","Sanguisorba","Viburnum","Asphodelus-type","Juglans","Hypecoum-type","Sambucus","Sedum-type","Malvaceae"
7298,7467,7116,610,NA,8,1,5,1,13,10,11,NA,NA,NA,NA,13,8,NA,77,NA,10,51,2,38,32,3,47,NA,72,32,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7322,7486,7144,620,NA,NA,3,7,1,3,3,18,1,3,NA,1,8,3,NA,40,1,7,19,1,15,33,6,45,2,120,108,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7347,7507,7172,630,2,14,NA,11,NA,12,1,3,1,NA,2,1,8,1,NA,44,NA,12,15,5,23,21,13,77,NA,75,138,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7371,7529,7199,640,6,47,NA,5,NA,8,2,11,2,1,NA,1,7,1,2,38,NA,8,31,5,53,30,5,26,1,64,551,1,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7396,7552,7228,650,1,19,1,2,NA,4,1,12,NA,1,6,4,12,5,NA,58,3,7,25,3,41,37,7,49,1,48,47,1,NA,NA,NA,1,NA,4,NA,NA,3,NA,1,NA,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7420,7572,7255,660,3,4,4,NA,NA,1,4,8,2,1,6,NA,13,10,NA,20,NA,7,26,2,35,44,14,39,2,91,225,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7445,7589,7283,670,3,24,NA,1,NA,11,1,24,1,1,1,NA,16,48,1,49,2,12,32,6,59,34,13,61,3,89,378,NA,NA,1,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7469,7608,7311,680,16,1,NA,3,NA,22,4,36,NA,1,1,NA,22,30,NA,74,NA,19,20,1,56,67,26,72,1,106,208,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7494,7633,7338,690,15,4,NA,2,NA,8,NA,23,2,NA,2,NA,11,11,NA,47,NA,27,41,4,103,57,7,34,3,88,638,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7518,7657,7364,700,9,10,1,1,NA,12,NA,24,1,2,1,1,17,17,NA,49,2,28,19,6,30,96,9,21,NA,83,189,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,1,1,NA,1,NA,NA,1,1,2,1,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
