Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe i,Acacia groupe iii,Acanthaceae,Adansonia digitata,Aerva javanica-type,Aerva lanata-type,Aeschynomene-type,Afraegle paniculata,Alchornea,Allophylus africanus,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anthocleista,Anthostema senegalense,Antidesma venosum,Aphania senegalensis,Ascolepis,Balanites aegyptiaca-type,Basilicum-type,Bauhinia rufescens,Borassus/Hyphaene,Boscia-type,Bridelia micrantha,Canthium-type,Caperonia senegalensis,Caryophyllaceae,Cassia-type,Casuarina equisetifolia,Ceiba pentandra,Celtis integrifolia,Centaurea perrottetii,Chenopodium-type,Cissampelos mucronata,Clerodendron,Clutia,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Commelina forskalaei-type,Commiphora africana,Cyperaceae,Detarium,Dichrostachys cinerea,Elaeis guineensis,Ephedra,Erythrococca africana,Euphorbia,Euphorbia hirta-type,Euphorbiaceae,Fagonia,Ficus,Galium-type,Gardenia imperialis,Gomphrena,Gramineae,Grewia-type,Gynandropsis gynandra,Heliotropium strigosum,Indeterminables,Indetermines,Ipomaea-type,Ixora brachypoda-type,Jussiaea-type,Justicia flava-type,Justicia odora-type,Kohautia,Landolphia-type,Lannea/Sclerocarya,Laurembergia villosa,Leucas-type,Liguliflorae,Lycopodiaceae,Lygodium microphyllum,Macaranga,Maerua/Ritchiea,Maytenus senegalensis,Meliaceae,Mimosa pigra,Mitracarpus villosus,Mitragyna inermis-type,Mitragyna stipulosa-type,Monocotyledoneae,Monoletes,Moraceae,Musanga,Myrianthus serratus,Nymphaea lotus-type,Ormocarpum-type,Papilionoideae,Paullinia-type,Phoenix reclinata,Phyllanthus,Phyllanthus reticularus,Piliostigma reticulatum,Plantago lanceolata,Polycarpaea,Polycarpon prostratum,Polygala,Polygonum senegalense-type,Potamogeton,Pteris-type,Pterocarpus,Rhizophora,Rhus,Rubiaceae,Salacia senegalensis,Salix,Salvadora persica,Sapindaceae,Sapotaceae,Securinega virosa,Solanum-type,Spermacoce radiata,Spermacoce-type,Spondias monbin,Spores indeterminees,Suaeda,Syzygium,Tamarix senegalensis,Tapinanthus-type,Tetracera alnifolia,Treculia africana,Trifolium-type,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Urticaceae,Vahlia,Vernonia perrottetii,Ximenia americana,Zanthoxylum zanthoxyloides,Zygophyllum
4526.743,275,,1,,,2,1,,,4,1,3,1,,,,,,,,,,,2,2,,,,,,5,,,,,,1,3,14,,,1,55,2,1,,,,,,,,1,,1,,205,,,,10,2,,,,,,1,,5,,,,,,8,,,,,2,4,,,3,,,,4,,,,,1,,,,1,,,,,,,85,,,,1,,,2,,,1,,,3,,21,1,,,,1,2,,,4,14,1,,,,,4,
4837.588,300,1,,,,,,,,7,,2,,1,2,,,,,,,,,1,,,,,,3,4,,,1,,1,2,4,7,,,,49,1,,,,,,,,,1,,,,184,,,,26,7,,,,,,,,,,,,,,,,,,,,1,8,,2,,,,,,,,1,,,,,2,,1,,,,,124,,,,1,,,2,,,1,,,1,,31,,,,,,,,,4,39,8,,,,,,
5148.434,325,,,,,,,,,5,1,5,1,,,1,,,,,,,,,3,,,,,,3,,,,,,6,6,15,,,,45,,1,,,,,,,1,2,,,,138,,,,12,1,,2,,,,,,1,,,1,,1,3,,,,,2,2,5,,3,,,,3,,3,,1,,,,,2,,,,,,,147,,,,,,,,,,1,,,,,32,,,,,,2,,,,52,2,,,,,1,
5459.279,350,,1,,,,,1,,6,,4,2,,,,,1,,,,,,,1,1,,,,,,,,,,,2,,16,,,,46,5,1,,,1,,,,,2,,,,128,,,,10,4,,,,,,1,,1,1,,,,,1,,,1,,1,3,5,,2,,,,2,,,1,2,1,,,,,,,,,,,157,,,,,,,1,,,,,,,,32,,,,1,,1,,,1,51,5,,,,,3,
5770.125,375,,,,,,,,,3,,3,,,,,,,,,,,,,2,,,,1,,2,,,,,,5,3,5,,,,35,,,,,,,,,,2,,,,108,,,,9,,,,,,,1,1,,,,1,,,3,,,,1,1,2,5,,,,,,1,,,,1,,,,,1,,,,,,,120,,,,,,,2,,,1,,1,,,32,,,,3,,,,,1,18,1,,,,1,1,
6080.971,400,,,,,,,,,4,,3,,1,,2,,,,,,,,,1,,,,,,3,,,,,,1,1,9,1,,,35,1,,,,,1,,,,1,,,,102,,,,13,8,,,,,,,,1,,,,,,1,,,,,,,3,1,,,,,5,,,,,,,1,,,1,,,,,,432,,,,1,,,1,,,2,1,,,,15,,,,,,1,,,1,2,,1,,,,1,
6391.816,425,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,,,,12,,1,,,,,,,,,,,,67,,,,7,2,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,455,,,,,,,,1,,2,,,,,6,,,,,,,,,2,2,,1,,,,2,1
6702.662,450,,,,,,,,,8,,2,,,,,,1,,,,,,,,,,,,,3,,,,,,1,1,11,,,,23,,,,,,,,,,1,,,,77,,,,11,4,,,,,,,,2,,,,,,3,,,,,1,,6,,1,,,,1,,,,,,,,,,,,,,,,619,,,,1,2,,1,,,,,,,,16,,,,1,,,,,5,8,3,,,,,,
0,475,,,,,1,1,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,5,,,,12,,,,,,,,,,1,,,,48,,,,6,3,,,,,,,,1,,,,,,,,1,,1,,1,3,,,,,,,,,,,,,,,,,,,,,,309,,,,,,,,,,1,1,,,,6,,,,1,,2,,1,1,2,,,,,,,
0,500,,,,,,,,,2,,,,,,,,,,,,,,1,2,,,,,1,,,,,,,,2,11,,,,28,,,1,,,,,1,,,,,,58,,,,15,5,,,,,,1,,,,,,,,1,,,,,1,,3,,1,,1,,,,,,,,,,,,,,,,,,497,,,,,,,,,,2,,,,,3,,,,,,,,,2,3,1,,,,,1,
0,525,,1,,,,,,,7,,,1,,,,,,,,,,,,,,,,1,,4,,,,,,3,,8,2,,,17,,1,,,,1,,,,,,,,75,,,,6,2,,,,,,,,,1,,,,,1,,,,,1,,1,,2,,,,,,,,1,,,,,2,,,1,1,,,424,,1,,,,,1,,,1,,,,,12,,,,,,,,,3,4,,,,1,,,
0,550,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,22,1,,,,,1,,,,,,,,50,,,,5,1,,,,,,,,1,,,,,,,,,,,,1,5,,2,1,,,1,,,,,,1,,,,,,,,1,,289,,,,,,,,2,,3,,,,,10,,,,,,,,,3,4,,,,,,1,
0,575,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,3,,,,,,2,,6,,,,22,2,,,,,,,,,,,,,60,1,,,10,1,,,,,,,,1,,,,,,1,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,343,,,,,1,,,,,2,,,,,2,,,,,,,,,3,1,,,,,1,,
0,600,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,11,,,,32,,,,1,,,,,,,,,,73,,,,14,3,,,,1,,,,,,,,,,,,,,,2,,3,,,,,1,3,,,,,,,1,,,1,,,,,,411,,,,1,,,,1,,,,,1,,3,,,2,,,,,,1,14,1,,,,,,
0,612,,,,,1,,,,5,,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,,5,,,,9,,,,,,,,,,,1,,,43,,,,,,,,,,1,,,1,,,,1,1,1,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,498,,,,,,,,1,,1,,,,,5,,,1,,,,,,,5,,,,,,,
0,627,,,,,1,,,,1,,6,,1,,,,,,,,,,,1,,,,,,8,,,,,,2,,13,1,,,40,,1,,,,,,,,,,,,138,,,,11,4,,,,,,,,2,,,,,,1,,,,,1,1,3,,4,,,,3,,,1,1,,1,,,1,,,,1,,,143,,,,1,,,1,1,,1,,,,,17,,,,1,,,,,2,33,2,,,,,,
0,650,,,,,,,,,2,1,2,,,,,,,,,,,,,1,,,,,,1,,,,,,,,6,,,,31,,,,,,,,2,,,,,,94,,,,18,2,,,,,,,,,,,,,,,,,,,6,,1,,3,,,,2,,1,,,,1,,,,,,,1,,,420,,1,,,,,,,,,,,,,8,,,,,,,,,2,17,1,,,,,,
