Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia groupe i,Acalypha,Acrostychum aureum,Adansonia digitata,Aerva lanata-type,Albizia,Alchornea,Allophylus africanus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia maritima,Anacardiaceae,Anthocerotaceae,Antiaris africana,Balanites aegyptiaca-type,Borassus/Hyphaene,Bosqueia,Caesalpinia-type,Capparis,Caryophyllaceae,Cassia-type,Casuarina equisetifolia,Ceiba pentandra,Celastraceae,Celtis integrifolia,Combretaceae,Commelina benghalensis,Commiphora,Cruciferae,Cyperaceae,Detarium,Dichrostachys cinerea,Diospyros,Dodonaea viscosa,Elaeis guineensis,Erythrococca africana,Euphorbia,Fagonia,Ficus,Galium-type,Gomphrena,Gramineae,Hibiscus-type,Hydrocharitaceae,Hymenocardia,Indeterminables,Indetermines,Ipomoea-type,Jussiaea-type,Justicia betonica-type,Kohautia,Labiatae,Landolphia-type,Lannea/Sclerocarya,Laurembergia villosa,Lepistemon owariense-type,Liguliflorae,Lotus arabicus-type,Lygodium microphyllum,Macaranga,Mitracarpus villosus,Mitragyna inermis-type,Monocotyledonae,Monoletes,Moraceae,Musanga,Pancratium-type,Papilionaceae,Phaulopsis-type,Phoenix reclinata-type,Phyllanthus reticulatus-type,Polycarpaea,Polygonum senegalense-type,Potamogeton,Priva-type,Resedaceae,Rhamnaceae,Rhizophora,Rhus,Ricinus communis,Rubiaceae,Salix,Salvadora persica,Salvinia,Sapotaceae,Schrebera arborea,Scrophulariaceae,Securinega virosa,Sesbania-type,Solanum-type,Spondias monbin,Sterculia-type,Syzygium,Tacca,Tamarix senegalensis,Teclea-type,Tiliaceae,Treculia africana,Trema,Triletes,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Wahlenbergia,Ximenia americana,Zanthoxylum zanthoxyloides,Zygophyllaceae
5871.166,109,,,,1,,,18,,,1,1,,,,,,,,,,,,,,2,,,,,11,4,,,,,,,,1,,,28,,,,22,14,,,,,,,,,,,,3,23,1,7,2,4,,,,,,5,,,1,,,,,362,,2,2,,,,1,,,,,,,,1,,,,,1,,,3,,,,,1,,1,,
5882.283,111,,,,,,,9,1,,,,,,,,,,,,,,,,1,11,1,,,,12,,1,,,,,,,2,,,31,,,,13,15,,1,,1,,,,,,,,1,19,,5,2,8,,,,,,5,,,,,1,,,459,,,3,,,,,,,,,,,,1,,,,,,,,3,1,2,,,,,,3,
5937.869,121,1,,,,,,5,,,,,2,,,,,,2,1,,,,,,8,4,,,,7,,,1,,,,,,2,,3,34,,,,19,18,,,,,1,,,1,,,,5,23,4,2,1,12,,,,1,1,5,1,,,,,,,623,,,2,,,,1,,,,,,,,1,,,2,,2,,,1,,2,,,,,,,2
5993.455,131,2,,,,,,22,2,,1,,,,,,,,1,,,1,,2,1,7,2,,,,12,1,,,,,,,,5,,,44,,,,14,8,,,,,,,,,,,,4,25,1,4,2,4,,,,2,,,,,1,,,,,845,,,5,,,,2,,2,,,,,,1,,,2,,1,,,,,,,,,,,1,
6049.042,141,,,,2,,,18,1,,2,,5,,,,,,1,,,,,2,2,6,3,,,,14,4,2,,,,,,,3,,,53,,,,31,14,,,,,,,,,,,,12,17,4,7,3,5,,,,,1,2,1,,,,,,,944,,,3,,,,2,,,,,,,,3,,,2,1,2,,1,2,,4,,,,,,,1
6093.51,149,,,,,1,,7,,,,,2,,,,,,,1,,,,,,2,,,,,9,4,1,,,,,,,2,,,34,,,,32,5,,,,,,,,,,,,14,10,10,1,,1,,,,,1,,,,,,,,,385,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
6137.979,157,2,,,,,,7,,,,,1,,,,,,,,,,,1,,2,,,,1,8,2,,,,,,,,1,1,1,39,,,,13,2,1,,,,,,,,,,1,5,14,1,,2,2,,,,,,2,,,,,1,,,402,,,3,,,,2,,,,1,,,,,,,,,1,,,,1,1,,,,,,1,
6204.683,169,,1,,,,,5,,,1,,,,,,,,,,,,,,1,3,,,,,11,1,,,,,,,,1,,,50,,,,14,3,,,,,,,,,,,,11,30,,3,1,3,,,,2,,7,,,,,,,,363,,,,,,,,1,,,,,,,2,,,,,1,,,1,1,3,,,2,,2,1,
6260.269,179,,,,1,,,3,,1,1,,1,,,,,,,,,,,,2,3,3,,,,10,1,,,,,2,,,8,,,38,,,,10,12,,,,,,,,,,1,,5,33,,7,1,3,,,,,,3,,,,,1,2,,651,,,6,,,,2,,,,,,,,3,,,2,,2,,,,,1,,,1,,,3,1
6326.973,191,1,,1,,,,16,,,,,,,,,,,,,,,,,1,5,3,,,,13,1,,2,,,,,,6,,,64,,,,26,16,,,,,,,,,,,,3,51,1,8,,5,,,,,,7,,,,,,,,387,,,,,,,,,,,,,,,21,,,,,,,,,1,1,,,,,1,4,
6371.441,199,1,,,,,,17,,,,,2,,,,,,,,,,,,,6,2,,,,24,5,2,,,,,,,4,,,67,,,,32,14,,,,,,,,,,,,17,45,1,5,1,13,,3,,,,10,,,,,1,,,364,,,1,,,,,,,2,,,,,15,,,1,,,,1,,3,4,,,,,,,
