"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Asteroideae","Malva","Vicia-type","Sanguisorba-type","Lupinus","Astragalus-type","Bupleurum-type","Sanguisorba officinalis","Prosopis","Tamarix","Ostrya/Carpinus orientalis","Ranunculus repens-type","Calligonum","Pteropyrum","Arnebia-type","Psylliostachys","Geranium","Sparganium-type","Alnus","Juglans","Plantago lanceolata-type","Cousinia","Bunium-type","Filago-type","Pimpinella-type","Scutellaria","Ferula-type","Anisosciadium-type","Xanthium","Carthamus","Gladiolus","Cuscuta","Matthiola","Haplophyllum","Unknown","Poaceae (Cerealia-type)","Centaurea solstitialis-type","Scorzonera-type","Cyperaceae","Plantaginaceae","Cirsium-type","Quercus cerris-type","Plantago maritima-type","Senecio-type","Halothamnus-type","Plantago coronopus-type","Brassicaceae","Noaea-type","Matricaria-type","Plantago ovata-type","Pinus","Poaceae","Hammada-type","Atriplex-type","Artemisia herba-alba-type","Betula","Morus","Fabaceae","Rumex acetosa-type","Humulus/Cannabis","Galium-type","Eryngium-type","Olea","Plantago cylindrica-type","Punica granatum","Dryopteris-type","Elaeagnus","Cichorioideae","Helianthemum","Plantago media-type","Artemisia vulgaris-type","Plantago tenuiflora-type","Moltkia","Turgenia-type","Ephedra fragilis-type","Scilla-type","Picea","Platanus","Liliaceae","Carpinus betulus","Glaucium","Centaurea cyanus-type","Aquilegia-type","Leontice leontopetalum","Unknown (trilete)","Ephedra distachya-type","Armeria/Limonium","Pistacia","Lomelosia rotata-type","Plantago major-type","Caryophyllaceae","Gentianaceae","Juniperus","Papaver","Erodium","Fraxinus excelsior-type","Spinacia-type","Rhynchocorys","Roemeria hybrida subsp. dodecandra-type","Lotus-type","Dianthus-type","Ranunculus asiaticus-type","Symphytum-type","Ranunculaceae","Asparagus-type","Bellis-type","Digitalis","Rosaceae","Salix","Rhinanthus-type","Phaseolus","Quercus coccifera-type","Anchusa/Pulmonaria","Centaurea jacea-type","Centaurea nemecii-type","Anthoceros laevis-type","Abies","Corylus","Centaurea scabiosa-type","Onosma-type","Zea mays","Amaranthaceae","Echium-type","Jasione-type","Unknown (monolete)","Hippophaë","Allium","Valerianella","Atraphaxis","Asperula-type","Lomelosia olivieri","Thymus/Mentha","Anemone nemorosa-type","Hypericum hirtellum var. assyriacum-type","Ruta","Vitis","Onobrychis-type","Umbilicus-type","Fagus","Polygonum aviculare-type","Cedrus","Ulmus","Thymelaea","Mercurialis annua","Delphinium-type","Clematis-type","Heliotropium-type","Frankenia hirsuta-type","Trifolium-type","Spergularia-type","Tribulus terrestris","Ononis-type","Scrophulariaceae","Apiaceae","Crassulaceae","Hippocrepis-type","Ophioglossum","Persicaria maculosa-type","Ranunculus sect. Batrachium-type","Zygophyllum","Rhamnaceae","Urtica dioica-type","Lycopodium","Acer","Saxifragaceae","Ranunculus sceleratus-type","Casuarina","Convolvulus"
1827,NA,NA,110,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,3,2,NA,NA,NA,3,5,3,NA,5,15,1,2,NA,2,7,10,5,1,21,9,9,10,11,24,13,20,41,23,16,10,141,31,132,237,545,727,969,NA,1,1,1,3,NA,NA,1,6,NA,NA,NA,10,1,1,NA,4,NA,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,2,4,NA,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,120,NA,6,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,38,1,1,1,1,NA,1,NA,2,4,NA,NA,NA,2,NA,NA,NA,6,5,10,5,NA,21,8,10,8,24,23,9,14,8,18,18,59,54,29,161,125,615,425,621,NA,NA,1,3,NA,NA,NA,2,3,NA,NA,NA,1,56,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,6,4,1,2,1,1,NA,NA,NA,NA,4,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2159,NA,NA,130,NA,3,3,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,NA,9,NA,NA,NA,6,NA,NA,NA,9,6,6,6,3,9,NA,10,NA,18,11,23,13,9,26,19,133,22,NA,44,95,72,313,614,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,5,8,1,4,NA,NA,NA,2,4,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2325,NA,NA,140,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,NA,2,NA,2,NA,5,5,1,NA,NA,2,NA,NA,NA,1,1,1,3,1,3,28,29,15,2,13,17,27,3,34,3,12,48,38,42,183,106,260,451,NA,NA,1,2,NA,NA,NA,1,3,NA,NA,NA,1,3,NA,3,24,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,5,NA,4,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2491,NA,NA,150,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,3,NA,3,NA,1,16,NA,NA,NA,9,NA,NA,NA,NA,3,2,6,17,15,31,51,4,6,17,31,36,32,77,12,28,139,NA,91,246,157,565,727,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,4,NA,2,2,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2657,NA,NA,160,NA,7,1,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,5,6,10,2,5,NA,5,18,NA,NA,NA,8,NA,2,NA,2,NA,NA,7,1,11,32,68,19,11,29,26,37,2,15,27,4,142,56,250,407,227,1057,950,NA,NA,NA,4,4,2,NA,1,17,NA,NA,NA,6,10,NA,NA,4,NA,NA,1,3,NA,1,NA,NA,1,1,NA,NA,NA,NA,2,6,NA,NA,15,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2823,NA,NA,170,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,NA,1,NA,1,9,NA,2,NA,1,2,2,5,NA,12,3,4,6,NA,6,2,10,13,6,7,6,49,3,36,89,136,384,303,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2990,NA,NA,180,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,7,2,NA,NA,NA,7,NA,1,NA,NA,2,NA,5,3,7,NA,12,1,1,6,13,10,15,14,9,47,55,NA,44,88,50,814,224,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,25,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3156,NA,NA,190,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,3,6,NA,NA,15,NA,NA,NA,1,5,NA,7,1,11,6,9,3,4,12,6,9,2,4,16,18,55,6,87,163,173,1390,517,NA,NA,NA,1,NA,1,NA,NA,4,3,NA,NA,1,4,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3322,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,6,NA,1,NA,13,NA,3,NA,NA,2,6,5,4,19,9,18,4,7,9,27,19,14,18,19,29,45,NA,62,99,203,2830,483,NA,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,5,NA,2,NA,2,NA,4,1,17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,1,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3488,NA,NA,210,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,1,NA,NA,2,NA,10,1,13,40,54,984,112,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3654,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,4,5,2,NA,2,NA,5,5,NA,7,13,13,5,15,152,17,507,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3820,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,3,1,3,2,3,5,7,NA,1,NA,7,NA,19,33,18,3065,143,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
