"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Myrica","Brassicaceae","Lamiaceae","Plantago","Cedrus","Cyperaceae","Apiaceae","Amaranthaceae","Ranunculus","Linaria","Abies","Potamogeton","Typha","Polygonum","Olea","Cichorioideae","Quercus (deciduous)","Pinus","Asteroideae","Poaceae","Quercus (evergreen)","Artemisia","Sparganium-type","Carduus","Alnus","Euphorbia","Ephedra","Fabaceae","Centaurea","Myriophyllum","Erica","Malvaceae","Mercurialis","Cistus","Rumex","Lycopodium","Lythrum","Ruta","Pistacia","Boraginaceae","Fraxinus","Corylus","Acacia","Helianthemum","Berberis"
2222,NA,NA,50,6,NA,NA,NA,NA,NA,NA,3,9,NA,1,NA,5,4,NA,11,18,66,1,69,91,98,NA,NA,NA,NA,3,NA,NA,13,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2459,NA,NA,55,14,NA,NA,NA,NA,NA,NA,4,8,NA,3,4,2,8,NA,8,10,70,3,42,80,125,3,NA,1,NA,10,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2696,NA,NA,60,1,NA,1,NA,3,NA,NA,NA,6,NA,NA,NA,47,4,3,8,14,49,1,17,46,76,NA,1,NA,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2934,NA,NA,65,1,NA,1,NA,1,1,NA,NA,8,NA,1,1,3,10,4,10,3,42,NA,11,31,66,NA,NA,NA,NA,4,NA,3,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3171,NA,NA,70,1,NA,1,NA,1,1,NA,NA,6,NA,NA,3,40,2,6,7,21,34,1,14,38,59,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3409,NA,NA,75,3,NA,NA,1,4,NA,1,3,5,NA,1,3,47,6,1,4,36,53,1,27,52,80,NA,NA,4,1,14,NA,1,6,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3599,NA,NA,79,22,NA,6,3,8,NA,6,NA,6,NA,NA,NA,6,5,NA,7,38,27,5,18,101,41,NA,NA,6,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
3735,NA,NA,85,3,NA,1,NA,3,NA,4,NA,10,NA,NA,NA,NA,4,4,NA,45,22,7,11,123,34,NA,1,1,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3824,NA,NA,90,1,NA,NA,NA,1,NA,1,NA,9,NA,NA,NA,NA,NA,7,NA,27,20,1,11,130,41,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3912,NA,NA,95,1,NA,NA,NA,NA,NA,4,NA,7,NA,NA,4,26,1,NA,NA,14,29,1,14,74,36,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3992,NA,NA,100,NA,NA,NA,1,NA,NA,3,NA,9,NA,NA,NA,19,7,NA,NA,8,11,NA,15,67,18,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4090,NA,NA,105,NA,NA,NA,NA,NA,1,3,NA,7,NA,NA,6,NA,NA,NA,NA,10,10,8,13,52,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4179,NA,NA,110,NA,NA,NA,NA,NA,NA,3,1,6,NA,NA,NA,NA,NA,NA,NA,24,6,NA,21,22,15,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4268,NA,NA,115,NA,NA,NA,NA,NA,NA,6,NA,7,NA,NA,NA,10,3,NA,NA,17,4,3,10,38,8,NA,5,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4356,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,7,10,NA,NA,NA,2,NA,NA,NA,25,8,3,18,17,14,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4445,NA,NA,125,4,NA,NA,NA,NA,NA,1,1,8,NA,NA,3,NA,NA,NA,NA,4,22,1,11,50,31,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4534,NA,NA,130,NA,NA,NA,NA,NA,NA,4,NA,10,NA,NA,NA,7,5,NA,NA,15,7,7,17,29,13,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4623,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,5,NA,NA,NA,22,7,NA,24,32,10,NA,NA,6,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4712,NA,NA,140,NA,NA,NA,1,7,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,17,8,1,17,39,14,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
4800,NA,NA,145,1,NA,NA,NA,NA,NA,1,4,8,NA,NA,NA,1,1,NA,1,4,8,1,13,45,14,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5011,NA,NA,150,NA,NA,NA,NA,NA,3,NA,1,8,NA,NA,6,NA,1,NA,1,6,18,11,21,42,32,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
5302,NA,NA,155,NA,NA,NA,NA,3,NA,NA,1,7,NA,NA,1,4,NA,NA,NA,15,4,3,115,7,6,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5418,NA,NA,157,NA,NA,NA,NA,7,NA,NA,NA,8,NA,NA,1,NA,2,NA,NA,34,3,1,112,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5593,NA,NA,160,NA,NA,NA,NA,9,NA,NA,3,11,NA,NA,NA,NA,1,6,NA,102,1,1,76,4,3,NA,NA,3,NA,1,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5884,NA,NA,165,NA,NA,NA,3,8,NA,NA,1,9,NA,NA,1,1,NA,4,NA,81,4,1,78,24,7,NA,NA,7,NA,NA,NA,NA,4,NA,1,NA,NA,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
6175,NA,NA,170,NA,NA,3,NA,9,1,3,NA,11,NA,NA,3,NA,NA,1,NA,94,13,4,28,144,8,NA,NA,4,NA,1,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA
6466,NA,NA,175,1,NA,NA,NA,10,NA,6,NA,9,NA,NA,NA,2,1,1,NA,27,NA,1,24,55,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
6757,NA,NA,180,NA,NA,NA,NA,3,1,10,NA,8,4,NA,1,10,NA,NA,NA,20,10,1,15,94,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,1,NA,NA,NA
7048,NA,NA,185,NA,NA,NA,NA,10,NA,3,NA,14,1,NA,1,16,2,NA,NA,52,1,3,25,69,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,NA,NA
7339,NA,NA,190,4,NA,NA,1,10,1,NA,NA,7,NA,NA,NA,9,NA,NA,NA,57,8,3,50,73,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,4,NA,NA,NA,NA
7630,NA,NA,195,4,NA,NA,NA,8,NA,3,NA,8,1,NA,NA,4,1,NA,NA,28,1,NA,17,81,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
7921,NA,NA,200,3,NA,NA,1,NA,3,8,NA,22,1,NA,4,7,6,NA,NA,11,13,1,13,76,14,8,1,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA
8212,NA,NA,205,3,NA,1,1,1,4,4,NA,10,3,NA,4,NA,2,4,NA,13,17,3,18,87,43,14,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA
8328,NA,NA,207,NA,NA,NA,NA,3,NA,NA,NA,34,NA,NA,NA,6,NA,1,NA,35,NA,1,15,55,4,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,NA
8445,NA,NA,209,NA,NA,NA,NA,1,NA,NA,NA,20,NA,NA,3,NA,4,NA,NA,6,1,1,36,74,3,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA
8804,NA,NA,215,4,NA,1,3,1,4,3,NA,28,4,NA,4,5,5,6,NA,10,14,4,10,84,25,10,NA,NA,NA,4,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,1,1,NA,NA,NA
9105,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,1,NA,NA,NA,21,7,NA,29,49,4,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA
9285,NA,NA,223,3,NA,NA,6,8,NA,NA,NA,45,NA,NA,NA,NA,1,NA,NA,38,1,3,22,49,3,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,NA,2,1,NA,NA,NA
9406,NA,NA,225,NA,NA,NA,NA,3,NA,3,NA,92,NA,NA,NA,2,NA,NA,NA,31,NA,NA,29,38,3,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA
9706,NA,NA,230,NA,NA,NA,1,1,NA,1,NA,29,1,NA,NA,1,2,NA,1,32,1,NA,11,53,7,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA
10007,NA,NA,235,NA,NA,NA,15,3,1,3,NA,62,NA,NA,NA,38,3,NA,NA,35,NA,NA,25,64,3,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1
10188,NA,NA,238,NA,NA,NA,3,6,NA,1,NA,60,NA,NA,1,8,NA,NA,NA,25,1,3,15,71,10,1,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,10,1,2,NA,NA,NA,NA
10308,NA,NA,240,NA,NA,NA,4,3,2,1,1,22,NA,NA,1,NA,NA,3,NA,13,1,NA,8,111,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA
10609,NA,NA,245,NA,NA,NA,7,13,NA,1,NA,41,NA,NA,NA,2,3,NA,NA,13,1,NA,24,85,8,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,3,NA,NA,NA,NA
10910,NA,NA,250,NA,NA,NA,NA,17,1,1,1,41,NA,1,NA,NA,7,NA,NA,7,3,NA,14,97,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA
11211,NA,NA,255,1,NA,NA,1,3,3,NA,NA,29,1,NA,3,12,NA,6,NA,21,3,3,21,95,10,18,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA
11512,NA,NA,260,1,NA,NA,NA,4,1,4,1,109,NA,NA,NA,15,14,1,NA,13,NA,NA,34,69,15,7,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,3,3,NA,NA,NA,NA
11813,NA,NA,265,NA,NA,NA,NA,1,NA,6,1,126,NA,NA,NA,2,1,NA,NA,17,NA,1,25,60,27,10,NA,3,NA,1,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,11,NA,6,NA,NA,NA,NA
12114,NA,NA,270,NA,NA,NA,NA,6,NA,1,NA,112,NA,NA,NA,4,2,6,NA,21,NA,NA,36,43,18,15,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3,NA,NA,4,NA
12414,NA,NA,275,7,NA,NA,NA,NA,NA,6,3,95,NA,NA,NA,NA,NA,NA,NA,21,NA,1,34,49,7,14,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,11,NA,3,NA,NA,NA,NA
12715,NA,NA,280,6,NA,NA,NA,3,NA,4,NA,59,NA,NA,NA,1,NA,NA,NA,13,1,NA,22,74,17,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA
13016,NA,NA,285,1,NA,NA,NA,NA,NA,8,NA,45,NA,NA,NA,2,1,NA,NA,22,1,NA,43,76,13,13,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA
13257,NA,NA,289,7,NA,NA,NA,NA,NA,4,NA,57,NA,NA,NA,NA,NA,NA,NA,13,1,1,27,94,15,14,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
13658,NA,NA,295,1,NA,NA,3,NA,NA,3,NA,95,NA,NA,NA,8,NA,NA,NA,21,1,3,38,70,10,7,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
14000,NA,NA,300,7,NA,NA,NA,8,NA,13,4,39,NA,NA,1,NA,1,NA,NA,8,NA,3,31,70,8,3,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA
