Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Acanthaceae,Adenia,Aerva-type,Albizzia,Alchornea,Amaranthaceae/Chenopodiaceae,Annonaceae,Antidesma,Apocynaceae,Artemisia,Bombax,Borreria,Brassicaceae,Bridelia,Butyrospermum,Caesalpinioideae,Capparidaceae,Capparis,Caryophyllaceae,Cassia,Celtis,Chrozophora,Cissampelos cf. mucronata,Cissus,Combretaceae,Commelinaceae,Commiphora,Compositae,Cyperaceae,Detarium,Diospyros,Elaeis guineensis,Ephedra,Euphorbiaceae,Ficus,Gramineae,Gynandropsis,Heliotropium,Hymenocardia,Hyphaene/Borassus,Indeterminables,Indetermines,Indigofera,Ipomaea,Irvingiaceae,Khaya,Kohautia,Lamiaceae,Lannea/Sclerocarya,Laurembergia,Liliaceae,Ludwigia,Macaranga,Malvaceae,Mimosa pigra,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monoletes,Moraceae,Morelia senegalensis,Nymphaea,Oldenlandia,Olea hochstetteri,Papilionoideae,Parinari,Periplocaceae,Phoenix,Phyllanthus,Phyllanthus reticularus-type,Piliostigma,Polycarpaea,Polygala,Polygonum cf. senegalense,Potamogeton,Pterocarpus,Rubiaceae,Salvadora,Sapindaceae,Scrophulariaceae,Securinega virosa,Sesbania,Solanum,Syzygium,Tephrosia,Triletes,Typha,Uapaca,Umbelliferae,Vernonia,Ximenia americana,Ziziphus
5890.046,206,,,,,,,7,2,1,,1,,,,,,,,,,,,1,,,,6,,,1,96,1,1,,,1,,389,,,3,,,3,1,,1,,,,,,,,,,,3,2,,,,3,2,,1,,,,,,,,,,,,,1,,,,,,,9,,1,1,8,,,,
6081.605,214,,,,,,1,9,4,,1,,,1,,,,,,,,,,1,,1,,8,,,3,66,,,,,,,350,,1,3,,,12,,,,,,,,1,1,1,,,,7,,,,,7,2,,,2,,,,,,,,,,,,1,,1,,,,,18,,,1,12,,,,
6297.11,223,,,,,,,3,4,,,,,,,,,,,,,,1,2,,1,,10,,,2,106,,,,,1,,418,,,,,,7,1,,,,1,,,,,,,,,8,,,,,5,2,,,1,,1,,,,,,,,,,,,,1,,,,21,,,1,26,,,,
6589.597,233,,,,,,,1,1,,,,,,,,,,,,,,,2,,1,,6,,,1,83,,,,,,1,322,,,4,,,4,1,,,,,,,,,,,,,3,,1,,,8,1,,1,3,,1,,,,,,,,,,,,1,,,,,12,,1,1,17,,,,
6834.194,241,1,,,,,,5,1,,,,,,,,,,,,,,,4,,,,11,,,1,95,,,,,1,,382,,,5,,,9,1,,,,,,,,,,,,,7,1,1,1,,12,,,,2,,,,,,,,,,,,,,,,,,,14,,,1,17,,,,
7109.366,250,,,,,,,3,,,1,,,,,,,,,,,,,3,,,,5,,,3,68,,,,,1,,342,,,,,,2,1,,,,,,,,,,,,,5,,,1,,20,,,,,,,,,,,,,,,,,,,,,,,21,,,1,23,,,,
7384.537,259,,,,,,,1,,,,,,,,,,,,,,,3,1,,2,,3,,,,71,,,,1,,,303,,,2,,,7,1,,1,,,,,,,,2,,,3,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,28,1,,,20,1,,,
7659.709,268,,,,,,,4,1,,4,,,2,,,,,,,,,,,,,,5,,,1,42,,,,,1,,401,,,,,,6,,,,,,,,,,,,,,3,,,1,,,,,2,3,,,,,,,,,,,,,,,,,,,21,,1,,32,,,,
7904.306,276,,1,,,,,31,2,,1,,,2,2,,,,,,,,,,,2,,8,,,1,76,,,6,,,,378,,,,,,11,,,1,,,,2,1,3,,,,,,,,1,1,,1,,1,6,2,1,,,,,,,,,,,1,1,,4,,2,24,,1,1,19,,,,
8148.903,284,,,,,,,23,,,1,,,1,2,,2,,,,,,1,4,,,,16,,,,85,2,,,1,1,1,405,,,1,,,11,,,,,,,1,1,3,,,,,1,,,1,,,1,,2,2,,,,,,,,,,1,,,,,,1,,,14,,3,2,23,2,,,
8442.48,294,,,1,,,,23,1,,2,,1,,,,,,,,,,1,2,,,,3,,,1,64,,,,,,,373,,,3,,,3,,,1,,,,1,4,1,,,,,3,,,4,2,,1,,4,3,,,,,,,,1,,,,,1,,,,,,5,,2,2,6,,,,
8589.423,300,,,,,,,12,,,2,,,,,,,,,,,,,,,,,2,,,1,84,,,,,,1,359,1,,,,,3,,,,,,,,6,1,,1,,,4,,2,2,,,3,,4,3,,,,,,,,,,,,,1,,,,,,1,,,,3,,,,1
8711.875,305,,,,,2,,31,,,,,,,,,,,,,,,,,,2,,1,,,,97,,,,,1,,405,,,,,,5,1,,2,,,,,3,,,4,,,2,,,1,,1,,,1,1,,,,,,,2,,,,,2,,,,,,,3,,,1,6,,,,
8809.837,309,,,,,,,28,3,,1,,,,1,,,,,,,,1,1,,3,,3,,,,91,,,,,,,397,,,,,,3,,,1,,1,,2,3,,,1,,,3,,,1,,,,,,2,,,,1,,,2,,,,,3,,,2,,,,4,,,3,5,,,,
8907.798,313,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,35,,,,,,,207,,,,,,1,,,,,,,,2,,,,,,2,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,6,,,,
9177.192,324,,,,,,,15,6,,1,,,,,,,,,,1,,,,,1,,1,,,2,51,,,,,,,273,,,,2,2,4,,,2,,,,,6,,,,,,2,,1,,,,,,,2,,,,,,,,,,,,2,,,,,,1,6,,,1,2,,,,
9495.567,337,,,,1,,,25,6,,,,1,,,2,,,,,,,,1,,2,,4,,,,79,,,,,,,351,,,,,1,3,,,,,,,,1,1,,1,,,,,1,,,,,,1,4,,,,,,,1,,,,,3,,,,3,4,,2,,,1,3,,,,
9642.51,343,,,,,,,16,6,,,,,,,,,,,,,,,1,,,,4,,,,75,,,,,1,,426,,,,,,3,1,,,,,,,2,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,1,1,,,,1,,,1,,,8,3,,,,
9789.452,349,,,,,,,7,4,,,,,,,,,,1,,,,,2,,,,1,,,1,68,,,,,1,,445,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,9,2,,,,
9960.885,356,,,,,,,6,9,1,,,,,,,,,,,,,,,,,,3,,,1,66,,,,,,1,378,,,,,,2,,,1,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,,,,,,,1,,1,7,3,,,,
10009.87,358,,,,,,,2,4,,,,,,,,,,,,,,,1,,,,,,,2,76,,,,,,,425,,,,,,5,,1,1,,,,,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,2,7,2,,,,
10450.69,376,,,,,,,1,4,,1,,,,,,,,,,1,,,1,,,,,,,1,42,,,,,,,360,,,,,,2,,,2,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,,,,,,12,2,,,,
10548.65,380,,,,,2,,,4,,,,,,,,,,1,,,,,,,1,,2,,,1,65,,,,,,,399,,,,,,2,1,,1,,,,,,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,21,,,,,
10756.82,388.5,,,,,,,1,12,,,,1,,,2,,,,,,,,,,,,1,,,1,74,,,,,1,,450,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,24,2,,,,
10867.03,393,,,,,,,1,6,,,,1,,,,,,,1,,,1,,,1,,1,,,,92,,,,,,,432,,,,2,,2,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,20,,,,,
11111.93,403,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,301,,,,,,3,,,,,,,,,1,1,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,2,,,1,
