"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Salix","Fraxinus","Betula","Fabaceae","Rumex acetosa-type","Rhamnus-type","Genista-type","Olea europaea","Convolvulus arvensis-type","Daphne gnidium-type","Abies","Cyperaceae","Alnus","Plantago major/P. media-type","Glomus cf. G. fasciculatum","Rumex acetosella-type","Anthemis-type","Asphodelus albus-type","Erica-type","Polypodiophyta (trilete)","Brassicaceae","Lamiaceae","Helianthemum-type","Quercus pyrenaica-type","Polygonum aviculare-type","Poaceae (Cerealia-type)","Boraginaceae","Juniperus-type","Cardueae","Quercus ilex-type","Cistus ladanifer","Polypodiophyta (monolete)","Cercophora undiff.","Pistacia","Fungi (type 55, HdV)","Amaranthaceae","Phillyrea","Urtica dioica-type","Pinus halepensis/P. pinea-type","Chaetomium undiff.","Artemisia","Plantago lanceolata-type","Aster-type","Coniochaeta cf. C. ligniaria","Pinus pinaster","Poaceae","Cichorioideae","Lonicera","Plantago coronopus-type","Liliaceae undiff.","Cedrus","Corylus","Hedera","Myrtus","Ulmus","Ilex","Lycium","Humulus/Cannabis","Selaginella denticulata-type","Cosentinia","Withania","Juglans"
8773,NA,NA,240,2,2,3,NA,NA,NA,NA,2,NA,NA,NA,15,6,NA,NA,NA,NA,NA,2,9,NA,NA,NA,19,NA,NA,NA,13,NA,17,NA,11,NA,11,NA,NA,9,NA,7,NA,2,NA,NA,NA,11,3,NA,4,1,NA,NA,7,3,NA,4,NA,NA,NA,NA,NA,NA,NA
9473,NA,NA,250,2,2,3,NA,NA,NA,NA,1,NA,NA,NA,27,7,NA,NA,NA,NA,NA,2,8,NA,NA,NA,12,NA,NA,NA,14,NA,25,3,21,NA,9,NA,NA,9,NA,9,NA,2,NA,NA,NA,5,6,NA,4,NA,NA,NA,7,4,NA,4,NA,NA,NA,NA,NA,NA,NA
10174,NA,NA,260,3,5,3,3,NA,2,NA,1,NA,3,NA,15,7,NA,NA,NA,NA,NA,1,11,NA,NA,NA,15,NA,NA,NA,3,1,31,NA,8,NA,8,NA,2,1,1,5,NA,3,2,1,2,NA,5,3,3,NA,NA,NA,13,3,2,5,NA,NA,2,NA,NA,NA,NA
10524,NA,NA,265,2,5,3,1,NA,2,1,2,NA,2,NA,21,8,1,NA,NA,NA,NA,1,13,2,NA,2,21,1,NA,1,3,1,33,NA,9,NA,9,NA,2,2,NA,3,NA,NA,1,2,2,2,6,3,4,2,NA,NA,14,3,3,4,2,NA,NA,NA,NA,NA,NA
10874,NA,NA,270,1,3,2,NA,NA,1,NA,NA,1,2,NA,8,8,NA,NA,NA,NA,NA,3,12,NA,NA,1,13,NA,NA,NA,4,2,44,2,13,NA,3,NA,1,1,NA,2,NA,NA,NA,2,NA,NA,7,2,2,1,2,NA,8,2,NA,3,NA,NA,NA,NA,NA,NA,NA
11224,NA,NA,275,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,19,12,NA,NA,NA,NA,NA,1,6,NA,NA,NA,14,NA,NA,NA,3,NA,23,NA,22,NA,3,NA,NA,1,NA,2,1,2,NA,NA,NA,NA,2,4,3,1,2,NA,9,1,NA,6,NA,NA,NA,NA,NA,NA,NA
11575,NA,NA,280,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,9,NA,8,NA,NA,NA,4,NA,9,NA,NA,9,NA,12,NA,NA,NA,7,33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12126,NA,NA,287,NA,NA,9,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,6,4,NA,NA,NA,9,NA,7,NA,NA,NA,NA,NA,13,NA,NA,13,NA,13,NA,NA,NA,6,21,NA,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
12677,NA,NA,294,NA,NA,13,NA,1,2,NA,NA,NA,NA,13,NA,3,NA,NA,1,NA,NA,5,NA,NA,NA,8,3,NA,NA,NA,13,1,6,NA,NA,NA,NA,NA,21,NA,NA,23,NA,24,NA,NA,NA,4,16,3,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
13385,NA,NA,303,NA,NA,21,NA,1,NA,NA,NA,NA,2,15,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,5,NA,NA,NA,13,1,7,NA,3,NA,3,NA,5,2,NA,44,NA,15,NA,NA,NA,13,7,3,NA,NA,NA,2,NA,NA,3,NA,11,NA,NA,NA,NA,NA,NA
13936,NA,NA,310,2,1,6,NA,NA,NA,NA,5,NA,2,9,4,4,NA,NA,NA,3,NA,7,NA,NA,NA,7,6,NA,NA,1,14,NA,8,NA,3,NA,3,NA,16,6,NA,32,NA,19,NA,NA,NA,21,19,NA,NA,NA,NA,3,3,NA,3,NA,9,NA,NA,NA,NA,NA,NA
14487,NA,NA,317,2,NA,7,NA,NA,NA,NA,NA,NA,3,13,NA,3,1,5,NA,NA,NA,8,2,1,NA,9,3,NA,NA,NA,5,NA,5,1,2,NA,NA,NA,12,7,NA,21,NA,8,NA,2,NA,5,15,5,NA,NA,NA,NA,2,NA,1,NA,13,NA,NA,NA,NA,NA,NA
14802,NA,NA,321,2,1,13,NA,NA,NA,NA,NA,NA,NA,17,7,2,NA,2,NA,NA,NA,8,2,NA,NA,12,7,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,9,3,NA,24,NA,14,NA,NA,NA,9,19,2,NA,2,NA,5,4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
15117,NA,NA,325,6,NA,14,NA,NA,NA,NA,3,NA,NA,5,8,6,NA,2,NA,NA,NA,8,1,NA,NA,3,3,NA,NA,NA,17,NA,6,1,NA,NA,4,NA,19,3,2,11,NA,16,NA,NA,NA,8,27,NA,2,2,2,6,3,NA,NA,1,6,NA,NA,NA,NA,NA,NA
15432,NA,NA,329,7,NA,15,NA,NA,NA,NA,3,NA,NA,5,NA,7,NA,NA,NA,NA,NA,8,1,NA,NA,4,8,NA,NA,NA,9,NA,5,NA,NA,NA,NA,NA,17,NA,NA,5,NA,5,NA,NA,NA,7,15,NA,NA,NA,2,7,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
15826,NA,NA,334,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,6,7,NA,NA,NA,9,NA,5,NA,NA,NA,3,NA,7,3,NA,16,NA,17,NA,NA,NA,7,18,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
16141,NA,NA,338,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,3,NA,2,NA,1,NA,11,2,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,11,1,NA,4,NA,33,NA,NA,NA,NA,24,11,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
16377,NA,NA,341,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,9,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,21,NA,NA,6,NA,23,NA,NA,NA,2,56,9,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16602,NA,NA,344,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,23,NA,NA,7,NA,29,NA,NA,NA,NA,34,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
16821,NA,NA,347,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,NA,1,NA,2,NA,7,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,13,2,NA,2,NA,44,NA,1,NA,NA,55,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17040,NA,NA,350,3,NA,2,1,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,3,NA,2,2,NA,NA,NA,NA,14,NA,NA,2,NA,34,NA,NA,NA,1,44,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA
17186,NA,NA,352,3,2,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,2,NA,7,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,24,2,NA,NA,NA,21,NA,NA,NA,3,46,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,3,5,NA,NA
17405,NA,NA,355,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,3,NA,2,NA,8,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,25,NA,NA,3,NA,26,NA,1,NA,2,37,NA,NA,NA,NA,NA,2,NA,NA,NA,1,3,NA,5,3,NA,NA
17601,NA,NA,358,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,6,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,16,1,NA,3,NA,53,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,2,NA,NA,NA,2,5,NA,5,4,NA,NA
17750,NA,NA,361,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,4,NA,NA,NA,7,2,NA,NA,NA,4,NA,2,1,NA,NA,NA,NA,9,1,NA,4,NA,24,NA,NA,NA,NA,36,2,NA,NA,2,NA,2,NA,NA,1,3,6,NA,3,3,NA,NA
17898,NA,NA,364,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,5,NA,3,1,4,NA,NA,NA,12,NA,NA,NA,NA,28,NA,3,NA,1,67,2,NA,2,2,NA,1,NA,NA,NA,NA,1,NA,3,2,NA,NA
18047,NA,NA,367,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,2,NA,NA,2,5,1,NA,4,2,NA,NA,NA,3,NA,4,NA,3,NA,NA,NA,22,NA,NA,2,NA,33,NA,3,NA,1,36,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18245,NA,NA,371,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,34,NA,NA,1,NA,43,NA,NA,NA,3,49,3,NA,NA,2,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA
18443,NA,NA,375,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,2,NA,4,NA,3,NA,2,3,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,23,NA,NA,NA,NA,45,NA,3,NA,2,56,3,NA,2,NA,2,2,2,NA,1,1,NA,NA,NA,NA,NA,NA
20785,NA,NA,382,2,NA,2,2,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,3,NA,2,NA,1,NA,3,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,19,NA,NA,4,NA,28,NA,NA,NA,2,77,4,NA,NA,NA,2,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA
23942,NA,NA,389,2,2,3,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,3,1,2,NA,1,NA,11,3,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,32,NA,NA,3,NA,33,NA,NA,NA,3,45,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
23969,NA,NA,396,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,2,NA,NA,NA,9,3,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,13,NA,NA,2,NA,17,NA,2,NA,3,37,1,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
23996,NA,NA,403,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,9,1,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,13,NA,NA,1,NA,36,NA,NA,NA,1,67,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24024,NA,NA,410,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,2,NA,3,1,3,NA,NA,NA,NA,6,NA,2,NA,2,NA,NA,NA,22,NA,NA,2,NA,44,NA,NA,NA,NA,73,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
24349,NA,NA,414,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,1,1,2,2,9,1,NA,NA,1,7,NA,2,1,NA,NA,NA,NA,11,NA,NA,NA,NA,53,NA,NA,NA,NA,65,NA,NA,NA,1,NA,NA,1,NA,1,2,NA,NA,2,NA,2,NA
24693,NA,NA,418,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,7,2,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,24,NA,NA,NA,NA,29,NA,NA,NA,NA,49,NA,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,2,NA,2,NA
25044,NA,NA,422,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,2,1,2,1,2,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,13,NA,NA,1,NA,38,NA,NA,NA,NA,83,NA,1,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
25394,NA,NA,426,2,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,47,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25745,NA,NA,430,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,5,NA,1,NA,1,NA,NA,NA,16,NA,NA,NA,NA,65,NA,NA,NA,NA,95,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26008,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,3,3,2,NA,NA,NA,4,5,12,2,NA,NA,3,NA,11,3,NA,8,NA,44,NA,NA,NA,1,56,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26298,NA,NA,434,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,5,2,1,NA,NA,NA,3,NA,9,NA,NA,NA,3,NA,12,5,NA,7,NA,39,NA,NA,NA,NA,45,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26880,NA,NA,436,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6,3,NA,NA,NA,NA,5,NA,11,1,NA,NA,5,NA,9,4,NA,8,NA,66,NA,NA,NA,2,67,23,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27170,NA,NA,437,NA,1,1,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,5,4,1,NA,NA,NA,6,5,NA,NA,NA,NA,3,NA,8,4,NA,7,NA,54,NA,NA,NA,3,78,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27752,NA,NA,439,NA,NA,2,NA,NA,1,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,7,3,2,NA,NA,NA,5,NA,3,NA,NA,NA,3,NA,13,5,NA,6,NA,34,NA,2,NA,NA,54,24,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
28042,NA,NA,440,NA,2,1,NA,NA,2,NA,4,NA,3,NA,2,1,NA,NA,NA,NA,NA,3,NA,NA,11,3,1,NA,NA,NA,4,4,4,NA,NA,NA,4,NA,24,6,NA,7,NA,45,NA,2,NA,4,34,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
29526,NA,NA,442,NA,NA,1,NA,NA,NA,NA,5,NA,2,NA,NA,1,NA,NA,NA,1,NA,2,1,1,9,2,NA,NA,NA,1,5,3,5,2,NA,NA,5,NA,7,4,NA,8,NA,66,NA,NA,NA,5,56,13,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
30268,NA,NA,443,1,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,2,NA,5,NA,NA,NA,1,2,NA,8,1,NA,NA,NA,NA,6,3,12,NA,NA,NA,6,NA,15,5,NA,9,NA,55,NA,2,NA,2,71,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
31751,NA,NA,445,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,6,1,NA,NA,2,3,NA,3,5,1,NA,NA,NA,5,3,15,NA,NA,NA,5,NA,6,4,1,11,NA,44,NA,NA,NA,NA,50,5,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA
32493,NA,NA,446,NA,NA,2,NA,2,1,NA,1,NA,2,NA,1,1,1,7,NA,2,NA,1,NA,NA,2,4,NA,NA,NA,NA,4,2,16,NA,NA,NA,6,NA,7,3,NA,12,NA,21,NA,2,NA,2,39,16,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA
33976,NA,NA,448,1,NA,1,1,NA,2,NA,2,NA,3,NA,2,1,NA,NA,NA,1,NA,2,1,1,4,3,1,NA,NA,2,5,NA,7,NA,2,NA,5,NA,8,2,NA,3,NA,33,NA,NA,NA,2,44,15,NA,1,3,1,NA,1,NA,2,1,NA,NA,NA,NA,2,NA
35460,NA,NA,450,NA,NA,1,NA,2,2,NA,3,NA,3,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,3,2,NA,NA,NA,NA,5,NA,9,NA,2,NA,4,NA,11,6,NA,4,NA,49,NA,2,NA,2,56,11,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA
36202,NA,NA,451,1,NA,1,NA,NA,NA,NA,3,NA,3,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,3,2,1,NA,NA,2,4,NA,12,NA,2,NA,3,NA,11,6,NA,12,NA,45,NA,NA,NA,2,43,19,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA
