"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Fabaceae undiff.","Liliaceae-type","Erodium","Matricaria-type","Quercus cerris-type","Abies","Rubiaceae","Portulaca","Fumaria","Solanum nigrum-type","Ceratonia siliqua","Centaurea nigra-type","Lavandula","Malva sylvestris-type","Polygonum aviculare-type","Lamiaceae","Smilax","Withania","Podospora-type","Boraginaceae","Quercus ilex-type","Cedrus","Genista-type","Olea europaea","Plantago major/P. media-type","Plantago lanceolata-type","Rhamnus-type","Phillyrea","Erica arborea-type","Myrtus communis","Periploca","Poaceae (Cerealia-type)","Juniperus-type","Aster-type","Ziziphus","Cercophora-type","Artemisia","Tamarix","Cistus","Pinus halepensis-type","Carduoideae","Amaranthaceae","Sordaria-type","Sporormiella-type","Pistacia","Poaceae","Cichorioideae","Geranium","Populus","Crataegus-type","Salix","Alnus","Fraxinus","Prunus-type","Ruscus","Taxus baccata","Ilex"
8278,NA,NA,90,1,1,2,2,4,NA,NA,2,1,3,3,5,NA,4,5,2,NA,NA,8,4,23,7,NA,19,9,9,1,NA,1,NA,NA,12,12,13,3,17,3,4,4,5,13,4,26,23,9,17,30,1,2,NA,6,13,2,NA,3,NA,NA
8622,NA,NA,100,NA,NA,NA,3,5,NA,1,NA,1,4,1,4,NA,4,5,NA,NA,2,7,5,24,7,NA,17,9,15,2,1,3,NA,1,15,9,8,1,13,NA,NA,5,4,13,5,15,15,10,16,15,1,3,5,2,9,6,1,1,2,NA
8967,NA,NA,110,1,2,NA,1,5,NA,2,1,1,3,NA,5,1,3,4,NA,NA,1,9,5,19,8,1,26,11,9,NA,1,4,2,1,9,11,7,NA,13,NA,NA,4,7,9,3,23,25,7,4,23,2,4,4,7,13,4,2,3,NA,NA
9139,NA,NA,115,2,2,NA,NA,3,2,2,1,NA,2,1,5,NA,NA,5,NA,NA,NA,13,3,21,11,NA,18,7,13,NA,2,4,1,NA,14,13,13,NA,9,1,2,6,9,9,4,34,23,8,5,28,NA,3,6,8,11,4,NA,2,3,NA
9311,NA,NA,120,NA,1,NA,NA,4,3,1,NA,NA,NA,2,1,NA,NA,NA,1,NA,2,1,1,33,9,NA,28,NA,NA,1,1,NA,1,NA,NA,9,NA,1,NA,1,NA,7,11,NA,5,NA,1,6,4,1,NA,5,9,21,21,13,NA,3,3,2
9483,NA,NA,125,1,NA,NA,NA,11,NA,3,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,45,13,2,29,NA,NA,NA,3,NA,NA,2,NA,8,2,2,NA,NA,4,4,7,1,4,NA,NA,8,7,3,NA,4,9,13,33,16,1,4,2,3
9655,NA,NA,130,1,NA,NA,NA,9,4,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,3,NA,NA,39,17,2,31,NA,1,NA,NA,NA,2,NA,NA,9,1,NA,NA,NA,4,3,8,2,3,NA,NA,8,7,NA,NA,6,8,13,28,9,2,3,4,NA
9999,NA,NA,140,2,1,NA,NA,9,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,NA,1,49,18,1,32,NA,NA,2,NA,1,NA,NA,NA,7,1,NA,1,NA,NA,5,5,2,6,2,3,11,8,2,NA,5,5,18,44,13,3,3,5,5
10171,NA,NA,145,NA,1,NA,1,13,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,38,20,NA,18,NA,NA,NA,2,2,NA,NA,NA,6,2,NA,NA,2,5,5,6,3,2,NA,NA,9,9,3,NA,4,4,17,36,12,3,2,5,5
10344,NA,NA,150,NA,2,NA,NA,11,5,1,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,2,45,17,NA,17,1,NA,NA,2,NA,NA,NA,NA,8,3,1,NA,NA,NA,2,7,NA,3,NA,NA,9,5,2,NA,6,9,22,38,9,2,1,6,4
10516,NA,NA,155,1,1,NA,NA,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,36,13,1,23,NA,NA,NA,3,NA,NA,NA,NA,11,1,NA,NA,1,1,3,6,NA,2,1,NA,13,4,2,NA,6,9,14,39,8,1,5,3,2
10688,NA,NA,160,2,1,NA,1,9,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,15,1,24,NA,1,NA,2,1,NA,NA,NA,12,2,NA,NA,1,NA,2,7,NA,3,NA,NA,10,6,1,NA,7,10,23,43,15,2,3,2,3
10860,NA,NA,165,1,2,NA,NA,10,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,17,NA,33,NA,NA,NA,4,1,NA,NA,NA,9,1,NA,NA,NA,NA,4,8,2,1,NA,NA,13,5,3,NA,5,8,19,45,16,1,2,4,4
