Depth,Giesecke et al. 2014 (MADCAP) - Calibrated radiocarbon years BP,EPD - Radiocarbon years BP,Acer,Aconitum,Alchemilla,Allium,Alnus glutinosa,Amaranthaceae-type,Ambrosia,Ammi,Anagallis,Anemone sect. Hepatica,Angelica archangelica-type,Angelica palustris-type,Angelica sylvestris,Anogramma leptophylla,Anthemis-type,Anthemis-type (small),Anthriscus sylvestris,Apiaceae undiff.,Apium nodiflorum,Arbutus unedo,Arenaria,Armeria,Artemisia,Asphodelus albus,Aster-type,Asteroideae undiff.,Astrantia,Bellis,Berula erecta,Betula pubescens,Botrychium,Brassicaceae,Bupleurum,Buxus sempervirens,Calluna vulgaris,Campanula,Carum verticillatum,Caryophyllaceae undiff.,Castanea sativa,Centaurea cyanus,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium,Cerastium,Chaerophyllum temulum,Cichorioideae undiff.,Cicuta virosa,Cirsium-type,Cistus ladanifer-type,Colchicum montanum,Conium maculatum,Cornus sanguinea,Corylus avellana,Cuscuta,Cyperaceae,Cytisus grandiflorus,Daucus,Dianthus lusitanus-type,Dryopteris-type,Echium,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetum,Erica arborea-type,Erica australis,Erica umbellata,Eryngium,Eucalyptus,Fabaceae undiff.,Fagus sylvatica,Fallopia convolvulus-type,Filago-type,Filipendula,Frangula alnus,Fraxinus angustifolia,Fritillaria lusitanica,Gagea nevadensis,Galium-type,Genista-type,Gentiana lutea/G. pneumonanthe,Gentianella campestris-type,Geranium,Gypsophila repens-type,Halimium/Tuberaria,Hedera helix,Hedwigia,Helianthemum,Heracleum,Herniaria-type,Hippophaë rhamnoides,Hydrocotyle vulgaris,Hypericum perforatum-type,Ilex aquifolium,Isoëtes,Jasione-type,Jasminum,Juglans,Juniperus communis,Jurinea,Lamiaceae undiff.,Lamium,Laserpitium,Lathyrus,Lavandula-type,Linaria,Lonicera periclymenum,Lotus,Lycopodium spike,Lycopodium spike,Lysimachia,Lythrum undiff.,Medicago,Menyanthes trifoliata,Mercurialis perennis,Meum-type,Micranthes stellaris-type,Minuartia recurva,Montia fontana,Myrica,Myriophyllum alterniflorum,Myrtus communis,Narcissus bulbocodium,Narcissus pseudonarcissus-type,Nymphaea,Oenanthe,Olea europaea,Ornithogalum-type,Ornithopus,Papaver rhoeas-type,Parnassia palustris,Paronychia polygonifolia-type,Pedicularis sylvatica,Pentaglottis sempervirens,Peucedanum-type,Phillyrea,Physospermum cornubiense,Picea,Pimpinella anisum,Pimpinella saxifraga-type,Pinus,Pistacia,Plantago coronopus sensu stricto,Plantago lanceolata-type,Plantago major-type,Plantago subulata-type,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium,Potamogeton,Potentilla,Poterium sanguisorba,Prunus,Pteridium aquilinum,Quercus,Radiola linoides,Ranunculus,Ranunculus acris-type,Reseda/Sesamoides,Rhamnus,Rhinanthus/Veronica,Rosaceae undiff.,Rubus,Rumex acetosa-type,Rumex acetosella-type,Rumex obtusifolius-type,Sagina,Salix,Sambucus nigra,Sample quantity,Sanguisorba officinalis-type,Saxifraga granulata-type,Scleranthus annuus,Scrophulariaceae undiff.,Sedum-type,Selinum carvifolia,Senecio,Seseli libanotis-type,Silaum silaus-type,Silene,Silene ciliata-type,Silene foetida-type,Silene vulgaris-type,Solanum dulcamara,Solanum nigrum-type,Solidago,Sorbus aucuparia,Sparganium,Sparganium emersum-type,Spergula,Spergularia-type,Sphagnum,Spike tablets,Stachys-type,Stellaria,Succisa,Taxus baccata,Teucrium,Thalictrum,Thymelaeaceae,Torilis arvensis-type,Trifolium-type,Trinia glauca-type,Typha latifolia,Ulex,Ulmus,Urtica,Valeriana officinalis,Valerianella,Veratrum album,Viburnum tinus,Vicia,Viola,Vitis,Zea mays
-16,12/-39/-94,--/-38/--,,,,,5,,,,,1,,,,,,,,,,,3,,4,1,,,,,,22,,2,,,4,,,1,,,,,,,1,6,,1,,,,,,,5,1,,,5,,,,,,159,20,1,,,,,,3,,,,,,12,10,,,,,24,,9,,,1,,,1,,,,,,2,,,,,,,,,,97,11329,,,,,,,13,1,,,,,1,,,,55,,1,,,1,,,3,,,,,,127,,3,2,4,2,586,61,,,,,1,,8,50,,52,,,,,,,,20,,,,,,,,1,,7,,,,,,,3,,,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1,
-14,21/-27/-78,--/-28/--,,,,,4,1,,,,,,,,,2,,,2,,,,,5,1,1,,,,,32,,,,,3,,,1,1,,2,,,,,5,,1,1,,,,1,,35,2,1,1,5,,,,,,192,11,8,,,,,,2,,,,,,2,6,1,,,,20,,5,,,,,,1,,,,,,4,,,,,,,,,,138,11329,,,,,,,1,,,,,,1,,,,31,,,,,,,,4,2,,,,1,39,,2,7,,,486,41,,,,,,,13,39,,31,,,,,,,,28,,,,,,,,,,5,,,,,,,2,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,
-12,34/-15/-64,--/-17/--,,,,,3,,,,,,,,,,,,,3,,,,,1,,,,,,,20,,,,,4,,,1,,,1,,,,,4,,1,,,,,,,9,1,,,4,,,,,,155,10,3,,,,,,2,,,,,,4,7,,,,,29,,3,,,,,,,,,,,,1,,,,,,,,,1,77,11329,,,,,1,,2,,,,,,1,,,,18,,,,,2,,,1,1,,,,,27,,,,,1,319,27,,,,,,,9,28,,18,,,,,,,,17,,,,,,,1,1,,4,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
-10,50/-3/-53,--/-6/--,,,,,3,,,,,2,,,,,4,,,3,,1,,1,2,2,,,,,,20,,,,,3,,,2,6,,,,,1,,3,,,1,,,,,,14,,,2,4,,,,,,205,22,6,,,,,,2,,,,,,3,6,1,,,,20,,4,,,,,,1,,,,,1,,,,,,,,,,,63,11329,,,,,,,2,2,,,,,,,,,25,,,,,,,,,3,,,,,38,1,,3,,,362,10,1,,,,,,13,39,,14,,,,,,,,15,,,1,,,,,,,2,,,,,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
-8,66/9/-45,--/5/--,1,,,,4,,,,,1,,,,,,,,,,1,,1,6,,,,,,,25,,,,,4,,,,2,,3,,,,1,2,,1,,1,,,,,32,,,,4,,,,,,180,22,6,,,,,,,,,,,,3,3,1,,,,18,,2,,,,,,1,,,3,,2,2,,,,,,,,,,63,11329,,,,,,,3,,,,,,1,,,,34,,,,,1,,,5,1,,,,1,12,1,1,3,,,371,15,,,,1,,,5,40,,17,,,,,,,,18,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,
-6,85/21/-37,--/15/--,,,,,6,,,,,,,,,,1,,,4,,,1,2,2,,,,,,,24,,1,,,4,,,1,2,,1,,,,,4,,,,,,,,,42,1,,,3,,,,,,260,22,5,,,,,,,,,,,,8,5,,,,,20,,4,,,,,,,,,1,,,3,,,,,,,,,,100,11329,,,,,,,,,,,,,1,,,,23,,,,,,,,3,2,,,,,29,,,2,,1,500,21,,,,1,,,7,43,,24,,,,,,,,12,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,
1,153/63/-16,--/53/--,,,,,2,2,,,,,,,,,,,,,,,1,,1,,1,2,,,,15,,3,,,2,,,,1,,2,,,,,9,,,,1,,,1,,3,1,,2,3,,,,,,47,10,3,,,,,,,,,,,,4,3,1,,,,14,,6,,,,,,,,,4,,,1,,,,,,1,,,,90,11329,,,,,,,1,,,,,,1,,,1,76,,1,,,1,,,2,,,,,,125,,1,7,,,568,101,,,,2,,,13,41,,236,,,,,,,,51,,,,,,,,,,4,,,,,1,,,,,,,,,,4,,,1,,1,,,1,,,,1,,,,,,,,,,,,1,
2,163/69/-14,--/58/--,,,,,5,1,,,,,,,,,1,,,,,,1,,1,,,,,,,21,,1,,,3,,,,2,1,,,,,,4,,1,,,,,1,,2,1,1,5,2,,,,,,154,8,7,,,,,,,,,,,,8,5,,,,,9,,5,,,,,,,,,1,,,1,,,,,,,,,,72,11329,,,,,,,4,,,,,,,,,,65,,1,,,,,,3,2,,,,,130,,,5,,1,372,83,,,,3,,,12,27,,223,,,,,,,,27,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,1
3,174/75/-11,--/64/--,,,,,5,1,,,,,,,,1,3,,,3,,,3,,1,,1,,,,,28,,4,,,8,,,,1,,,,,1,,6,,3,,,,,,,3,4,,2,8,2,,,,,176,15,6,,,,,,1,,,,,,7,9,1,,,,23,,10,,,,,,60,,1,3,,,2,,,,,,,,,,100,11329,,,,,,,,2,,,,1,2,,,,62,,1,,,12,,,2,1,,,,,37,,1,1,1,3,649,104,,,,,,,14,34,,202,,,,,,,,18,,,,,,,,,,1,,,,,,,,3,,,,,,,2,6,,1,,,,,,,,,,,,,1,,,,,,,,,
4,186/81/-10,--/69/--,,,,,2,1,,,,,,,,,3,,,2,,,5,2,2,,,,,,,11,1,1,,1,1,,,1,1,,,,,,,1,,1,,,,,,,1,,,,1,,,,1,,138,7,2,1,,,,,,,,,,,5,2,,,,,,,5,,,,,,,,,1,,,1,,,,,,,,,,41,11329,,,,,,,11,,,,,,1,,,,34,,,,,,,,2,1,,,,,94,,,3,,2,288,74,,,,,,,7,26,,90,,,,,,,,26,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
5,196/87/-10,--/75/--,,,,,2,,,,,3,,,,,2,,,1,,,2,,,1,,,,,,24,,,,,,,,8,,,,,,1,,6,,1,,1,,,,,3,,1,,1,,,,,,157,4,6,,,,,,,,,12,,,2,6,2,,,,19,,2,,,,,,,,,1,,1,,,,,,,,,,,103,11329,,,,,,,,,,,,,,,,,53,,,,,1,,,,3,,,,,109,,,10,,,581,23,,,,1,1,,3,60,,240,,,,,1,,,30,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,208/93/-9,--/80/--,,,,,4,3,,,,,,,,,1,,,3,,,2,,,,,,,,,14,,1,,,4,,,2,1,,,,,,,3,,2,,,,,,,,1,,,2,,,,,,152,6,4,,,,,,1,,,,,,4,5,,,,,25,,4,,,,,,1,,,,,,2,,,,,,,,,,44,11329,,,,,,,2,,,,,,1,,,,21,,,,,,,,1,,,,,,33,,,3,,,302,37,,,,,,,6,25,,29,,,,,,,,27,,,,,,,,,,5,,,,,2,,,,,,,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,
7.5,225/102/-7,--/88/--,,,,,2,,,,,1,,,,,1,,,2,,,3,,3,1,,,,,,64,,,,,4,,,,2,,,,,,1,9,,1,,,,,1,,3,2,1,1,6,,,,,,242,32,6,,,,,,2,,,,,,10,9,,,,,33,,7,,,,,,,1,,1,,,2,,,,,,,,,,60,11329,,,,,,,1,1,,,,,3,,,,35,,1,,,1,,,4,1,,,,,38,,,9,,1,547,62,,,,,,,13,43,,44,,,,,,,,32,,,1,,,,1,2,,8,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
10,253/117/-4,--/102/--,,,,,7,,,,,3,,,,,5,,,4,,,1,,1,3,,,,,,33,,,,,,,,2,,,,,,,,9,,3,1,,,,,,2,4,,,2,,,,,,215,16,4,,,1,,,,,,9,,,10,3,,,,,46,,3,,,,,,,,,,,,,,,,,,,,,,84,11329,,,,,,,,,,,,,,,,,28,,,,,1,,,,2,,,,,23,,,3,,1,680,22,,,,,,,,64,,193,,,,,,,,30,,,,,,,,1,,10,,,,,,,2,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
12.5,282/132/0,--/115/--,,,,,3,,,,,,,,,,,,,1,,,,,4,2,,,,,,35,,,,,4,,,,2,,,,,,,3,,1,,,,,,,3,1,,,6,,,,,,204,38,6,1,,,,,,,,,,,16,6,,,,,35,,3,,,,,,3,1,,,,,5,,,,,,,,,,58,11329,,,,,,,2,,,,,,,,,,32,,,,,,,,4,1,,,,,11,,,5,,2,535,25,,,,4,1,,7,31,,53,,,,,,,,21,1,,,,,,2,1,,7,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
15,377/253/144,--/254/--,,,,1,10,,,,,2,1,,,,3,,,2,,,2,1,4,,4,2,,,,116,,1,,,,,,8,,,1,,,,,12,,,4,,,,,,2,2,1,1,6,1,,,,,441,41,22,,,,,,1,,,2,,,19,6,,,,,59,,14,,,,,,,1,,1,,,,,,,,,,,,,193,11329,,,,,,,,,,,,,,,,,81,,,,,2,,,,1,,,,,21,,,12,,,986,11,,1,,,1,,6,95,,329,,,,,,,,38,,,1,,,,,1,1,4,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,
17.5,482/373/277,--/393/--,,,,,6,,,,,2,,,,,,,,2,,,2,,6,4,1,,,,,78,,,,,8,1,,,6,,1,,,,2,3,,2,,4,,,,,1,1,,1,7,1,,,,,242,32,5,,,,,,2,,,,,,6,4,,,,,29,,4,,,,,,1,1,,2,,,8,,,,,,,,,,62,11329,,,,,,,2,,,,,,2,,,,19,,,,,,,,6,3,,,,,3,,1,3,,,416,20,,,,1,,,3,58,,84,,,,,,,,23,1,,1,,,,,1,,5,,,,,,,1,3,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
20,592/494/403,--/532/--,1,,,,10,,,,,,,,,,3,,,11,,,3,1,5,2,3,,,,,142,,1,,,,,,6,1,,,,,,,11,,2,,,,,,,1,2,1,1,12,,,,1,,408,28,9,,,,,,,,,6,,,11,12,1,,,,52,,10,,,,,,,3,,,,,,,,,,,,,,,136,11329,,,,,,,,,,,,,,,,,41,,,,,,,,,1,,,,,4,,,8,,,495,9,,,,,,,,95,,330,,,,,,,,21,,,,,,,,1,,19,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
22.5,706/614/522,--/672/--,,,,,6,,,,,,,,,,3,,,4,,1,6,1,1,1,,,,,,55,,2,,,3,1,,1,1,,,,,1,3,2,,,,,,,1,,3,1,,,5,,,,,,336,19,4,,,,,,1,,,,,,13,4,,,1,,26,,11,,,,,,3,,,1,,,5,,,,,,,,,,79,11329,,,,,,,2,,1,,,,2,,,,17,,1,,,2,1,,8,4,,,,,6,,2,7,,8,604,29,,,,2,,,15,65,,24,,,,,,,,21,,,,,,,,1,,2,,,,1,,,1,,,,,,,,,,,1,,4,,,,,2,,,,,,,,,,,,,,,
25,826/734/634,--/811/--,,,,,3,1,,,,1,,,,,3,,,12,,,1,1,2,,3,4,,,,1244,,,,,,,,5,,,,,,,,10,,2,,,,,,,5,,1,,9,,,,,,297,21,6,,,1,,,,,,5,,,12,,,,2,,41,,16,,,,,,,,,,,,,,,,,,,,,,122,11329,,,,,,,,,1,,,,,,,,11,,,,,,,,,,,,,,1,,,6,,,557,7,,,,1,,,,93,,25,,,,,,,,23,,,,,,,,1,,8,,,,,,,,,,,,3,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
27.5,957/855/738,--/950/--,,,,,6,,,,,1,,,,,2,,,8,,,1,,3,,2,,1,,,98,,1,,,4,1,,1,,,1,,,,2,4,,1,,,,,2,,18,,4,,10,,,,,,208,14,2,,,,,,,,,1,,,20,3,,,,,9,,3,,,,,,1,1,,1,,,1,,,,,,,,,,43,11329,,,,,,,3,,,,,,2,,,,4,,1,,,,1,,9,2,,,,1,3,,,3,,1,690,8,,,,,,,10,94,,36,,,,,,,,112,,,,,,,,1,,5,,,,,1,,1,,,,,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,
30,1051/971/883,--/1065/--,,,,,7,,,,,1,,,,,2,,,6,,,1,,,2,,,,,,203,,,,,,,,1,,,2,,,,,2,,,,,,,,,83,,,,7,,,,,,151,11,1,,,,,,,,,1,,,10,12,,,,,7,,6,,,,,,,5,,,,,,,,,,,,,,,66,11329,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,2,,,,,,395,3,,,,,,,3,95,,288,,,,,,,,11,,,,,,,,,,8,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
32.5,1147/1087/1026,--/1180/--,,,,,4,,,,,,,,,,1,,,1,,,2,1,1,1,1,,,,,179,,1,,,4,1,1,,4,,1,,,1,,3,,1,,2,,,,,61,,1,3,9,,,,,,151,11,5,,,,,,,,,,1,,9,2,,,,,7,,2,1,,,,,,,,1,,1,2,,,,,,,,,,43,11329,,,,,,,,,,,,,2,,,,2,,,,,1,,,6,5,,,,,5,,,5,,1,386,7,,,,6,,,4,108,,229,,,,,,,,17,,,,,,,1,,,12,,,,,2,,,,,,,,,,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,
35,1249/1204/1162,--/1295/--,,,,,8,1,,,,,,,,,,,,13,,,1,,3,1,1,3,,,,215,,,,,,,,5,,,2,,,,,4,,3,,1,,,,,66,,3,,18,,,,,,150,7,2,,,,,,,,,1,,,8,6,2,,,,8,,5,,,,,,,1,,1,,,,,,,,,,,,,78,11329,,,,,,,,,,,,,1,,,,7,,,,,1,,,,,,,,,2,,,1,,,427,3,,,,2,1,,6,98,,414,,,,,,,,14,,,,,,,,,,13,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
37.5,1368/1320/1281,--/1410/--,,,,,4,1,,,,4,,,,,6,,,3,,,,1,3,1,2,,,,,235,,1,,,1,,,,3,,1,,,,1,4,,,,,,,,,100,1,,1,11,,,,,,121,23,1,,,,,,1,,,,,,13,5,,,,,5,,12,,,,,,,3,,5,,1,,,,,,,,,,,57,11329,,,,,,,3,,,,,,2,1,,,4,,1,,,2,,,9,,,,,,2,,,2,,1,411,8,,,,4,,,10,118,,189,,,,,,,,18,,,1,,,,,1,,13,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,
