"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Primulaceae","Ranunculaceae","Juglans","Lamiaceae","Polygonum","Centaurea","Geraniaceae","Eryngium","Asphodelus","Polygonum serrulatoides-type","Artemisia","Helianthemum","Typha latifolia","Urticaceae","Myriophyllum spicatum","Cistus","Potamogeton","Typha angustifolia","Apiaceae","Poaceae (Cerealia-type)","Amaranthaceae","Convolvulaceae","Olea europaea","Caryophyllaceae (periporate, excluding Paronychioideae)","Cupressus","Cyperaceae","Brassicaceae","Rumex","Cichorioideae","Poaceae","Quercus","Asteraceae","Cedrus","Pseudoschizaea","Fraxinus-type","Daphne","Plantago","Liliaceae","Fabaceae","Rubiaceae","Lonicera-type","Ilex aquifolium","Ephedra","Rosaceae","Euphorbiaceae","Alisma","Celtis","Alchemilla-type","Ericaceae","Pinus","Armeria","Juncus","Laurus nobilis","Ulmus","Trifolium-type","Taxus baccata","Typha minima","Lamium-type","Lycopodium","Acer","Corylus","Asphodeline","Sideritis-type","Riccia","Ostrya-type"
1229,NA,NA,60,NA,18,NA,1,8,NA,NA,NA,5,NA,1,NA,NA,4,5,NA,NA,3,9,5,4,NA,NA,111,NA,1,65,4,55,70,155,92,134,1,NA,7,10,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1315,NA,NA,65,NA,4,NA,5,1,1,1,NA,3,NA,1,NA,NA,4,17,1,4,NA,18,11,6,3,9,195,NA,8,105,7,88,120,145,103,137,NA,NA,6,2,NA,NA,3,NA,1,NA,NA,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,NA,NA,70,NA,1,NA,NA,1,4,1,NA,6,NA,NA,NA,2,4,3,1,5,NA,4,8,2,2,17,86,NA,25,37,5,43,89,106,54,158,NA,NA,4,6,NA,NA,NA,NA,2,3,NA,4,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1486,NA,NA,75,NA,NA,NA,3,NA,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,6,1,6,1,6,NA,1,15,NA,56,39,11,28,117,87,30,155,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,2,7,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,NA,NA,80,NA,2,NA,1,2,5,NA,NA,NA,NA,1,NA,8,2,NA,NA,5,1,17,5,6,NA,6,9,NA,141,46,3,19,160,76,18,145,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1658,NA,NA,85,NA,1,NA,4,NA,1,NA,NA,NA,NA,1,NA,21,3,1,NA,6,8,21,10,8,1,31,12,NA,103,30,10,37,150,160,43,116,1,NA,NA,1,NA,1,1,NA,1,NA,1,4,6,NA,NA,NA,5,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1744,NA,NA,90,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,48,6,3,NA,10,1,24,13,6,1,123,1,NA,90,16,14,30,163,132,28,161,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,25,NA,NA,1,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
1829,NA,NA,95,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,115,5,2,NA,7,1,44,3,2,1,107,37,NA,67,8,NA,25,70,175,57,171,NA,NA,NA,2,5,NA,NA,NA,1,3,NA,NA,NA,NA,3,NA,NA,1,17,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
2084,NA,NA,100,NA,3,NA,7,NA,NA,1,NA,NA,NA,11,5,26,NA,18,NA,13,NA,65,40,5,NA,71,111,NA,28,94,72,53,81,117,168,236,2,NA,6,8,1,NA,NA,NA,NA,NA,NA,NA,9,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,10,NA,NA,NA,NA,NA
2338,NA,NA,105,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,18,NA,5,NA,4,NA,10,2,2,2,13,9,NA,1,35,NA,17,23,34,43,64,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA
2592,NA,NA,110,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,5,1,NA,1,NA,4,7,NA,NA,11,5,NA,NA,27,1,13,24,28,24,26,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA
2847,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,24,2,NA,NA,NA,1,7,13,20,14,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,15,NA,NA,NA,NA,NA,NA
3708,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2,NA,5,11,1,NA,4,1,NA,20,19,41,47,39,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA
4721,NA,NA,125,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,11,NA,1,NA,7,NA,NA,4,9,4,NA,2,NA,NA,6,16,28,35,13,23,NA,NA,NA,2,NA,3,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
5010,NA,NA,130,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,8,NA,NA,NA,17,2,NA,6,NA,NA,12,28,27,31,9,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,2,NA,5,NA,4,16,NA,NA,1,NA,NA,NA
5154,NA,NA,132.5,NA,1,NA,NA,1,10,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,6,2,1,3,NA,23,43,22,33,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5299,NA,NA,135,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,8,1,3,NA,5,3,NA,NA,4,NA,23,17,14,19,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA,NA,NA,NA
5492,NA,NA,137.5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,1,NA,22,50,16,44,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5880,NA,NA,140,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,1,NA,1,2,5,NA,NA,2,13,8,NA,NA,NA,NA,38,21,32,22,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA,NA,NA
6267,NA,NA,142.5,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28,2,NA,18,18,10,43,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6655,NA,NA,145,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,2,NA,32,15,14,32,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA
7043,NA,NA,147.5,NA,NA,NA,NA,NA,48,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,4,3,20,21,38,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7431,NA,NA,150,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,NA,NA,17,56,12,84,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
7819,NA,NA,152.5,NA,NA,NA,NA,NA,31,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,3,20,32,48,12,6,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8207,NA,NA,155,NA,1,NA,NA,NA,19,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA,4,3,36,17,39,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
8983,NA,NA,160,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,NA,4,20,19,34,12,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
9759,NA,NA,165,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,43,20,33,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10409,NA,NA,170,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,2,NA,NA,5,NA,41,12,23,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
10976,NA,NA,175,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,21,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,22,19,15,18,1,NA,NA,NA,NA,NA,NA,2,NA,NA,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
11544,NA,NA,180,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,40,20,2,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12111,NA,NA,185,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,19,26,2,21,1,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12678,NA,NA,190,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,32,5,25,1,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13245,NA,NA,195,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,18,30,6,22,2,NA,NA,NA,NA,1,NA,NA,NA,NA,10,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13812,NA,NA,200,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,14,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,NA,NA,171,56,20,84,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14379,NA,NA,205,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,1,20,22,8,32,4,NA,NA,NA,NA,2,NA,NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1
15043,NA,NA,211,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,24,24,6,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15433,NA,NA,215,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,44,16,4,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15921,NA,NA,220,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,20,4,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17871,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,64,4,NA,29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18359,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,66,2,4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
