"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ulmus","Ephedra","Tamarix","Phillyrea","Asphodelus","Quercus suber","Typha","Chaetomium","Polyadosporites","Dicellaesporites","Fungi (type 48, UAB)","Closterium","Gloeotrichia","Cistaceae","Salix","Alnus","Galium-type","Unknown/Other","Fungi (type 14, UAB)","Fungi (type 1109, UG)","Cichorioideae","Unknown (type 128, HdV)","Apiaceae","Plantago","Erica","Glomus","Sordaria-type","Zygnema-type","Melampyrum","Cirsium-type","cf. Juniperus","Olea","Unknown (Hyaline quadrangular)","Amaranthaceae","Spirogyra","Quercus (deciduous)","Artemisia","Cyperaceae","Indeterminable","Fungi (cf. type 1107, UG)","Monocotyledoneae","Fungi (type 361, HdV)","Poaceae","Quercus ilex/Q. coccifera","Typha/Sparganium","Pinus","Fungi (type 8, UAB)","Spirogyra species (type 210, HdV )","Fungi (type 30A, UAB)","Corylus","Rumex","Aster-type","cf. Sedum","Podospora","Cercophora-type","Coniochaeta cf. C. ligniaria","Fungi (type 12, UAB)","Fungi (type1, UAB)","Lamiaceae","Poaceae (Cerealia-type)","Mougeotia","Foraminifera","Oribatida (type 36C, HdV)","Asteroideae","cf. Rosaceae","Ophioglossum-type","Rivularia","Caryophyllaceae","Scrophulariaceae","Tilia","Fraxinus","Rhamnus","Filipendula","Helianthemum-type","Monoletes","Polygonum","Pseudoschizaea","Myriophyllum","Paronychia-type","Verbena officinalis","Alnus cf. A. suaveolens","Pteridium","Pistacia","Fungi (type 4, UAB)","Copepoda (type 179, HdV)","Animalia undiff.","Gelasinospora","Fungi (type 30B, UAB)","Fungi (type 40, UAB)","Fungi (type 9, UAB)","Fungi (type 46, UAB)","Unknown (type 182, HdV)","Unknown (type 224, HdV)","Oribatida (type 36D, HdV)","Vitis","Primula","Dipsacus","Coniochaeta xylariispora (type 6, HdV)","Fagus","Brassicaceae","Potentilla","Fungi (type 35, UAB)","Arbutus unedo","Polypodium","Diplocladiella scalaroides","Carpinus","Plantago major/P. media","Sanguisorba","Sporormiella","Fungi (type 33, UAB)","Osmunda-type","Triletes","Isoëtes","Centaurea","Thymelaea","Isoëtes boryana","Urtica","Triletes (>30 µm)","Castanea","Oribatida (type 36B, HdV)","Delitschia","Sordariaceae/Sordaria (type 55B, HdV)","Trichuris sp.","Betula","Viburnum","Thecaphora","Fungi (type 20, UAB)","Ranunculaceae","Fungi (type 38, UAB)","Fungi (type 2, UAB)","Fabaceae","Neurospora","Fungi (type 32, UAB)","Unknown (4-celled spore)","Fungi (type 39, UAB)","Diporotheca rhizophila","Pediastrum","Fungi (type 21, UAB)","Invertebrata (type 52, HdV)","Mougeotia laetevirens","Rubus-type","Fungi (type 42, UAB)","cf. Ficus"
2948,NA,NA,134,"","","2","1","3","1","","","","","","","9","4","","1","3","","","","13","3","18","1","13","1","","12","4","4","1","15","","6","11","18","13","2, 17","17","","1","","53","65","38","50","3","","2","1","1","","","","","","","","1","","1","","3","3","","","1","","","","","1","1","1","","","14","","","","","","1","","","","","1","","","","","","","1","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3001,NA,NA,138,"1","","1","1","","1","","","","2","","1","6","1","1","","","","","","7","9","3","1","8","21","","1","2","5","1","3","","7","3","14","3","5, 24","5","","3","1","40","39","50","46","5","","","","","2","","","","","","","1","","","","3","3","","","1","","","","","","","2","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3054,NA,NA,142,"","","1","","1","2","","","","","","3","17","","","","","","","","4","4","7","","10","2","","10","4","13","4","","2","12","21","11","2","6, 30","9","","5","1","56","39","42","47","12","1","","","","","","","","","","","","","","","","3","","","2","","","","","1","","","","","1","","2","","1","7","","","","","","6","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3107,NA,NA,146,"","","2","","","1","","","","","","","","1","1","","1","","","","8","","3","1","4","7","2","3","1","14","3","1","4","10","22","4","3","2, 57","5","","7","","44","33","40","54","22","","2","","","2","1","","2","6","","","","","1","","1","5","","","","1","","","","","1","1","1","","3","","","","","","","","1","","","1","","","","","","","","","","","","","","1","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3159,NA,NA,150,"","","","1","1","","","","","","","","5","2","","","","","","","7","5","8","","14","1","","4","3","9","6","1","","13","62","4","4","3, 60","7","","14","","30","45","43","58","5","","","","","","","","","","","","","","2","","4","8","","","1","","","","1","","","","1","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3212,NA,NA,154,"","","","","","","","","","","","1","","1","","","","","","","15","4","9","","10","4","","2","3","22","1","2","","25","41","8","7","1, 76","6","","3","","27","37","46","42","18","","","","","1","","","","","","","","","","","4","10","","","1","","","","","","2","","9","","6","","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3266,NA,NA,158,"","","","","","","","","","","","","","2","","","","","","","30","8","3","","4","14","2","6","","19","2","2","24","28","26","12","2","43","7","","1","3","32","37","44","44","37","1","","1","","","","","","","","","","","1","","2","6","","","2","","","","1","","2","","4","1","10","","","","","","","","","","","2","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3320,NA,NA,162,"","","","","","","","","","","","","","3","","","","","","","60","","10","","8","33","","6","","27","1","2","6","19","16","5","3","2, 31","5","","2, 4","","41","24","25","28","1","","","","","1","","","","","","","","","","","20","17","","","","","","","","","1","","5","","6","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3377,NA,NA,166,"","","","","","","1","","","","","","","15","","","","","","1","61","1","4","","17","27","","1","","28","","1","10","10","5","8","3","13, 22","8","","","","61","27","23","41","3","","","","","","","","","","","","1","1","","","4","15","1","","","2","","","","","","1","2","","3","2","4","","","4","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3437,NA,NA,170,"","","","","","","1","","","","","","","1","","","","","","","49","2","8","","21","44","","","1","13","","2","","8","4","13","1","14, 17","3","","1","","35","35","36","51","3","","","","","1","","","","","","","","1","","","19","13","","","1","","","","","","","1","","","12","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3501,NA,NA,174,"","","","","","","","","","","","","","1","","","","","","","54","","6","4","10","45","","1","","6","1","","","18","2","4","","5, 35","11","","","","53","21","16","22","3","","","","","","","","","","","","","","","","7","7","","","2","","","","","","","","1","","4","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3646,NA,NA,182,"","","","","","","","","","","","","","3","","","","","","","13","","2","","4","3","","","","9","","1","","3","1","2","","2, 13","4","","","","11","3","2","45","","","","","","","","","","","","","","3","","","7","7","","","","","","","","","","","2","1","13","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3729,NA,NA,186,"","","","","","","","","","","","","","1","","","","","","3","37","1","21","","7","8","","","","9","","","","6","1","7","","9, 72","10","","","","18","4","","31","3","","","1","","","","","","1","","","","","","","14","9","","","","","","","","","1","","11","","20","","","","","5","","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3819,NA,NA,190,"","","","","","","","","","","","","","","","","","","","2","13","","1","","1","5","","6","","1","","","","4","3","1","","1, 14","1","","","","7","1","","6","","","","","","","","","","","","","","","","","","2","","2","","1","","","","","","","8","","31","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
3917,NA,NA,194,"","","","","","","","","","","","","","1","","","","","","13","42","","1","","13","1","","3","","4","1","1","","3","2","2","","10, 29","10","","","","12","1","3","11","2","","","","","","","","","","","","","","","","7","8","","2","","","","","","","","","27","","34","","","","","10","","","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4021,NA,NA,198,"","","","","","","","","","","","","","3","","","","","","1","16","","3","1","11","","","3","1","5","","1","","7","4","4","","4, 4","7","","","","15","12","2","13","4","","","1","","","","","","","","","","1","","","8","7","","1","","","","","","","1","","17","","43","","","","","20","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","9","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
4159,NA,NA,213,"","","","","","","","","","","","","","1","","","","","","9","29","2","4","","5","9","","3","","6","1","","1","5","2","1","2","8, 37","12","","","1","8","11","5","23","6","","","","","2","","","","","","","","","","","2","3","","4","","","","","","","","1","24","","35","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","5","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
4274,NA,NA,217,"1","","","","","","","","","","","","","2","","","","","","","51","","3","","8","4","","5","1","7","1","1","","9","10","5","1","3, 6","8","","1","1","11","7","1","23","3","","","1","","","","","","","","","","","","","2","5","","1","","","","","","","","","10","","37","","","","","12","","","","","","1","","","1","","","","1","","","","","","","","","1","","","","","","","12","","","1","1","","","3","1","","","","","","","","","","","","","","","","","","","","","","","",""
4391,NA,NA,221,"","","","","","","","","","","","","","2","1","","","","","","38","","12","","14","6","","3","","7","","3","1","6","4","3","","11, 17","15","","","","8","11","3","30","16","","","","","","","","","","","","","1","","","","2","","3","","","","","","","","1","16","","22","","","","","7","","","","","1","","","","","","","","","1","","","","","","","1","","","","","","","","5","4","1","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
4509,NA,NA,225,"","","","1","","1","","","","","","","","9","","","","","","","90","1","32","1","21","15","","3","1","8","1","4","","14","2","16","2","1, 19","30","","1","","37","20","3","23","13","","","","","1","","","","1","","","","","1","","21","10","","1","1","","1","","1","","1","1","22","","24","","","","","8","","","","","","","","2","","","","5","1","","","","","","1","","2","2","","","","","","","10","","","","","","","1","2","1","1","","","","","","","","","","","","","","","","","","","","","",""
4628,NA,NA,229,"","","","2","","","1","","","","","","","4","","","","","","","69","","9","1","30","27","","2","1","15","","2","3","26","13","14","1","7, 33","19","","1, 4","2","49","18","6","33","68","","","1","","","","","","","","","","2","","","27","13","1","1","","","","","1","","1","","33","1","42","","","","","8","","","","","","","","1","2","","1","","","","","","","","","","1","","","","","","","","3","","","","2","4","","2","","","","1","","","","","","","","","","","","","","","","","","","","",""
4861,NA,NA,237,"","","","","2","","","","","","2","","1","6","","","","","","","42","1","3","1","26","9","","4","1","26","1","4","4","57","32","20","1","5, 8","15","","3","","36","34","14","28","231","","","","","","1","","","","","","","1","","","8","14","2","1","","1","","","2","","1","2","15","1","23","","2","","","7","","","","","","","","1","","","","1","","","2","","1","","","","1","1","","","","","","","3","","","","1","2","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
4973,NA,NA,241,"","","","","","","","","","","","","","1","2","","","","","1","24","","1","2","18","27","","3","1","14","1","3","1","78","12","9","","3, 16","3","","26","1","29","19","1","29","207","","","","","2","1","","","","","3","","","","","9","17","","2","","","","","","","","","17","","22","","","","","6","","","","","","","","","1","","","","","","","","","","","","","2","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
5080,NA,NA,245,"","","","","","","","","","","","","","1","","","","","","","9","","1","2","12","7","","1","","18","","1","","42","19","15","3","7","3","","34","","16","22","","56","8","","","2","","","1","","","","","","","","","","3","5","","","","","","","","","","","14","","11","","","","","2","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
5181,NA,NA,249,"","","","","","","","1","","","1","","","2","","","","","","","12","","1","","3","20","","3","","3","","","3","20","28","8","","5, 23","14","","1, 9","","22","6","","20","170","","","","","","","","","","","2","","1","","","2","1","","","","","","","","","","","4","","4","","","","","3","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
5275,NA,NA,253,"","","","","","","","","","","","","","","","1","","","","","3","1","3","2","9","5","","","1","","2","4","","5","30","12","","2, 3","2","","","","15","18","","20","28","","","1","","","","","","1","","2","","1","","","","2","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
5361,NA,NA,257,"","","","1","","","","","","","","","","1","","","","","","","","","2","","8","3","","2","1","","","2","","2","30","17","2","2, 14","7","","4","","4","30","","23","25","","","3","1","","","","","1","","1","","","","","2","","","","","","","1","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5439,NA,NA,261,"","","","","","","","","","","","","","","","","","","","","","1","","","6","","","7","","","","3","","","76","10","1","","1","","5","","15","9","1","14","6","1","","","","","","","","1","","","","1","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5511,NA,NA,265,"","","","","","","","","","","","","","","","","","","","","","3","3","","5","4","","","","","","4","","3","54","12","","","2","","","","9","8","","5","12","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5577,NA,NA,269,"","","","","","","","","","","","","1","","","","","","","1","","6","1","","4","3","","1","","2","","","","","37","12","","","5","","","","10","6","1","6","4","","","1","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
5637,NA,NA,273,"","","","","","","","","","","","","","1","","","","","","1","1","3","","","10","2","","","1","","1","1","","","36","12","1","2","2","","1, 1","","9","19","1","31","13","1","","1","","1","1","","","1","","1","","","","2","1","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5693,NA,NA,277,"","","","","","","","","","","","","1","","","","","","","","","1","","","21","4","","","","","","4","","8","30","13","","1, 2","3","","1, 4","","12","24","","40","14","4","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5745,NA,NA,281,"","","","","","","","","1","","","1","1","","","","","","","","","","","","7","4","","","","","","1","","","10","16","","1","5","","","","9","20","","19","4","1","","2","","","","","","","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
5793,NA,NA,285,"","","","","","","","","1","4","","","","","","","","","","","1","","","","3","1","","","","","","","","","5","8","1","","7","","","","6","7","","8","","","","","","","","","","2","","3","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","",""
5883,NA,NA,293,"","","","","","","","","","1","","","","","","","","","","","2","","","","5","12","","","","","","","","","12","17","2","3, 6","6","","","","8","23","","8","1","","","","","","","","","","","17","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
5925,NA,NA,297,"","","","","","","","","","","","1","","","","1","","","","","1","1","1","1","3","5","2","","2","","1","2","","1","4","21","2","1, 7","4","","","","7","22","","10","1","","","","","","","","","1","","1","","1","1","","","3","","","","","","","1","","2","1","2","","1","","","","","","","","","","","","1","","","","","","1","","","1","","2","","1","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","",""
5998,NA,NA,314,"","1","","1","1","","","","","","","","","5","1","1","","","","","30","6","16","","30","9","","1","","6","","3","","7","22","14","2","3, 21","31","","","3","24","21","9","29","40","","","","","","1","","","1","","","1","5","","","19","7","","2","","","1","","","","1","","18","","33","","1","","","9","","","","","3","2","","2","2","","","","","","","","","1","","","","","","","","","","","8","4","","","","","","6","","1","","","","","","","","1","1","","","","","","","","","","","","","",""
6040,NA,NA,318,"","","","2","1","","","","","","","","1","9","","","","","","","83","","11","1","24","90","","6","1","11","2","3","","21","12","27","3","3, 17","29","","","2","28","17","3","34","27","","","1","","","2","","","","","","","2","","","12","17","1","1","","","","","","","","1","14","","39","1","2","","","8","","","","","1","","","","1","","","","","","","","","1","1","","1","3","","","","","","","17","","1","","","1","","2","","","","","1","","","","","","","1","1","","","","","","","","","","","",""
6083,NA,NA,322,"","","1","","","","1","","","","1","3","1","4","1","","1","","","2","33","5","6","1","16","19","","1","","8","2","2","","9","45","34","2","12, 19","12","","11","","27","36","13","57","2","2","","1","","","","","","","","","","1","3","","10","10","1","3","","","","","","","3","","7","","16","","","","","7","","","","","","","","1","","","","","","","","1","","1","","","1","2","","","","","","","2","1","","2","","","","2","","","","2","1","","","","","","","","","1","1","1","","","","","","","","",""
6139,NA,NA,327,"","","2","","","","","","","1","1","","2","1","","","1","","","3","13","8","7","","17","10","","4","1","1","1","9","","3","70","62","1","8, 15","7","","1, 13","","29","53","11","49","29","1","","5","","","","","","","","1","","3","1","","9","7","","1","1","","","","","","1","1","2","","5","","","","","3","1","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","",""
6174,NA,NA,330,"1","","","4","","1","","","","1","","","1","1","1","","1","","","","2","","2","","35","3","","1","3","","1","10","","4","54","48","2","5, 26","3","","1","1","25","69","81","73","4","","1","1","","1","","","","2","","","","","","","4","1","","1","","","","","3","","","","3","","4","","","","","1","1","","","","","1","","","","","","","1","","","2","","","","1","","","","","","2","","","3","","","1","","1","","","","","","","","1","","","","1","","","","","","","","","","","","","","",""
6223,NA,NA,334,"","","2","1","","","","","","","","3","1","","","","","","","","","","1","","5","","","","","","","1","","","4","13","1","2","2","","","2","3","9","7","75","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
6274,NA,NA,338,"","","1","","","","","","","","","","2","","","","","","","","","","1","","13","","1","","","","","4","","","11","9","","5","4","","","1","9","9","24","119","","","","1","","","","","","","","2","1","1","","","","","1","","","","","","","","","","4","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","6","","","","","","","","","","3","","","","","","","","","","",""
6325,NA,NA,342,"","","1","1","","","","","","","","1","17","","","","","","","2","","","1","","10","","","","1","1","","6","","","9","20","","2, 7","3","","","1","21","16","96","110","1","2","","1","","","","","","2","","","","1","","","","","","","","","","","1","","","","4","","1","","","","","","","","","","","","","","","","","","","1","","2","","","","2","2","","","1","","","","","","","","","","","","","","","","4","","","","","","","","","","21","","","","","1","1","","","","",""
6376,NA,NA,346,"","","","3","","1","","","","","","","","","","1","","","","1","1","2","1","","8","","","1","2","1","1","13","","","9","20","","7","5","","","","25","22","157","22","","1","","1","","","1","","","2","","","","","","","","","1","","","","","","2","","","","5","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","","1","","","5","","","","","","","","","","","5","1","1","1","",""
