"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cyperaceae","Ligustrum","Apiaceae","Juniperus","Cichorioideae","Pistacia","Ephedra","Cistus","Poaceae","Oleaceae","Quercus ilex-type","Sparganium-type","Pinus","Pseudoschizaea","Corylus","Ulmus","Juglans","Poaceae (Cerealia-type)","Phillyrea","Thymelaea","Cannabaceae","Betula","Rumex","Alnus","Asteroideae","Quercus robur-type","Artemisia","Amaranthaceae","Ericaceae","Plantago","Poterium sanguisorba","Unknown (trilete)","Unknown (monolete)","Tilia","Hippophaë","Vitis","Buxus","Scabiosa","Ranunculaceae","Typha latifolia-type","Fagus","Polypodium","Euphorbia","Salix","Abies","Myriophyllum","Fabaceae","Brassicaceae","Urticaceae","Coriaria myrtifolia","Rosaceae","Rubiaceae","Rhamnus","Hedera","Carpinus","Centaurea","Helianthemum","Fraxinus","Polygonum","Lamiaceae","Caryophyllaceae","Acer"
7341,7495,7179,615,13,1,11,114,2,7,77,NA,26,4,19,NA,19,NA,10,NA,NA,NA,NA,1,NA,NA,1,3,5,22,1,14,NA,11,NA,1,2,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7371,7520,7214,625,2,NA,3,61,NA,1,3,NA,33,9,15,1,28,NA,11,2,NA,NA,1,NA,NA,5,NA,4,4,32,11,33,NA,10,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7401,7545,7247,635,31,NA,13,105,6,6,53,NA,15,5,25,2,15,2,9,NA,NA,NA,NA,1,NA,NA,NA,4,11,23,2,16,3,15,NA,NA,2,NA,NA,1,14,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7431,7572,7280,645,3,NA,6,88,1,3,2,NA,13,8,23,5,31,4,18,2,NA,NA,2,NA,NA,5,NA,6,2,58,4,37,4,27,NA,2,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7460,7601,7312,655,17,NA,9,151,NA,5,55,1,11,3,17,4,15,5,4,1,NA,NA,NA,NA,NA,3,NA,7,2,16,NA,17,4,9,NA,1,6,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
7490,7631,7343,665,6,1,2,73,5,3,4,NA,5,6,24,2,21,4,9,1,NA,NA,NA,NA,NA,2,NA,5,3,23,10,60,3,22,NA,6,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
7520,7662,7373,675,25,NA,3,150,NA,9,23,NA,8,2,25,4,47,1,7,NA,NA,NA,NA,NA,NA,3,NA,7,3,13,2,26,3,11,NA,4,5,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7550,7695,7403,685,8,NA,20,87,3,7,9,NA,13,6,21,4,31,2,11,NA,NA,NA,1,NA,NA,6,NA,5,2,43,3,32,2,22,NA,NA,1,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
7580,7729,7432,695,41,NA,27,216,2,14,136,NA,68,18,35,7,49,NA,28,NA,NA,NA,NA,NA,NA,3,NA,8,7,29,2,48,2,23,NA,4,10,NA,NA,NA,17,NA,4,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7609,7764,7460,705,7,NA,18,119,1,3,13,NA,20,6,24,2,24,2,11,NA,NA,NA,2,NA,NA,9,2,10,5,67,8,44,2,40,NA,2,1,1,NA,1,13,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
7639,7798,7486,715,27,NA,19,127,NA,6,12,1,9,10,18,3,26,2,15,2,NA,NA,NA,NA,NA,3,NA,1,6,20,4,23,2,22,NA,3,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7669,7834,7511,725,3,NA,13,33,NA,1,9,NA,10,4,29,6,21,1,19,NA,NA,NA,2,NA,NA,2,NA,2,5,51,6,37,12,33,NA,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
7699,7871,7535,735,46,NA,48,175,3,17,60,NA,42,3,37,1,31,NA,14,1,NA,NA,NA,NA,NA,NA,NA,5,8,16,1,25,3,22,NA,3,10,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7729,7907,7557,745,7,1,20,68,NA,NA,4,NA,42,3,37,7,37,1,27,3,NA,NA,NA,NA,NA,5,1,6,3,35,7,31,2,56,NA,1,4,NA,NA,1,1,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7758,7944,7579,755,34,NA,32,132,1,NA,34,NA,33,4,9,7,13,1,17,3,NA,NA,NA,NA,NA,1,NA,1,15,14,2,24,1,30,NA,2,4,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7788,7983,7601,765,6,NA,31,15,4,1,25,NA,19,3,15,2,20,2,8,1,NA,NA,NA,NA,NA,2,1,1,15,21,3,27,1,9,NA,3,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
7818,8023,7624,775,46,NA,19,121,9,NA,28,NA,46,NA,3,14,40,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2,18,14,3,7,2,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7848,8064,7646,785,38,NA,15,22,NA,NA,3,NA,32,1,3,1,21,NA,9,2,NA,NA,NA,NA,NA,NA,2,NA,1,10,1,1,1,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7877,8107,7670,795,56,NA,1,73,2,NA,13,NA,28,NA,1,7,43,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,6,4,2,NA,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
