"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Lycopodium tablets","Cichorioideae","Poaceae (Cerealia)","Plantago","Galium-type","Filipendula","Fraxinus angustifolia","Narcissus bulbocodium","Olea europaea","Pinus pinaster","Botrychium","Cyperaceae","Potentilla","Corylus avellana","Calluna vulgaris","Hypericum perforatum-type","Erica australis","Paronychia polygonifolia-type","Sedum-type","Gentiana lutea/G. pneumonanthe","Spermatophyta undiff. (cf. upland herbs)","Plantago lanceolata-type","Sparganium","Quercus ilex-type","Genista-type","Erica umbellata","Pteridium aquilinum","Artemisia","Apiaceae","Betula pubescens","Polypodiales (monolete)","Rumex","Pinus sylvestris-type","Alnus glutinosa","Juniperus communis","Erica arborea-type","Quercus robur-type","Poaceae","Lycopodium spike","Vitis","Brassicaceae","Micranthes stellaris-type","Jasione-type","Cytisus scoparius","Amaranthaceae","Campanula","Phillyrea","Armeria","Liliaceae-type","Sphagnum","Hedwigia","Echium","Teucrium","Ilex aquifolium","Salix","Ranunculus","Spergula","Marchantiophyta","Saxifraga granulata-type","Ulmus","Spergularia-type","Centaurea nigra-type","Lythrum","Urtica","Lysimachia","Pistacia","Fabaceae","Castanea sativa","Asphodelus albus","Polypodium","Halimium/Tuberaria","Colchicum montanum","Sorbus aucuparia","Thymelaeaceae","Menyanthes trifoliata","Trifolium-type","Poterium sanguisorba","Parnassia palustris","Ophioglossum lusitanicum","Polygonum","Rhinanthus/Veronica","Hedera helix","Ludwigia palustris","Chrysosplenium","Eryngium","Silene foetida-type","Daucus","Minuartia recurva","Physospermum cornubiense","Rumex acetosa-type","Aster-type","Peucedanum-type","Conopodium majus","Plantago major-type","Anthemis-type","Pediastrum","Rumex acetosella-type","Cistaceae","Arenaria","Ranunculus acris-type","Carduus","Ornithogalum-type","Solidago","Arnoseris minima","Juniperus","Chaerophyllum temulum","Corrigiola telephiifolia","Acer","Centaurium","Centaurea scabiosa-type","Gagea nevadensis","Potamogeton","Silene vulgaris-type","Dryopteris filix-mas-type","Dianthus lusitanus-type","Filago-type","Pentaglottis sempervirens","Sparganium emersum-type","Meum-type","Allium","Thalictrum","Ephedra distachya-type","Cedrus","Plantago subulata-type","Lotus","Ephedra fragilis-type","Plantago coronopus"
3421.67,NA,NA,135,"253.5714286, 0.282","11329, 1","","","2","4","","","3","3","18","","7","1","3","6","1","3","","3","9","4","6","3","7","9","4","6","3","21","33","49","23","18","20","14","61","170","441","48","","","","1","","","","1","","","2","","","","","6","1","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3665,NA,NA,145,"253.5714286, 0.282","11329, 1","1","1","4","3","","","2","","23","","12","","3","5","","3","","5","6","6","14","","11","8","7","11","1","19","29","24","11","14","16","23","44","200","456","36","2","","1","","2","1","","3","1","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3908.33,NA,NA,155,"210.7142857, 0.282","11329, 1","1","","","3","1","1","3","3","25","","13","3","2","5","","4","","2","1","2","3","","17","3","1","3","4","23","18","26","7","11","14","2","44","140","541","43","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4151.67,NA,NA,165,"250, 0.282","11329, 1","","","2","3","","","","3","25","","11","4","3","6","1","4","3","1","3","2","","","16","2","","4","4","23","78","23","13","16","16","13","77","211","422","58","","1","2","","3","","","","","","","1","","","","4","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4395,NA,NA,175,"217.8571429, 0.282","11329, 1","1","","4","5","","2","1","","19","","9","","3","9","","1","1","3","4","5","11","1","18","4","1","10","","28","22","46","17","22","27","23","67","225","597","67","","","3","1","2","1","","","1","","1","","","","1","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4638.33,NA,NA,185,"221.4285714, 0.282","11329, 1","","1","1","6","","4","2","","25","","13","1","3","14","","3","1","","4","6","2","","15","7","3","4","3","25","22","24","11","22","18","28","87","200","586","68","1","1","3","1","2","3","1","","","","","1","","","","2","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4881.67,NA,NA,195,"225, 0.282","11329, 1","","","","6","","3","1","","27","","11","1","4","8","","4","","3","4","3","5","1","15","5","1","1","3","18","130","24","8","24","18","16","66","201","412","77","3","3","","","3","","","","","","1","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5125,NA,NA,205,"253.5714286, 0.282","11329, 1","2","","","2","1","3","","","22","","13","2","","5","","6","","3","3","4","7","3","14","7","3","8","5","36","33","45","23","17","13","16","49","164","397","51","","","3","1","11","1","","2","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5185.83,NA,NA,207.5,"0.282","11329, 1","2","","","1","","2","4","2","24","","6","","2","10","1","4","1","11","8","","1","2","","21","2","14","3","50","60","66","34","23","21","50","47","199","403","60","","","1","2","4","","","1","2","","","2","","","","","","2","","","","","1","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5246.67,NA,NA,210,"0.282","11329, 1","1","","","5","","1","1","1","26","","5","1","1","5","2","","1","7","6","","1","3","","11","","9","5","34","49","51","24","20","15","35","28","168","247","52","","","2","","1","1","","5","","","","1","","","","1","","5","1","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5307.5,NA,NA,212.5,"0.282","11329, 1","","","","1","","","","4","25","","4","3","1","2","","","1","4","7","","1","1","","8","1","12","1","23","134","69","25","15","23","21","33","163","224","52","","","2","","","1","","2","","","","1","","","","","1","","","","","","","","","","","","","1","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5368.33,NA,NA,215,"196.4285714, 0.282","11329, 1","","","","2","1","","3","","22","","14","2","3","6","1","","","","","","5","","15","6","2","5","5","23","98","32","23","23","17","24","37","262","414","56","","","1","1","2","1","","1","4","","2","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5611.67,NA,NA,225,"192.8571429, 0.282","11329, 1","","","1","2","","","","","27","","11","1","3","6","","1","","","2","1","2","4","10","3","","4","4","24","70","19","27","23","16","30","38","196","447","60","","","","1","3","1","","","","","","","1","","","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5855,NA,NA,235,"250, 0.282","11329, 1","1","1","2","5","1","2","3","3","25","","10","1","2","4","","","","2","4","6","1","2","14","5","","7","5","11","59","13","7","34","26","17","41","183","431","64","1","","","","4","1","","1","","","","1","1","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6098.33,NA,NA,245,"228.5714286, 0.282","11329, 1","1","","","5","","","3","4","22","","8","1","","5","","1","","2","1","6","4","1","8","3","","6","7","26","75","32","10","44","23","34","48","243","715","59","","","3","","","","","2","2","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6341.67,NA,NA,255,"210.7142857, 0.282","11329, 1","2","","","4","","","","4","18","7","14","","2","","","2","","","1","3","1","1","12","1","4","3","5","16","123","34","10","48","32","18","39","220","503","49","","","1","1","5","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6585,NA,NA,265,"235.7142857, 0.282","11329, 1","2","","4","3","","4","3","1","29","4","11","","4","6","","2","1","1","","5","4","2","20","3","3","5","1","24","81","26","17","60","25","23","36","267","521","53","","","1","1","2","","","","1","","","","","","","2","3","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6828.33,NA,NA,275,"242.8571429, 0.282","11329, 1","2","","1","3","","","2","5","55","","9","2","2","8","","2","","1","4","8","2","1","17","3","3","3","2","26","23","44","26","95","27","20","48","284","507","63","","3","","","3","1","","","2","","","","1","","","2","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6950,NA,NA,280,"0.282","11329, 1","","","","1","","1","1","3","29","","","","2","8","1","","1","2","1","","","","","1","","4","1","16","7","17","16","38","11","9","17","157","13","17","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7090.29,NA,NA,285,"221.4285714, 0.282","11329, 1","1","","2","","","","1","2","63","2","8","3","2","6","1","2","","1","","6","4","1","14","4","1","7","1","22","10","18","18","84","19","14","17","261","401","66","1","","","2","1","","","2","","","","1","","","","","2","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7230.58,NA,NA,290,"0.282","11329, 1","","","","","","1","","2","41","","","","","1","","","","2","","","","1","","2","","5","2","10","11","4","14","37","8","7","3","195","121","24","","2","1","1","1","1","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7370.88,NA,NA,295,"253.5714286, 0.282","11329, 1","","","2","5","3","2","1","3","68","3","5","5","1","6","","2","1","2","1","1","2","","15","2","2","4","1","21","13","5","23","131","15","4","8","259","371","30","","","","","2","","","","","","","2","","","","2","3","","","","","","","","","","1","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7651.46,NA,NA,305,"271.4285714, 0.282","11329, 1","2","","1","5","1","2","2","1","33","4","9","4","2","8","","1","","2","","3","1","","17","1","1","1","5","9","11","10","16","189","14","8","15","360","470","53","1","","","1","4","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7932.04,NA,NA,315,"264.2857143, 0.282","11329, 1","2","","2","9","","3","","1","40","","9","4","1","3","","","","1","","6","2","","18","1","","2","5","13","9","12","20","265","20","1","11","413","387","40","1","","3","","2","1","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8212.62,NA,NA,325,"235.7142857, 0.282","11329, 1","2","","3","4","","1","1","1","23","1","11","1","1","6","","2","1","2","","4","4","","20","1","","1","4","15","7","2","23","155","3","27","4","351","450","33","","","1","1","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8493.21,NA,NA,335,"242.8571429, 0.282","11329, 1","","","2","","","1","","1","32","1","15","","2","2","","2","","","","2","2","1","20","2","","2","","6","2","3","23","134","4","19","5","255","468","20","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8773.79,NA,NA,345,"250, 0.282","11329, 1","","","","2","","1","1","","23","4","19","","1","1","","","1","1","","","","","21","","","5","9","6","7","1","15","140","5","37","2","272","376","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9054.38,NA,NA,355,"196.4285714, 0.282","11329, 1","","","1","6","","1","2","","26","4","7","1","","4","","","","3","","5","4","","15","","","2","5","4","6","1","20","165","1","14","5","226","397","39","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9334.96,NA,NA,365,"0.282","11329, 1","2","1","","2","","2","","","62","13","1","1","","19","","","","1","","","","","12","3","","1","9","","4","1","","70","2","66","2","306","160","30","","","","4","1","4","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","1","1","1","1","2","2","2","2","3","5","25","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9615.54,NA,NA,375,"0.282","11329, 1","1","","","1","","2","","1","78","9","1","1","","18","1","","1","","","","","","14","1","","7","3","","8","1","","62","1","45","1","280","118","30","","","3","2","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","1","","","1","1","1","21","1","1","1","1","1","1","1","2","3","3","","","","","","","","","","","","","","","","","","","",""
9896.12,NA,NA,385,"0.282","11329, 1","1","","","","","4","","","77","3","4","2","","9","1","","2","4","","","","","10","1","","11","2","1","3","","","36","1","26","","218","150","26","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","14","","3","","","","","","3","2","","1","1","","","","","","","","","","","","","","","","","",""
10036.42,NA,NA,390,"0.282","11329, 1","2","","","1","","2","1","","61","8","8","","","10","","","1","","","","1","","13","1","1","6","4","1","7","2","","48","3","60","","296","162","42","","","2","1","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","2","2","","2","","","","4","28","","","","","","1","","1","1","","","","1","1","2","","","","","","","","","","","","","","",""
10176.71,NA,NA,395,"0.282","11329, 1","2","1","","3","","3","","","79","5","1","","","16","","","","1","","","","","15","6","1","11","6","","12","1","","59","1","63","","292","142","39","","","3","1","","","","1","","","","1","1","","","","1","","","","","","","","","","","","","","","","","2","","","","1","","1","","","1","","","","1","","1","1","1","1","","1","2","","15","35","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","","","",""
10467,NA,NA,405,"0.282","11329, 1","1","","","1","","2","1","","38","7","1","","1","21","","1","1","2","","","","","10","2","","","6","2","7","1","","75","","43","","270","122","35","","1","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","1","3","1","1","","1","","","20","32","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
10931.67,NA,NA,415,"0.282","11329, 1","1","","","2","","2","","","65","12","4","","1","22","","","","3","","","","","5","3","","","10","1","14","1","","68","3","32","","245","145","20","","","1","2","3","2","","","","","1","1","1","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","","1","1","2","","1","","","1","","42","","","1","","","","","1","2","2","","","","","","","","1","1","","","","","","","","","","",""
11192,NA,NA,420,"0.282","11329, 1","1","","","1","","1","","","79","28","2","","","5","1","","","2","","","","","11","2","1","","6","","12","1","","114","1","19","","213","116","24","","1","2","","1","1","","","","","","","1","","","","1","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","1","3","1","1","6","1","","1","","54","","4","1","","","","","","2","1","","","","","","1","","","","1","1","1","","","","","","","",""
11449.67,NA,NA,425,"0.282","11329, 1","4","","","2","1","","","","102","69","5","","","24","","","","1","","","","","14","5","","","7","","18","3","","308","1","10","6","260","136","25","","1","1","2","","3","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","3","3","2","","","","","42","","3","","1","","","","","3","","","1","","","","","","","","","","","1","1","","","","","",""
11852.12,NA,NA,435,"0.282","11329, 1","1","","","","","1","","","88","26","3","","","11","1","","1","2","","","","","12","1","","","13","1","13","","","71","","3","1","140","89","19","","","3","2","1","1","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","1","1","","","","35","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","",""
12079.31,NA,NA,442,"0.282","11329, 1","1","","","","","","","","58","4","2","","","4","","","","2","","","","","1","1","","","20","1","2","","","446","","","","8","57","77","","1","","2","","3","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","","2","","18","1","4","","","","1","","","","","","","","","","","","","","","","","","","","1","1","","",""
12822.09,NA,NA,463,"0.282","11329, 1","4","","","2","","","1","","51","7","1","1","","","","","5","2","1","","","","","","","","56","1","2","","","500","2","","2","8","83","88","","","","4","","11","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","","4","","10","","4","","","","1","","","","","","","","","","","","","","","","1","","","2","1","4","1","1",""
12877.91,NA,NA,465,"0.282","11329, 1","3","","","2","","","1","","60","32","","1","","3","","","","","1","","2","","","1","","","23","","12","","","346","","","2","36","55","44","","","1","","1","2","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","14","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","1","1"
