"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Polygonum aviculare-type","Salix","Vitis","Papaveraceae","Juniperus","Geraniaceae","Cirsium/Gundelia","Fraxinus excelsior","Matthiola","Filago-type","Pimpinella-type","Turgenia-type","Cephalaria","Nymphaea","Alnus","Fabaceae","Pistacia","Rumex acetosa-type","Capsella-type","Ephedra fragilis-type","Asphodelus albus-type","Populus","Plantago lanceolata-type","Poterium sanguisorba","Alisma","Polypodiaceae","Lythrum","Apiaceae","Asteroideae","Brassica-type","Ostrya/Carpinus orientalis","Matricaria-type","Fallopia convolvulus-type","Olea","Centaurea solstitialis-type","Poaceae (Cerealia-type)","Ranunculus sect. Batrachium-type","Persicaria maculosa-type","Artemisia herba-alba-type","Cichorioideae","Sparganium-type","Amaranthaceae","Myriophyllum spicatum/M. verticillatum","Ranunculus peltatus-type","Quercus coccifera-type","Cyperaceae","Quercus robur/Q. cerris","Pinus","Poaceae","Daphne","Theligonum","Carpinus betulus","Fagopyrum","Galium-type","Artemisia vulgaris-type","Noaea-type","Cladium mariscus","Anisosciadium-type","Isoëtes","Ulmus","Ranunculaceae","Rhamnus","Filipendula","Senecio-type","Hedera","Thymus/Mentha","cf. Veronica","Halothamnus-type","Ericaceae","Caryophyllaceae","Fraxinus ornus","Monactinus simplex","Allium","Juglans","Butomus umbellatus","Echinops","Valerianella","Scrophularia/Verbascum/Digitalis","Datisca","Psoraleeae","Dryopteris-type","Castanea","Bupleurum-type","Phillyrea","Cotinus coggygria","Carthamus","Monactinus simplex (type clathratum)","Plantago undiff.","Thalictrum","Platanus","Oleaceae","Cedrus","Hypericum","Ligustrum","Gypsophila-type","Myrtus","Onobrychis-type","Inula-type","Plantago maritima-type","Plantago major-type","Abies","Rosaceae","Potamogeton","Trifolium-type","Plantago coronopus-type","Ranunculus asiaticus-type","Stachys-type","Helianthemum","Ranunculus sceleratus-type","Psammogeton-type","Corylus","Vicia-type","Tamarix","Delphinium","Rhinanthus-type","Ranunculus repens-type","cf. Medicago minima","Ephedra distachya-type","Echinophora-type","Typha latifolia","Liliaceae","Solanum dulcamara","cf. Prunus-type","Myriophyllum alterniflorum","Silene-type","cf. Cerastium glomeratum","Colchicum","Haplophyllum","Centaurea cyanus-type","Fagus","Scrophulariaceae","Scilla-type","Acantholimon","Ophioglossum","Ferula-type","Equisetum","Acer","Dianthus-type","Paliurus","Hippophaë","Prunus-type","Muscari","Calligonum","Leontice leontopetalum","cf. Bunium rectangulum","Pseudopediastrum boryanum","Sisyrinchium","Centaurea/Xeranthemum","cf. Falcaria","cf. Levisticum","Xanthium","Nuphar","Centaurea jacea-type","Valeriana","Callipeltis microstegia-type","Lomelosia rotata-type","Campanulaceae","Carduus-type","Teucrium","Parietaria","Crataegus-type","Dipsacus-type","cf. Euphorbiaceae","Mercurialis-type","Psylliostachys","Malabaila","Urtica dioica-type","Potentilla-type","Erodium","Taxus","Asperula-type","Lecokia","Trachyspermum-type","Geum-type","Onosma-type","Gagea-type","Serratula","Vaccaria/Petrorhagia","Lamiaceae","cf. Smyrniopsis","Convolvulus","Selaginella selaginoides","Triglochin","Sphagnum","Malus-type","Saxifragaceae","Eryngium-type","Lotus-type","Glaucium","Armeria/Limonium","Rhus","Solanum","cf. Gentianaceae","Boraginaceae","Calystegia","Sambucus","Plantago media-type","Loranthus","Cerastium-type","Pseudopediastrum kawraiskyi","Caltha","Jasione-type","Tilia","cf. Silene albescens","Rubus","Medicago-type","Eremurus","cf. Silene ampullata","Anchusa/Pulmonaria","Rhamnaceae","Papaver","Scabiosa","Cornus","cf. Chionodoxa","Polygonaceae","Lonicera","Thymelaeaceae","Azolla/Salvinia"
9767,NA,NA,130,NA,2,3,2,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,1,2,33,3,2,NA,NA,NA,6,1,1,2,NA,8,6,33,8,4,NA,13,5,7,NA,NA,21,8,11,82,1,NA,18,36,317,31,120,NA,1,NA,NA,5,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10218,NA,NA,135,1,NA,5,1,NA,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,6,3,5,NA,NA,7,NA,5,2,NA,16,13,16,9,8,NA,12,14,17,NA,NA,22,25,9,114,1,NA,11,42,423,23,128,NA,2,NA,NA,8,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10906,NA,NA,145,4,2,4,6,NA,5,NA,NA,NA,NA,NA,2,NA,NA,1,3,NA,12,2,1,1,1,NA,7,NA,3,NA,NA,28,16,20,10,9,NA,1,3,7,NA,NA,30,28,11,115,NA,2,11,25,348,32,97,NA,NA,NA,1,5,1,2,2,NA,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11250,NA,NA,150,NA,28,11,NA,2,14,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,2,1,3,NA,NA,NA,NA,1,1,1,NA,11,21,9,NA,6,NA,NA,6,1,NA,NA,95,11,6,222,3,4,2,33,113,16,72,NA,NA,NA,NA,9,NA,6,3,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,8,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11594,NA,NA,155,3,24,4,1,1,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,2,NA,6,1,NA,17,25,8,NA,6,NA,NA,3,5,NA,NA,151,19,13,317,2,NA,6,40,72,18,74,NA,NA,NA,NA,14,1,2,1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12282,NA,NA,165,1,24,11,1,NA,4,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,7,1,4,12,NA,40,74,18,1,18,NA,NA,17,24,NA,NA,241,61,17,495,3,1,NA,136,72,49,191,NA,NA,NA,1,37,5,18,3,NA,35,NA,NA,NA,NA,NA,NA,1,NA,3,NA,7,NA,NA,2,NA,10,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,1,2,NA,NA,2,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13314,NA,NA,180,NA,18,1,NA,NA,1,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,1,2,2,1,NA,16,22,20,1,14,1,NA,3,15,NA,1,143,16,6,194,1,2,8,48,53,32,115,NA,NA,NA,NA,25,1,11,3,NA,8,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14002,NA,NA,190,NA,26,1,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,2,4,NA,NA,2,NA,NA,2,1,18,18,13,1,5,NA,NA,NA,5,NA,NA,98,19,10,251,NA,NA,1,49,93,19,72,NA,NA,NA,NA,16,2,6,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14690,NA,NA,200,1,12,9,1,1,3,NA,NA,6,NA,NA,1,1,NA,NA,9,NA,3,6,10,3,NA,NA,2,1,2,NA,NA,27,35,16,3,14,NA,NA,8,9,NA,NA,108,24,20,239,NA,NA,6,83,436,67,162,NA,NA,NA,NA,17,NA,4,1,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,2,NA,11,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15378,NA,NA,210,NA,28,1,1,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,NA,NA,1,1,NA,2,1,18,19,11,1,10,NA,NA,7,8,NA,NA,116,22,15,227,NA,2,7,58,96,30,71,NA,NA,NA,NA,25,NA,3,1,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16066,NA,NA,220,1,22,2,3,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,6,NA,NA,1,2,1,2,7,1,19,25,22,NA,10,NA,NA,2,6,NA,1,113,37,11,324,NA,NA,1,77,165,25,118,NA,NA,NA,NA,18,1,29,NA,NA,22,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17442,NA,NA,240,NA,21,5,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,1,5,2,NA,NA,NA,NA,3,1,NA,19,32,15,8,6,NA,1,11,3,NA,NA,152,29,16,230,1,NA,5,88,293,27,115,NA,NA,NA,NA,13,2,4,3,NA,37,1,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19162,NA,NA,265,1,24,24,1,NA,12,NA,NA,7,1,1,2,4,NA,NA,NA,1,NA,5,6,1,NA,NA,4,NA,5,1,1,43,44,14,3,17,NA,1,17,22,NA,NA,335,25,9,314,2,4,13,88,487,31,193,NA,NA,NA,NA,16,3,37,NA,NA,47,2,NA,NA,NA,NA,NA,1,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,8,1,34,NA,NA,1,NA,1,3,NA,NA,3,2,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20194,NA,NA,280,1,4,5,2,NA,10,NA,NA,4,NA,NA,NA,NA,NA,1,1,NA,1,1,4,NA,NA,NA,2,NA,NA,3,NA,19,28,10,2,7,NA,NA,5,4,NA,1,77,26,5,164,NA,2,2,39,181,32,96,NA,NA,NA,NA,11,NA,6,NA,NA,20,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21570,NA,NA,300,NA,5,9,1,NA,2,NA,NA,3,NA,NA,NA,NA,NA,1,3,NA,3,NA,3,3,NA,NA,1,NA,NA,2,NA,12,18,14,NA,9,NA,NA,5,4,1,NA,86,15,8,110,NA,2,1,34,232,44,71,NA,NA,NA,NA,11,NA,1,NA,NA,14,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22946,NA,NA,320,2,8,6,1,NA,2,NA,NA,2,NA,2,1,NA,NA,3,4,NA,2,1,5,NA,NA,NA,2,NA,NA,2,NA,14,18,11,3,15,NA,1,2,8,NA,NA,91,12,13,115,1,2,1,27,280,46,97,NA,NA,NA,NA,13,NA,8,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24322,NA,NA,340,NA,6,7,2,NA,4,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,NA,2,2,1,7,NA,8,15,10,3,3,NA,1,5,3,NA,NA,85,21,6,104,1,1,1,41,175,41,90,NA,NA,NA,NA,11,NA,NA,1,NA,17,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,3,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25010,NA,NA,350,NA,20,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,16,19,5,NA,13,2,NA,4,11,NA,1,191,26,3,240,2,NA,2,29,67,26,113,NA,NA,NA,NA,21,NA,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26042,NA,NA,365,3,40,6,2,NA,6,NA,2,2,NA,NA,NA,1,NA,NA,3,1,NA,1,16,2,NA,NA,2,4,2,1,NA,30,48,14,3,20,NA,NA,15,17,1,1,303,52,10,472,4,2,8,97,175,40,134,NA,NA,NA,NA,31,1,44,NA,NA,30,NA,1,NA,NA,NA,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,1,NA,2,1,3,4,2,NA,24,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
