Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Acanthaceae,Adansonia digitata,Adenia,Adina,Afraegle,Afzelia cf. africana,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae,Ampelidaceae,Anacardiaceae,Annonaceae,Antidesma,Apocynaceae,Araliaceae,Artemisia,Balanites,Blepharis,Blighia,Bombax,Boraginaceae,Borreria,Boswellia,Brassicaceae,Bridelia,Burkea africana,Butyrospermum,Caesalpinioideae,Capparidaceae,Caryophyllaceae,Cassia,Celastraceae,Celtis,Centaurea,Cf Dialium,Cf Scrophulariaceae,Chrozophora,Cissampelos cf. mucronata,Cissus,Clematis,Clerodendron,Cochlospermum,Cola cf. cordifolia,Combretaceae,Commelinaceae,Commiphora,Compositae,Convolvulaceae,Corchorus,Cordia,Crossopterix febrifuga,Croton,Cucumis,Cucurbitaceae,Cussonia,Cyperaceae,Detarium,Diospyros,Dombeya cf. buetnerii,Elaeis guineensis,Entada,Ephedra,Ericaceae,Erythrina,Euphorbiaceae,Ficus,Gramineae,Grewia,Heliotropium,Hygrophila,Hymenocardia,Hyphaene/Borassus,Indeterminables,Indetermines,Indigofera,Ipomaea,Irvingiaceae,Isoberlinia,Ixora,Justicia,Khaya,Kohautia,Lactuceae,Lamiaceae,Lannea/Sclerocarya,Liliaceae,Lobelia,Lophira,Lythraceae,Macaranga,Maerua,Mallotus,Malvaceae,Manilkara,Menispermaceae,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monotes kerstingii,Moraceae,Morelia senegalensis,Mussaenda,Nauclea,Nymphaea,Olea hochstetteri,Palmae,Papilionoideae,Parkia,Paullinia pinnata,Phoenix cf. reclinata,Phyllanthus,Piliostigma,Pinus,Podocarpus,Polycarpaea,Polygonaceae,Polygonum cf. senegalense,Prosopis,Pterocarpus,Pteropsida (monoletes),Pteropsida (triletes),Raphia,Rhus,Rubiaceae,Rutaceae,Salix cf. ledermanii,Salvadora,Sapindaceae,Securinega virosa,Solanum,Sterculia,Strychnos,Syzygium,Tacazzea apiculata,Talinum,Tapinanthus,Thunbergia,Thymeleaceae,Trema guineensis,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonia,Vitex,Ximenia americana,Ziziphus
1594.591,153.5,1,1,,,,,,,,,15,3,,,,,,,,,,1,,1,,,,,1,,,,,,,,,1,,,,1,,,,11,,,10,,,,,,,,,64,,,,,1,,,,6,,732,,,,3,2,3,7,,,,1,,,,2,,1,12,1,,,,,,,,,,1,,1,1,,,,4,,,,1,,,1,,,,,,,,,,1,3,,,,,,1,1,4,,,,,,,,,,,19,,,,,,,
1641.478,164,,,1,,,,,,,,16,1,,,,,,,1,,,,,,,,2,1,4,1,,,,,3,,,,,,1,,,,,6,,2,5,,,,,,,,,79,,,,1,,,,,,,793,,,,4,1,7,2,,,,2,,,,,,,8,,,,,2,,1,,,,,,,,,,,3,1,1,,6,,1,,,,,1,,,,,,,1,,,,,,,,2,,,,,,,,,,,6,,,,,,,
1690.598,175,1,,,,,,,,,,19,,,,,,,,,,,,,,,,1,1,,,,,1,,3,,,,,,,,,,,8,,1,3,,,1,,,,,,32,1,,,,,,,,4,1,741,,,,7,1,3,3,,,,4,,1,,1,,,5,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,2,1,,1,,,,,,2,,,,,,,,,,1,4,,,,,,1,
1735.252,185,1,2,,,,,,,,,12,,,,,,,,,,,1,,,,,,1,1,,,,,,4,,,,,,,1,,,,10,,,6,,,,1,,,,,46,,,,,,,,,,,615,1,,,2,,3,,1,,,1,,,,,,,9,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,42,1,,,,,,
1784.371,196,,1,1,,,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,5,,,2,,1,,1,,2,,12,,,9,,,,1,,,,,82,,,,,,,,1,2,1,851,,,,,1,4,5,,,,,,,1,1,,,21,,,,,,,,,,1,,,,,1,,,2,,,,4,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,2,1,2,,,,,1,
1828.952,206.5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,2,,1,,,1,,,,,,,,10,,,9,,,,,,,,,44,,,,,,,,,1,,826,,,,1,,4,2,,,,,,1,,,1,,1,,,,1,1,,,,,,1,,2,,1,,,,,2,,3,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,2,,,2,,,,
1872.379,217,,1,,,,,,,,,16,,,1,,,,,,,,,,,,1,1,,,1,1,,1,,3,,,3,,,,,,1,,8,,,6,,,,,,,,,51,,,,,,,,,,2,891,,,,1,,1,4,,,,,,,,,,,2,,,,,,3,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,3,1,,,,,,,,,,2,,,,,,,
1917.875,228,,1,,,,,,,,,16,,,1,,,,1,,,,2,,1,,,,,,1,1,,,,2,,,,,,1,,,,,10,,,11,,,,,,,1,,53,,1,,,,,,,1,,708,,,,1,,,4,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,23,,,1,,,,
1971.643,241,,1,,,,,,,,,8,,,1,,,,,,,,,,,,1,,2,,,,2,1,,2,,1,1,,,,1,,,,3,,,9,1,,,,,,,,44,,1,,2,,,,,1,1,746,,,,,,4,4,1,,,1,,,,,1,,2,1,,,,1,,1,,,1,,,,,,,,1,,,,6,,,,,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,2,,,,,,1,
2017.138,252,,2,,,,,,,1,,8,,,,,,,,,,,1,,1,,,,,,1,,,1,,6,,,,4,,,,,,,4,1,,11,,,,,,,,,22,,,,,,,,,1,,747,,,,,,2,3,2,,,,,2,,1,1,1,3,,,1,,,,,,,,3,,,,,,,,,,,5,,,,,,,1,,,,,,1,,,,,,,,,4,,,,,,,,,,,3,,,,,,,
2062.634,263,,2,,,,,,,1,,10,,,1,,,,,,,,,,1,,,1,,,,,,1,,6,,1,,,,1,,,,,14,,,13,,,,,,,,1,29,,1,,,,,,,,2,686,,,,2,,3,1,,,,1,,1,,,,,4,,,,,,,,,,,2,,,,,,,1,,,,1,,1,,,,,,,1,,,,1,1,,,2,,,,,1,,,,,,,,,,,2,,,1,,,,
2106.062,273.5,1,,,,,,,,,,5,,,,,,,,,,,,1,1,,1,2,,,,,,3,,3,,,,,,2,,,,,6,,,14,,,,1,,,,,85,1,,,,,1,,,4,,746,,,,2,,3,4,,,,1,,,1,,,,4,,,,,,,,,,2,4,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,
2151.557,284.5,,1,,,,,,,,,8,,,,,,,,,,,,,,,,1,,,2,,,1,,3,,,,,,,1,,,,9,,2,14,,,,,,,,,41,,1,,,,,,,,,728,1,,,1,,3,5,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,3,,,,,,,,,,,,,,,1,,1,
2197.053,295.5,1,2,,,,,,,1,,9,,,,,,,1,3,,,,,,,,,,1,1,,,,,6,,,,,,,,,,,3,1,,6,,,,,,,,,34,,,,,,,,,,,730,,,,3,1,6,8,1,,,,,3,1,,,,2,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,1,,,,1,2,,,,,,,,8,,,,,,,,,,1,1,,1,,,,,
2242.548,306.5,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,2,,,2,,,1,,,,,7,,,4,,,,1,,,,,48,,1,,,,,,,2,3,673,,,,1,,3,4,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,3,,,,,1,,
2323.68,317,,3,,,,,,,1,,6,,,1,,,,,,,,,,,1,,,,2,,1,,,,8,,1,,,1,,,,,,13,,,2,,,,2,,,,1,42,1,,,,,,,,1,3,741,,,,2,,4,5,,,,,,,,,,,3,1,,1,1,,,,,,,,1,2,,,1,,,,,,3,,,,,,,,,,,,,,1,,,,,,2,,1,,,,2,,,,,,1,3,,,3,,,,
2487.673,328,,,,,,1,,,1,,11,,,1,,,,1,,,,,,,,,2,2,,,,,,,,,1,,1,,,,,,,10,,,13,,,,,,,,2,38,,,,1,,,,,2,,786,,,,,,3,5,,,,,,,,,,1,6,,,,,,,,,,,1,,,1,,,,1,,,,2,,,,,,,,,,2,,,1,1,,,2,,,1,,3,,,,,,,,,,,4,1,,1,,,,
2644.212,338.5,,6,,,,,,,,,10,,,1,,,,,,,,1,,3,,,1,,2,,,,,,6,,1,3,,,4,,,,,20,,,15,,,,2,,,,,77,1,2,,1,,,,,,6,552,,,,3,,1,3,1,,,1,,,1,,,1,12,,,,,,,3,,,,1,,,2,,1,,2,,,,2,,,,,,,1,,1,,,,,2,,,,,,,,1,,,,1,,,,,,,6,1,,,,,,
2770.935,347,,4,1,,,,,,,,5,,,,,,,,,,,,,3,1,1,1,3,2,,,,,,10,,1,4,,,,,,,,10,1,,7,,,,1,,,,1,52,,,,1,,,,,,,695,,,,1,1,6,6,,,,2,1,,,,,,16,2,,,,,,,,,,4,,,1,1,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,7,,,,,,,
2964.745,360,1,8,,,,,,,2,,9,,,,,,,,,,,,,2,,1,,1,1,,,,,,13,,,5,1,,,,,,,19,,,3,,,,,,,,1,56,,,,1,,,,,,7,678,1,,,1,,6,7,,,,2,,,2,,,1,7,,,,,,,,,1,,2,,,,,,,2,3,,,1,,,,,,,,,,,,,,4,,,1,,,,,3,,,,,,,,,,,1,,,1,1,,1,
3098.922,369,,5,2,,,,,,3,,10,,,,,,,,,,,,,1,,,1,1,,1,,,3,,8,,1,3,,,,1,,,,23,,,7,,,,2,,,,,62,,3,,,,,,,2,8,561,,,,2,,3,6,5,,,1,1,,1,,,,3,,,,,1,,,,,,,2,,3,,,,1,,1,,4,,,,,,,,,,,,,1,2,,,2,,,,,,,,,2,,,,,,,2,,,,,,,
3218.189,377,2,4,,,,,,,6,,6,,,,,,,,,,,,,,2,,,,2,,,,1,,16,,1,2,,1,,,,,,14,1,,5,,,,1,,,,1,59,,,,,,,,,,3,660,,,,4,1,2,5,,,,1,,,,,,1,12,,,,,,,,,,,2,,,7,,,,2,,,,3,,,1,,,,2,,,,,,,5,,,,,,,,3,,,,2,,,,,,,2,1,,,,,,
3412,390,2,8,,,,,,,2,,12,,,,,,,,,,,,,2,3,,,1,3,,,,6,,25,,,4,,,,,,,,19,,,3,,,,,,,,,91,1,,,,,,,,1,,728,,,,3,,5,5,,,,5,,,2,,,,8,,,,,2,,,,,,,,3,3,,,,2,1,1,,3,,1,1,,,,,,,,,,,2,,,1,,,1,,2,,,,1,,,,,,2,2,1,,,,,,
3641.561,403,,8,2,,,,,,1,,7,,,,1,,1,1,2,,,,,1,,,,,3,,,,,,23,,,3,,,,1,,,,15,,,6,1,,,1,,,,,61,,2,,,,,,,2,2,541,,,,3,,4,4,2,,,2,,,,1,,1,5,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,1,,,,,,,3,,,5,,,,,,,,,,,,,,,,5,2,,,,1,,
3800.488,412,,6,,,4,,,,,,6,,,,,,,,,,,,,4,1,,2,,6,2,,,2,,39,,,9,,,,,,,,10,1,1,7,,,,,,,,,49,1,1,,,,,,,,,704,,,,1,,5,6,2,,,,,,1,,,,1,,,,1,,,,,,,1,,2,,,,,3,,,1,2,,,,,,,2,,,1,,,,1,,,,,,,,,1,,,3,,,,,,2,3,,,,,,,1
4030.049,425,,6,1,,,,,,4,,10,,,,,,,,,,,,,,,,,1,2,1,,,2,,21,,2,1,,,1,,,,,15,,,3,,,,,,,,,63,,1,,,,,,,2,,677,,,,2,,2,4,,,,,,,,,,,2,,,,,,,,,,,2,1,,1,,,,1,,1,,1,,,,,,,,,,,,1,,4,,,,,,,,1,,,,3,,,,,,,1,2,,,,,,
4224.292,436,,,,,,,,,2,1,3,,,,,,3,,,,,,,1,,,1,3,,,,,2,,5,,3,,,,,,,,,13,,,1,,1,,1,,,,,99,,1,,,,1,,,1,,502,,,,9,,5,3,1,,,3,,,,,,2,8,,,,,,,3,,,,,,,2,,,,,3,6,,2,,,1,,,,1,,,,1,,,2,,,3,,,,,,,1,,,,,,,,,8,15,,,,1,,
4427.366,447.5,,1,,,,,,,7,,5,,,1,,,,,,,,,,2,2,,,2,3,,,,2,,9,,,,,,1,,,,,23,,,2,,,,1,,,,,88,,,,,1,,,,3,1,655,,,,6,,8,4,1,,,2,,,,,,,5,,,,,1,,,,,,1,,1,5,,,,2,6,2,,2,,,,,,,1,,,,,,,2,,,,,,,,1,1,1,,3,1,,,,,,3,19,,,,,,
4633.3,459,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,2,2,,,,,,6,,,1,,,,3,,,,18,,,,,,,1,,,,,90,,1,,,1,,,,1,,682,,,,5,,4,4,1,,,2,,,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,3,,,,,,,,,,,,1,1,,,,,,3,49,,,,,,
4831.74,470,,4,1,,1,,,,3,,1,,,,,,,,,,,,,1,1,,,1,,1,,,1,,,,2,2,,,,1,,,,18,,,2,,,,1,,,,1,70,,2,,,,,,,1,,501,,,,6,,4,4,,,,3,1,,,,,,1,,,2,,1,,1,,,,,,,1,,,,,,3,,2,,,1,,,,,,,,,,3,5,,,,,,,,,,,,1,,,,,,,2,58,,,,,,
5030.18,481,,3,,,,,,,8,1,4,,,,,,,,,,,,,5,,,,3,3,,,,,,3,,1,,,,,1,,,,7,,,2,,1,,,,,,,60,1,3,,,,,,,1,,630,,,,1,,4,10,1,,,,,,,,,,1,,,1,,,,,,,,,1,,2,,,,1,,2,,3,,1,,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,3,64,,,,,,
5228.62,492,,2,,,3,,,,1,,1,,,,,,,,,,,,,,,,,1,,3,,,1,,9,1,1,,,,,,,,,16,,,1,,,,,,,,,84,1,3,,,,,,,1,,597,,,,4,,3,6,,,,,,,,,,,,,,3,,3,,,,,,,,,1,,,,,2,1,,3,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,2,96,,,,,,
5445.1,504,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,4,2,,,,1,,1,,,1,,,,,,,,8,,,2,,,,2,,,,,71,,,,,,,,,,2,430,,,,7,,3,5,1,,1,1,1,,,,,,5,,,1,,1,,2,,,,,,1,3,,,,1,,3,,3,,,,,,,1,,,,,,3,1,,,1,,,1,,2,,,,2,,,,,,,,87,,,,,,
5643.54,515,,2,,,2,,,,4,,4,,,,,1,,,,,,,,2,,,1,3,,1,,,,,7,1,,2,,,,,,,,14,,,1,,,,1,,,,,72,1,5,,,,,,,2,2,611,,,,7,,4,10,1,,,,2,,2,,,,4,1,,,,,,6,,,,,1,,1,,,,,,3,,2,,,1,,,,,,,,,,1,3,,,,,,,,,,,,6,,,,,,,,137,,1,,,,
5832.96,525.5,,1,,,3,,1,1,4,,2,,,,,,,,,,,,,2,,,,2,,1,,,,,5,,,1,,,,,,,,5,,,3,,,,1,,,,1,94,,1,,,,,,,2,1,551,,,,8,,3,6,,,,,3,,,,,,3,3,,1,,,,1,,,1,,,1,3,,,,2,,4,,2,,,1,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,,2,155,,,,,,
6004.34,535,,3,1,,,,,,4,1,,,,,,,,,,,,,,3,,,2,3,,,,,,,,,,1,,,,,,,,10,,,1,,,,,2,,,1,69,,1,,,,,,,,3,481,,,,9,,5,3,,,1,,4,,,,,,,,,3,,1,,5,,,,,,,2,,,,1,,4,,2,,,2,,1,,,,,,,,2,3,,,,,,,,,,,,1,,,,,,,,188,,,,,,1
6184.74,545,,3,,,3,,,,4,,4,,,,,,,,,,,,,3,,,,3,1,2,,,,,7,,,2,,,,2,,,,9,,,3,,,,1,,,,,84,,2,,,,,1,,,1,555,,,,13,,12,7,,,,,7,,1,,,1,1,1,,4,,,,5,,,,,,,1,,1,,1,,7,,2,,,,,,,,,,,,1,5,6,,1,,,,,,,,,,4,1,,,,,,1,210,,,,,,
6379.889,555,1,4,,,1,,,,3,,3,,,,,,,,,,,,,2,,,1,2,,2,,,1,,8,,,1,,,1,,,,,14,,,,,,,,,,,,58,,1,,,,,,,,1,570,,1,,16,,23,8,,,,,5,,,,,1,2,1,1,2,,1,,6,,,,,,1,,1,1,,2,,4,,3,,,,,,,1,,,,,,1,4,,,,,,,,1,,,1,5,,,,,,,,157,,,,,,
6658.063,567.5,,3,,,1,,,,6,1,1,,,,,,,,,,,1,,1,,,1,3,,,,,1,,2,,1,,,,,,,,,10,,,,,,,,,,,,59,,,,,,,,1,1,2,445,,,,10,,,2,,,,,1,,2,,,,4,1,,2,,,,1,1,,,,,,1,,,,1,,3,,5,,2,,,,,,,,,1,,3,2,,,,,,,,1,,,,3,,,,,,,2,169,,1,,,,
6869.475,577,1,7,1,,3,,,,1,,2,,,,,,,,,,,1,,3,,,1,2,,,,,1,,7,,,2,,,1,,1,,,17,,,2,,,,1,,,,,90,,1,,,,,,,,2,607,,,,12,,15,9,1,,,,8,,,,,,4,,,1,,1,,4,,,,,,,,1,,,3,1,6,,3,,,,,,,1,,,,,,1,2,,1,1,,,,,,,,,3,,,,,,,,158,,,,,,
7158.775,590,,6,1,,1,,,,3,,1,,,,1,,,,,,,,,,,,,4,,1,1,,,,7,,1,,,,,,,,,17,,,2,,,,1,,,,3,98,,1,,,,,,,2,,520,1,,1,10,,14,4,,,1,,7,,1,,,,1,,,1,,4,,4,,,,,1,,,,,,1,1,9,,3,,1,,,,,,,,,,,3,2,,,3,,,,,,,,,4,,,,,,,,149,,,,,,1
7381.314,600,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,5,,1,,,,,,,1,,,,,,,,,6,,,,,,,1,1,,,,59,,,,,,,,,,3,429,,,,7,,,7,,,,,3,,,,,,1,,,3,,2,,2,,,,,,1,,2,,,,,4,,5,,1,1,,1,,1,,,,,,4,4,,,,,,,,1,,,,1,,,,,,,3,103,,,,,,
7670.615,613,,4,,,1,,,,5,,1,,,,1,,,,,,,,,3,,,,3,,,,,,,1,,,1,,,1,1,,,,6,,,,,,,,,,,1,92,1,1,,1,,,,,1,,660,,,,10,,4,3,,,1,,1,,1,,,,1,,,3,,,,4,,,,1,,1,,1,,,1,,3,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,1,,,,,,,,125,,,,,1,
7882.027,622.5,,,,,,,,,3,,,,,,,,,,,,,,,7,,,,2,,1,,,,,5,,,1,,,,,,,,15,,,,,,,,,,,1,89,2,2,,1,,,,,1,,622,,,,11,,3,5,,,,,2,,,,,,3,,,2,,1,,4,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,,,,2,99,,,,,,
8160.201,635,,3,,,1,,,,7,1,,,,,,,,,,,,,,5,,,,8,2,1,,,1,,2,,,1,,,,1,,,,17,,,1,,,,1,,,1,5,63,1,,,,,,,,2,,510,2,,,13,,11,5,,,,,7,,1,1,,,5,,,,,1,,6,,,2,,,,1,1,,,1,1,8,,3,,1,,,,,,,,,,,4,3,,,,,,,,1,1,,,3,,,,,,,2,143,,,,,1,
