"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Poaceae","Urtica","Alnus glutinosa-type","Arbutus","Polypodium","Pistacia","Plantago lanceolata-type","Amaranthaceae-type","Erica arborea-type","Artemisia","Olea","Quercus ilex-type","Pinus","Lycopodium spike","Betula","Crataegus-type","Euphorbia","Vitis","Viola","Poaceae (Cerealia)","Rubiaceae","Corylus avellana","Lotus-type","Hypericum perforatum-type","Gnaphalium-type","Odontites-type","Tuberaria","Cichorioideae","Senecio-type","Juniperus-type","Anthemis-type","Botryococcus","Brassicaceae","Urtica dioica-type","Rumex-type","Phillyrea","Aster-type","Selaginella denticulata","Helianthemum","Silenoideae-type","Cistus","Ephedra fragilis-type","Mercurialis annua","Carduus","Thalictrum","Mentha-type","Sporormiella","Quercus suber-type","Morus","Platanus","Trifolium repens-type","Potamogeton-type","Scabiosa","Limonium","Echium","Paronychia-type","Silene dioica-type","Asparagus","Sedum-type","Lithospermum officinale","Reseda","Verbascum","Ceratonia siliqua","Urtica membranacea-type","Cercophora-type","Rumex acetosa-type","Linaria-type","Theligonum cynocrambe","Plantago maritima-type","Cyperus-type","Ulmus","Fraxinus ornus","Apiaceae","Ostrya-type","Daucus","Urtica pilulifera","Anogramma leptophylla","Salix","Daphne","Plantago coronopus-type","Anthoceros laevis","Quercus pubescens-type","Podospora-type","Microthyrium","Rubus","Fabaceae","Asteroideae","Cannabis sativa","Genista-type","Silene vulgaris-type","Arnoseris","Asplenium-type","Lonicera","Potentilla-type","Smyrnium-type","Pteridophyta (monolete) undiff.","Allium-type","Ranunculus acris-type","Ficus carica","Myrtus communis","Cheilanthes-type","Calendula","Diporotheca","Sagina","Gelasinospora","Glomus","Lamiaceae","Ononis-type","Ligustrum","Castanea sativa","Ephedra distachya-type","Pteridium aquilinum","Fraxinus excelsior-type","Juniperus","Alnus viridis-type","Polygonum aviculare-type","Prunus-type","Juglans regia","Acer","Heliotropium","Botrychium","Picea","Cerastium-type","Berberis","Rhinanthus","Ranunculus sect. Batrachium","Rosaceae","Lythrum portula","Ustulina deusta","Ophioglossum lusitanicum","Carthamus","Rumex obtusifolius-type","Centaurium","Herniaria-type","Liliaceae-type","Trifolium pratense-type","Riccia","Cuscuta","Malvaceae","Rhus","Ornithopus","Celtis australis","Dryopteris filix-mas-type","Rhamnus","Anthoceros punctatus","Caltha-type","Carlina","Centaurea nigra-type","Bupleurum","Jasione","Erodium","Sambucus nigra","Astragalus-type","Matthiola-type","Alisma-type","Ammi-type","Phlomis","Plantago major","Carpinus betulus","Cedrus","Abies","Anthriscus sylvestris-type"
286.3,NA,NA,284,"18584, 2","1","3","1","1","","1","3","3","3","2","19","8","6","11","84","1984","","","1","","","","","","","","","","","1","","","","","1","","5","","","","","1","3","2","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
296,NA,NA,292,"18584, 2","1","1","1","","","6","2","2","3","1","11","2","5","3","133","1120","","","1","","","","","","","","","","","1","","","","","","","","","1","2","","1","4","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
305.6,NA,NA,300,"18584, 2","1","","1","","","","","2","","3","36","","","3","70","679","","","","","","","","","","","","","","1","","","","","","","","","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
315.3,NA,NA,308,"18584, 2","1","","1","","","","6","","","","40","2","2","2","118","456","","","","","","","","","","","","","","","","","","","","","","","","4","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
325,NA,NA,316,"18584, 2","1","","1","","","","","","","","","","","","9","1781","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
344.3,NA,NA,332,"18584, 2","1","","1","","","","","4","1","2","98","3","1","15","8, 60","600","","","","","","1","1","","","","","","20","7","","","3","8","4","","10","2","","","2","","7","","","","","","11","1","","","","","","","","1","","","","1","","","","","4","4","","","","","","","3","","1","","1","","1","","","1","","1","1","1","1","1","1","1","1","1","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
363.7,NA,NA,348,"18584, 2","1","","6","","","","3","","","","48","3","6","12","45","630","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
383,NA,NA,364,"18584, 2","1","","","","","","1","","","","12","","","","200","374","","","","","","","","","","","","","","","","","","","","","","","","3","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
402.4,NA,NA,380,"18584, 2","1","","","","","","","","","","64","","2","","138","182","","","","","","","","","","","","","","","","","","","","","","","","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
412,NA,NA,388,"18584, 2","1","4","1","","","1","","1","","4","63","3","4","19","81","869","","","","","","1","1","","","","","","11","9","","2","6","","6","3","34","2","2","","2","","","","1","3","","","31","","","","","1","","","1","1","1","","4","","","","","","3","1","","","","","","","1","","1","","","","1","","5","2","2","1","1","1","1","","","","","","","1","","7","1","1","1","1","1","2","2","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
