Depth (cm) [cm],thickness [cm],Acacia groupe i,Acacia groupe iii,Acanthaceae,Adansonia,Aerva lanata-type,Alchornea,Allophylus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia,Anacardiaceae,Anthocerotaceae,Anthostema,Artemisia,Asystasia-type gangetica,Bridelia,Caesalpinioideae,Caryophyllaceae,Cassia-type,Cayratia-type,Ceiba,Celastraceae,Celtis,Centaurea perrottetii,Chrysobalanus/Parinari,Coccinia-type,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Commiphora,Cruciferae,Cyperaceae,Detarium,Dichrostachys,Diospyros,Elaeis guineensis,Erythrococca,Euphorbia,Euphorbiaceae,Ficus,Gramineae,Indeterminables,Indetermines,Ipomaea-type,Kohautia,Lannea,Laurembergia,Leucas-type,Liguliflorae,Lophira,Lycopodiaceae,Lygodium microphyllum,Macaranga,Mallotus,Meliaceae,Mitracarpus,Mitragyna inermis-type,Monocotyledoneae,Monoletes,Moraceae,Nymphaea lotus-type,Papilionoideae,Phoenix,Phyllanthus,Phyllanthus reticularus,Polycarpaea,Polygala,Priva-type,Resedaceae,Rhizophora,Rhus,Rubiaceae,Rutaceae,Salvadora,Salvinia,Sapotaceae,Schrebera,Scrophulariaceae,Securinega,Spermacoce radiata-type,Spores indeterminees,Syzygium,Talinum-type,Tamarix,Tapinanthus-type,Tetracera,Tiliaceae,Treculia,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Umbelliferae,Vitaceae,Ximenia,Zanthoxylum zanthoxyloides
500,2,,,,,,10,,,1,,,,5,,,,,,,,,,,,,,,1,2,,,,44,,,,3,,,,,109,15,6,,2,,,,,,,5,3,,,7,,1,147,1,22,,1,,,,,,1,2,,,,,,1,,,,,34,85,,,,5,,,,,,1,2,,,,,3
550,2,,,,,1,19,1,,1,,,1,4,,,,,,,,,,2,,,,,,,1,,,65,2,,2,22,3,2,,2,86,6,6,,,,,,,2,,14,10,,,2,2,,161,,15,1,1,1,,1,,,,1,,,,,1,,,,,1,3,44,,,,5,,8,,,,,10,10,,,,7
597,2,,,,,,57,,,5,,,,5,,1,,,,,,,,1,,,,1,3,6,,,1,69,5,,1,23,,3,,6,180,19,29,,1,4,,,,1,,25,18,,,12,9,2,255,1,20,,2,10,,1,1,,4,13,1,2,,1,,1,,1,,,13,111,,,,15,,15,,,,2,4,17,,,1,11
652,2,,,,1,2,20,,1,,,,,5,,,,,,,1,,,4,,,,,1,1,1,,,30,2,,1,9,1,,,7,89,10,11,,,4,,,,,,11,18,,,3,6,,72,,19,,2,3,,,,2,,4,,,,,,,,,1,,1,78,,,,3,,4,,,,,2,23,,,,7
700,2,,,,,,27,,,2,,,,2,,,,,,,,,,6,,,,1,9,2,,,,31,1,,,4,,,,6,201,12,9,,2,,,,,,1,5,16,,,3,11,,7,,20,,,,,1,,1,,28,,,1,,,,,,1,1,,10,,,,11,,1,,,,,3,,,,,5
752,2,,,,,,9,,,,,1,,2,,,,,,,,,,,,,,,,,,,,40,1,,,2,,,,2,98,19,11,,,,,,,,,5,5,,,3,5,1,113,,26,,2,,2,,,,,1,,1,,,,1,,,,,,81,,,,,,,,,1,,2,,,,,4
798,2,,,,,1,62,,,3,,,,14,,,,1,,1,,3,,6,,1,,4,,10,,1,2,53,2,2,,21,,,1,11,230,50,35,,1,1,,,,,,11,41,,,4,26,2,140,1,24,,1,,3,,,1,1,29,,,,,1,,1,,1,,2,106,,2,,,,1,,1,,3,9,13,,,,3
850,2,,,,,,9,,,3,,1,,,,,,,,,,,,,,,,,,,,,,195,,,,11,,,,,43,34,6,,,,,,1,1,,,,,,7,1,1,125,,3,,3,1,,,,,,3,,,,,,,,,,,36,12,,,,2,,,,,,4,73,2,,,,3
900,2,,1,,,,43,,,1,,,,2,,,,1,,,,,,4,,,,,2,3,,,,41,,,,4,,,,9,256,16,11,1,,1,,,,,,8,2,1,,3,1,2,38,,14,,,,,,1,,,19,,1,,,,,,,,,2,11,,2,,22,,,,,,,3,2,,,,2
950,2,,,,,,53,,,1,,,,9,,,1,,,,,1,,10,1,,1,1,1,7,,,,39,3,,2,,,,,2,178,23,13,,2,,,,,,,6,36,,1,4,15,,14,,8,,,1,,,,,1,25,,,,,,1,,,,2,,34,,,,22,3,,,,,1,6,,,,,5
1000,2,,,,,,54,,,1,,,,2,,,,,,,,1,,12,,,,,5,7,,,,31,1,,,1,,1,,5,292,14,21,,,2,2,,,,1,3,24,,,4,3,,8,,13,,19,,,,,,,15,,,,,,,,,,,,4,,,,1,,,,,,2,10,1,,,,7
1054,2,,,,,1,23,,1,1,,,,6,,,2,,,,,1,,6,,,,1,4,2,,,,19,,,2,1,,,,2,159,21,13,,,3,,,,,,2,41,,,2,14,,19,,6,,1,,,,,1,3,17,,,,,,,,,,,1,38,,1,,12,,,,1,1,,4,,,,,3
1081,2,1,,,,1,44,,,1,,,,9,,,,,,,,2,,12,,,,,10,5,,,,20,,,,1,,4,1,4,213,21,11,,2,1,,,,,,1,26,,,3,7,1,11,1,14,,1,,,1,,,1,23,,2,,,,1,,1,,,1,10,,2,,12,,,,,,3,20,,,,,6
1130,2,,,1,,,,,,15,,,,,,,,,2,,,,,7,,,,,,3,,,,60,,,,1,,2,,,524,10,2,,2,,,,,,,1,,,,4,,1,82,,,,,,1,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,1,80,,1,,,2
