"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Thalictrum","Xanthium","Alnus","Lythrum","Ranunculaceae","Pistacia","Asteroideae","Rumex acetosa-type","Humulus/Cannabis","Filipendula","Senecio-type","Brassica-type","Plantago coronopus-type","Arctium/Jurinea","Echium-type","Ranunculus arvensis","Aquilegia-type","Sparganium-type","Ulmus","Rosaceae","Lemna","Butomus umbellatus","Plantaginaceae","Olea","Capsella-type","Scrophularia/Verbascum","Thymus/Mentha","Isoëtes","Juniperus","Galium-type","Matricaria-type","Mercurialis annua","Caryophyllaceae","Apiaceae","Artemisia herba-alba-type","Ostrya/Carpinus orientalis","Corylus","Unknown","Poaceae (Cerealia-type)","Dryopteris-type","Fagus","Amaranthaceae","Plantago lanceolata-type","Pteridium","Carpinus betulus","Ranunculus repens-type","Polygonum aviculare-type","Cichorioideae","Juglans","Cyperaceae","Quercus cerris-type","Fabaceae","Salix","Alisma","Pinus","Poaceae","Betula","Castanea","Cuscuta","Euphorbia","Menyanthes trifoliata","Vitis","Acer","Rhamnus","Lathyrus-type","Lotus-type","Sorbus-type","Ephedra distachya-type","Hypericum perforatum-type","Viburnum-type","Silene-type","Apium-type","Fallopia convolvulus-type","Cornus mas","Filago-type","Hippocrepis","Myrtus","Cyclamen","Psoraleeae","Ranunculus sect. Batrachium-type","Equisetum","Polypodium","Potentilla-type","Prunus-type","Stachys-type","Cirsium-type","Quercus coccifera-type","Anthriscus-type","Rumex hydrolapathum-type","Heracleum-type","Plantago tenuiflora-type","Ranunculus sceleratus-type","Ophioglossum","Ranunculus peltatus-type","Poterium sanguisorba","Centaurea solstitialis-type","Zea mays","Bunium-type","Sambucus nigra-type","Trifolium-type","Aesculus","Platanus","Taxus","Campanula-type","Secale","Salvia","Veronica","Plantago media-type","Delphinium-type","Plantago maritima-type","Cotoneaster","Polygonum cognatum-type","Scorzonera-type","Punica","Sideritis","Ricinus","Colutea","Cryptogramma crispa","Plantago major-type","Persicaria maculosa-type","Actaea","Phaseolus","Bupleurum-type","Eryngium-type","Artemisia vulgaris-type","Centaurea jacea-type","Ferula-type","Vicia-type","Hedysarum/Ebenus","Solanum nigrum","Morus","Typha latifolia","Casuarina","Urtica dioica-type","Phillyrea angustifolia","Fraxinus excelsior-type","Malus-type","Geum-type","Brassicaceae","Convolvulus","Cedrus","Hippophaë","Genista","Picea","Potamogeton","Fraxinus ornus","Nuphar","Verbena","Frankenia","Tilia","Rhynchospora-type","Gentiana nivalis-type","Noaea-type","Crataegus-type","Populus","Helianthemum","Myriophyllum spicatum/M. verticillatum","Sphagnum","Rhinanthus-type","Asparagus-type","Cerinthe-type","Nymphaea","Melampyrum","Valerianella","Rosa-type","Allium","Heliotropium-type","Mercurialis perennis","Scabiosa columbaria-type","Calligonum","Osmunda regalis","Bidens-type","Araceae","Carduus-type","Crassulaceae","Ericaceae","Astragalus-type","Buxus","Unknown (trilete)","Turgenia-type","Tamarix","Onopordum-type","Nepeta","Celtis","Periploca","Lysimachia","Dipsacus-type","Linaria","Geranium","Solanum dulcamara","Marrubium","Urtica pilulifera-type","Laurus","Alhagi","Ligustrum","Iris","Consolida","Asplenium subg. Phyllitis","Persicaria amphibia","Centaurea cyanus-type","Pimpinella-type","Ranunculus asiaticus-type","Scutellaria","Salvinia","Papaver","Cladium mariscus","Arceuthobium oxycedri","Calystegia","Theligonum","Androsace","Scilla-type","Centaurea","Linum","Ephedra fragilis-type","Cheilanthes","Ranunculus acris","Bellis-type","Hydrocharis","Anemone coronaria","Epilobium","Anemone","Larix","Rheum","Cousinia","Teucrium","Calendula","Gentiana verna-type","Daphne","Sanguisorba officinalis","Pterocarya","Liliaceae","Utricularia","Prosopis","Centaurea scabiosa-type","Herniaria-type","Onobrychis-type","Adonis aestivalis","Cytisus","Caltha","Halothamnus-type","Asperula-type","Aristolochia","Erodium","Spinacia-type","Botrychium"
5083,5443,4729,260,NA,NA,NA,2,NA,NA,NA,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,2,NA,3,6,NA,11,16,NA,1,1,1,12,8,7,5,4,NA,37,4,3,5,6,3,2,3,4,575,87,1,3,NA,82,193,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5278,5637,4929,270,1,NA,NA,10,1,NA,2,NA,6,12,NA,1,3,1,NA,NA,NA,NA,9,3,NA,1,NA,NA,9,NA,NA,1,NA,58,99,4,3,2,2,26,2,6,1,4,11,45,9,3,41,7,3,5,8,6,561,204,1,10,NA,126,94,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5571,5927,5227,285,NA,NA,NA,3,2,NA,1,NA,2,1,NA,NA,1,NA,54,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,4,NA,11,5,1,NA,1,NA,12,2,4,1,2,3,24,6,NA,8,7,2,1,4,2,490,42,NA,11,NA,88,47,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5864,6219,5526,300,2,NA,NA,NA,4,NA,NA,1,1,1,NA,1,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,2,1,NA,5,NA,10,19,NA,NA,1,1,5,NA,NA,25,4,1,18,1,2,9,2,2,NA,5,2,295,48,2,NA,1,64,244,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6157,6512,5824,315,1,1,NA,6,NA,NA,3,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,5,NA,1,NA,NA,9,1,NA,NA,NA,NA,9,13,22,NA,5,1,116,1,5,6,51,3,NA,5,1,102,153,NA,1,NA,96,2509,4,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,35,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6450,6805,6122,330,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,3,3,NA,NA,NA,1,7,7,13,5,3,NA,52,3,NA,1,27,1,3,NA,1,45,81,1,2,NA,138,260,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6743,7099,6420,345,NA,NA,NA,14,NA,NA,2,NA,1,3,2,1,2,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,4,1,NA,1,NA,53,1,2,1,2,2,11,6,34,NA,7,4,81,11,5,4,52,1,2,2,NA,53,157,1,6,NA,137,374,NA,9,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,2,1,1,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7036,7393,6717,360,1,NA,NA,5,NA,NA,1,NA,3,7,7,2,2,NA,NA,NA,NA,NA,4,1,NA,NA,2,NA,2,NA,NA,4,NA,22,1,3,NA,1,2,7,NA,14,2,14,11,62,7,7,20,16,6,6,14,NA,49,56,1,2,NA,160,178,2,4,NA,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7329,7685,7011,375,1,1,NA,2,NA,NA,1,NA,3,1,5,2,2,1,NA,NA,NA,NA,13,4,NA,NA,NA,NA,1,NA,1,3,NA,31,4,6,2,4,4,20,3,33,1,30,21,53,12,23,24,21,7,3,19,NA,82,67,NA,7,NA,161,235,2,10,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,2,NA,1,NA,NA,NA,1,NA,2,NA,8,1,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,6,NA,1,NA,61,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7622,7976,7305,390,1,NA,NA,3,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,1,15,5,34,4,10,16,72,3,3,6,24,3,2,6,1,49,113,1,1,NA,336,59,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7817,8219,7500,400,3,NA,NA,9,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,2,NA,14,2,NA,1,2,NA,3,4,31,NA,4,72,34,4,4,3,17,NA,NA,1,NA,34,31,NA,5,NA,182,142,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8208,8635,7895,420,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,1,2,2,NA,9,5,1,NA,NA,NA,6,NA,4,NA,NA,401,14,7,NA,NA,6,NA,NA,1,NA,258,24,NA,NA,NA,235,70,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8501,8942,8190,435,1,NA,NA,3,1,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,NA,NA,2,1,4,NA,1,NA,2,597,39,1,NA,2,7,NA,NA,6,NA,363,51,NA,5,NA,331,100,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8696,9149,8388,445,1,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,71,2,NA,4,NA,NA,NA,1,NA,2,NA,19,11,NA,1,3,1,6,NA,6,1,NA,250,9,4,1,3,12,NA,1,5,NA,250,26,1,5,4,243,58,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9087,9562,8782,465,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,3,NA,1,NA,9,NA,5,NA,2,1810,35,1,NA,3,13,NA,NA,3,NA,303,33,1,1,NA,311,30,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9379,9866,9076,480,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,11,1,4,NA,1,12,NA,24,3,7,NA,NA,3,NA,7,23,NA,875,6,2,NA,NA,221,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9672,10164,9370,495,NA,NA,NA,3,NA,NA,NA,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,412,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,7,NA,12,NA,16,NA,13,NA,4,74,13,9,NA,11,4,NA,17,16,NA,488,9,NA,1,NA,152,24,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
