"age_NA","ageolder_BP","ageyounger_BP","depth","Brassicaceae","Tamarix","Olea europaea","Armeria/Limonium-type","Poaceae","Liliaceae undiff.","Malva sylvestris-type","Pinus halepensis/P. pinea-type","Ephedra distachya-type","Amaranthaceae","Cichorioideae","Quercus ilex/Q. coccifera-type","Erica arborea-type","Juniperus-type","Cardueae","Cyperaceae","Polypodiophyta (trilete)","Caryophyllaceae","Fabaceae","Pseudoschizaea circula","Convolvulus arvensis-type","Polypodium vulgare-type","Poaceae (Cerealia)","Helianthemum-type","Lamiaceae","Phillyrea","Daphne gnidium-type","Asphodelus albus-type","Cedrus","Plantago lanceolata-type","Campanula-type","Glomus cf. G. fasciculatum","Rosaceae","Alnus","Rubiaceae","Unknown (type 181, HdV)","Rumex acetosa-type","Sordaria undiff.","Myriophyllum","Quercus (deciduous)","Apiaceae","Polypodiophyta (monolete) undiff.","Riccia undiff.","Centaurea nigra-type","Boraginaceae","Urtica dioica-type","Artemisia","Polygala vulgaris-type","Pistacia lentiscus"
NA,NA,NA,14,1,1,NA,NA,5,NA,1,9,35,54,562,12,NA,2,4,NA,NA,9,6,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3,NA,1,NA,NA,1,2,2,62,60,71,1600,7,NA,5,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,9,NA,NA,1,NA,2,2,NA,42,99,57,1176,4,NA,1,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,24,2,2,NA,4,11,NA,NA,23,67,77,2418,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,2,NA,NA,5,1,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,22,6,2,11,1,7,NA,2,16,45,69,2002,7,NA,6,11,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,8,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,NA,1,NA,1,2,NA,4,68,128,92,1185,6,NA,4,2,NA,NA,2,NA,NA,2,2,NA,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,NA,NA,2,1,1,1,NA,81,18,51,565,5,NA,3,2,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,23,3,1,6,NA,2,NA,NA,13,148,155,1900,8,NA,NA,5,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,9,NA,2,NA,5,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
NA,NA,NA,26,1,3,1,9,3,NA,17,16,75,16,1411,1,NA,6,7,NA,NA,NA,1,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,13,2,NA,1,13,7,29,45,22,84,1120,2,NA,8,17,13,8,NA,20,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,32,NA,1,NA,NA,2,NA,2,26,384,70,360,4,NA,1,3,NA,1,6,6,NA,4,NA,NA,NA,4,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,NA,NA,NA,NA
NA,NA,NA,31,NA,1,NA,1,3,2,1,31,90,63,1700,2,NA,3,2,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA
NA,NA,NA,1,NA,NA,NA,NA,1,1,1,137,70,177,800,9,NA,NA,4,NA,NA,2,NA,NA,3,NA,NA,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,NA,3,1,NA,NA,5,NA,NA,NA,1,NA,NA
NA,NA,NA,33,1,1,NA,NA,2,NA,1,18,41,94,832,1,NA,2,2,NA,NA,1,1,5,NA,2,2,NA,1,NA,4,NA,NA,NA,NA,44,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,36,2,2,2,1,3,2,2,99,23,33,444,2,NA,2,1,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10,1,NA,1,1,4,4,1,30,58,187,741,7,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,NA,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15,1,1,3,1,2,NA,3,13,55,47,798,1,NA,2,5,3,NA,3,6,2,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA
NA,NA,NA,44,2,NA,1,1,2,NA,1,20,94,26,2700,1,NA,4,2,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA
NA,NA,NA,20,7,1,3,NA,4,NA,2,8,45,93,213,3,NA,7,1,2,NA,8,2,7,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,2,NA,NA,NA,6,1,45,NA,NA,1,NA,3,NA,NA,7,NA,NA,NA
NA,NA,NA,0,2,13,13,13,6,NA,2,35,28,2272,401,17,NA,8,5,NA,NA,2,7,20,NA,NA,3,NA,4,8,NA,NA,NA,NA,NA,95,13,NA,NA,1,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,17,5,4,13,1,4,2,2,5,20,113,115,8,NA,1,1,NA,NA,5,4,2,NA,2,NA,NA,1,3,NA,NA,NA,3,3,5,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA
NA,NA,NA,29,NA,2,1,1,12,13,1,21,52,62,4352,2,NA,13,3,9,NA,9,17,4,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,29,2,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,13,1,NA,NA
NA,NA,NA,21,4,1,NA,1,3,3,6,5,47,19,1170,3,NA,4,2,NA,NA,1,4,1,1,NA,NA,2,2,NA,NA,1,NA,3,1,1,NA,NA,1,NA,2,3,NA,1,1,NA,NA,NA,NA,2,1,NA,3
NA,NA,NA,28,NA,1,2,2,3,1,1,42,67,13,300,1,NA,3,2,NA,2,1,1,3,1,4,NA,2,1,1,1,2,NA,NA,NA,2,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,11,1,1,3,1,3,2,2,35,33,35,714,5,NA,2,2,NA,NA,1,1,1,2,2,NA,13,2,2,NA,2,NA,2,1,1,1,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA
NA,NA,NA,19,7,3,2,1,4,2,1,23,13,43,85,4,NA,2,NA,NA,NA,2,8,NA,2,NA,NA,3,2,1,1,1,1,13,1,NA,2,NA,2,NA,2,NA,NA,1,1,1,3,NA,NA,6,1,NA,NA
