Depth (cm) [cm],Acacia,Aerva javanica-type,Aerva lanata-type,Aeschynomene afraspera-type,Aizoaceae,Alchornea,Anacardium,Artemisia,Avicennia,Balanites aegyptiaca,Boerhavia-type,Boscia-type,Calligonum polygonoides,Capparis fascicularis-type,Caryophyllaceae,Cassia-type,Celosia trigyna,Celtis,Centaurea perrotettii,Chenopodiaceae-Amaranthaceae,Cleome,Coccinia-type,Cocculus pendulus-type,Combretum,Combretum aculeatum-type,Combretum molle-type,Commelina forskalei-type,Commiphora,Compositae liguliflorae,Compositae tubuliflorae,Cruciferae,Cynoglossum,Cynomorium,Cyperaceae,Diospyros,Echium,Ephedra,Euphorbia grande taille,Euphorbia petite taille,Fagonia,Geraniaceae,Gramineae,Grewia,Gynandropsis gynandra,Heliotropium strigosum-type,Hibiscus-type,Ixoratype brachypoda,Juniperus,Labiatae,Maerua,Maytenus-type,Mimosa pigra,Mimosaceae,Mitracarpus villosus,Moltiokpsis-type,Olea africana-type,Oleaceae,Oxalis,Papilionaceae,Pavetta-type,Phyllanthus niruri-type,Pinus,Plantago,Polycarpaea-type,Potamogeton-type,Quercus,Resedaceae,Rhizophora,Rumex,Salacia-type,Sesbania sesban,Spermacoce radiata-type,Suaeda-type,Tamarix,Teucrium-type,Tinospora bakis,Tribulus,Typha,Umbelliferae,Unknown type 1,Unknown type 2,Unknown type 3,Veronica,Zaleya-type,Zygophyllum
140,22,,10,,,,,1,,,,,3,,2,,,,,40,3,,,,,,,2,,1,7,,,199,,,,4,1,,,53,,,,,,,,6,,,1,1,1,,,,,,,,1,2,,,,,,,,,14,3,,,,,,,1,,,,
150,12,1,6,,,1,,1,,,,,,,3,4,,,,38,,,1,1,,2,,5,,7,1,1,,231,,,1,,,,,135,1,,,,,,1,7,1,,,1,,,,,,,,1,1,,,,,2,,,,,16,,,,,,,,1,,,,1
160,,,10,,2,,,1,,,,,1,,,3,1,,1,41,,,1,,,1,,5,1,3,2,,,160,,,,2,,,1,43,,,,,,,,2,,1,,4,,,,,1,,,,,,,,,,,,,,23,,,,,,,2,2,,,,
170,5,1,3,,1,,,1,1,,,,,2,3,2,,,,77,1,,,,,1,,2,,9,7,,,129,,,,4,,,,53,,1,,,,,,4,,,,4,2,1,,,,,,1,,1,,,,,,,,,39,,,,,,,2,,,,2,
180,1,,9,,1,,,1,,,,,,2,2,3,,,,54,1,,,,,,,2,,14,3,,,109,,,1,4,,,,92,,3,,,,,,9,,,,1,1,1,,,,,,,,2,,,,,,,1,,36,,,,,,,,1,,,,
190,3,3,4,,4,,,2,,,,,1,,2,,,,,56,,,,1,,,,4,,4,2,,,252,,,1,3,,,,49,,1,,,,1,,13,,,,,1,,,,,,,,,,,,,,,,,,17,2,,,,,,,5,,,,
200,6,,15,,,,,1,,,,,1,1,4,2,1,,,69,,,,4,,,,10,,8,4,,,359,1,,,2,,,,185,,,,,,,,8,,,,1,,,,,,,,1,,,1,,2,,,,,,19,2,,,,,,,7,1,,1,
210,5,2,2,,,,,3,,,,,,,2,1,,,,71,,,,1,,1,,3,,20,5,,,139,,,,,,,,99,,2,,,,,,6,,,,2,,,1,,,,,,,,,,,,,,,,28,1,,,,,,3,10,,,,
220,10,1,3,1,1,,,1,,,,,,,6,2,,,,59,,,,,2,,1,7,,11,2,,,102,,,,2,,,,80,,,,,,,,3,,,,1,,,,,,1,,,,,,,,,,1,,,22,2,,,,2,1,2,,,,1,
240,13,1,6,,,1,,1,,,,,1,1,1,3,1,,,60,,,,,1,4,,1,1,6,3,,,204,,,,5,1,1,,120,,,,,,,1,3,,,,5,,,2,,,,,1,,1,,1,1,,,,,1,13,1,,,1,1,1,2,6,3,,,1
