"age_NA","ageolder_BP","ageyounger_BP","depth","Sambucus","Acer","Rosaceae","Ephedra fragilis","Indeterminable undiff.","Cichorioideae","Plantago lanceolata","Centaurea","Brassicaceae","Salix","Ephedra distachya-type","Unknown","Galium","Cyperaceae","Apiaceae","Asteroideae","Rumex","Quercus robur-type","Betula","Pinus undiff.","Amaranthaceae","Juniperus","Poaceae","Artemisia","Eucalyptus spike","Thalictrum","Fraxinus","Urticaceae","Hedera","Caryophyllaceae","Secale","cf. Parthenocissus","Plantago coronopus","Hippophaë","Nymphaea","Taxus","Pistacia","Dryopteris-type","Corylus","Juglans","Oleaceae undiff.","Plantago maritima","Ulmus","Olea","Fagus","Carpinus betulus","Ostrya/Carpinus","Quercus ilex-type","Alnus","Moraceae","Sparganium-type","Onagraceae","Ericales","Cladium mariscus","Populus","Pteridium-type","Phillyrea","Tilia","Abies","Plantago undiff.","Scrophulariaceae","Bistorta","Ephedra undiff.","Brassica","Loranthaceae","Lamiaceae","Matricaria","Quercus undiff.","Nuphar","Campanulaceae","Fabaceae","Noaea-type","Boraginaceae","Celtis","Ilex","Vitis","Potamogeton","cf. Vicia","Castanea","Hypericum","Ranunculus","Rhamnaceae","Sanguisorba","Poaceae (Cerealia-type)","Caltha-type","Cystopteris","Triticum","Typha latifolia","Menyanthes-type","Liliaceae","Equisetum","Cornus","Eriogonum-type","Cotinus-type","Cassia","Myrtaceae","Polypodium-type","Myriophyllum","Linum","Ambrosia-type","Picea","Saxifraga oppositifolia","cf. Pedicularis","Bunium","Ficus","Tamarix","Humulus/Cannabis"
NA,NA,NA,205,1,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,3,3,NA,116,1,4,NA,4,16,NA,198,NA,10,NA,7,NA,NA,NA,4,NA,3,4,NA,1,16,NA,6,NA,8,1,17,26,76,113,163,NA,NA,NA,1,NA,2,3,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,430,1,1,NA,2,19,10,1,2,1,2,2,3,5,5,7,8,6,249,72,31,12,1,185,32,661,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,409,NA,NA,NA,NA,3,1,NA,NA,3,12,1,2,1,4,11,7,8,287,62,25,14,4,178,63,517,2,8,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,7,NA,1,19,3,NA,1,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,2,1,1,2,1,2,90,1,NA,2,6,14,1,987,NA,1,NA,NA,NA,NA,NA,2,NA,2,NA,4,NA,8,1,1,NA,10,9,67,70,102,79,78,NA,NA,NA,NA,NA,1,NA,5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,185,1,NA,NA,NA,4,NA,2,NA,NA,NA,NA,2,NA,1,1,1,1,83,NA,2,1,1,14,NA,606,NA,3,1,2,NA,NA,NA,1,NA,NA,15,2,NA,37,NA,3,3,13,NA,4,35,83,84,57,NA,NA,NA,NA,NA,NA,NA,2,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,35,1,1,1,NA,2,NA,6,NA,NA,2,NA,3,NA,4,NA,NA,NA,138,NA,NA,NA,3,34,2,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,1,2,1,13,NA,3,NA,7,14,38,52,88,61,221,NA,NA,NA,NA,NA,2,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,380,NA,1,1,NA,10,NA,4,NA,NA,1,NA,3,2,2,9,NA,1,150,4,8,2,NA,50,NA,153,NA,15,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,10,NA,15,NA,19,NA,124,68,45,NA,NA,NA,1,NA,2,2,21,6,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,391,NA,4,NA,NA,11,1,1,NA,NA,4,NA,NA,NA,3,8,1,1,262,3,5,1,NA,50,1,513,NA,13,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,85,NA,6,NA,43,NA,24,3,49,58,11,NA,1,NA,NA,1,3,1,13,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,359,NA,2,1,NA,15,1,2,NA,NA,1,NA,1,NA,3,5,2,5,207,NA,4,7,4,72,1,238,1,13,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,4,NA,28,NA,16,2,98,60,59,NA,NA,NA,1,NA,5,NA,4,10,2,NA,NA,NA,NA,NA,NA,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,375,1,7,1,NA,3,NA,3,NA,1,2,NA,4,1,1,7,1,NA,253,2,3,NA,2,50,NA,NA,NA,12,1,3,NA,NA,NA,NA,NA,1,NA,NA,1,87,NA,17,1,40,NA,15,NA,177,20,82,NA,1,NA,NA,NA,1,2,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,325,NA,NA,NA,NA,13,NA,2,NA,NA,4,NA,3,NA,2,12,NA,3,175,NA,5,3,NA,45,NA,232,NA,11,1,NA,NA,1,NA,1,NA,NA,1,1,NA,135,NA,8,NA,35,NA,23,1,27,28,3,NA,NA,NA,2,NA,9,7,5,11,NA,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,420,NA,1,1,NA,9,6,NA,NA,1,4,1,4,2,4,7,5,5,262,32,12,6,6,127,22,1133,NA,4,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,5,NA,5,NA,NA,29,2,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,245,NA,NA,NA,NA,6,NA,2,NA,NA,7,NA,3,NA,5,1,NA,NA,170,2,2,1,1,31,2,475,NA,27,NA,3,NA,NA,NA,NA,2,5,NA,NA,1,16,NA,4,NA,11,4,9,19,104,91,16,NA,1,NA,1,NA,4,2,4,1,18,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,305,1,NA,1,NA,2,2,4,NA,NA,4,NA,2,1,3,6,NA,NA,245,1,4,4,NA,55,1,292,NA,9,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,75,NA,10,NA,37,NA,15,1,15,34,3,NA,1,NA,NA,2,3,1,28,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,295,1,1,NA,NA,7,NA,NA,NA,NA,NA,NA,1,1,1,4,1,NA,119,2,1,3,NA,40,1,116,NA,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,38,NA,1,NA,16,NA,15,7,128,61,81,NA,1,NA,1,1,1,1,8,2,17,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,352,1,4,NA,NA,2,NA,4,NA,3,1,NA,3,1,2,12,NA,2,319,1,11,2,3,60,NA,NA,NA,10,1,6,NA,NA,NA,NA,NA,NA,NA,NA,4,114,NA,NA,4,42,NA,24,NA,69,33,7,NA,1,NA,1,NA,1,1,4,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,315,2,2,2,NA,3,2,2,NA,NA,8,NA,8,NA,2,13,NA,2,318,4,7,15,NA,71,2,440,NA,24,1,8,NA,NA,NA,NA,NA,NA,NA,NA,1,55,NA,1,NA,28,4,13,NA,1,20,4,NA,1,NA,1,NA,8,5,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,425,NA,NA,1,NA,8,6,NA,1,2,12,NA,NA,2,6,9,NA,3,289,13,18,3,8,90,10,593,1,9,NA,3,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,29,3,NA,5,NA,2,NA,NA,1,NA,6,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,434,NA,1,1,NA,3,1,NA,NA,NA,5,NA,5,NA,9,NA,2,5,274,86,22,18,8,185,44,765,2,8,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,NA,15,1,NA,NA,NA,NA,NA,3,2,1,6,NA,1,NA,1,3,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,415,NA,NA,NA,3,3,6,NA,NA,NA,9,3,2,6,4,9,3,6,314,102,18,16,3,243,74,1054,2,11,1,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,3,NA,NA,30,2,NA,1,NA,NA,NA,3,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,370,NA,NA,NA,NA,10,NA,2,NA,NA,2,NA,5,1,1,10,1,2,215,5,17,2,NA,46,NA,180,NA,13,4,4,NA,NA,NA,NA,NA,NA,1,1,1,121,NA,7,NA,24,NA,16,2,143,32,56,NA,NA,NA,2,2,1,2,13,7,9,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,365,4,4,1,NA,7,3,3,NA,NA,2,NA,1,NA,5,15,1,3,244,8,7,4,3,46,1,476,NA,24,5,NA,NA,1,NA,2,NA,NA,NA,NA,2,12,NA,14,NA,17,NA,16,NA,118,46,57,NA,NA,NA,NA,NA,3,NA,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,395,2,2,NA,NA,5,2,1,NA,NA,9,NA,5,2,2,11,3,6,274,7,8,8,NA,68,3,392,NA,20,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,55,NA,7,NA,36,NA,23,NA,11,95,20,NA,1,NA,2,NA,5,1,8,8,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,388,1,3,NA,NA,16,2,1,NA,NA,15,NA,4,NA,2,3,4,3,262,3,8,7,3,47,6,356,1,5,NA,6,NA,3,NA,NA,NA,NA,NA,1,2,52,NA,4,NA,48,NA,15,NA,17,36,3,NA,1,NA,1,NA,1,NA,17,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,285,NA,3,NA,NA,8,1,2,NA,1,2,NA,4,NA,2,2,1,1,155,2,3,1,1,15,NA,272,NA,17,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,51,NA,2,NA,16,NA,17,3,105,73,75,NA,NA,NA,1,NA,1,1,4,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,135,1,3,2,NA,2,NA,6,NA,NA,NA,NA,5,NA,1,3,1,NA,59,2,7,5,1,13,NA,338,NA,13,1,2,NA,NA,NA,1,NA,9,21,1,NA,27,NA,3,NA,20,NA,16,26,93,68,151,NA,NA,NA,NA,NA,NA,NA,1,1,65,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,55,NA,2,NA,NA,7,NA,3,NA,NA,NA,NA,4,1,2,2,1,2,108,NA,1,2,9,27,2,375,NA,NA,2,NA,NA,NA,NA,1,NA,3,NA,4,2,6,1,12,1,4,68,36,33,57,89,93,NA,NA,NA,2,1,1,2,2,NA,3,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,125,1,2,NA,NA,5,NA,6,NA,NA,7,NA,NA,NA,2,NA,1,3,37,4,NA,2,1,29,5,333,NA,1,2,NA,NA,NA,NA,NA,NA,1,4,1,2,77,NA,3,NA,3,NA,36,104,104,39,128,1,1,NA,3,1,NA,1,2,NA,11,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,145,NA,2,1,NA,3,NA,4,NA,NA,NA,NA,2,2,NA,1,1,1,60,2,NA,2,3,9,2,599,NA,16,1,4,NA,NA,NA,3,1,3,43,1,NA,31,NA,3,NA,28,1,28,46,84,41,124,NA,NA,NA,1,NA,NA,NA,2,3,29,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,335,1,1,NA,NA,8,NA,3,NA,1,4,NA,NA,1,1,8,1,3,207,2,7,7,1,42,1,500,1,14,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,28,11,19,1,39,77,3,NA,NA,NA,NA,NA,3,NA,15,7,2,2,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,175,NA,1,NA,NA,2,1,3,NA,1,NA,NA,1,1,1,5,1,NA,96,NA,NA,3,4,14,1,443,NA,6,NA,2,NA,NA,NA,1,NA,1,56,1,NA,24,NA,NA,NA,17,4,10,30,80,70,75,NA,NA,NA,1,NA,2,1,3,NA,12,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,1,1,1,148,1,5,1,6,20,NA,288,1,16,NA,1,NA,NA,NA,2,NA,2,NA,NA,6,47,1,9,NA,21,NA,14,6,106,63,50,NA,NA,NA,2,1,NA,3,2,1,23,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
