Depth (cm),pill lycopodium added,pollen concentration volumétrique (/ml),Pollen flux (/cm2/yr),Lycopodium counted,volume (ml),Gramineae,Cyperacea,Rhizophora,Typha (Typhaceae),Graminae ? 25 µm,olea (oleacea),Pinus,Artemisia,Asteroideae (Compositae Tubuliflorae),Amaranthaceae/Chenopodiaceae/Caryophyllaceae,Acacia (Mimosaceae),Boreria spermacore (Rubeacea),Mitracarpus,Mimosa type,Zizyphus (Rhamaceae),Boscia-type (Capparidacea),Butyrospemum (Sapotacea),Pliostigma (Caesalpiniaceae),Pterocarpus - type (fabaceae),Vernonia-type (Asteraceae),Indigofora,Tamarindus,Stereospermum - type (Bignoniaceae),Phoenix-type (Palmae),Uapaca,Anonaceae,(Rubeacea)Canthium subcordatum,Euphorbia-type,Sp indetérminés,Sp indeterminables,Rubeacea,clematis,Galium,Fraximus,Cuviera,foraminifera,spores,Fungal spores,Botryococcus,Pediastrum,Soenedesmus,Cosmanium,les ronds spiraux,Staumastrum,pollen indet
461,10679,1469.983806,874.6415451,741,1,30,19,7,4,21,1,2,0,1,5,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,19,1,8,0,1,0,3,1,1,2
481,10679,1028.278269,611.8263924,1132,1,14,12,1,3,60,0,3,0,2,1,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,13,11,10,,,,,,,3
491,10679,878.9840295,522.9930891,791,1,42,20,2,8,43,0,1,0,0,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,19,6,21,,,,,5,1,5
501,10679,1215.375434,723.1493554,1441,1,37,15,3,4,95,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,0,34,11,5,1,4,0,3,5,1,3
521,10679,654.3108926,389.3155067,1322,1,23,7,5,3,25,0,0,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,40,3,12,0,0,0,4,4,2,0
531,18583,1199.376976,473.0878194,3796,1,67,45,18,16,39,1,1,0,3,19,1,3,7,2,3,3,0,0,0,0,0,0,0,0,2,0,2,9,0,1,3,0,0,0,0,92,19,7,0,5,0,8,8,18,1
541,10679,1638.421918,646.2667463,365,1,9,5,3,2,25,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,53,12,7,1,2,0,1,,2,3
561,10679,1809.568019,713.7744089,1257,1,53,41,14,11,57,1,1,0,1,7,0,0,3,1,1,2,0,0,0,0,1,0,0,0,1,0,0,8,0,9,1,0,0,0,0,73,11,12,0,7,0,4,7,0,9
591,18583,1700.485188,670.7472677,1519,1,41,24,9,8,31,0,0,0,0,5,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,3,2,0,0,0,0,140,5,3,0,4,0,3,10,0,3
601,18583,1158.328489,167.8736985,2615,1,37,29,15,10,32,2,0,0,4,12,1,2,6,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,1,0,0,132,4,12,0,2,0,2,12,0,0
611,10679,3074.257576,445.5445878,198,1,11,11,6,2,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,10,8,0,6,0,1,3,,0
621,10679,2582.503268,374.2758457,306,1,24,11,0,3,26,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,43,5,1,2,12,0,3,5,,1
631,10679,5056.344697,732.8035793,264,1,37,21,21,5,18,0,0,0,2,5,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,47,3,8,0,3,0,1,4,0,0
651,10679,6478.77635,938.9530941,389,1,90,15,14,2,70,1,0,0,1,6,2,0,1,2,2,1,0,1,0,0,2,0,0,0,3,0,2,11,1,5,4,0,0,0,0,30,29,6,,,,,,,6
671,10679,2531.659483,366.9071714,696,1,40,25,18,11,39,1,1,0,1,5,0,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,70,4,11,0,4,0,4,8,0,0
691,10679,1860.071721,269.5756188,976,1,33,17,2,2,94,0,2,0,2,1,1,2,4,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0,0,0,54,8,9,1,2,0,1,8,,0
701,10679,3693.993711,428.2891296,159,1,3,6,1,0,38,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,3,6,,,,,,,2
721,10679,4966.976744,575.8813616,215,1,27,9,13,8,29,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,33,5,8,0,3,0,0,4,0,1
731,10679,5842.914992,677.4394194,647,1,156,29,46,17,63,1,0,0,2,3,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,1,10,0,10,7,0,0,0,0,34,4,8,0,0,0,2,5,0,10
751,10679,4640.984479,538.085157,451,1,96,4,8,0,65,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,7,0,0,0,0,32,10,0,,,,,,,1
771,10679,7752.162963,898.801503,270,1,57,24,31,6,62,1,0,0,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,27,8,2,0,5,0,1,5,2,2
781,10679,4316.446194,500.4575298,381,1,53,25,26,3,33,1,0,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,30,14,7,0,3,0,1,4,3,0
791,10679,4609.568352,534.4427075,1068,1,168,56,50,17,128,1,0,0,3,7,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,7,2,1,0,0,1,69,8,8,5,11,0,8,15,3,7
