"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Castanea","Ostrya/Carpinus","Apiaceae","Alnus","Juglans","Brassicaceae","Triticum-type","Plantaginaceae undiff.","Quercus undiff.","Myriophyllum spicatum/M. verticillatum","Urtica dioica-type","Papaver-type","Rosa-type","Ceratonia","Polygonum sensu lato undiff.","Lemna-type","Populus-type","Platanus","Xanthium-type","Eucalyptus","Styrax","Atropa-type","Sarcopoterium spinosum/Poterium sanguisorba","Artemisia","Cichorioideae","Thalictrum-type","Ranunculus undiff.","Cyperaceae undiff.","Rumex acetosa-type","Plantago lanceolata/P. lagopus","Indeterminable undiff.","Pinus","Mentha-type","Vitis vinifera","Galeopsis-type","Scrophularia-type","Chenopodium sp.","Senecio sp.","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Poaceae","Pistacia","Cupressaceae undiff.","Olea","Quercus ilex/Q. coccifera","Lycopodium spike","Acer","Potamogeton","Vicia/Lathyrus","Tamarix","Hordeum-type","Ulmus/Zelkova","Persicaria","Pteridophyta (trilete)","Plantago maritima-type","Cistus undiff.","Urtica pilulifera-type","Erica","Vitex agnus-castus","Corylus","Potentilla-type","Hedysarum-type","Salsola-type","Dipsacus","Plantago major/P. media","Genista-type","Saussurea-type","Rubiaceae cf. Galium","Myrtus communis","Phlomis","Lavatera-type","Pteridophyta (monolete)","Berberis-type","Typha/Sparganium undiff.","Prunus sp.","Indeterminable (unknown)","Isoëtes","Mercurialis-type","Lythrum","Helianthemum","Morus-type","Echium","Asparagus-type","Asphodelus/Asphodeline","Euphrasia-type","Ephedra undiff.","Hypericum","Fabaceae undiff.","Rhinanthus/Veronica","Anthoceros laevis-type","Spergula/Spergularia","Euphorbia-type","Hedera","Plantago coronopus-type","Alisma plantago-aquatica-type","Cuscuta europaea-type","Pteridium-type","Secale","Sedum-type","Juncus","Betula","Rosaceae (herbs) undiff.","Theligonum cynocrambe","Smilax","Carduus-type","Trifolium undiff.","Carthamus","Viburnum undiff.","Thymelaeaceae","Amaryllidaceae","Centaurea solstitialis-type","Fagus","Salix","Lotus-type","Rhamnus-type","Saxifraga granulata-type","Hypecoum-type","Gentiana undiff.","Linum","Punica granatum","Nerium oleander","Saxifraga aizoides","Dioscorea communis","Acanthus-type","Androsace-type","Lupinus","Helleborus-type","Polypodium-type","Poaceae (Cerealia) undiff.","Humulus/Cannabis-type","Geranium-type","Centaurea cf. C. cyanus","Mesembryanthemum","Linaria","Polygonaceae undiff.","Convolvulus undiff.","Primula-type","Sorbus-type","Callitriche","Rubus-type","Tilia","Cryptogramma-type","Onobrychis-type","Sphagnum-type","Cedrus","Utricularia minor","Sambucus undiff.","Aconitum-type","Ribes-type","Paeonia","Alchemilla","Allium-type","Oenothera","Solanum nigrum-type","Matthiola","Ruppia maritima-type","Ophioglossum-type","Ficus carica","Teucrium-type","Lamiaceae undiff.","Saxifraga undiff.","Dracunculus","Osmunda-type","Riccia-type","Arbutus unedo","Glaucium-type","Carya-type","Campanula-type","Cyclamen","Rumex subg. Emex","Crocus-type","Valeriana-type","Colchicum-type","Pilularia","Oxalis-type","Geum-type","Fumaria","Cercis","Bryonia","Buxus","Taxus"
7015,NA,NA,1023.9,NA,NA,NA,1,5,NA,NA,4,1,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,1,4,5,9,5,1,20,3,NA,9,1,14,38,93,25,13,NA,3,235,197,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,2,NA,3,NA,NA,NA,NA,4,NA,NA,1,NA,2,NA,NA,1,NA,2,NA,NA,9,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7106,NA,NA,1029.9,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,2,NA,4,3,1,NA,1,NA,27,47,NA,5,4,15,29,78,21,14,NA,5,115,645,NA,2,NA,1,NA,2,NA,5,NA,1,1,NA,3,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,4,13,NA,2,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,1,2,NA,1,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7166,NA,NA,1033.9,1,NA,NA,NA,9,1,NA,4,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19,1,NA,5,2,NA,13,2,NA,9,6,NA,6,1,6,40,65,31,17,NA,1,201,457,NA,5,NA,NA,NA,NA,NA,2,4,1,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,NA,8,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7284,NA,NA,1041.9,NA,NA,NA,NA,12,3,NA,4,NA,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,9,NA,NA,3,NA,NA,15,2,1,25,4,1,3,3,6,27,98,37,21,NA,NA,217,269,NA,NA,NA,NA,1,1,NA,NA,1,2,NA,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7345,NA,NA,1046.1,NA,NA,NA,NA,15,1,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,1,4,NA,2,NA,NA,1,34,48,1,7,7,7,35,69,30,31,1,2,103,498,NA,1,NA,2,NA,NA,NA,NA,NA,4,NA,NA,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,11,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7449,NA,NA,1053.5,NA,NA,NA,1,6,NA,NA,8,3,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2,4,NA,NA,2,NA,34,25,NA,7,2,NA,8,40,26,10,3,1,250,365,NA,1,NA,5,1,2,NA,NA,NA,NA,NA,8,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,2,4,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
7572,NA,NA,1062.5,NA,NA,NA,NA,8,NA,NA,21,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,4,4,2,1,NA,3,NA,28,21,8,4,3,1,7,55,23,20,6,NA,212,508,NA,1,NA,2,1,NA,NA,1,NA,NA,NA,2,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
7693,NA,NA,1071.5,1,NA,NA,2,6,2,NA,7,3,NA,7,9,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,8,NA,1,8,2,NA,NA,3,NA,17,3,NA,5,2,4,15,32,25,25,2,NA,291,277,NA,2,NA,15,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7806,NA,NA,1080.1,NA,NA,NA,1,26,2,NA,26,4,NA,2,23,2,NA,1,NA,NA,NA,3,2,NA,NA,NA,NA,1,1,7,NA,7,1,NA,3,NA,2,3,21,6,NA,6,12,15,13,45,30,19,5,NA,138,340,NA,2,NA,1,NA,3,NA,NA,NA,1,NA,4,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,3,NA,NA,NA,NA,NA,1,4,2,2,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7907,NA,NA,1088.1,NA,1,NA,NA,13,NA,NA,6,4,NA,7,11,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,8,1,11,2,1,4,NA,NA,NA,11,15,NA,3,4,4,5,70,32,8,2,NA,183,451,NA,NA,NA,3,NA,6,NA,1,1,NA,1,7,6,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,8,NA,NA,NA,NA,NA,NA,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,9,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,9,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8019,NA,NA,1097.1,NA,NA,NA,NA,8,NA,NA,1,6,NA,5,24,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,2,8,NA,8,2,3,3,NA,NA,NA,13,13,NA,6,9,NA,4,48,19,5,NA,NA,287,573,NA,7,NA,NA,NA,3,NA,1,NA,NA,NA,5,5,2,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,3,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
8085,NA,NA,1102.4,NA,2,NA,2,7,NA,NA,4,8,NA,5,8,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,3,NA,5,NA,5,5,1,3,NA,2,NA,5,19,NA,1,5,3,NA,71,44,9,NA,NA,236,394,NA,7,NA,1,NA,6,NA,1,NA,2,NA,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,4,NA,NA,NA,NA,NA,7,NA,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8148,NA,NA,1107.2,NA,NA,NA,NA,10,NA,NA,2,1,NA,3,6,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,1,6,2,1,3,NA,2,NA,7,28,1,4,4,NA,NA,47,20,36,3,NA,259,454,NA,4,NA,1,NA,7,NA,NA,NA,NA,1,3,NA,1,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,3,4,2,1,NA,1,NA,1,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
8221,NA,NA,1113.7,NA,NA,NA,1,12,NA,NA,4,6,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,3,NA,2,3,NA,3,2,9,15,1,3,2,NA,NA,57,19,25,NA,NA,263,485,NA,1,NA,NA,NA,1,NA,2,NA,1,NA,1,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,4,2,3,NA,NA,NA,3,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8328,NA,NA,1122.7,NA,2,NA,NA,9,2,NA,2,1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,3,NA,NA,NA,1,5,NA,1,NA,19,48,NA,7,1,NA,NA,110,23,26,NA,NA,160,466,NA,5,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,1,8,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8410,NA,NA,1129.7,NA,NA,NA,3,13,NA,NA,9,3,NA,1,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,6,NA,8,NA,NA,6,NA,NA,2,11,16,NA,18,3,NA,NA,63,17,19,NA,NA,251,371,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,1,5,3,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
8471,NA,NA,1135,NA,1,NA,NA,6,NA,NA,3,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,4,6,1,11,1,NA,21,5,1,8,3,NA,NA,338,16,16,NA,NA,65,203,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8551,NA,NA,1142,NA,1,NA,NA,7,NA,NA,1,4,NA,NA,NA,3,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,3,NA,2,NA,22,84,NA,2,2,NA,NA,211,30,19,NA,NA,26,202,NA,3,NA,1,4,3,NA,2,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,3,NA,NA,NA,2,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
8652,NA,NA,1151,NA,1,NA,NA,6,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,1,2,NA,4,4,NA,1,NA,1,NA,39,33,1,4,5,NA,NA,178,26,5,NA,NA,127,347,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,5,NA,1,1,NA,NA,1,2,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8752,NA,NA,1160,NA,NA,NA,1,7,NA,NA,4,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,2,1,NA,1,NA,2,NA,NA,NA,28,40,NA,2,1,NA,NA,236,27,15,NA,NA,71,502,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8850,NA,NA,1169,NA,NA,NA,1,5,1,NA,2,4,NA,6,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,1,NA,NA,1,NA,39,11,1,7,3,NA,NA,255,28,12,NA,NA,85,616,NA,NA,NA,2,1,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
8947,NA,NA,1178,NA,1,NA,1,13,NA,NA,2,13,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,1,2,1,NA,1,NA,43,30,NA,5,4,NA,NA,200,27,13,1,1,65,990,NA,3,NA,2,1,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,NA,6,NA,NA,NA,NA,NA,NA,7,1,6,5,NA,2,NA,NA,3,NA,1,NA,3,NA,NA,1,7,NA,NA,NA,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9042,NA,NA,1187,NA,NA,NA,1,10,2,NA,4,6,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,9,4,NA,1,NA,2,NA,30,19,4,12,4,NA,NA,163,34,24,3,1,116,792,NA,2,NA,NA,2,NA,NA,3,NA,NA,1,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
