"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Apiaceae","Liliaceae","Brassicaceae","Rumex acetosa-type","Poaceae (Cerealia-type)","Plantago major/P. media","Rhinanthus-type","Echium vulgare-type","Unknown","Cistus-type","Lycopodium tablets","Cyperaceae","Plantago lanceolata-type","Olea","Genista-type","Erica undiff.","Erica australis-type","Betula","Poaceae","Quercus ilex-type","Erica tetralix-type","Quercus robur-type","Pinus","Calluna","Erica arborea-type","Pollen concentration","Lycopodium spike","Scrophulariaceae","Alnus","Campanulaceae","Fraxinus excelsior-type","Anthemis-type","Helianthemum-type","Unknown (trilete)","Caryophyllaceae","Cichorioideae","Pistacia","Plantaginaceae","Hypericum perforatum-type","Artemisia","Unknown (monolete)","Ranunculus-type","Gentiana pneumonanthe-type","Sedum-type","Erica umbellata-type","Amaranthaceae","Plantago coronopus-type","Potentilla","Populus","Phillyrea","Asphodelus","Arbutus","Hypecoum","Filipendula","Lotus-type","Frangula","Corrigiola litoralis-type","Aster-type","Poterium sanguisorba","Castanea","Centaurium pulchellum-type","Lamiaceae","Rosaceae","Rubiaceae","Cirsium-type","Urtica-type","Spergula-type","Ilex","Thymelaeaceae","Menyanthes","Acer","Viburnum","Stachys-type","Corylus","Herniaria glabra-type","Epilobium","Sambucus","Valerianella-type","Equisetum","Fabaceae","Centaurea nigra-type","Simethis planifolia","Thesium","Illecebrum verticillatum-type","Montia fontana-type","Myosotis arvensis-type","Cupressaceae","Valeriana officinalis-type","Sparganium","Osmunda","Circaea","Succisa","Hedera","Boraginaceae","Drosera","Melampyrum-type","Viscum","Humulus-type","Vitis","Convolvulaceae","Cystopteris","Linum","Centaurea cyanus-type","Typha (tetrad)","Centaurea scabiosa-type","Teucrium-type","Myriophyllum verticillatum","Persicaria maculosa-type","Lonicera periclymenum-type","Potamogeton","Pedicularis-type","Geranium molle-type","Caltha-type","Juncus","Scabiosa","Knautia","Callitriche","Trollius europaeus-type"
485,NA,NA,18,"0.5","1","4","2","1","1","","","","","","6","3","14","","","1","3","10","197","64","5","9","31","1","23","58","480588.4375","95, 13911","1","1","","2","2","","4","1","3","","","","1","","","","","2","2","","2","1","","","1","","","","","","","1","","","","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
558,NA,NA,19,"0.600000023841858","1","","1","","","1","2","","","2","","3","1","1","","","","7","357","46","6","1","20","2","1","25","723939.8125","49, 13911","","","","","","2","8","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
631,NA,NA,20,"0.600000023841858","","3","1","1","1","1","1","","","2","","3","4","1","","","4","6","433","28","10","6","44","","3","66","809156.5","60, 13911","","2","","","","1","23","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
704,NA,NA,21,"0.800000011920929","3","1","1","","1","","","","","1","","3","4","","2","","2","5","331","16","6","9","19","2","15","53","799412.5625","37, 13911","1","3","","","","4","3","","","","","","1","","","","","1","","1","1","1","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
777,NA,NA,22,"0.5","2","1","1","1","4","1","","","","","2","3","3","","","","3","19","249","31","10","8","26","3","28","36","721577.0625","62, 13911","1","2","","","1","1","9","","","","","","1","1","","1","","2","","","2","","","","","","1","","","","","","","","1","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
849,NA,NA,23,"0.600000023841858","2","3","","","2","","","","","","1","3","7","","","1","1","14","242","37","5","18","22","4","20","71","683761","59, 13911","1","","2","","2","","7","","","","","","1","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
922,NA,NA,24,"0.5","","","2","","","","","","","1","","3","4","1","","1","5","7","327","28","8","11","20","2","15","88","908547.9375","61, 13911","1","","4","","","2","9","1","","","","","","","1","","","4","","","","1","","","","","1","1","1","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
995,NA,NA,25,"0.600000023841858","","1","4","","3","","","","","","","3","3","","","2","3","8","241","19","2","4","16","2","8","75","566702.1875","61, 13911","","1","","","","3","1","1","","","","","","1","","","","2","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1068,NA,NA,26,"0.5","4","","5","","2","3","","","","3","","3","16","","1","2","5","14","229","52","2","16","16","","6","66","323655.9375","139, 13911","1","1","","1","","","16","","","","","","1","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1141,NA,NA,27,"0.600000023841858","6","","4","1","1","","","","","1","","3","19","","","","3","23","157","68","4","7","22","3","6","120","561077","75, 13911","1","1","","","","","21","","","","","","","","","","","2","","","4","","","","","","","1","","","","","","3","","1","","2","","","1","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1213,NA,NA,28,"0.5","14","","2","1","1","","3","","","2","","3","9","","3","","5","10","178","75","","10","12","2","13","105","395962.71875","125, 13911","","","","","2","2","8","2","","","","","1","1","","","","1","","","2","","","","1","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1286,NA,NA,29,"0.600000023841858","5","1","2","","1","","","","","","","3","14","","","","","10","264","58","3","8","22","3","3","111","1054917.5","42, 13911","","","","2","3","1","14","1","","","","","1","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1359,NA,NA,30,"0.5","1","","","1","1","1","","","1","1","1","3","12","","","1","2","7","263","58","8","3","29","3","3","66","433228.28125","105, 13911","5","1","","1","","","13","","","","","","","","","","","","","1","","2","1","","","","1","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1432,NA,NA,31,"0.800000011920929","8","2","","2","","","","","","","1","3","14","","","","5","7","240","78","8","4","24","4","","44","383575.375","68, 13911","1","3","","","1","","16","","","","","","","","","","","1","","1","","","","","1","","","1","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1496,NA,NA,32,"0.600000023841858","5","4","1","1","","","","","","","2","3","17","","","2","2","10","140","88","14","9","44","16","4","69","294053.65625","123, 13911","3","1","","1","","","27","","","","","","","1","","","","1","","1","","2","","","","","1","","","","","","","","1","1","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1557,NA,NA,33,"0.699999988079071","2","7","","","1","","","","","2","","3","20","1","","2","1","10","189","52","12","8","47","17","10","56","410269.90625","76, 13911","","4","2","4","2","2","29","","","","","","2","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","2","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1618,NA,NA,34,"0.5","2","6","2","3","2","1","","","","1","1","3","13","","","3","4","15","172","54","14","13","47","16","6","43","326099.71875","129, 13911","1","2","2","","2","","29","1","","","","","","1","1","3","","2","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1680,NA,NA,35,"0.600000023841858","3","3","1","","1","","","","","1","","3","11","","","1","3","10","128","49","12","15","55","15","10","39","282084.15625","108, 13911","1","1","","1","1","","13","","","","","","","1","1","","","1","","","2","","","","","","","","","","1","","","2","1","","","","","","1","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1741,NA,NA,36,"0.5","4","5","","1","","","1","","","2","2","3","13","","","1","6","27","122","76","31","17","56","27","33","51","272386.34375","186, 13911","","1","","1","","","37","","","","","","1","","","","","1","1","","","1","","1","","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1802,NA,NA,37,"0.600000023841858","4","3","","","","1","","","","2","","3","7","","","","5","25","146","33","19","21","52","22","73","38","844206.75","51, 13911","","1","","5","2","","10","","","","","","","","","","","1","","","1","","1","","","","","","1","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1863,NA,NA,38,"0.699999988079071","3","3","","2","3","1","","","","","","3","9","1","","3","5","42","120","74","29","13","54","23","50","50","547331.625","72, 13911","1","4","","1","1","","19","1","","","","","","1","1","","","1","1","","","","2","","2","","","","1","","","","","","1","","","1","","","3","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1925,NA,NA,39,"0.800000011920929","5","5","","","1","","","1","","","1","3","16","","","2","3","25","99","96","10","9","54","18","10","44","333061.4375","78, 13911","","1","1","3","1","3","24","","1","","","","2","","1","1","","2","","1","","","","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2147,NA,NA,40,"0.699999988079071","2","6","","1","2","","","","","2","","3","18","","2","3","1","23","80","80","20","5","47","18","11","37","239568.203125","109, 13911","1","","4","","2","2","13","","","","","","1","1","","4","","2","","","1","","2","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2422,NA,NA,41,"0.899999976158142","4","6","1","","5","","","","","4","","3","23","","","2","4","21","84","67","10","13","59","34","8","68","235901.75","103, 13911","1","3","","","3","","24","1","","","1","","","","1","1","","1","","","3","","4","","","","","","","","","","","","","1","","","2","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2697,NA,NA,42,"0.5","3","10","1","1","5","1","","","1","1","","3","11","","1","","2","40","79","81","12","11","70","34","2","40","236487","180, 13911","2","3","2","","","","23","1","","","","","","1","","1","","1","","","1","1","3","1","","","","1","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2973,NA,NA,43,"0.800000011920929","4","12","2","","1","","","","","3","1","3","24","","","2","4","25","87","73","17","10","64","30","4","52","239294.71875","109, 13911","","3","3","2","1","","14","","","1","","","1","","","","","","1","","","","2","","","","","1","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3248,NA,NA,44,"0.600000023841858","1","3","1","","3","","","","","1","1","3","8","","","3","7","17","148","72","18","4","40","28","12","47","327623.5625","107, 13911","","1","","1","","","8","","","","","","1","2","1","","1","1","","","","","","","","1","","1","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3523,NA,NA,45,"0.800000011920929","5","2","1","","2","","","","","2","","3","12","","","1","1","3","210","86","6","1","36","20","1","70","852048.75","33, 13911","1","2","1","","1","","4","","","","","","","","","1","","","","","10","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3799,NA,NA,46,"0.5","3","1","","","","","","","","","","3","27","","1","","2","14","135","111","12","5","29","26","7","66","672786.5625","66, 13911","","1","1","1","","1","9","","1","","","","","1","","1","","","","1","9","2","","","1","","","1","","","","","","","","3","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4074,NA,NA,47,"0.800000011920929","6","2","1","","","","","","","1","","3","13","","","6","3","10","175","95","8","6","45","28","7","63","932261.375","31, 13911","","","","","2","","11","","","","","","","","","","1","","","2","1","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4350,NA,NA,48,"0.600000023841858","7","1","3","","","","","","","1","1","3","19","","","2","4","6","158","86","8","1","27","23","6","66","821411.4375","42, 13911","","1","","2","1","","9","1","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","2","","","2","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4625,NA,NA,49,"0.800000011920929","3","","1","","1","","1","","","2","1","3","4","","","","5","2","212","45","6","","34","27","2","151","1632058.375","21, 13911","","","","1","","","1","","","","1","","","","","","","","","","1","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4900,NA,NA,50,"0.600000023841858","","3","","","","","","","","","1","3","19","","","","","7","225","55","6","5","41","27","6","178","978828.5625","55, 13911","","4","1","","","9","5","2","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5176,NA,NA,51,"0.899999976158142","","2","","","","","","","","1","2","3","6","","1","2","6","9","297","14","19","2","52","53","5","147","671943.4375","55, 13911","1","","1","","1","","9","2","","","","","2","1","","","","","","","3","","1","","","","","1","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5451,NA,NA,52,"0.600000023841858","1","1","","","","","","","","","","3","19","","","","1","55","228","40","11","10","73","89","2","64","506557.125","99, 13911","","2","","1","1","1","13","","","","","","2","2","","","","","","","2","1","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
5537,NA,NA,53,"0.800000011920929","","1","2","1","","","1","","","1","","3","14","1","1","1","","20","104","90","17","6","50","69","1","43","525921","49, 13911","2","2","","1","2","","83","","","","","","1","","","","1","1","","","","","","1","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5560,NA,NA,54,"0.600000023841858","1","6","1","","2","","","","","","2","3","23","","","","9","22","83","89","22","3","45","87","3","30","292247.90625","119, 13911","5","1","1","2","","2","81","","1","","","","3","","2","","","","2","","","","","1","","","","","","","","","","","1","1","","","2","","","","","","","1","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5583,NA,NA,55,"0.800000011920929","1","6","","","","","","","","","1","3","53","","1","7","","7","118","214","14","1","36","40","1","12","1115904.125","23, 13911","2","","","4","1","3","11","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5607,NA,NA,56,"0.699999988079071","2","8","","1","2","","","","","1","3","3","30","","1","10","1","17","124","123","14","3","54","61","6","26","580437.4375","53, 13911","","3","","","","","21","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
5630,NA,NA,57,"0.800000011920929","1","5","1","","","","","","","2","","3","20","","3","4","","3","153","111","13","1","42","47","2","20","1551076.5","15, 13911","2","","","1","","2","11","","","","","1","","1","","","","","","","","1","","","","","","","2","","","","","","","1","1","","","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5653,NA,NA,58,"0.699999988079071","3","4","1","","3","","","","","1","","3","13","","1","5","2","4","167","113","21","3","26","63","2","45","604059.875","53, 13911","1","1","","1","1","1","21","","","","","","","4","","","3","1","","","","1","","","","","1","","1","","","","","","1","2","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5676,NA,NA,59,"0.600000023841858","1","","3","","","","","","1","1","","3","18","","1","8","","3","163","111","22","4","44","84","3","45","690668.9375","57, 13911","","2","2","","","2","15","1","","","","1","","","","","3","","","","1","1","","","","","","","","","1","1","","","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5722,NA,NA,61,"0.899999976158142","3","4","","1","2","","","","","1","","3","18","","1","7","4","12","186","92","15","2","26","84","","34","539667.875","47, 13911","1","","","","2","1","13","2","2","","","","1","4","1","","","","","","1","","1","","","","2","1","","","","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","",""
5745,NA,NA,62,"0.600000023841858","","2","1","1","1","","1","1","","","","3","21","","1","2","2","16","173","69","18","4","42","77","3","56","549677.6875","72, 13911","","3","1","1","1","3","22","","","","","","1","2","1","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","2","","","","","","","","1","1","","","","","","","","","","","","","","","","","","",""
5768,NA,NA,63,"0.699999988079071","","","2","","","","","","","1","1","3","22","","","3","2","4","165","120","9","1","32","50","3","42","973128.9375","31, 13911","2","2","2","2","","","20","1","","","","","","1","1","","1","","","","3","1","","","","","","","","","","1","","","","","","","","","1","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
5791,NA,NA,64,"0.600000023841858","1","4","","","2","","","","","2","1","3","23","","","2","","4","174","67","15","2","42","72","2","110","1114663.5","39, 13911","","","","","1","","11","","","","","1","1","","","","1","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","",""
5814,NA,NA,65,"0.699999988079071","5","2","2","","","","","","","","","3","14","","","3","2","","209","86","14","2","43","84","4","55","895807.25","39, 13911","","","","","","2","13","","1","","","1","1","2","","","","","","","3","1","","","","","","","1","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
5908,NA,NA,66,"0.600000023841858","2","1","","","2","","","","","1","","3","24","","","2","","10","200","69","16","3","30","108","1","81","691202.8125","64, 13911","","2","","","","1","18","","1","","","","","3","","1","","1","","","","4","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
6026,NA,NA,67,"0.800000011920929","","2","6","","","","1","","","4","","3","21","","","2","2","2","223","58","9","1","43","99","2","58","591886.3125","52, 13911","5","1","2","1","","1","15","","2","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","",""
6143,NA,NA,68,"0.600000023841858","1","1","1","1","3","","","","","","1","2","30","","","1","1","3","148","100","13","4","39","143","5","84","499427.71875","61, 13911","","1","3","","","","9","","","","","","1","","","","","","","","","","","","","","","","1","","2","1","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
6261,NA,NA,69,"0.699999988079071","1","","1","","2","","","","","","2","3","22","","1","4","1","1","156","93","8","","29","103","3","28","980622.6875","29, 13911","2","2","","","1","","13","","","","","","1","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
6378,NA,NA,70,"0.699999988079071","","1","2","2","4","","1","","","1","1","2","22","","","1","5","10","140","95","18","2","45","88","2","10","756758.375","25, 13911","4","","1","","","","6","","","","","","","1","1","1","","","1","1","","2","","","","","1","1","1","","","","","","","1","","","","","","","","","","3","","","","1","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
6496,NA,NA,71,"0.699999988079071","3","1","1","","","","","","","","1","3","30","","","4","","4","147","131","16","1","45","93","1","6","2389711","12, 13911","2","","1","1","","2","16","","","","","","","","1","","1","","","","1","","","","","","","","1","","","1","","","","","","","","","","","","","","2","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
6613,NA,NA,72,"0.699999988079071","3","2","","1","3","","","","","","1","2","43","","","1","","","152","131","19","","38","99","1","2","751988.9375","25, 13911","1","1","1","1","2","1","11","","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","",""
6731,NA,NA,73,"0.699999988079071","","1","2","","1","","1","","","1","3","3","32","","1","","","","133","118","9","","54","126","1","11","481756.53125","62, 13911","","1","3","1","10","1","3","","1","","","","1","3","10","","1","","","","2","","","","","","2","1","","","","","","","","","","","1","","","","","","","","1","","","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6848,NA,NA,74,"0.699999988079071","3","","1","","","","1","1","","3","","2","32","","","1","","1","137","91","24","","36","100","","14","669788.875","27, 13911","1","1","1","","10","2","8","","","","","","","4","9","1","","2","","","","3","","","","","1","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","","","","","","","","","","1","","","","","","","","","","","",""
6966,NA,NA,75,"0.699999988079071","1","6","1","","1","","","","","","2","3","20","","","2","","1","212","55","13","","39","74","","7","158361.828125","160, 13911","","","1","","2","","15","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
