"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Lamiaceae","Pinus halepensis-type","Plantago coronopus-type","Cistus monspeliensis","Quercus canariensis","Unknown (trilete)","Apiaceae","Fraxinus","Myrtus communis","Asteroideae","Poaceae","Erica arborea","Quercus coccifera","Olea europaea","Quercus suber","Caryophyllaceae","Alnus glutinosa","Polygalaceae","Arbutus unedo","Amaranthaceae","Cyperaceae","Salix","Typhaceae","Unknown (monolete)","Asphodelus","Lythrum","Thymelaeaceae","Hypericum","Myriophyllum","Ephedra","Persicaria maculosa-type","Fabaceae","Corylus","Typha latifolia","Viburnum","Acanthus","Pinus pinaster-type","Campanulaceae"
320,NA,NA,50,2,NA,5,NA,NA,NA,6,NA,8,10,10,12,37,47,NA,75,2,NA,NA,NA,NA,NA,8,10,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,NA,55,8,NA,NA,NA,10,NA,6,NA,4,24,12,12,44,42,NA,80,NA,4,NA,2,NA,4,NA,12,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,NA,60,2,NA,NA,NA,2,NA,NA,4,NA,7,6,25,16,30,7,63,4,NA,NA,NA,NA,3,1,25,3,1,1,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA
386,NA,NA,65,3,1,2,1,1,NA,3,5,NA,2,16,26,15,23,1,62,2,NA,NA,NA,NA,2,1,26,NA,2,1,NA,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA
407,NA,NA,70,NA,NA,3,1,2,NA,4,10,3,2,5,25,12,25,5,88,2,1,NA,NA,4,5,NA,25,NA,1,1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA
429,NA,NA,75,6,1,1,6,7,2,1,10,NA,6,5,26,24,33,2,101,NA,NA,NA,NA,5,8,NA,26,NA,NA,NA,1,2,1,NA,22,2,NA,NA,NA,NA,NA,NA
451,NA,NA,80,1,NA,1,2,2,NA,3,10,NA,2,6,38,21,31,2,84,NA,NA,2,NA,2,9,NA,38,1,3,NA,NA,NA,1,1,18,1,NA,NA,NA,NA,NA,NA
473,NA,NA,85,8,NA,2,NA,4,NA,NA,12,NA,NA,4,18,36,40,NA,125,4,2,4,NA,NA,NA,2,18,NA,2,NA,NA,NA,NA,2,16,NA,NA,NA,NA,NA,NA,NA
494,NA,NA,90,NA,2,6,1,6,1,1,11,NA,2,7,19,53,30,1,131,NA,1,4,NA,NA,NA,4,34,NA,1,NA,5,1,NA,1,27,NA,3,NA,NA,NA,NA,NA
516,NA,NA,95,1,NA,4,1,1,NA,NA,6,NA,NA,4,19,32,19,NA,50,1,NA,NA,1,2,1,1,129,NA,NA,NA,3,3,1,NA,55,NA,1,NA,NA,NA,NA,NA
538,NA,NA,100,3,4,NA,2,4,NA,4,4,NA,NA,9,10,42,13,NA,52,2,NA,2,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
596,NA,NA,105,NA,2,2,NA,NA,NA,NA,NA,NA,NA,10,20,30,20,NA,68,NA,NA,2,2,2,NA,NA,60,NA,2,NA,NA,NA,NA,NA,48,NA,2,NA,NA,NA,NA,NA
654,NA,NA,110,1,NA,2,1,4,NA,2,5,NA,NA,1,15,25,17,NA,45,NA,NA,1,1,1,NA,1,80,NA,1,NA,NA,NA,NA,NA,32,NA,1,NA,NA,NA,NA,NA
711,NA,NA,115,2,NA,2,2,6,1,4,8,NA,NA,NA,20,24,30,2,59,NA,NA,2,2,2,NA,2,60,NA,2,NA,NA,NA,NA,NA,24,NA,2,NA,NA,NA,NA,NA
769,NA,NA,120,1,NA,5,1,4,NA,1,3,NA,NA,7,47,40,63,5,36,NA,2,NA,NA,4,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
827,NA,NA,125,6,NA,6,8,7,NA,NA,9,NA,3,13,30,60,30,NA,23,1,NA,1,1,1,1,NA,75,NA,NA,NA,1,NA,4,4,15,NA,1,NA,NA,NA,NA,NA
884,NA,NA,130,3,1,1,6,14,NA,4,2,NA,NA,23,28,130,24,5,13,2,NA,NA,4,NA,4,NA,24,NA,NA,NA,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA
942,NA,NA,135,2,NA,1,5,10,NA,2,2,NA,1,20,25,90,23,4,15,1,NA,NA,3,NA,3,NA,22,NA,NA,NA,1,NA,4,NA,2,NA,1,NA,NA,NA,NA,NA
1000,NA,NA,140,3,2,5,20,15,NA,2,2,NA,NA,10,29,100,7,8,45,1,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
1058,NA,NA,145,5,NA,1,5,9,NA,2,3,NA,2,14,14,60,18,6,50,2,NA,NA,NA,6,3,NA,7,NA,NA,NA,NA,NA,110,NA,NA,1,1,NA,NA,NA,NA,NA
1115,NA,NA,150,7,NA,2,9,7,1,6,2,NA,3,16,35,71,47,8,94,NA,1,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
1173,NA,NA,155,5,NA,1,4,5,NA,2,1,NA,2,10,25,65,50,5,80,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,50,NA,NA,NA,1,NA,NA,NA,NA,NA
1231,NA,NA,160,4,1,5,NA,3,5,4,4,NA,4,6,9,58,83,13,172,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1289,NA,NA,165,1,NA,1,2,NA,2,NA,3,NA,7,5,3,48,78,13,153,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1346,NA,NA,170,1,NA,1,3,NA,NA,NA,2,NA,8,4,2,45,79,11,120,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1404,NA,NA,175,5,NA,1,NA,1,2,2,1,NA,9,5,9,37,70,21,114,1,NA,1,NA,2,NA,3,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1462,NA,NA,180,3,NA,1,NA,2,NA,1,1,NA,13,NA,4,15,54,16,95,NA,NA,NA,NA,1,NA,1,3,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
1520,NA,NA,185,4,NA,2,NA,3,NA,NA,1,NA,15,4,8,30,68,15,100,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
1577,NA,NA,190,NA,NA,NA,2,4,3,2,10,NA,19,10,9,16,50,15,138,3,NA,NA,NA,2,NA,12,2,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1635,NA,NA,195,4,NA,NA,NA,2,NA,3,13,NA,NA,4,8,10,35,2,76,1,NA,NA,NA,2,NA,57,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1693,NA,NA,200,2,NA,3,2,4,NA,1,21,NA,15,8,62,17,32,12,110,6,NA,1,NA,2,NA,260,36,NA,NA,5,1,1,1,1,1,4,NA,1,1,1,4,NA
1751,NA,NA,205,4,NA,2,2,2,2,NA,20,NA,9,7,20,30,80,7,104,NA,NA,NA,NA,2,NA,210,9,NA,NA,NA,2,NA,9,NA,2,7,NA,NA,NA,NA,NA,NA
1808,NA,NA,210,1,1,4,1,NA,NA,1,8,NA,2,8,27,26,56,10,86,2,NA,NA,NA,4,NA,61,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,NA,215,1,NA,2,1,2,2,NA,4,NA,2,5,25,19,35,6,58,1,NA,NA,NA,3,NA,42,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,220,8,1,1,1,6,NA,3,9,NA,5,3,31,8,46,7,67,5,1,3,NA,2,NA,3,5,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,10,NA
1982,NA,NA,225,2,NA,1,NA,2,3,NA,7,NA,NA,2,12,7,70,9,96,NA,3,2,NA,2,1,2,2,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,5,NA
2039,NA,NA,230,2,NA,1,2,3,6,1,8,NA,13,8,16,7,73,16,94,NA,1,NA,1,2,NA,3,8,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA
2097,NA,NA,235,4,NA,2,2,NA,15,2,10,NA,4,9,13,12,72,10,80,NA,NA,4,NA,2,NA,2,4,NA,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA
2155,NA,NA,240,6,NA,4,1,NA,33,3,12,NA,6,7,16,3,47,13,56,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA
2212,NA,NA,245,5,NA,3,NA,NA,28,3,24,NA,11,4,21,8,40,13,57,NA,NA,1,NA,5,NA,3,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2270,NA,NA,250,4,NA,NA,2,NA,26,2,8,NA,40,6,19,8,22,16,42,NA,NA,6,NA,2,NA,4,NA,NA,2,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA
2328,NA,NA,255,3,NA,4,NA,NA,40,3,16,NA,17,6,20,7,22,15,50,NA,1,4,NA,2,1,3,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2386,NA,NA,260,3,NA,1,2,NA,48,3,12,NA,21,NA,25,12,36,25,66,3,NA,NA,NA,9,NA,6,3,NA,NA,NA,NA,NA,NA,6,NA,2,6,NA,NA,NA,7,NA
2443,NA,NA,265,2,NA,2,1,NA,30,1,6,NA,6,2,22,15,32,25,48,2,NA,NA,NA,14,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,1,4,NA,NA,NA,11,NA
2501,NA,NA,270,7,NA,NA,4,NA,26,NA,9,NA,21,5,22,5,22,16,56,NA,NA,NA,1,10,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2559,NA,NA,275,4,NA,2,NA,2,37,NA,13,NA,10,9,20,3,33,18,67,3,2,2,NA,2,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,2,NA,NA
2617,NA,NA,280,2,NA,2,NA,NA,32,2,28,NA,16,2,44,4,24,28,72,2,NA,NA,NA,6,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2
2674,NA,NA,285,6,NA,2,NA,NA,56,4,30,NA,18,2,48,6,22,32,36,2,NA,NA,NA,NA,10,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,4
2790,NA,NA,295,2,NA,NA,NA,NA,52,4,26,NA,10,4,36,12,10,22,40,6,2,NA,NA,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2848,NA,NA,300,2,NA,2,NA,NA,60,6,30,NA,8,2,42,18,8,32,50,4,2,4,NA,2,4,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2905,NA,NA,305,6,NA,2,NA,3,60,3,36,NA,9,3,24,9,21,18,45,12,NA,NA,NA,3,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,12,NA
2963,NA,NA,310,4,NA,1,NA,2,47,2,25,NA,7,2,16,6,15,12,30,9,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,9,NA
3021,NA,NA,315,3,NA,2,1,2,95,1,21,NA,3,8,42,7,41,28,52,8,1,7,NA,1,2,2,22,1,NA,NA,4,NA,3,NA,NA,NA,NA,NA,2,NA,13,NA
3079,NA,NA,320,2,NA,1,NA,1,83,NA,15,NA,2,5,39,6,37,29,48,7,1,3,NA,NA,1,1,18,1,NA,NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,9,NA
3136,NA,NA,325,NA,NA,1,NA,1,90,1,19,NA,2,7,40,5,39,26,50,7,1,6,NA,1,1,1,19,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,14,NA
3194,NA,NA,330,2,NA,2,NA,1,105,2,18,NA,7,8,32,5,45,18,52,6,NA,1,NA,1,1,NA,21,NA,1,NA,3,NA,1,NA,NA,1,NA,NA,3,NA,13,1
3252,NA,NA,335,1,NA,1,NA,1,95,1,15,NA,4,5,27,3,40,15,45,3,NA,1,NA,1,1,NA,18,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,11,1
3310,NA,NA,340,10,NA,1,1,1,175,NA,48,NA,7,9,40,12,36,25,88,7,1,3,NA,5,3,5,38,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,1,2,14,NA
3367,NA,NA,345,3,NA,1,1,1,120,NA,35,NA,6,6,10,5,25,15,75,6,1,1,NA,3,1,2,35,2,NA,NA,2,NA,1,NA,NA,NA,1,NA,1,1,6,NA
3425,NA,NA,350,1,NA,NA,1,1,115,NA,32,NA,4,4,8,3,20,13,73,4,1,1,NA,1,1,1,30,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,3,NA
3483,NA,NA,355,8,NA,1,NA,8,120,1,16,NA,15,8,36,9,14,56,36,18,NA,NA,NA,8,1,2,6,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,7,NA
3541,NA,NA,360,10,NA,2,1,3,88,NA,21,NA,18,17,42,9,43,32,55,28,4,5,NA,4,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
3598,NA,NA,365,13,NA,1,2,5,144,4,25,NA,17,27,83,18,35,64,98,30,2,4,NA,12,NA,1,NA,2,NA,NA,3,NA,3,NA,NA,1,4,NA,1,NA,7,NA
3656,NA,NA,370,10,NA,2,1,6,95,2,19,NA,16,15,30,10,24,40,30,20,1,2,NA,10,1,1,1,1,1,NA,2,NA,1,NA,NA,1,2,NA,NA,NA,6,NA
3714,NA,NA,375,10,NA,3,1,4,88,4,20,NA,15,13,30,12,22,30,45,15,1,4,NA,10,1,1,1,1,1,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA
3771,NA,NA,380,9,NA,4,2,3,102,3,19,NA,13,14,35,13,23,25,50,20,2,2,NA,9,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA
3829,NA,NA,385,12,NA,4,NA,5,75,2,25,NA,12,9,28,18,19,28,35,13,3,NA,NA,7,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA
3887,NA,NA,390,8,NA,3,1,6,92,NA,15,NA,10,17,29,15,25,25,36,12,NA,1,NA,7,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,1,NA
3945,NA,NA,395,7,NA,2,NA,2,95,1,18,NA,11,12,40,10,20,19,55,22,3,1,NA,8,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
4002,NA,NA,400,9,NA,5,1,8,120,NA,30,NA,14,13,62,13,32,27,82,20,4,NA,NA,6,1,1,1,2,1,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA
4060,NA,NA,405,10,NA,4,NA,5,82,1,22,NA,16,10,25,19,19,15,32,13,1,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
4118,NA,NA,410,11,NA,1,2,3,100,2,13,NA,13,11,28,10,18,18,50,15,1,NA,NA,3,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA
4176,NA,NA,415,7,NA,4,NA,2,75,NA,13,NA,3,15,50,14,23,21,37,3,NA,2,NA,10,NA,NA,2,NA,3,NA,NA,NA,5,NA,NA,1,NA,NA,3,NA,2,NA
4233,NA,NA,420,10,NA,1,2,2,61,3,17,NA,19,17,48,14,27,20,41,2,1,2,NA,8,3,NA,12,NA,1,NA,3,NA,1,NA,NA,4,NA,NA,NA,NA,3,NA
4291,NA,NA,425,14,NA,4,4,3,75,1,23,NA,16,18,57,11,27,32,59,4,NA,NA,NA,4,NA,NA,12,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA
4349,NA,NA,430,6,NA,3,1,1,65,NA,6,NA,23,6,21,16,7,28,40,5,2,NA,NA,NA,NA,1,10,NA,NA,NA,NA,3,1,3,NA,4,NA,NA,NA,NA,1,NA
4407,NA,NA,435,14,NA,1,3,2,55,NA,14,NA,10,10,50,10,6,15,45,10,NA,3,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,10,NA,2,NA,NA,1,2
4464,NA,NA,440,20,NA,NA,6,2,50,NA,20,NA,6,19,49,6,4,10,35,15,NA,4,NA,11,1,NA,2,1,NA,NA,2,1,NA,2,NA,15,NA,NA,NA,NA,NA,NA
4522,NA,NA,445,32,1,NA,7,1,22,NA,31,NA,3,22,75,4,3,9,15,21,NA,4,NA,18,NA,NA,1,NA,NA,NA,1,1,NA,2,NA,19,NA,2,NA,NA,NA,NA
4580,NA,NA,450,29,2,NA,8,1,20,1,30,NA,2,21,71,4,4,7,16,19,NA,5,NA,16,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,12,NA,3,1,2,NA,NA
4638,NA,NA,455,31,NA,NA,10,1,23,1,31,NA,2,25,82,5,6,8,20,21,NA,7,NA,26,NA,NA,1,NA,1,NA,2,NA,NA,1,1,11,NA,NA,NA,4,NA,1
4695,NA,NA,460,29,NA,1,5,1,25,NA,30,NA,1,22,90,4,5,6,20,19,NA,3,NA,20,NA,NA,1,NA,NA,NA,1,2,1,NA,1,10,NA,2,NA,NA,1,NA
4753,NA,NA,465,28,NA,NA,4,NA,23,1,29,NA,NA,24,87,3,6,7,19,20,NA,2,NA,19,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,5,NA,2,NA,1,NA,NA
4811,NA,NA,470,22,1,NA,10,1,20,NA,35,NA,1,20,85,5,5,5,17,18,NA,NA,NA,20,NA,NA,2,NA,NA,NA,1,1,1,2,1,7,NA,4,NA,NA,NA,1
4869,NA,NA,475,21,NA,1,8,1,40,2,15,NA,NA,16,50,9,7,10,30,10,NA,1,NA,10,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,6,NA,2,NA,NA,NA,NA
4926,NA,NA,480,10,NA,1,3,1,62,1,13,NA,1,15,20,7,3,15,25,9,NA,NA,NA,8,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,1,1,NA
4984,NA,NA,485,14,NA,NA,NA,NA,82,NA,12,NA,NA,17,22,12,6,12,30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
5042,NA,NA,490,12,NA,NA,2,NA,84,NA,11,NA,NA,16,17,10,4,10,17,8,NA,2,NA,4,NA,NA,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
5099,NA,NA,495,9,NA,NA,2,NA,100,3,11,NA,NA,12,21,8,5,9,15,5,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2
5157,NA,NA,500,8,NA,NA,3,2,105,2,9,NA,1,10,13,5,6,10,24,NA,NA,2,NA,3,3,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5215,NA,NA,505,11,1,NA,2,NA,120,4,14,NA,1,9,16,10,6,8,20,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
5273,NA,NA,510,15,NA,NA,2,NA,123,NA,15,NA,NA,9,23,10,4,7,28,3,NA,2,NA,6,NA,3,4,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
5330,NA,NA,515,12,NA,NA,NA,2,111,2,12,NA,2,8,21,15,4,NA,20,NA,NA,1,NA,NA,NA,NA,3,NA,4,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
5388,NA,NA,520,10,NA,NA,NA,NA,103,NA,11,NA,4,10,19,8,4,8,13,3,NA,1,NA,NA,5,2,4,NA,4,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
5446,NA,NA,525,10,NA,NA,8,NA,123,2,18,NA,NA,5,30,8,8,NA,20,NA,NA,NA,NA,4,10,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5504,NA,NA,530,9,NA,NA,5,4,99,NA,14,NA,6,12,26,5,10,4,22,7,NA,NA,NA,1,11,NA,2,NA,2,NA,2,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
5561,NA,NA,535,6,NA,NA,2,NA,113,NA,9,NA,NA,12,23,NA,5,8,15,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5619,NA,NA,540,3,NA,NA,1,NA,120,3,10,NA,2,13,20,2,2,NA,20,4,NA,NA,NA,1,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5677,NA,NA,545,NA,NA,NA,NA,2,113,4,12,NA,2,10,23,6,2,4,19,NA,NA,NA,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
5735,NA,NA,550,NA,NA,NA,NA,NA,100,NA,13,NA,NA,19,30,4,3,3,20,NA,NA,NA,NA,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5792,NA,NA,555,2,NA,NA,1,4,112,3,14,NA,NA,12,19,5,2,2,16,2,NA,NA,NA,1,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5850,NA,NA,560,NA,NA,NA,NA,NA,130,5,8,NA,NA,13,24,3,3,NA,10,1,NA,NA,NA,2,4,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
