Depth (cm) [cm],Sample Age (cal yr BP) [cal yr BP],Adansonia digitata,Alchornea,Anacardiaceae undiff.,Anthostema-type,Antidesma-type,Bridelia-type,Casuarina equisetifolia-type,Combretaceae undiff.,Commiphora africana-type,Celtis,Detarium,Dictyandra,Diospyros,Dombeya-type,Ebenaceae undiff.,Erythrococca-type,Ficus,Hymenocardia,Hymenodictyon-type,Ixora-type,Khaya-type senegalensis,Lannea-type,Lophira,Macaranga-type,Mallotus-type,Mitragyna-type inermis,Musanga-type,Myrianthus-type,Morelia senegalensis,Prosopis-type africana,Salvadora persica-type,Syzygium-type,Tamarix,Uapaca,Vitellaria-type paradoxa,Zanthoxylum-type zanthoxyloides,Acacia,Allophylus,Capparis fascicularis-type,Celastraceae undiff.,Clematis-type,Cissampelos-type,Ephedra,Pavetta,Periploca,Salacia,Sapindaceae undiff.,Sapotaceae undiff.,Tabernaemontana,Tetracera,Tapinanthus-type,Cocculus,Paullinia pinnata,Tinospora,Elaeis guineensis,Phoenix reclinata-type,Acalypha,Amaranthaceae/Chenopodiaceae undiff.,Aeschynomene,Apiaceae undiff.,Apocynaceae undiff.,Asteraceae undiff.,Caryophyllaceae undiff.,Cichorieae undiff.,Hibiscus,Ipomoea-type,Justicia-type,Polygala-type,Rubiaceae undiff.,Solanum-type,Suaeda,Triumfetta-type,Undetermined,Achyranthes-type aspera,Aerva-type lanata,Alternanthera,Basilicum-type polystachyon,Celosia-type trigyna,Centaurea-type,Cerastium-type,Chenopodium-type,Cleome-type gynandra,Commelina-type benghalensis,Commelina-type forskalaei,Gomphrena,Hygrophila,Justicia-type flava,Mitracarpus villosus,Poaceae undiff.,Polycarpaea-type,Polycarpon-type,Spermacoce-type radiata,Tribulus,Convolvulus-type,Cyperaceae undiff.,Laurembergia tetrandra,Ludwigia-type stolonifera,Nymphaea,Potamogeton,Polygonum,Typha,Monoletes undiff.,Triletes undiff.,Lygodium,Monolètes à épines et non lisses autres,Fungi undiff.,Algae undiff.,Botryoccocus,Coelastrum,Pediastrum,Scenedesmus cf naegeli,Tetraedron
245.5,2692,1,62,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,1,0,0,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,0,1,0,0,0,0,0,0,11,232,0,1,10,0,0,58,0,0,0,0,1,34,24,0,0,0,6,0,104,20,246,0,508
250.5,2765,0,87,0,1,1,2,0,6,0,10,2,0,0,0,0,0,1,0,0,0,0,5,0,13,1,2,0,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,18,0,0,0,0,0,0,0,1,0,1,2,0,10,0,0,0,1,0,0,0,0,0,0,1,0,16,396,1,0,12,0,0,112,0,0,1,0,0,61,41,0,2,0,4,0,108,151,366,0,334
255.5,2841,0,63,0,4,0,0,0,5,2,8,0,0,0,0,0,0,4,0,0,0,0,5,0,21,0,0,0,1,1,0,0,10,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,5,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,231,0,0,0,0,0,64,0,0,0,0,1,34,27,0,7,0,4,0,25,79,424,0,1672
260.5,2918,0,100,0,1,0,0,0,9,1,6,0,0,2,0,0,0,0,1,0,0,0,0,0,16,1,1,0,0,2,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,6,0,0,0,12,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,12,349,1,0,16,0,0,83,0,0,2,0,0,48,22,10,0,0,0,0,181,380,532,0,950
265.5,2987,0,91,0,2,0,2,0,6,1,6,2,1,0,0,0,0,1,2,0,1,0,7,0,19,0,1,0,1,1,0,0,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11,0,0,5,0,0,0,16,0,0,0,0,0,0,1,0,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,13,365,0,0,20,0,0,127,0,0,0,0,2,30,39,0,5,0,4,0,116,430,663,0,372
270.5,3059,0,63,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,19,0,0,0,1,0,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,218,0,1,10,0,0,50,0,0,0,0,0,5,35,3,0,0,9,0,25,14,77,0,1808
275.5,3135,0,62,0,5,1,0,0,3,0,3,0,1,0,0,0,0,2,0,2,0,0,4,0,13,1,0,0,1,0,0,0,10,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,7,175,0,0,4,0,0,35,1,0,0,0,0,4,15,0,3,0,6,0,9,117,254,0,2430
280.5,3212,0,40,0,9,0,0,0,7,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,19,0,2,0,0,0,0,0,7,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,6,0,0,0,1,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,2,0,0,0,0,5,222,0,0,5,0,0,47,0,0,0,0,0,4,22,0,10,0,12,0,26,1247,869,3,379
285.5,3280,1,40,0,0,1,4,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,34,0,5,0,0,2,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,9,246,0,0,10,0,0,44,0,0,1,0,0,5,15,0,7,0,2,0,104,3513,3165,0,4730
290.5,3356,0,33,0,0,0,0,0,4,0,4,1,0,0,0,0,1,1,0,2,0,0,2,0,18,1,1,0,1,2,0,0,9,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,180,0,0,6,0,0,30,0,0,1,0,0,2,17,0,5,0,7,0,10,250,470,0,435
295.5,3418,0,33,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,25,0,3,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,9,208,0,0,4,0,0,18,0,0,0,0,0,0,16,1,0,0,4,0,8,159,578,0,5344
300.5,3489,0,32,0,4,0,0,0,6,1,5,0,0,0,0,0,0,2,0,0,0,0,1,0,17,2,0,0,1,3,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,213,1,0,5,0,0,30,1,0,0,0,1,1,16,0,12,0,7,0,40,296,586,0,552
306.5,3541,0,33,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,28,1,3,1,0,2,0,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,159,0,0,6,1,0,37,0,0,1,0,0,5,6,0,14,0,1,0,34,531,942,0,1019
310.5,3599,0,31,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,12,1,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,0,0,2,0,0,29,0,0,0,1,1,2,24,7,0,0,8,0,29,384,509,0,711
315.5,3641,0,24,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,19,1,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,159,0,0,2,0,0,30,0,0,0,0,0,0,14,0,8,0,0,0,12,273,473,0,1231
320.5,3677,0,39,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,2,0,0,2,3,0,0,26,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,210,0,0,4,0,0,35,0,0,0,0,0,1,26,6,0,0,13,0,10,75,622,0,551
325.5,3718,0,31,0,3,0,0,0,4,0,1,0,0,0,0,0,0,2,2,1,0,0,1,0,17,0,0,0,0,0,0,0,14,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,218,0,0,4,0,0,37,0,0,0,0,0,1,22,0,6,0,8,0,29,374,340,0,701
330.5,3755,0,60,0,3,3,0,0,15,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,38,0,2,0,1,2,0,0,7,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,424,1,0,3,0,0,68,0,0,3,0,0,4,30,0,31,0,12,0,80,520,670,0,30
335.5,3796,0,30,0,2,0,0,0,5,0,2,1,0,0,0,0,0,1,1,3,0,0,0,0,28,1,0,0,3,1,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,8,284,0,0,7,0,0,76,0,0,0,0,0,,30,0,25,0,5,0,20,310,517,0,91
340.5,3836,0,43,0,0,0,1,0,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,30,0,0,0,2,0,0,0,7,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,223,0,1,1,0,0,46,0,0,1,0,0,1,32,0,12,0,10,0,17,335,525,0,0
345.5,3877,0,39,0,0,1,2,0,5,0,0,1,2,0,0,0,0,2,0,0,0,0,1,2,24,1,1,0,3,0,0,1,11,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,4,235,0,0,6,0,0,66,1,0,0,0,0,0,39,7,0,0,2,0,21,151,377,0,0
350.5,3919,0,47,0,1,0,0,0,10,0,3,3,2,0,0,0,0,0,0,0,1,0,2,0,36,2,0,0,2,0,0,0,8,0,14,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,5,0,0,0,17,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,357,2,3,5,0,0,85,1,0,2,0,2,9,49,0,31,0,11,0,41,965,1529,1,31
355.5,3964,0,41,0,1,0,1,0,3,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,39,1,0,0,0,1,0,0,6,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,225,0,0,6,0,1,33,0,0,0,0,0,1,25,0,12,0,4,0,7,182,784,0,161
360.5,4008,0,55,0,3,0,1,0,6,2,3,5,0,0,0,0,0,2,2,0,0,0,2,0,61,5,0,0,1,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9,412,1,0,2,0,0,77,0,0,1,0,0,5,31,0,20,0,7,0,32,358,2424,0,0
365.5,4049,0,25,0,5,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,15,2,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,3,0,0,0,0,14,0,0,0,0,0,1,33,0,65,0,1,0,2,5,35,0,4
370.5,4095,0,35,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,19,8,0,2,0,0,0,0,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,162,0,0,0,0,0,30,0,0,0,0,0,1,14,0,0,0,6,0,6,30,1692,0,8
375.5,4136,0,44,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26,3,0,0,0,0,0,0,8,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,197,0,0,0,0,0,32,1,0,0,0,0,0,14,1,20,0,2,0,54,616,1922,1,270
380.5,4177,0,32,0,0,0,1,0,6,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,21,0,1,1,0,0,0,0,5,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,205,1,0,5,0,0,36,0,0,0,0,0,0,13,0,16,0,8,0,,280,908,0,1
385.5,4217,0,21,0,0,0,0,0,2,0,4,1,0,0,0,0,2,0,0,1,0,0,0,2,21,4,0,0,0,1,0,0,10,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,159,1,1,0,0,0,30,0,0,0,0,,4,15,0,4,0,9,0,,260,519,0,34
390.5,4262,0,31,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,6,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,127,2,0,1,0,0,21,0,0,0,0,1,0,12,0,6,0,7,0,7,343,1314,0,146
395.5,4299,0,34,0,0,0,1,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,12,3,0,0,1,0,0,0,6,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,165,0,1,0,0,0,19,0,0,0,0,1,1,20,4,0,0,3,0,13,182,741,0,3
