Sample age (cal yr BP) [cal yr BP],depth (cm) [cm],Anacardium occidentale,Lannea-type,Rhus-type,Annona,Elaeis guineensis,Hyphaene-type,Phoenix,Balanites aegyptiaca-type,Adansonia digitata,Commiphora,Pycnanthus,Hymenocardia,Daniellia,Detarium,Piliostigma,Tamarindus-type indica,Capparis decidua-type,Maerua-type,Casuarina,Parinari-type,Anogeissus-type leiocarpus,Combretum-type,Combretum-type aculeatum,Combretum-type molle,Ephedra distachya-type,Ephedra fragilis-type,Alchornea,Bridelia-type,Macaranga-type,Uapaca,Carapa-type procera,Acacia,Dichrostachys cinerea-type,Faidherbia albida,Mimosa pigra-type,Mimosaceae undiff.,Treculia,Trilepisium-type madagascariense,Syzygium-type,Pinus,Ixora-type brachypoda,Mitragyna-type inermis,Pavetta,Zanthoxylum-type zanthoxyloides,Salix,Salvadora,Sapotaceae undiff.,Tamarix,Grewia-type,Celtis,Acanthaceae undiff.,Hypoestes-type,Aizoaceae undiff.,Amaranthaceae undiff.,Suaeda,Artemisia,Asteraceae undiff.,Cichorieae undiff.,Conyza,Brassicaceae undiff.,Caesalpiniaceae undiff.,Cassia-type,Capparidaceae undiff.,Caryophyllaceae undiff.,Ipomoea-type,Jacquemontia,Acalypha,Euphorbia-type,Euphorbiaceae,Aeschynomene,Fabaceae undiff.,Lamiaceae undiff.,Abutilon,Hibiscus,Monocotyledoneae undiff.,Moraceae undiff.,Polygala-type,Portulacaceae undiff.,Resedaceae undiff.,Rubiaceae undiff.,Triumfetta-type,Urticaceae undiff.,Lippia-type,Cissus,Fagonia,Zygophyllum-type,Unknown,Justicia-type flava,Achyranthes-type,Aerva-type javanica,Aerva-type lanata,Amaranthus/Chenopodium-type,Cyathula-type,Gomphrena,Ambrosia-type maritima,Atractylis-type,Calendula-type,Centaurea-type senegalensis,Matricaria-type,Cleome-type,Sieruela-type usambarica ,Paronychia,Polycarpaea-type,Polycarpon-type,Commelina-type benghalensis,Commelina-type forsskaolii,Convolvulus-type,Lepistemon owariense-type,Cucumis,Cucurbitaceae undiff.,Chrozophora brocchiana-type,Euphorbia-type indica,Eriosema-type,Lobelia erinus-type,Tinospora bakis-type,Boerhavia-type,Poaceae undiff.,Kohautia,Mitracarpus villosus,Spermacoce-type,Spermacoce-type radiata,Tribulus,Rhizophora,Avicennia,Cyperaceae undiff.,Laurembergia tetrandra,Ludwigia-type,Nymphaea,Polygonum senegalense-type,Potamogeton,Ruppia maritima,Typha,Ceratopteris cornuta,Lygodium microphyllum,Monoletes undiff.,Pteris,Triletes undiff. [undefined],Triletes undiff.,Foraminifera undiff.,Fungi,Algae undiff.,Dinoflagellate,Pediastrum,Pseudoschizaea,Gloeotrichia,Botryococcus,Zygnemataceae,Coelastrum,NPP undiff.,Anthocerothaceae,Indeterminable
2160.36364,105,,,,,,1,,1,,2,,,,,,,,1,,,,,,,,1,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,145,,5,1,1,,2,,77,,2,57,2,,,652,,,,,2,,,,,,,,,111,,,,,9
2569.72727,115,,,,,,,,,,1,,,,,,,,,,,3,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,1,1,,,,,1,,,1,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,16,,,,1,,,,,,,,,,,,1,,,,,,265,,,,1,,,,50,,,9,,,,164,,,,,,,,,,,3,,,418,,,,,7
2979.09091,125,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,2,,1,2,1,,1,,,,,,,,,,,2,2,,,,,,,,,1,,,,,,,,,,,,,,9,,,2,1,,,,,,,,,,,,1,,,,,,466,,4,,,,,,66,,1,12,1,,,127,,,,,,,,,3,,31,,,262,,,,,5
3388.45455,135,,,,,1,,,1,,,,,,,1,,,,,,3,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,3,1,,3,,,,,,,,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,520,,7,,,,,,60,,,6,1,,,196,,,,,,,,,1,,64,,,756,,,,,
3797.81818,145,,6,,,2,,,1,,1,,,,,,1,,,,,2,2,,3,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,2,,1,1,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,1,,,,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,243,,3,,,,,,43,,,4,,,,66,,,1,,,,,,,2,,,,,,,,,16
4207.18182,155,,6,,,9,,,2,2,,,,,2,,,,1,,1,1,,2,5,,,1,,,,1,4,,,,,,,,,,,,,,,,,,4,,1,,3,,,7,,,1,,1,,,,,,1,,,1,,,,,,,,1,,1,,,,1,,,1,,,,6,,3,5,1,,,,,,,1,,,,,,,,,,,,,,1226,,4,1,4,1,3,,82,,,3,1,,,135,1,,1,1,,,,,1,,,,7,589,1,,,,9
4616.54545,165,,2,,,3,,,,1,,,,,,,,,,,,1,,,2,,,2,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,1,,1,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,372,,7,,1,,5,,30,,,1,,,,35,1,,6,,,,,,1,,2,,,610,,,,1,
5025.90909,175,,1,,,,,,1,,,,,,1,,,,,,,,2,1,,,,7,,,,,,,,,,,,,,,,,,,,1,1,,4,,,,3,,,2,1,,,,,,,1,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,286,,2,,8,,16,,65,,,,1,,,44,,,,1,,,,,,,3,1,,901,,,,,
5435.27273,185,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,3,,2,,18,,36,,,,,,,37,,,,1,,,,1,2,,,,,396,,,,,18
5844.63636,195,,1,,,1,,,,,,,,2,,,,,,,,6,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,1,,,,,,,,,1,1,,,14,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,348,,3,,,,19,,74,,,3,,,1,65,1,,3,,,,,,12,11,7,,,420,,,,,
6254,205,,,,4,1,,,,1,,,,,1,,,,1,,,3,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,1,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,4,,1,,7,,53,,,4,,,,41,,,5,,1,1,,,,30,,1,,2,,,,,
6510.2,215,,,,,,,,,1,,1,1,,,,,,,,,2,2,2,4,,,2,,,,,,,,,,,,,,,1,,,,,,,,4,,,,1,,,1,,,,,2,,,,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,,6,,1,,21,,60,,,,,,,50,1,,5,,,,,,4,22,3,,,310,,,4,,12
6766.4,225,,,,,,,,1,,,,,,,,,,,,,3,,,6,,,3,,,,,,,,,,,1,,,,1,,1,,,,,,5,,,1,,,,2,1,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,284,,5,,2,,33,,70,,,2,,,,37,1,,,1,,,,,20,8,7,,,227,2,,,,27
7022.6,235,,1,,,,,,,,,,,,,,,,,,,3,2,,5,,,4,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,2,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,332,,6,,1,,22,,88,,,1,,,,138,,,2,,,,,,3,22,14,1,,363,,,,,25
7278.8,245,,,,,,,,1,1,,,,1,,,,,,,,8,3,3,,,,4,,,1,,,,,2,,,,,,,1,,,,,,,,2,,,,5,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,4,,,,,3,,1,,,,,,,,,,,1,,,,,,,,,,,,231,,4,,,,10,,83,,,,1,,,66,,,,,,,,,3,5,1,,,324,2,,,,
7535,255,,,,,,,,,,,,,,,,,,,,,2,2,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,2,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,386,,5,,1,,24,,110,,,1,,,10,160,,,2,,,,,,16,5,,3,,371,,,,,5
7791.2,265,,,,,,,,,,,,,,,,,,1,,,,,,3,,,2,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,1,,,,,1,,,,,,,,,1,,,,,1,,,202,,4,,,1,14,,54,,,,,,3,102,,,1,,1,1,,,,17,9,,,199,1,,,,
8047.4,275,,,,,,,,,,,,,,,,,1,,,,,1,4,3,,,2,,,,,1,,,,,,,,,,1,,,,,,,,2,,,,10,2,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,2,,,,,14,,,,,,,,,1,,,,,,,,,1,,,,,,,121,1,7,,1,,6,,69,,,3,,,,74,,,,1,,1,,1,2,17,4,2,,,1,,,,11
8303.6,285,,1,,,,,,2,,,,,,,,,,,,1,1,6,3,6,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,12,11,,1,,,,,3,,1,,,,1,,1,,2,,,1,,,,,,,,1,,1,,1,,,,1,27,,,,,,,,,,,,,,,,,,,,,,,,,58,,14,,4,,11,,70,,,1,,,,74,1,,5,,,,,,6,19,1,,,57,,,,,14
8559.8,295,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,37,2,,3,,,,,,,,,,,1,,,,5,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,22,,2,,,,1,1,21,,,2,,,,54,,,1,,,,,,1,34,,,,5,1,,,,12
8816,305,1,,,,,,1,,,,,,,,,,,1,,,3,2,,10,,,6,,,,,,,,,,,,,,,,,,1,,,,,6,,,,13,10,,6,,1,,,,,,,,,3,,,1,4,,,2,,,,,,1,,1,,1,,,,1,,,8,,,,1,,,,,,,2,2,,,,,,,,,,,,,65,,9,2,7,,40,,86,2,,3,,,,361,1,,18,,,,,1,,22,1,,,6,1,,,1,5
8843.75,315,,2,,,,,1,,,,,,,,,,,,,,3,1,,3,,,8,,1,,,1,,,,,,,,,,1,,,,,,1,,12,,,4,6,8,2,2,1,,,,,,,,,,1,,,,4,,,3,,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,1,,1,,,,,,,,,,,159,,8,1,2,,18,,64,,,,,,,247,2,,1,,,,,,3,20,,,,342,,,,,5
9121.25,325,,,,,,,,4,,,,,,,,,,,,,1,,,1,1,,3,,,,,1,,,,,,,,,,1,1,,,,,,,14,,,4,2,,1,1,2,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,3,,,1,,,,,,,1,,,,,,,,,,,,,,,379,,9,,3,,6,,81,1,,2,,,,225,1,,6,,,,1,3,9,7,25,,,533,1,,,,3
9398.75,335,,,,,,,,,,,,,,,,,,,,,6,3,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,35,1,,,,3,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,2,,,,,1,,,4,,,2,,1,,1,,,,,,,,,,,,,,,,1,,256,,5,,1,,4,,37,,,,,,,95,,,1,,,,,,,,1,1,,164,,,,,
9926,345,,,,,,,,7,,,,,,,,,,1,,,18,,2,7,,1,4,,,,,,,,,,,,,,1,,1,,,3,,,,235,,1,5,30,14,2,2,3,2,,,,2,,,,,,,,,,,,,,,1,3,1,,,,,,,,1,,,,25,,,6,,,,,,,1,1,,,1,,,,,,,,,,,606,,22,,1,,13,,250,,,,,,,408,,,6,,,,,,1,,,1,,20,,,,,3
10203.5,355,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,7,,,1,,2,,5,,,,,,,,,,,,,,1,,1,,1,,,,2,,,,1,,,,,,,,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,183,,4,,1,,9,,321,,,1,,,,72,,,2,,,,,,15,1,,,,2,,,,,6
