"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Platanus","Ulmus","Vitis","Populus","Amaranthaceae","Rumex acetosa-type","Helianthemum","Senecio-type","Olea","Plantago media-type","Viburnum-type","Hordeum/Triticum","Bunium-type","Scorzonera-type","Cichorioideae","Menyanthes trifoliata","Apiaceae","Fabaceae","Plantago lanceolata-type","Brassica-type","Quercus coccifera-type","Parnassia palustris","Unknown","Castanea","Corylus","Alnus","Epipactis","Dryopteris-type","Pteridium","Salix","Artemisia herba-alba-type","Galium-type","Carpinus betulus","Poaceae","Potentilla-type","Fagus","Quercus cerris-type","Juniperus","Equisetum","Abies","Cyperaceae","Pinus","Polygonum aviculare-type","Sparganium-type","Pistacia","Campanula-type","Sanguisorba-type","Filipendula","Ostrya/Carpinus orientalis","Scrophularia/Verbascum","Mercurialis annua","Calligonum","Centranthus","Betula","Anthriscus-type","Cuscuta","Epilobium","Acer","Juglans","Plantago major-type","Rhinanthus-type","Cirsium/Gundelia","Matricaria-type","Ranunculus repens-type","Rumex hydrolapathum","Sambucus nigra-type","Tilia","Humulus/Cannabis","Poaceae (Cerealia-type)","Crataegus-type","Fraxinus excelsior","Rosaceae","Allium","Caryophyllaceae","Primula","Lysimachia","Centaurea jacea-type","Juncus/Luzula","Arceuthobium oxycedri","Ophioglossum","Cornus mas","Taxus","Valeriana","Plantago maritima-type","Fallopia convolvulus-type","Echium-type","Fontanesia phillyreoides","Ephedra distachya-type","Viola","Cedrus","Aquilegia-type","Thalictrum","Typha latifolia","Lythrum","Asparagus-type","Rumex cyprius","Descurainia","Sphagnum","Crassulaceae","Euphorbia","Utricularia","Plantaginaceae","Trifolium-type","Ononis-type","Hypericum perforatum-type","Plantago tenuiflora-type","Frankenia hirsuta-type","Gentiana nivalis-type","Fraxinus ornus","Plantago coronopus-type","Urtica dioica-type","Scilla-type","Ranunculus sceleratus-type","Rhynchocorys","Calluna-type","Centaurea solstitialis-type","Brassicaceae","Veronica","Artemisia vulgaris-type","Thymus/Mentha","Phillyrea angustifolia","Onosma-type","Chelidonium","Malva","Polygonum cognatum-type","Ranunculus asiaticus-type","Potamogeton","Onopordum-type","Azolla","Rhododendron","Ligustrum","Hippophaë","Ephedra fragilis-type","Heracleum-type","Silene-type","Rosa-type","Pediastrum","Verbena","Buxus","Filago-type","Centaurea cyanus-type","Bidens-type","Rhynchospora-type","Eryngium-type","Teucrium","Cousinia","Solanum nigrum","Haplophyllum","Asteroideae","Vicia-type","Centaurea scabiosa-type","Jasione-type","Anisosciadium-type","Cyclamen","Selaginella","Melampyrum","Juniperus sabina","Pterocarya","Ranunculus peltatus-type","Rhamnus","Gentianella tenella","Antirrhinum/Linaria","Gentiana purpurea","Convolvulus","Pimpinella-type","Cheilanthes","Noaea-type","Hedera","Spergularia-type","Frangula","Maianthemum-type","Cotoneaster","Anagallis","Myrtus","Thesium","Geranium","Apium-type","Datura","Solanum dulcamara","Hippocrepis-type","Cryptogramma crispa","Lotus-type","Matthiola","Cerinthe-type","Prunus-type","Asphodeline","Malus-type","Cercis siliquastrum","Valerianella","Ferula-type","Geum-type","Euonymus","Butomus umbellatus","Scutellaria","Roemeria hybrida subsp. dodecandra-type","Bupleurum-type","Dipsacus-type","Myriophyllum spicatum/M. verticillatum","Inula-type","Polystichum","Stachys-type","Carya","Scabiosa columbaria-type","Arctium/Jurinea","Pterocephalus-type","Lappula","Spinacia-type","Symphytum-type","Capsella-type","Crupina","Bellis-type"
12818,13308,12431,890,NA,NA,15,NA,NA,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,42,3,NA,876,21,21,4,5,22,46,NA,1,35,1,20,89,22,51,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,4,3,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13106,13608,12713,910,NA,NA,28,NA,NA,5,NA,NA,7,NA,NA,2,NA,1,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,20,1,NA,425,21,37,4,2,25,91,NA,3,23,1,10,86,43,48,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,6,NA,NA,1,4,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13394,13906,12993,930,NA,NA,11,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,12,NA,NA,446,12,19,9,2,11,57,NA,2,27,2,1,133,11,33,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13538,14056,13133,940,NA,NA,33,NA,NA,4,1,NA,1,NA,NA,NA,NA,5,NA,3,NA,10,NA,NA,NA,NA,NA,2,NA,4,4,NA,1155,8,19,10,4,12,44,NA,2,41,3,20,46,98,22,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,31,3,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13682,14205,13273,950,1,NA,25,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,2,NA,NA,2,NA,NA,1,1,8,5,NA,789,12,32,9,5,10,25,NA,1,50,4,17,103,73,35,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,25,NA,NA,NA,16,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13754,14281,13344,955,NA,NA,20,1,NA,4,NA,NA,1,NA,NA,1,NA,1,NA,5,NA,1,NA,NA,1,NA,NA,2,NA,11,NA,NA,500,9,42,5,2,8,74,NA,2,24,1,6,108,37,19,1,NA,NA,NA,NA,3,1,3,NA,NA,NA,9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13826,14355,13413,960,NA,NA,34,NA,NA,7,1,NA,2,NA,NA,NA,NA,6,NA,6,NA,3,NA,NA,NA,NA,NA,1,NA,6,3,NA,518,4,16,8,NA,13,26,2,2,46,5,5,32,117,27,NA,NA,NA,1,1,1,2,4,NA,NA,NA,48,7,NA,1,18,NA,NA,NA,NA,1,1,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13898,14430,13483,965,NA,NA,64,NA,NA,8,2,NA,NA,NA,NA,NA,NA,13,2,11,NA,14,NA,NA,1,NA,NA,NA,NA,8,4,NA,90,1,11,23,7,8,34,NA,2,50,7,4,11,86,14,1,NA,NA,NA,1,3,NA,5,NA,NA,NA,66,6,NA,NA,45,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13970,14506,13554,970,NA,NA,63,NA,NA,11,2,NA,NA,NA,NA,NA,NA,11,NA,7,NA,20,1,NA,NA,NA,NA,NA,NA,5,5,NA,17,NA,9,27,8,8,45,2,6,66,2,7,8,43,11,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,103,7,NA,NA,49,NA,NA,NA,NA,2,NA,NA,2,5,1,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14114,14656,13694,980,NA,NA,32,NA,NA,21,1,NA,1,NA,NA,NA,NA,4,NA,5,NA,10,NA,NA,1,NA,NA,1,NA,3,2,NA,5,NA,47,21,7,7,19,1,1,42,1,18,17,46,8,NA,NA,NA,NA,NA,6,3,1,NA,NA,NA,58,3,NA,NA,21,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14259,14805,13833,990,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,2,1,2,1,NA,1,NA,236,11,4,1,12,1,NA,11,4,2,18,18,21,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,15,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14395,14948,13966,1000,NA,NA,5,NA,NA,11,NA,NA,2,NA,NA,3,NA,2,NA,6,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,46,NA,42,48,2,2,28,1,1,10,3,3,13,89,21,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,43,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14539,15098,14105,1010,NA,NA,2,NA,NA,18,NA,NA,2,1,NA,NA,NA,NA,2,8,NA,3,NA,NA,4,NA,NA,NA,NA,3,NA,NA,9,NA,61,88,6,1,22,2,1,15,4,5,23,116,61,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,48,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14828,15400,14385,1030,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,NA,NA,21,NA,5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,19,NA,17,61,3,9,35,NA,2,32,2,7,23,191,69,6,1,NA,NA,NA,1,4,NA,NA,NA,NA,47,NA,NA,NA,1,NA,NA,NA,2,9,NA,NA,NA,5,NA,2,NA,NA,1,NA,5,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
14972,15550,14524,1040,NA,NA,2,NA,NA,13,NA,4,3,NA,NA,NA,NA,1,3,22,NA,5,NA,NA,5,1,NA,7,NA,NA,1,NA,36,NA,29,190,13,11,34,5,1,32,NA,2,4,194,39,6,2,NA,NA,NA,NA,63,1,NA,1,NA,94,5,NA,NA,1,NA,NA,NA,2,19,1,NA,NA,11,NA,1,NA,NA,13,NA,4,NA,NA,2,NA,NA,15,NA,1,3,NA,NA,NA,NA,5,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,1,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
15116,15700,14663,1050,NA,NA,NA,NA,NA,30,NA,3,10,NA,NA,NA,NA,NA,8,50,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,4,NA,6,129,11,1,75,10,NA,27,4,NA,4,693,32,2,2,NA,2,NA,NA,1,NA,NA,NA,NA,40,NA,NA,1,NA,NA,NA,NA,4,32,NA,NA,NA,1,NA,4,NA,NA,4,NA,6,NA,NA,1,NA,NA,3,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA
15260,15852,14803,1060,NA,NA,NA,NA,NA,33,NA,2,11,NA,NA,NA,NA,NA,7,28,NA,1,2,NA,9,NA,NA,3,NA,NA,NA,NA,NA,NA,5,151,7,NA,36,8,NA,NA,8,NA,1,1235,46,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
15476,16077,15011,1075,NA,NA,NA,NA,NA,21,NA,NA,21,NA,NA,NA,NA,NA,28,66,NA,1,NA,NA,9,NA,NA,NA,NA,1,2,NA,6,NA,3,159,6,NA,78,NA,1,2,14,NA,NA,1038,107,5,1,NA,NA,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,2,40,4,NA,NA,NA,NA,4,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,3,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA
15620,16228,15150,1085,NA,NA,NA,NA,NA,29,NA,NA,19,NA,1,NA,NA,NA,42,100,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,215,8,NA,44,NA,NA,NA,10,NA,NA,502,102,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,4,70,1,NA,NA,NA,NA,4,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,NA,5,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA
15836,16454,15358,1100,NA,NA,NA,NA,NA,25,NA,1,29,NA,NA,NA,NA,NA,25,79,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,2,NA,39,NA,NA,NA,21,NA,NA,135,112,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,34,2,NA,NA,NA,NA,4,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2
