"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Vitis","Zea mays","Poaceae (Cerealia)","Brassicaceae","Micranthes stellaris-type","Sorbus aucuparia","Echium","Anthemis-type","Silene dioica-type","Centaurea nigra-type","Cistus ladanifer-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Veratrum album","Halimium/Tuberaria","Minuartia recurva","Conopodium majus","Sphagnum","Cyperaceae","Plantago lanceolata-type","Arenaria","Alnus glutinosa","Galium-type","Castanea sativa","Quercus ilex-type","Genista-type","Silene vulgaris-type","Jasione-type","Narcissus bulbocodium","Plantago subulata-type","Arnoseris minima","Pinus sylvestris-type","Hedwigia","Erica australis","Potentilla","Pteridium aquilinum","Secale","Calluna vulgaris","Quercus robur-type","Betula pubescens","Juniperus communis","Rumex acetosella-type","Erica umbellata","Ranunculus","Olea europaea","Pinus pinaster","Poaceae","Erica arborea-type","Juglans","Amaranthaceae","Campanula","Corylus avellana","Hypericum perforatum-type","Silene foetida-type","Pedicularis sylvatica","Sedum-type","Gentiana lutea/G. pneumonanthe","Chaerophyllum temulum","Artemisia","Cytisus scoparius","Peucedanum-type","Colchicum montanum","Polypodiales (monolete)","Ranunculus acris-type","Rumex acetosa-type","Apiaceae","Vaccinium","Asphodelus albus","Carum verticillatum","Filago-type","Cuscuta","Salix","Helianthemum","Frangula alnus","Narcissus pseudonarcissus-type","Caryophyllaceae (porate)","Aster-type","Rubus","Ornithogalum-type","Solidago","Sparganium emersum-type","Phillyrea","Armeria","Cirsium-type","Sanicula europaea","Ulmus","Myriophyllum alterniflorum","Fallopia convolvulus-type","Myrtus communis","Sagina","Scilla","Pistacia","Trifolium repens","Spergula","Dianthus lusitanus-type","Pimpinella saxifraga-type","Lavandula","Daphne/Thymelaea","Saxifraga granulata-type","Lotus","Allium","Succisa","Physospermum cornubiense","Cerastium","Ruta","Sambucus nigra","Lythrum","Valeriana officinalis","Potamogeton","Plantago major-type","Hippophaë rhamnoides","Anagallis","Daucus","Fritillaria lusitanica","Oenanthe","Gagea nevadensis","Marchantiophyta","Eryngium","Polypodium","Ophioglossum lusitanicum","Filipendula","Poterium sanguisorba","Hedera helix","Ilex aquifolium","Anthriscus cerefolium","Rosaceae","Reseda/Sesamoides","Lysimachia","Valerianella","Anthriscus sylvestris","Rumex obtusifolius-type","Ephedra fragilis-type","Torilis arvensis-type","Corrigiola telephiifolia","Radiola linoides","Silene ciliata-type","Ornithopus","Senecio","Vicia","Thalictrum","Botrychium","Ephedra distachya-type","Centaurea scabiosa-type","Fabaceae","Saxifraga spathularis","Pediastrum","Jurinea","Gentianella campestris-type"
2987.39,NA,NA,110,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,27,1,NA,9,4,NA,6,2,NA,NA,3,1,NA,1,4,3,6,12,NA,6,61,156,NA,6,NA,48,3,16,218,91,NA,NA,1,1,NA,NA,NA,1,2,NA,1,NA,4,2,3,1,NA,1,NA,3,7,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3125.45,NA,NA,120,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,30,42,NA,2,11,2,NA,5,1,NA,2,1,NA,NA,2,1,2,11,3,NA,11,84,189,1,5,1,64,NA,9,162,64,NA,1,NA,4,NA,NA,NA,2,5,NA,2,3,4,1,2,4,NA,2,NA,NA,6,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3263.51,NA,NA,130,1,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,40,1,2,11,3,NA,8,5,NA,1,1,NA,NA,2,NA,5,9,3,NA,22,120,170,NA,3,2,68,1,15,354,66,NA,NA,NA,1,NA,NA,NA,2,2,NA,1,NA,9,1,3,1,NA,2,NA,3,7,NA,NA,7,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401.57,NA,NA,140,1,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,13,7,NA,4,6,NA,NA,6,NA,NA,3,5,1,2,2,NA,5,115,95,NA,7,1,300,3,19,590,90,NA,NA,NA,5,NA,NA,NA,7,NA,1,1,1,9,1,2,NA,3,1,NA,1,NA,NA,NA,37,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3592.69,NA,NA,150,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,12,1,NA,9,1,NA,NA,NA,NA,NA,4,2,2,2,2,NA,4,127,173,NA,1,1,20,NA,18,138,7,NA,1,NA,5,1,NA,NA,3,2,2,1,NA,5,NA,NA,NA,NA,1,1,NA,1,NA,NA,49,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3836.88,NA,NA,160,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,15,1,NA,4,2,NA,NA,NA,NA,NA,2,2,1,1,2,NA,2,106,166,NA,2,NA,10,2,33,300,11,NA,NA,NA,2,NA,NA,NA,2,10,1,NA,NA,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4081.07,NA,NA,170,4,NA,NA,NA,2,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,NA,3,1,NA,19,NA,NA,3,4,NA,NA,NA,NA,NA,10,2,3,3,1,NA,3,202,190,NA,11,1,46,5,45,430,16,NA,2,NA,1,NA,3,NA,5,2,1,NA,1,5,NA,1,NA,NA,1,NA,1,NA,1,NA,30,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4325.26,NA,NA,180,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,18,NA,NA,5,2,NA,2,NA,1,NA,5,NA,NA,NA,NA,NA,NA,259,157,NA,9,NA,4,2,36,700,10,NA,NA,1,NA,NA,NA,NA,6,NA,3,3,4,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4569.45,NA,NA,190,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,13,NA,NA,6,2,NA,NA,NA,NA,1,1,2,NA,NA,4,NA,3,146,122,NA,2,1,12,2,31,435,11,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4813.64,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,7,NA,NA,10,1,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,1,164,44,NA,7,NA,17,1,18,252,6,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5052.87,NA,NA,210,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,6,3,NA,NA,3,NA,NA,4,1,NA,NA,1,NA,1,155,126,NA,5,1,18,1,35,390,8,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,3,1,NA,1,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5287.16,NA,NA,220,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,10,1,NA,6,1,NA,2,NA,NA,NA,11,NA,NA,2,1,NA,10,181,121,NA,10,NA,6,1,28,350,NA,NA,2,NA,1,NA,NA,NA,7,1,1,NA,2,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5521.44,NA,NA,230,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,5,NA,NA,5,1,NA,NA,NA,NA,NA,6,NA,NA,NA,12,NA,1,169,73,NA,6,2,14,NA,34,129,4,NA,NA,NA,1,NA,NA,NA,4,NA,NA,2,1,1,NA,NA,NA,3,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5755.73,NA,NA,240,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,44,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,199,150,NA,14,1,1,1,16,78,5,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5990.01,NA,NA,250,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,1,8,NA,NA,9,NA,NA,2,NA,NA,NA,9,NA,1,NA,6,NA,NA,162,160,1,15,1,32,NA,27,220,3,NA,NA,NA,1,1,NA,1,5,NA,3,NA,2,2,NA,NA,1,NA,NA,1,1,NA,2,NA,30,NA,2,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6224.3,NA,NA,260,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,NA,NA,NA,NA,3,1,1,NA,3,NA,NA,186,187,NA,8,2,13,NA,14,123,7,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,1,NA,11,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6458.58,NA,NA,270,4,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,7,NA,NA,14,NA,NA,6,1,NA,1,NA,NA,NA,8,1,1,NA,5,NA,1,235,176,NA,22,4,12,NA,23,139,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,5,NA,NA,NA,1,NA,NA,4,NA,1,NA,9,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
