"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium","Microthyrium-type","Mougeotia-type","Rivularia","Betula","Corylus","Papaver rhoeas-type","Verbascum pulverulentum-type","Tilletia caries-type","Thecaphora-type","Riccia lamellosa-type","Sordariaceae","Gloeotrichia","Centaurea","Bupleurum","Puccinia","Dyadosporites","Spike tablets","Quercus robur-type","Fusiformisporites","Pseudoschizaea","Typha angustifolia-type","Pluricellaesporites","Helianthemum","Asteroideae","Olea","Unknown (monolete)","Pinus pinaster-type","Amaranthaceae","Unknown","Lamiaceae (hexacolpate)","Erica arborea-type","Poaceae","Cichorioideae","Spirogyra-type","Zygnema-type","Cyperaceae","Quercus ilex-type","Pinus nigra-type","Glomus","Polyadosporites","Lycopodium","Atractylis","Alnus","Artemisia","Pistacia lentiscus","Asplenium-type","Gelasinospora","Teucrium","Anagallis arvensis","Pteridium aquilinum","Closterium idiosporum-type","Paronychia","Quercus cf. Q. suber","Nuphar","Potamogeton","Apium","Closterium idiosporum","Trichuris","Rubiaceae","Alchemilla","Bryophyta","Brassicaceae","Viburnum","Resedaceae","Cistus","Lythrum salicaria-type","Conium maculatum","Ulex-type","Malvaceae","Unknown (trilete)","Crassulaceae","Scrophularia canina-type","Ruta","Urticaceae","Rumex","Thalictrum","Vitis","Buxus","Blackstonia perfoliata-type","Ophioglossum","Lotus-type","Phillyrea","Dianthus","Rhamnus","Scabiosa","Sideritis (tetracolpate)","Salix","Cupressaceae-type","Ranunculus peltatus-type","Conium-type","Polypodium","Liliaceae","Fraxinus","Iris","Juglans","Arbutus","Cistus salviifolius","Coriaria myrtifolia","Hypericum","Myriophyllum spicatum","Sparganium","Allium","Potentilla-type","Erodium","Sorbus aucuparia-type","Lysimachia ephemerum","Agrimonia eupatoria","Equisetum","Sambucus nigra-type","Acer","Rhus coriaria","Fabaceae","Taxus","Polygala","Echinops","Pistacia terebinthus","cf. Adiantum","Pilularia","Hedera helix","Fraxinus angustifolia","Caryophyllaceae","Ilex","Polygonum aviculare-type","Ulmus","Thymelaeaceae","Lathyrus","Hydrocharis","Lycium-type","Isoëtes","Euphorbiaceae","Mercurialis","Epilobium","Lamiaceae (tricolpate)","Botryococcus","Trifolium-type","Transeauina","Gentianaceae","Ononis-type","Knautia","Nerium oleander","Sarcocapnos","Pellaea-type","Linum","Parnassia palustris","Rumex crispus-type","Botrychium","Nymphaea","Apiaceae","Sanguisorba","Scrophulariaceae","Anagallis tenella-type","Acaulon-type","Xanthium","Hypecoum","Erica multiflora-type","Galium aparine","Poaceae (Cerealia-type)","Convolvulus","Andropogon","Asphodelus fistulosus","Anchusa azurea","Alisma","Lemna","Ephedra fragilis","Typha latifolia-type","Tamarix","Anthyllis-type","Cerinthe-type","Portulaca oleracea-type","Myriophyllum verticillatum","Callitriche","Myosotis","Echium","Geraniaceae","Cedrus","Ephedra distachya/E. major subsp. major","Closterium cf. C. rostratum","Rosaceae","Rubus ulmifolius-type","Anchusa azurea-type","Myrtus","Asparagus-type","Myrica","Abies"
5554,5724,5380,58,"3","","1","10","4","10","14","","3","","","","3","3","1","1","","2","2, 12542","13","17","1","14","","1","3","1","9","7","1","13","1","10","50","2","11","41","11","86","28","9","107","81","","10","4","20","3","","","","1","1","","8","6","","19","","","","","","","2","","","","1","","","1","","","","","","","","","","","1","1","","","","1","","","","","","","6","","","","","","","1","2","","","","","","","1","2","","1","","","","","1","","","1","1","","","","","","","","","1","","","","","4","","1","","","","5","1","1","1","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5675,5846,5498,59,"3","","","","11","","3","2","","","","","1","2","1","","","2","2, 12542","23","31","1","9","","1","6","7","3","10","1","15","6","1","16","6","13","21","14","71","33","17","26","65","","","10","12","3","","1","","1","","1","1","","1","26","","1","","","","","1","","","2","","1","","2","","","2","2","","","","","","3","","","","","","","1","6","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","1","","","","","2","","","","","","","","","","","","1","","2","1","","","","1","1","1","1","33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5796,5968,5614,60,"3","","","3","","1","1","","","1","1","4","2","3","2","","","4","2, 12542","21","60","3","11","7","","3","1","","21","5","21","","3","32","3","41","21","16","64","28","18","39","112","","3","6","12","","","2","5","","","","30","","","64","1","","","","9","8","","","","2","","10","","","","","","","","","","","","","","","","4","","","3","15","","","","2","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","1","5","","","","","","","","","","1","1","1","1","2","2","2","10","","","","","","","","","","","","","","","","","","",""
5917,6090,5729,61,"3","","3","","6","6","9","1","","1","","","7","1","2","","","2","2, 12542","46","188","","53","1","","","1","","24","1","4","1","3","64","3","51","18","57","102","21","31","16","108","","","5","11","","2","","","","","","36","1","1","72","","","2","","1","1","","","3","","","1","","","","","1","","","","","","","","","","","2","","","","3","","","","","","","","","","","","5","","1","","","","","","3","","","","","","","","","","","","","","","1","","","","","","","","2","","","1","","","","","","1","","","","","","","1","","","","","","","","","","","","","3","","1","","","2","1","1","1","","","","","","","","","","","","","","","",""
6038,6213,5844,62,"2","1","1","","1","5","3","","","","","","6","4","1","","","13","2, 12542","18","18","3","81","5","","7","","","24","","18","","3","59","","61","21","26","46","14","19","14","108","","","","9","","","1","","","1","","67","","","56","","","","","","","","","","2","","2","","","","","1","","","","","","","","","1","","","1","","","3","","","","","1","","","","","","","1","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","1","","","","3","","","","","","1","","","","","","","2","","","","","","","","","","","","","1","1","","1","","","","","","2","","","","","","","","","","","","","","",""
6159,6337,5960,63,"3","","","","2","1","2","","","","","","","6","3","","","4","2, 12542","14","7","3","54","2","","1","3","","12","3","7","","2","36","","21","16","16","77","18","34","17","142","","","6","2","1","","","","","","","21","","1","37","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
6280,6461,6074,64,"3","1","1","","3","4","5","","","1","","","15","5","","","","3","2, 12542","5","3","2","67","3","","","4","2","7","","6","6","1","21","","25","19","13","64","16","75","12","208","","","7","3","2","","1","","","","","11","","1","28","","","","","","","","","","","","1","","","","","4","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","2","","","","","","1","","","","2","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","3","","","","","","","","","","","","","",""
6401,6587,6189,65,"3","","","1","1","2","1","","","2","","","5","3","4","","","2","2, 12542","8","12","1","31","2","","1","","","14","","3","","","31","","12","12","10","46","34","17","15","294","","1","2","","1","","","","","1","","7","","1","19","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
6522,6714,6304,66,"3","1","","","","2","","","","","","","","","","","","","2, 12542","13","","","44","","","","","","19","","20","","","41","","14","15","18","29","45","16","3","353","","1","","","","","","","","","","5","","1","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","","","","","","","","","","","",""
6643,6842,6417,67,"3","","","","","4","","","","","1","","","","5","","","2","2, 12542","9","2","","16","1","","","","","15","3","4","","","44","","17","26","13","26","50","25","1","299","","","14","","2","","","","","5","","3","","","68","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
6764,6971,6532,68,"3","","","","1","1","1","","","","","","1","","2","","","2","2, 12542","27","2","","23","","","","","1","5","","15","4","","26","1","11","6","10","41","52","15","4","128","","","8","","","","","","","3","","","","","26","","","","","","","","","1","","","","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","",""
7235,7424,7034,69,"1","1","","","","","","","","","","","","","","","","2","2, 12542","2","28","","1","4","","2","","","","","7","","1","8","5","36","32","","2","91","31","5","303","","","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
7267,7443,7081,70,"1","","","","","","1","","","","","","","","5","","","2","2, 12542","1","2","","7","3","","11","1","","3","8","3","2","","25","","28","42","5","","115","61","5","344","","","6","","","","","","","1","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","",""
7331,7477,7177,72,"1","","","","1","","","","","","","1","","","3","","","","2, 12542","","7","","5","","1","3","","","","2","11","","","21","6","12","20","","1","114","48","3","200","","","2","","","","","","","5","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7363,7495,7227,73,"1","","","","","","","","","","","1","","","1","","","","2, 12542","2","","","2","","","3","","","8","3","12","2","","27","21","11","31","3","3","116","49","","244","","","8","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7395,7515,7273,74,"1","","","","","","","","","","","","","","4","","","","2, 12542","","6","","","","","","","2","","7","5","","","14","","7","8","","2","125","67","","313","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7427,7536,7318,75,"1","1","","","","","","","","","1","","","","","","","","2, 12542","4","1","","3","","","","","","","4","10","","1","21","1","9","17","","3","102","48","","297","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7459,7558,7361,76,"1","","","","","","","","","","","","","","","","","","2, 12542","","6","","1","","","","","","","","16","","","42","","17","21","","","116","35","","252","","","3","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7492,7583,7404,77,"1","","","1","","","","","","","","2","","","","","","","2, 12542","","6","","3","","","2","","3","","","8","","","4","","8","16","1","","114","23","","289","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7524,7606,7441,78,"1","","","","","","","","","","","2","","","","","","","2, 12542","","8","","","","","3","","","","","11","","","24","6","27","36","","2","109","12","","359","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7556,7635,7481,79,"1","1","","","","1","","","","","","","","","1","","","","2, 12542","","10","","","","","2","","","","2","8","2","","11","6","17","21","","1","115","38","","152","","","3","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7588,7668,7519,80,"1","","","1","","","","","","","","2","","","","","","","2, 12542","","2","","","","","9","","","","","6","","","4","17","16","36","","3","138","46","","268","","","4","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7620,7702,7552,81,"1","","","","","","","","","","","2","","","","","","","2, 12542","","7","","","","","4","","","","4","18","","","22","6","13","34","","","109","41","","293","","","9","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
