"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Saxifragaceae","Ulmus","Valeriana","Alnus","Acer","Liliaceae","Helianthemum","Thymelaeaceae","Spergula arvensis-type","Sedum-type","Myrtus communis","Humulus lupulus-type","Corylus avellana-type","Artemisia","Salix","Fabaceae","Brassicaceae","Stachys-type","Papaveraceae","Rumex acetosa-type","Ranunculus acris-type","Scabiosa","Boraginaceae","Plantago lanceolata-type","Juniperus","Poaceae (Cerealia-type)","Sanguisorba minor-type","Ostrya/Carpinus-type","Quercus robur-type","Caryophyllaceae","Abies","Geranium","Poaceae","Asteroideae","Cichorioideae","Pinus","Cornus sanguinea","Fraxinus ornus","Pistacia terebinthus","Crataegus monogyna-type","Fagus","Juglans","Convolvulus","Amaranthaceae","Urtica dioica","Rhamnus cathartica-type","Rhinanthus-type","Euphorbia","Rutaceae","Linum","Viola","Solanum","Hypericum perforatum-type","Alchemilla","Campanula","Dryopteris","Mentha-type","Malva-type","Berberis vulgaris-type","Ephedra fragilis-type","Sambucus nigra-type","Tilia","Galium-type","Primula vulgaris-type","Hippophaë"
4736,5043,4287,118,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,2,NA,5,2,NA,NA,NA,1,9,2,11,105,1,8,NA,25,13,5,71,NA,1,NA,1,26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1
4998,5281,4548,125,1,NA,1,3,2,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,NA,1,NA,1,3,3,NA,NA,1,1,7,1,9,108,4,9,NA,20,9,4,89.5,NA,NA,NA,NA,44,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA
5208,5474,4758,131,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,2,NA,NA,1,NA,9,2,14,124,1,7.5,NA,25,7,2,62,2,NA,NA,7,27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
5404,5656,4961,137,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,1,NA,18,1,13,101,NA,1,NA,42,9,3,71,NA,2,NA,1,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA
5558,5805,5127,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,6,5,1,NA,NA,NA,7,2,4,90,2,1,NA,66,4,9,61,1,NA,NA,1,22,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,NA,NA,NA,NA,NA,2
5731,5983,5315,148,NA,NA,1,NA,NA,NA,1,4,NA,4,1,NA,NA,1,NA,1,1,NA,NA,1,2,4,NA,NA,NA,1,16,3,5,65,2,3,NA,64,16,7,71,1,1,NA,1,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1
5919,6173,5521,155,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,1,1,NA,5,7,NA,NA,NA,2,38,3,5,53,2,NA,NA,77,7,NA,61,NA,NA,NA,NA,17,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,2,1,NA
6069,6331,5681,161,1,NA,NA,NA,NA,NA,NA,1,NA,2,5,NA,2,NA,1,NA,1,NA,NA,1,1,4,1,NA,NA,NA,11,1,8,63,2,2,NA,50,6,6,80.5,1,NA,NA,NA,31,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
6209,6485,5833,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,3,NA,NA,2,5,NA,NA,1,NA,13,1,8,68,2,2,NA,38,8,6,77,NA,NA,NA,1,22,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
6318,6607,5950,172,3,NA,3,1,3,2,NA,NA,NA,NA,1,NA,2,5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,3,6,4,27,164,2,5.5,1,33,6,NA,300,NA,NA,NA,3,39,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2
6402,6700,6037,176,1,NA,NA,NA,8,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,2,7,NA,4,107,1,1,NA,42,1,1,75.5,NA,1,NA,NA,28,5,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
6442,6746,6081,178,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,3,1,NA,1,5,1,NA,3,4,13,5,7,68,NA,2.5,NA,39,7,1,78,NA,NA,1,1,21,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
6540,6852,6182,183,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,10,NA,NA,NA,1,NA,NA,1,3,12,2,4,56,NA,8,NA,128,5,11,34,2,NA,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6650,6974,6302,189,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,1,1,NA,2,NA,1,9,NA,NA,NA,1,5,NA,9,68,3,4,NA,103,5,6,33.5,NA,NA,NA,NA,27,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
6770,7094,6425,196,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,9,NA,1,2,2,NA,NA,1,NA,17,NA,2,91,NA,4,NA,83,12,8,44,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2
6867,7206,6536,202,1,NA,2,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,2,NA,NA,3,NA,8,1,16,123,4,4.5,NA,61,13,11,65.5,NA,NA,NA,1,28,5,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
6960,7315,6624,208,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,9,1,NA,1,9,NA,NA,2,3,10,1,19,101,3,13,NA,39,10,3,41,NA,NA,NA,3,19,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7063,7426,6722,215,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,5,NA,NA,NA,NA,7,2,10,116,1,5,NA,38,5,8,66,2,NA,NA,1,22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7161,7526,6818,222,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,1,NA,NA,1,3,2,1,5,107,NA,6,NA,32,5,2,101,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7229,7588,6883,227,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,NA,2,NA,6,4,NA,NA,2,NA,6,NA,8,91,2,2,NA,62,5,6,62,4,NA,NA,NA,13,3,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,2
7336,7694,6978,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,6,6,NA,NA,5,13,NA,NA,1,NA,NA,4,6,65,5,7,NA,59,18,12,57,NA,NA,NA,NA,24,NA,NA,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7441,7812,7076,243,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,2,NA,NA,1,14,NA,NA,2,3,3,3,28,76,8,NA,NA,56,10,9,40,1,NA,NA,NA,27,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7493,7885,7123,247,NA,NA,NA,NA,10,3,NA,4,NA,4,2,NA,9,7,1,NA,NA,8,1,2,9,10,1,NA,12,5,12,1,25,139,1,6,NA,121,9,3,91.5,NA,2,NA,5,26,7,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,4,NA
7533,7937,7152,250,4,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,3,1,12,100,NA,1,NA,37,8,9,72,NA,NA,NA,3,13,4,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
7572,7987,7180,253,NA,2,1,NA,1,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,NA,2,4,NA,NA,NA,NA,1,3,8,107,NA,4,NA,41,9,2,85,NA,NA,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
7611,8039,7211,256,NA,NA,2,1,3,NA,NA,2,NA,NA,8,NA,2,NA,NA,NA,1,5,1,NA,5,6,NA,NA,1,2,1,3,23,108,NA,NA,NA,29,2,1,66,5,NA,NA,NA,13,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7664,8111,7250,260,2,6,2,NA,1,3,NA,2,NA,NA,2,NA,5,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,1,7,3,31,172,NA,1,NA,45,3,1,79,NA,NA,NA,1,43,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA
7716,8188,7292,264,1,NA,2,NA,3,NA,NA,1,NA,2,NA,NA,2,1,NA,NA,NA,1,4,NA,2,5,NA,NA,NA,1,2,NA,14,94,NA,7.5,NA,22,1,NA,123,1,NA,NA,NA,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
7769,8271,7333,268,NA,NA,1,NA,4,NA,1,NA,NA,NA,1,NA,3,5,2,NA,NA,NA,5,NA,2,NA,NA,NA,NA,3,6,NA,27,126,NA,6,1,30,5,1,211,NA,NA,NA,1,20,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3
7808,8337,7364,271,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,2,7,1,NA,NA,NA,2,NA,1,1,1,NA,1,4,NA,3,10,98,NA,12,NA,10,3,1,108.5,NA,NA,NA,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,6
7861,8438,7399,275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,2,NA,NA,NA,2,NA,2,8,83,NA,7,NA,20,5,2,156,NA,NA,NA,NA,10,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
7900,8501,7425,278,2,1,1,NA,5,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,1,1,3,23,174,NA,9.5,NA,24,4,NA,376,1,NA,NA,1,25,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1
7939,8545,7449,281,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,11,110,NA,18.5,NA,16,1,NA,267,1,NA,1,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
7992,8623,7480,285,2,7,2,1,7,2,NA,NA,NA,3,1,NA,3,1,1,NA,NA,NA,NA,NA,3,11,NA,NA,2,3,4,1,18,77,1,16.5,NA,20,NA,NA,240,NA,NA,1,6,22,NA,NA,2,3,1,2,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,4,NA
8031,8682,7503,288,NA,4,2,NA,2,NA,NA,NA,1,5,2,2,2,1,3,NA,NA,1,2,NA,NA,10,NA,NA,NA,NA,3,2,16,162,1,32.5,NA,42,3,NA,301,NA,NA,1,7,18,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,6,NA
8070,8894,7526,291,NA,NA,7,NA,4,NA,NA,NA,NA,3,2,NA,1,5,3,NA,1,2,2,NA,1,6,NA,NA,1,6,9,NA,9,106,NA,40,NA,43,NA,NA,343,NA,1,8,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA
8123,8811,7556,295,1,6,6,NA,5,4,NA,NA,NA,4,3,NA,1,5,1,NA,NA,4,2,NA,2,11,NA,NA,NA,2,8,NA,8,119,NA,86,NA,33,2,NA,883,1,NA,NA,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,8,NA
8162,8869,7581,298,NA,7,6,2,7,6,NA,NA,NA,28,NA,NA,NA,29,1,NA,2,3,7,NA,2,9,NA,NA,1,5,2,17,7,406,2,56,NA,44,2,NA,594,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,4,NA,6,NA
8254,9007,7639,305,NA,2,6,NA,4,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,13,NA,NA,1,1,NA,61,1,286,4,30.5,NA,46,9,3,285,NA,1,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,2
8333,9122,7684,311,NA,3,7,1,2,2,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,2,1,1,NA,10,NA,NA,NA,6,NA,62,3,276,2,32.5,NA,31,6,1,300.5,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2
8490,9364,7786,323,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,8,NA,NA,NA,4,1,55,5,295,3,20.5,NA,40,5,8,284,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA
8713,9723,7931,340,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,1,NA,2,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,5,2.5,NA,3,16,4,239,NA,NA,NA,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
