"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cistaceae","Malvaceae","Plantago undiff.","Liliaceae","Lysimachia","Butomus umbellatus","Pterocarya","Hedera","Centaurea solstitialis-type","Ephedra fragilis-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Pistacia","Thymus/Mentha","Cheilanthes","Poaceae (Cerealia-type)","Knautia","Pinus","Helianthemum","Scorzonera-type","Quercus coccifera-type","Dryopteris-type","Lycopodium","Asteroideae","Fabaceae","Pteris","Polypodium","Asphodelus","Poaceae","Unknown","Apiaceae","Ophioglossum","Quercus robur-type","Cichorioideae","Cyperaceae","Amaranthaceae","Betula","Carya","Sambucus","Scrophulariaceae","Ulmus","Rosaceae","Solanaceae","Plantago lanceolata-type","Artemisia herba-alba-type","Capsella-type","Centaurea scabiosa-type","Matricaria-type","Filago-type","Osmunda regalis","Platanus","Eucalyptus","Hyoscyamus","Olea","Alnus","Stachys-type","Isoëtes","Plantago maritima-type","Arctium/Jurinea","Carduus-type","Senecio-type","Ericaceae","Rhus","Salix","Rumex acetosa-type","Fraxinus excelsior","Vitis","Quercus cerris-type","Polygonum aviculare-type","Thalictrum","Geraniaceae","Dipsacus","Loranthus","Bunium-type","Scabiosa columbaria-type","Scilla-type","Tilia","Juniperus","Galium-type","Pteridium","Abies","Vicia-type","Trifolium-type","Brassica-type","Ranunculus undiff.","Scrophularia/Verbascum","Ceratonia","Ephedra distachya-type","Ranunculus sceleratus-type","Sanguisorba-type","Delphinium-type","Sparganium-type","Fagopyrum","Linum","Clematis-type","Cotinus coggygria","Ranunculus sect. Batrachium-type","Lomelosia rotata-type","Bupleurum-type","Euphorbia","Fagus","Filipendula","Plantago media-type","Acanthus","Artemisia vulgaris-type","Mercurialis annua","Cirsium/Gundelia","Phillyrea","Ranunculaceae","Ranunculus acris","Hymenophyllum flabellatum","Corylus","Ranunculus asiaticus-type","Apium-type","Centaurea jacea-type","Convolvulus","Myriophyllum spicatum/M. verticillatum","Datisca","Equisetum","Allium","Lythrum","Persicaria maculosa-type","Cladium mariscus","Valeriana","Arbutus","Alisma","Campanula-type","Hypericum perforatum-type","Botrychium","Anthoceros laevis-type","Calystegia","Succisa"
10214,10429,10008,2845,"","","","","","","","","","","","","","","","2","","2","65","","1","1","","","","1","","","7","3","4","2","1","4","","4","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
10268,10484,10059,2860,"","","","","1","","","","1","","","","","","","","","1","54","","","17","12","4","1","","18","","21","7","1, 14","9","14","56","3","1","5","","","","","1","","","1","2","1","5","","","2","","","","","","","10","1","5","9","3","","","","","","2","","","1","","","","","","","","","","","","1","5","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","",""
10339,10559,10128,2880,"2","","","","5","","","","","1","1","","","","","3","1","","78","","","20","3","","4","4","8","1","22","21","2, 17","26","20","39","1","22","8","","","","","1","","","","2","2","2","","","","1","","","","","","31","","","3","2","","","","","","2","","","","","","","","","","1","","","","","","2","2","","","","","1","","","2","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","","","",""
10393,10615,10180,2895,"3","","","","","","","","","","","","","","","","","","10","","","","3","4","9","","","","","","1","2","1","4","1","4","","","","","","","","","","1","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","5","5","",""
10483,10708,10265,2920,"","","","","","","","","","","","","","","","","","","5","","","","","","2","","","","","","","2","","2","1","3","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","1","",""
10555,10783,10334,2940,"3","","","1","","","","","","","3","1","","1","","","3","","37","","","11","15","","12","5","16","1","13","20","9","9","35","","11","5","2","","","","","1","1","","","","","","","","","","","","","1","1","14","","","3","1","","","","","","3","40","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","","2","","2","","","","","","","","","","","","",""
11004,11249,10761,3065,"","","","11","","","","","","","","","","","","","","","19","","","","5","4","10","","","3","","","1","1","13","1","2","4","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","4","5","",""
11058,11304,10812,3080,"","","","2","","","","","","","","","","","","","","","9","","","","10","","5","","","","","","4","1","5","","","2","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
11112,11360,10863,3095,"","","","","","","","","","2","","","","","","","","","1","","","","1","","","","","","","","1","2","1","1","15","","2","1","","","","","1","","","","","","","","","","","","","","","4","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","",""
11201,11454,10949,3120,"","","","2","","","","","","1","","","","","1","","2","","98","","","","5","","14","1","","7","7","12","5, 9","14","2","8","11","20","3","","","","","","","","1","6","","","1","","","","","","","1","","3","1","3","1","8","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","5","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","14","","1","2"
11273,11529,11017,3140,"","","","","","","","","","","","","","","","4","","","45","","","1","1","","3","","","","3","4","1, 2","2","18","6","","","2","","","","","","","","","","","","","1","1","","","","","","","9","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11327,11585,11068,3155,"1","","","","","","","","","1","","","","","","","","","14","","","","4","2","1","1","","","","6","5","1","5","1","2","5","1","","","","","2","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","3","","","1"
11435,11698,11171,3185,"","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
11543,11810,11273,3215,"1","","","","","","","","","","","","","","","","","","6","","","","1","2","1","","","","","","","","1","4","","1","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
11597,11866,11324,3230,"","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11686,11960,11409,3255,"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11758,12035,11478,3275,"2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11812,12091,11528,3290,"","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11902,12185,11614,3315,"","","","","","","","","","","","","","","","","","","","","","","3","","3","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","6","","",""
12099,12392,11801,3370,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12171,12466,11868,3390,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","4","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
12261,12560,11953,3415,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
12351,12654,12039,3440,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12423,12729,12106,3460,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","",""
12530,12843,12209,3490,"","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","2","1","4","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
12602,12918,12277,3510,"","","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","1, 1","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
