"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Lilium","Olea","Delphinium-type","Artemisia vulgaris-type","Ranunculus repens-type","Platanus","Juniperus","Centaurea solstitialis-type","Quercus coccifera-type","Quercus cerris-type","Brassica-type","Cedrus","Amaranthaceae","Artemisia herba-alba-type","Sparganium-type","Cyperaceae","Poaceae","Pinus","Pseudopediastrum boryanum","Pseudopediastrum kawraiskyi","Betula","Fagus","Polygonum aviculare-type","Thalictrum","Juglans","Plantago lanceolata-type","Rumex acetosa-type","Sanguisorba-type","Centaurea cyanus-type","Mercurialis annua","Scorzonera-type","Anisosciadium-type","Unknown","Fabaceae","Trifolium-type","Cirsium/Gundelia","Matricaria-type","Apiaceae","Equisetum","Lemna","Galium-type","Cladium mariscus","Castanea","Cichorioideae","Picea","Prunus-type","Salix","Capsella-type","Echium-type","Dryopteris-type","Pteridium","Pediastrum","Potamogeton","Abies","Eryngium-type","Hippophaë","Noaea-type","Poaceae (Cerealia-type)","Caltha","Crassulaceae","Typha latifolia","Alnus","Pistacia","Alisma","Helianthemum","Plantago media-type","Phillyrea","Fraxinus ornus","Apium-type","Bunium-type","Filago-type","Hippuris","Ulmus","Lotus-type","Vitis","Knautia","Ostrya/Carpinus orientalis","Plantago maritima-type","Sambucus nigra-type","Thymus/Mentha","Armeria/Limonium","Isoëtes","Corylus","Myriophyllum spicatum/M. verticillatum","Lomelosia rotata-type","Senecio-type","Anagallis","Epilobium","Euphorbia","Humulus/Cannabis","Onopordum-type","Geranium","Lysimachia","Tribulus","Scilla-type","Cerinthe-type","Ranunculus peltatus-type","Rhus","Ephedra fragilis-type","Dipsacus-type","Daphne","Ranunculus sceleratus-type","Carthamus","Tilia","Valerianella","Centaurea scabiosa-type","Matthiola","Plantago coronopus-type","Onobrychis-type","Lycopodium","Botrychium","Campanula-type","Vicia-type","Turgenia-type","Centranthus","Haplophyllum","Asteroideae","Carduus-type","Cousinia","Linum","Plantago major-type","Plantago arenaria","Linaria","Taxus","Sphagnum","Ophioglossum","Ephedra distachya-type","Verbena","Prosopis","Heliotropium-type","Lythrum","Rumex hydrolapathum","Ranunculus asiaticus-type","Ranunculus sect. Batrachium-type","Inula-type"
3563,4017,3067,170,5,NA,3,NA,1,NA,NA,3,131,2,3,23,329,91,48,94,14,19,136,NA,NA,1,NA,6,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,2,15,74,7,NA,1,2,NA,NA,107,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3867,4378,3306,180,8,NA,NA,NA,NA,NA,NA,NA,125,NA,1,12,116,119,72,68,2,15,201,NA,NA,2,NA,3,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,19,64,2,NA,NA,1,NA,NA,116,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,1,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4171,4740,3545,190,6,NA,3,1,NA,NA,NA,1,166,NA,1,19,149,188,46,146,16,12,413,NA,NA,NA,NA,3,1,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,18,101,6,NA,1,1,NA,NA,133,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4476,5103,3785,200,5,NA,NA,NA,NA,NA,NA,1,87,NA,1,3,43,97,47,164,27,20,665,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,2,NA,NA,2,16,47,3,4,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,5,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4780,5466,4023,210,11,NA,3,NA,NA,NA,NA,2,211,NA,2,16,86,146,63,115,53,17,519,NA,NA,1,NA,6,NA,2,NA,NA,1,11,NA,1,1,NA,NA,7,45,120,3,NA,NA,1,NA,NA,156,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,14,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5084,5829,4261,220,5,NA,NA,NA,NA,NA,NA,NA,41,NA,3,4,34,57,58,13,14,8,374,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,12,26,2,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5388,6193,4499,230,NA,NA,NA,NA,NA,NA,NA,1,19,NA,1,NA,19,12,10,2,9,4,238,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5692,6557,4738,240,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,15,3,10,3,1,3,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5997,6921,4976,250,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,25,18,9,4,8,2,285,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,1,NA,NA,NA,NA,NA,11,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6301,7285,5214,260,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,25,5,2,2,2,1,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9343,10928,7590,360,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,2,1,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9647,11293,7828,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,230,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9951,11658,8066,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14818,17490,11865,540,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,1,83,46,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
15123,17854,12102,550,NA,NA,NA,NA,NA,NA,NA,1,75,NA,NA,NA,19,423,209,NA,1,4,19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,153,NA,NA,NA,2,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA
15427,18219,12340,560,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,20,505,284,NA,2,8,25,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,109,1,NA,NA,1,NA,NA,59,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
15731,18584,12578,570,NA,NA,NA,NA,1,1,NA,1,37,NA,1,1,5,81,121,NA,2,1,9,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,60,NA,NA,NA,NA,NA,NA,19,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
16035,18948,12815,580,1,NA,NA,NA,2,10,NA,NA,170,NA,NA,NA,17,468,641,NA,16,24,44,NA,NA,4,NA,20,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,2,47,464,NA,1,NA,4,NA,NA,152,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,13,NA,NA,1,NA,NA,NA,NA,NA
16339,19313,13053,590,NA,NA,NA,NA,NA,17,NA,NA,143,NA,2,NA,12,207,262,NA,3,11,34,NA,NA,2,NA,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,361,5,NA,NA,3,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA
16644,19677,13290,600,NA,NA,NA,NA,NA,12,NA,NA,46,NA,NA,NA,11,100,70,NA,NA,13,21,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,312,1,1,NA,1,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,1,NA,NA,NA
