"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Cistaceae","Alnus","Acer","Solanaceae","Scabiosa","Monoletes","Triletes","Urticaceae","Centaurea","Pistacia","Brassicaceae","Rosaceae","Vitis","cf. Juniperus","Tamarix","Sparganium-type","Myriophyllum","Fabaceae","Asteroideae","Quercus (deciduous)","Cichorioideae","Erica","Poaceae (Cerealia-type)","Artemisia","Plantago","Cyperaceae","Quercus (evergreen)","Poaceae","Olea/Phillyrea","Pinus","Amaranthaceae","Limonium","Coriaria","Cedrus","Apiaceae","Lygeum","Ephedra fragilis-type","Chamaerops","Ruppia","Rhamnus","Rumex","Potamogeton","Ephedra distachya-type","Caryophyllaceae","Buxus","Juglans","Corylus","Thymelaeaceae","Lamiaceae","Plumbaginaceae","Armeria","Fagus","Fraxinus","Polygala","Glaucium","Salix","Ulmus","Viburnum","Echium","Malvaceae","Polypodium","Euphorbia","Mercurialis","Papaveraceae","Poterium sanguisorba","Hypecoum","Borago","Fumaria","Typha latifolia-type","Sambucus","Geraniaceae","Persicaria amphibia","Ranunculaceae","Tilia","Abies","Asphodelus"
3087,NA,NA,90,NA,3,NA,NA,NA,NA,1,1,2,NA,NA,4,NA,NA,13,NA,NA,NA,NA,2,2,1,14,NA,59,6,8,79,39,5,157,92,NA,NA,NA,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3224,NA,NA,92,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,1,1,2,9,NA,37,2,6,52,20,2,144,48,NA,NA,NA,1,NA,4,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3361,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,NA,NA,17,6,2,287,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4321,NA,NA,108,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,1,4,NA,2,2,NA,9,4,NA,224,1,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5487,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6790,NA,NA,144,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,2,NA,2,NA,NA,1,1,NA,1,NA,9,2,1,43,11,4,246,4,NA,NA,2,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7887,NA,NA,160,1,5,NA,NA,NA,1,NA,NA,1,NA,2,1,2,1,8,NA,2,NA,2,1,8,1,1,NA,20,7,4,72,30,7,180,15,NA,NA,NA,4,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8230,NA,NA,165,2,2,1,NA,NA,1,NA,NA,1,1,1,2,1,NA,2,NA,1,NA,1,2,5,NA,1,NA,14,8,3,84,21,7,149,10,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8346,NA,NA,170,1,5,1,NA,NA,1,1,2,NA,NA,2,NA,2,1,4,NA,2,NA,2,NA,15,NA,NA,NA,30,8,4,107,39,11,163,16,NA,1,NA,3,2,3,NA,2,NA,1,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8519,NA,NA,180,3,4,NA,NA,NA,NA,1,NA,4,NA,12,1,NA,NA,10,1,2,NA,NA,7,21,1,NA,NA,21,12,7,116,16,15,139,33,NA,1,NA,4,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
