"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Ephedra","Olea","Arbutus","Pteridium aquilinum","Zygnemataceae","Centaurea","Berberis","Quercus (deciduous)","Juglans","Caryophyllaceae","Quercus (evergreen)","Pinus pinaster","Genista-type","Polygonum aviculare-type","Rhamnus","Cistaceae","Plantago","Asteraceae","Amaranthaceae","Indeterminable (unknown)","Lamiaceae","Spermatophyta undiff. (trees/shrubs)","Riccia","Artemisia","Poaceae","Juniperus","Pinus","Cyperaceae","Pseudoschizaea","Fungi","Lycopodium spike","Ulmus","Acer","Corylus","Typha","Pistacia","Phillyrea","Fraxinus","Betula","Salix","Ilex","Potamogeton","Myriophyllum","Ericaceae","Taxus","Buxus","Thymelaeaceae"
2485.4,NA,NA,78,"12542, 2","5","1","3","","70","","","5","1","","22","9","","","","6","","12","2","12","3","","","5","45","6","304","14","5","18","157","1","","1","9","","","","2","","","2","4","","","",""
2502.8,NA,NA,79,"12542, 2","4","1","4","","40","","","11","2","","18","15","","","","5","","10","1","3","6","","","10","13","19","348","23","","9","153","2","","1","","","","","","1","","7","3","","","",""
2520,NA,NA,80,"12542, 2","1","","1","","53","","","17","","","31","14","","","","2","","8","","","3","","","12","11","7","367","14","","14","137","","1","","5","1","","","","3","","5","3","","","",""
2536.7,NA,NA,81,"12542, 2","2","1","","","60","","","11","","","19","13","","","","3","","3","","16","4","","","14","22","12","310","13","","24","141","","","","4","2","","","1","2","","4","2","","","",""
2553.7,NA,NA,82,"12542, 2","2","2","1","","62","","","10","","","21","9","","","","4","3","7","3","12","4","","","8","23","9","335","24","2","21","144","","","","6","","1","1","2","1","","8","5","","","",""
2570.7,NA,NA,83,"12542, 2","2","1","","","55","","","11","","","19","10","","","","4","4","4","4","11","5","","","9","27","16","350","35","12","23","150","","1","","6","","","2","","2","","4","","","","",""
2587.9,NA,NA,84,"12542, 2","","","","","54","","","10","","","16","12","","","","5","4","3","7","8","4","","","9","18","4","321","12","10","17","150","2","","3","8","","","","2","2","","","","","","",""
2604.8,NA,NA,85,"12542, 2","1","","1","","63","","","17","","","30","15","","","","8","","3","5","9","6","","","16","29","11","333","9","","15","150","3","","3","7","3","2","","","","","3","","","","",""
2621.2,NA,NA,86,"12542, 2","2","","3","","39","","","10","","","23","18","","","","9","","4","2","15","5","","","13","19","17","298","19","11","16","150","1","","","2","","3","2","3","2","","4","2","","","",""
2637.6,NA,NA,87,"12542, 2","2","1","","","33","","","6","1","","21","8","","","","9","","3","2","9","6","","","10","49","20","321","18","5","31","150","4","1","2","7","","","2","3","2","","5","","","","",""
2654,NA,NA,88,"12542, 2","","2","","","40","","1","10","2","","21","16","","","","5","","2","3","3","7","1","","11","30","17","358","28","5","22","144","","","","9","","","","","2","","5","","","","",""
2670.4,NA,NA,89,"12542, 2","1","","","","83","","1","17","","","27","6","","","","12","","10","2","3","6","1","","12","41","5","338","25","4","22","143","1","","","2","","4","2","","","","3","","","","",""
2686.9,NA,NA,90,"12542, 2","3","1","","","44","","1","7","","","22","18","","","","3","1","9","1","5","7","1","","14","40","15","327","10","","16","148","2","","1","9","2","2","","1","","1","4","1","","","",""
2703.2,NA,NA,91,"12542, 2","2","1","1","","64","","","16","","","17","9","","","","10","1","8","","11","6","","","4","38","13","399","11","6","15","158","1","","","8","1","3","","4","1","","2","","8","","",""
2720,NA,NA,92,"12542, 2","1","1","2","","33","","","10","","","26","17","","","","7","2","6","","9","5","","","10","13","10","326","12","7","16","150","1","","","4","1","","","","2","","2","","","","",""
2737.3,NA,NA,93,"12542, 2","2","1","1","","38","","","19","","","29","15","","","","4","3","7","2","5","5","","","14","23","11","349","21","19","12","146","2","","","5","3","3","1","5","","","1","2","","","",""
2754.3,NA,NA,94,"12542, 2","2","2","","","48","","","18","","","27","14","","","","2","2","5","1","7","3","","","13","30","8","290","35","","31","150","","","1","7","2","2","","","2","","1","3","","","",""
2771.6,NA,NA,95,"12542, 2","1","2","1","","15","","","21","","","28","27","","","","10","","5","1","8","5","","","11","25","9","311","22","","30","169","","","5","8","","","","","1","1","","4","","","",""
2791.6,NA,NA,96,"12542, 2","2","3","","","18","","","28","","","17","16","","","","4","","5","1","12","4","","","6","21","10","389","21","","33","178","","5","7","9","","2","2","5","2","1","9","2","","","",""
2812.1,NA,NA,97,"12542, 2","3","4","1","","45","","","32","","","25","32","","","","7","5","5","2","7","3","","","7","41","7","323","11","1","15","170","1","4","3","11","4","3","5","5","1","","7","","","5","",""
2833,NA,NA,98,"12542, 2","1","5","","","90","","1","26","","","18","20","","","","7","6","4","3","8","4","1","","5","44","7","351","33","12","15","170","2","3","6","11","2","2","6","3","","","8","2","","5","",""
2853.8,NA,NA,99,"12542, 2","2","","","","49","","","29","","","24","17","","","","4","3","5","2","9","6","","","18","38","20","298","14","6","14","170","1","2","3","12","","2","","","","","2","3","","","",""
2874.5,NA,NA,100,"12542, 2","2","2","2","","80","","","15","","","19","1","","","","4","4","7","3","11","1","","","11","48","28","289","9","","12","190","2","","","5","","5","","4","2","","9","","","","",""
2904.9,NA,NA,101,"12542, 2","3","2","","","47","","","8","1","","21","1","","","","5","3","8","2","12","9","","","29","36","16","270","17","","21","190","4","","3","5","2","","","","1","","4","","","","",""
2935.6,NA,NA,102,"12542, 2","","3","","","67","","","5","1","","17","2","","","","6","","8","10","1","4","","","12","33","22","275","19","12","16","167","5","","","9","3","","","1","","","9","","4","","",""
2966.2,NA,NA,103,"12542, 2","","4","1","","49","","","10","2","","16","","","","","5","","4","7","11","6","","","11","32","18","290","12","","21","178","2","","5","9","2","7","","","2","","8","2","7","","",""
2997.3,NA,NA,104,"12542, 2","3","1","2","","40","","","10","","","18","5","","","","5","2","3","4","","7","","","10","35","21","283","21","","9","170","3","","2","3","1","6","","","1","","3","3","","","",""
3028.2,NA,NA,105,"12542, 2","2","","1","","60","","","14","","","15","4","","","","3","","7","8","8","5","","","18","33","19","308","22","","11","150","","","2","9","","3","","2","2","","2","5","","","",""
3083.6,NA,NA,106,"12542, 2","","","","","71","","","8","","","17","10","","","","6","","5","11","5","7","","","12","27","17","271","17","","20","150","","","","8","2","4","","3","1","","4","3","","","",""
3139.4,NA,NA,107,"12542, 2","1","2","","","58","","","10","","","20","12","","","","5","","6","3","14","6","","","13","26","16","284","7","","22","155","1","","","7","4","4","","3","3","","5","7","","","",""
3194.7,NA,NA,108,"12542, 2","","1","","","48","","","6","","","19","9","","","","3","2","1","2","9","5","","","19","36","16","277","4","","30","143","2","","","6","2","","","","","","6","","","","",""
3304.9,NA,NA,110,"12542, 2","1","","1","","33","","","9","","","27","10","","","","7","","2","3","8","2","","","16","26","18","270","9","1","15","156","","","3","5","","","","","","","6","","","","",""
3422,NA,NA,112,"12542, 2","2","1","1","","71","","2","13","","","34","5","","","","6","","6","10","12","3","2","","15","16","14","304","16","2","18","150","","2","","5","","","","1","","","4","9","5","","",""
3539.2,NA,NA,114,"12542, 2","2","4","","","29","","","11","","","20","4","","","","8","","11","7","5","2","","","11","16","19","288","27","5","21","149","","","1","5","","5","","","1","1","6","","5","","",""
3653.5,NA,NA,116,"12542, 2","","3","1","","44","","","12","","","28","2","","","","8","2","10","3","8","","","","13","17","15","279","8","16","11","171","","","2","4","1","","","","2","","3","1","1","","",""
3765.3,NA,NA,118,"12542, 2","1","2","","","28","","","8","1","","12","8","","","","3","","9","2","5","","","","18","21","13","290","7","25","19","150","1","","3","9","2","","1","4","1","1","7","2","","","",""
3930.4,NA,NA,121,"12542, 2","","","","","42","","","11","","","22","9","","","","5","","6","1","6","","","","12","25","23","325","10","","28","150","2","","","8","2","3","","","2","1","6","","","","",""
4038.9,NA,NA,123,"12542, 2","","5","","","37","","2","15","1","","17","7","","","","2","","5","4","4","5","2","","19","35","16","264","9","","23","140","","3","2","8","3","6","","5","","","5","4","","","",""
4147.4,NA,NA,125,"12542, 2","","3","1","","56","","","9","","","16","6","","","","7","","5","6","9","4","","","20","34","21","289","8","","34","148","","","6","7","4","4","","3","1","","4","5","","","",""
4244,NA,NA,127,"12542, 2","4","2","1","","47","","","12","1","","15","7","","","","2","3","5","5","12","3","","","17","39","22","278","7","21","35","150","","","3","8","","6","","2","2","","9","3","","","",""
4387.5,NA,NA,130,"12542, 2","3","3","1","","38","","","5","","","19","13","","","","6","","4","7","4","","","","10","31","29","324","16","7","11","151","","","","6","3","3","","2","1","","6","3","","","1",""
4456.1,NA,NA,132,"12542, 2","2","4","","","82","","","6","1","","24","7","","","","4","","7","4","9","","","","3","44","35","329","8","12","16","150","2","","3","5","5","4","","4","","1","10","5","","","",""
4524.8,NA,NA,134,"12542, 2","","1","","","66","","","10","1","","23","5","","","","5","","6","2","8","","","","6","32","23","398","7","13","27","150","3","","1","4","3","5","","3","2","2","5","9","1","","",""
4558.6,NA,NA,135,"12542, 2","","","1","","45","","","5","","","19","11","","","","5","1","5","","11","","","","6","55","15","289","6","5","29","160","1","2","5","9","5","4","","6","3","1","6","4","","","",""
4586.3,NA,NA,136,"12542, 2","1","7","2","","63","","","13","","","15","6","","","","4","2","2","","7","2","","","4","26","8","288","5","6","21","165","4","","2","12","4","3","2","5","3","","7","5","","","1",""
4614.5,NA,NA,137,"12542, 2","2","3","3","","29","","","9","","","12","4","","","","4","3","4","2","7","3","","","2","21","","253","7","7","21","167","5","","","11","3","6","","5","1","","5","3","","","",""
4642.8,NA,NA,138,"12542, 2","","2","","","80","","1","9","","","29","5","","","","","2","10","1","7","","1","","3","19","5","280","26","","34","180","2","","3","3","5","5","","4","2","","5","3","","","",""
4670.7,NA,NA,139,"12542, 2","","5","2","","77","","","8","","","21","6","","","","5","3","8","","9","","","","","26","6","277","5","","21","150","3","","5","5","2","3","","3","2","","6","2","","","",""
4698.3,NA,NA,140,"12542, 2","","4","","","55","","","12","","","15","17","","","","1","","4","","11","","","","4","27","","299","5","","25","150","4","","3","10","","2","","","1","1","7","7","","","1",""
4731.4,NA,NA,141,"12542, 2","","","2","","47","","","7","","","20","7","","","","2","","9","","12","","","","3","38","","295","3","","11","150","3","","5","9","","2","","1","2","1","3","","","","1",""
4764.2,NA,NA,142,"12542, 2","","2","","","38","","","37","","","5","13","","","","2","","6","","6","","","","5","31","3","321","4","","36","150","3","","6","8","5","5","","5","1","2","3","3","","","",""
4796.7,NA,NA,143,"12542, 2","1","3","2","","60","","","21","","","","11","","","","4","","5","","1","","","","","41","","254","23","5","16","155","2","2","6","7","3","2","","3","1","","8","4","","","",""
4829.1,NA,NA,144,"12542, 2","2","","","","52","","","30","1","","5","20","","","","3","","2","","12","","","","4","33","6","264","17","5","14","160","1","1","4","5","4","1","3","8","2","","8","5","4","","","2"
4861.5,NA,NA,145,"12542, 2","","6","","","57","","","19","","","5","10","","","","2","3","9","","9","","","","3","42","2","288","12","5","16","150","1","","8","3","5","2","","4","5","1","7","6","12","","","1"
4907.8,NA,NA,146,"12542, 2","","6","1","","58","","","36","","","7","9","","","","3","4","4","","7","","","","2","18","3","279","9","","19","150","2","","5","6","","3","","6","2","1","9","5","3","","1",""
4954,NA,NA,147,"12542, 2","","9","1","","80","","","22","","","8","17","","","","4","2","3","","10","2","","","","27","","294","7","","25","156","3","","6","3","4","5","","7","4","2","3","4","3","","2",""
4999.6,NA,NA,148,"12542, 2","","7","","","77","","","17","1","","8","21","","","","3","5","2","1","9","","","","","33","","302","9","","22","170","1","3","8","4","","3","2","5","3","","3","3","3","","1",""
5043.9,NA,NA,149,"12542, 2","","10","","","67","","","38","2","","8","16","","","","2","","7","","7","","","","","34","9","291","7","7","21","150","6","","3","8","5","5","3","5","2","1","4","5","5","","",""
5088.4,NA,NA,150,"12542, 2","","2","","","49","","","40","","","4","13","","","","1","","13","","6","","","","","32","5","270","5","","33","153","3","1","7","7","1","4","2","5","3","1","4","5","13","","",""
5137.1,NA,NA,151,"12542, 2","","5","1","","85","","","24","1","","","11","","","","2","3","4","","6","","","","3","27","2","288","5","","13","144","4","2","7","1","5","1","","7","1","2","5","6","2","1","1",""
5185.3,NA,NA,152,"12542, 2","","5","1","","47","","","19","1","","5","10","","","","3","","3","","8","","","","2","28","","266","4","","21","150","4","2","4","2","3","5","","12","1","","5","3","3","","2","5"
5233.9,NA,NA,153,"12542, 2","","4","3","","38","","","10","","","7","15","","","","2","4","10","","6","1","","","","41","4","275","5","","32","150","4","","7","5","4","2","","7","5","","9","","3","","1","3"
5281.1,NA,NA,154,"12542, 2","","5","","","12","","","35","","","","13","","","","","4","6","","5","","","","","36","3","254","4","","14","155","3","1","5","3","4","3","3","11","6","1","1","","3","","1","2"
5327.3,NA,NA,155,"12542, 2","","5","1","","58","","1","20","","","5","18","","","","1","","4","","14","","1","","","33","","283","3","","19","145","4","3","10","7","6","5","","13","2","1","7","5","2","1","",""
5375.8,NA,NA,156,"12542, 2","","4","2","","67","","","33","1","","","19","","","","1","","3","","11","","","","","32","","278","4","12","18","156","5","2","8","6","5","4","4","5","3","1","10","5","11","","1",""
5472,NA,NA,158,"12542, 2","","5","3","","48","","","19","","","8","22","","","","2","","4","1","9","","","","","28","3","267","3","11","29","154","6","2","4","11","3","5","","11","4","2","10","4","2","","1","5"
5568.4,NA,NA,160,"12542, 2","","3","4","","83","","","40","2","","8","20","","","","3","3","2","","7","","","","","19","2","298","3","4","30","157","2","3","7","10","4","3","4","9","2","1","11","3","8","1","1",""
5616.5,NA,NA,161,"12542, 2","","12","5","","73","","","19","","","4","19","","","","3","4","5","","9","","","","1","20","","291","7","6","10","154","1","3","8","4","5","5","5","8","4","","7","4","2","","2",""
5664.9,NA,NA,162,"12542, 2","","5","3","","58","","","25","","","7","15","","","","2","","4","","12","","","","","34","9","300","5","","11","152","5","2","5","3","5","4","5","7","5","1","7","6","11","2","1","4"
5760.4,NA,NA,164,"12542, 2","","6","2","","49","","","34","","","5","19","","","","2","","3","","9","","","","","22","5","279","","","12","150","3","2","10","7","4","7","","4","6","2","9","4","5","","1",""
5854.5,NA,NA,166,"12542, 2","","4","2","","55","","","32","","","5","12","","","","2","2","1","","7","","","","","45","","256","5","","12","145","4","","3","6","3","6","6","12","4","1","13","9","3","3","2",""
5993.5,NA,NA,169,"12542, 2","","10","4","","44","","","38","1","","3","13","","","","1","","2","","6","","","","2","23","3","287","8","10","13","150","4","3","8","5","5","5","5","10","5","","12","9","4","","1","3"
