"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caltha","Castanea","Euphorbia","Tilia","Vitis","Zea mays","Fabaceae","Stachys-type","Papaver","Carpinus betulus","Oleaceae","Buxus","Ephedra fragilis-type","Plantago maritima-type","Thymus/Mentha","Ophioglossum","Asplenium","Abies","Ericaceae","Salix","Typha latifolia","Ulmus","Apiaceae","Alnus","Rosaceae","Galium-type","Brassica-type","Plantago media-type","Phillyrea latifolia","Thelypteris palustris","Plantago undiff.","Pistacia","Urtica","Centaurea cyanus-type","Ranunculus sceleratus-type","Poterium sanguisorba","Dryopteris-type","Humulus/Cannabis","Capsella-type","Centaurea solstitialis-type","Fraxinus ornus","Corylus","Asteroideae","Matricaria-type","Sparganium-type","Juglans","Olea","Caryophyllaceae","Cichorioideae","Xanthium","Plantago lanceolata-type","Quercus coccifera-type","Platanus","Cyperaceae","Rumex acetosa-type","Polygonum aviculare-type","Fagus","Unknown","Pteridium","Amaranthaceae","Ostrya/Carpinus orientalis","Poaceae (Cerealia-type)","Quercus cerris-type","Artemisia herba-alba-type","Juniperus","Pinus","Poaceae","Betula","Nymphaea","Potamogeton","Senecio-type","Myriophyllum spicatum/M. verticillatum","Viburnum-type","Bunium-type","Solanum nigrum","Isoëtes","Cedrus","Mercurialis annua","Ranunculus asiaticus-type","Asperula-type","Scrophularia/Verbascum","Artemisia vulgaris-type","Allium","Cuscuta","Potentilla-type","Liliaceae","Lysimachia","Vicia-type","Ranunculus acris","Rhinanthus-type","Spergularia-type","Cirsium/Gundelia","Fraxinus excelsior","Matthiola","Paliurus","Solanum dulcamara","Lomelosia rotata-type","Polypodium","Thalictrum","Ranunculaceae","Turgenia-type","Sambucus nigra-type","Equisetum","Malva","Trifolium-type","Persicaria maculosa-type","Helianthemum","Tamarix","Plantago coronopus-type","Rumex hydrolapathum","Sanicula","Aquilegia-type","Carthamus","Arceuthobium oxycedri","Geranium","Carduus-type","Scorzonera-type","Nigella","Clematis-type","Rhamnaceae","Acer","Linum","Prunella-type","Anemone","Theligonum","Delphinium-type","Asphodelus","Centaurea scabiosa-type","Ephedra distachya-type","Crocus","Convolvulus","Gentiana","Heliotropium-type","Tribulus terrestris","Pseudopediastrum boryanum","Picea","Alisma","Lotus-type","Arctium/Jurinea","Urtica pilulifera-type","Malabaila","Campanula-type","Filipendula","Hypericum perforatum-type","Noaea-type","Cheilanthes","Taxus","Persicaria amphibia","Valeriana","Populus","Pimpinella-type","Haplophyllum","Brassicaceae","Echinops","Ranunculus arvensis-type","Cornus mas","Eryngium-type","Hydrocotyle","Plantago major-type","Symphytum-type","Rhus","Ranunculus sect. Batrachium-type","Salvinia","Prunus-type","Centaurea","Cladium mariscus","Hypericum hirtellum var. assyriacum-type","Valerianella","Echium-type","Filago-type","Anchusa/Pulmonaria","Primulaceae","Osmunda regalis","Anagallis","Pediastrum duplex","Sanguisorba officinalis","Dipsacoideae","Erodium","Hedera","Quercus ilex-type","Pseudopediastrum brevicorne","Myriophyllum alterniflorum","Teucrium","Monactinus simplex","Scrophulariaceae"
981,1118,849,220,NA,NA,NA,1,5,NA,2,NA,NA,5,NA,NA,1,NA,1,1,NA,3,NA,NA,NA,1,NA,10,NA,1,3,NA,NA,1,4,3,1,NA,4,4,3,10,4,7,2,4,8,6,4,7,NA,10,17,2,9,1,6,11,8,28,61,25,39,11,41,57,142,17,6,145,134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1,NA,2,NA,1,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1196,1325,1061,240,NA,NA,NA,1,1,NA,3,NA,NA,4,NA,NA,NA,NA,NA,2,NA,15,4,NA,2,NA,NA,12,2,1,2,4,NA,NA,NA,5,1,NA,NA,1,4,7,4,8,8,12,1,7,1,NA,1,3,4,NA,5,4,5,12,1,14,66,14,26,8,62,17,267,4,1,165,101,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1231,1360,1096,243,NA,NA,NA,1,4,NA,NA,NA,NA,8,NA,NA,NA,1,NA,1,NA,4,7,NA,NA,3,NA,13,1,1,NA,3,2,NA,NA,NA,NA,NA,2,4,3,7,1,3,6,8,NA,3,NA,7,15,2,4,NA,5,12,2,12,8,12,59,5,36,6,83,17,269,8,24,68,61,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,1568,1304,260,NA,NA,NA,NA,1,NA,2,1,NA,3,NA,NA,NA,3,NA,NA,3,NA,2,7,3,2,NA,20,NA,3,2,1,1,NA,NA,NA,NA,NA,NA,3,4,1,1,4,3,3,NA,7,4,3,1,3,6,NA,3,7,NA,38,7,4,24,10,10,5,34,9,253,15,18,10,103,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1703,1835,1573,280,NA,3,1,NA,9,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,2,3,3,NA,NA,NA,5,1,2,3,2,NA,NA,7,4,1,1,1,3,7,4,1,4,1,6,6,2,9,9,5,6,11,NA,19,5,1,29,19,67,11,22,34,19,10,43,94,21,47,33,145,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,2,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,2122,1855,300,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,4,3,4,3,NA,NA,NA,NA,4,NA,NA,1,NA,2,5,1,1,8,2,5,2,5,7,4,8,10,9,1,5,4,NA,21,16,36,7,7,120,20,23,5,141,30,19,10,88,1,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2297,2431,2156,320,NA,NA,NA,NA,2,NA,1,NA,NA,3,2,NA,1,3,NA,NA,NA,2,1,1,NA,1,NA,2,NA,2,2,2,1,1,NA,1,NA,NA,1,1,6,2,2,NA,1,5,1,5,4,8,6,3,11,NA,9,12,1,17,11,17,23,20,47,12,27,18,190,17,15,68,72,1,NA,2,NA,2,NA,2,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2376,2511,2234,325,NA,NA,NA,1,1,NA,3,NA,1,3,NA,NA,1,2,NA,NA,NA,4,NA,1,NA,2,NA,3,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,6,1,NA,2,1,2,3,4,1,5,4,NA,6,NA,2,2,NA,17,5,26,15,18,22,8,21,20,162,11,9,104,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2457,2592,2313,330,NA,NA,NA,2,3,NA,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,68,1,NA,1,1,2,8,2,1,2,2,2,NA,6,3,NA,NA,NA,2,7,1,NA,5,NA,6,2,2,3,3,4,7,15,NA,3,4,1,30,4,25,37,30,15,6,39,33,316,7,17,363,76,3,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,1,8,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2539,2675,2394,335,NA,NA,NA,1,NA,NA,1,NA,NA,8,1,NA,NA,NA,1,NA,NA,124,2,NA,NA,2,NA,6,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,3,NA,NA,2,NA,7,NA,3,NA,3,2,3,11,NA,3,1,NA,33,6,19,29,24,18,3,38,17,262,14,21,361,83,2,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2622,2759,2476,340,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,3,1,NA,173,1,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,2,1,NA,NA,1,1,3,NA,NA,2,NA,8,2,1,1,NA,1,1,4,1,NA,2,NA,20,NA,7,32,7,15,7,14,10,95,4,4,379,29,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
