"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Castanea","Geranium","Tilia","Asteroideae","Anemone","Galium-type","Cistus","Fraxinus ornus","Myriophyllum spicatum/M. verticillatum","Plantago coronopus-type","Ranunculus repens-type","Rumex hydrolapathum","Spartium","Caryophyllaceae","Salix","Thalictrum","Rumex acetosa-type","Artemisia vulgaris-type","Fraxinus excelsior","Bunium-type","Juglans","Rosaceae","Capsella-type","Ephedra fragilis-type","Matricaria-type","Vitis","Olea","Centaurea solstitialis","Platanus","Polygonum aviculare-type","Apiaceae","Juniperus","Scrophularia/Verbascum","Dryopteris-type","Isoëtes","Poterium sanguisorba","Plantago maritima-type","Artemisia herba-alba","Carpinus betulus","Cichorioideae","Pistacia","Poaceae (Cerealia-type)","Ericaceae","Amaranthaceae","Fagus","Unknown","Corylus","Plantago lanceolata-type","Ulmus","Phillyrea","Pteridium","Alnus","Sparganium-type","Brassica-type","Abies","Oleaceae","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Quercus coccifera-type","Poaceae","Quercus robur-type","Pseudopediastrum boryanum","Nymphaea","Typha latifolia","Fabaceae","Ranunculus sceleratus-type","Ferula-type","Asperula-type","Acer","Betula","Centaurea","Plantago major-type","Hedera","Rhinanthus-type","Teucrium","Plantago media-type","Ephedra distachya-type","Datisca cannabina","Hypericum perforatum","Malabaila","Carduus-type","Mercurialis-type","Potentilla-type","Senecio-type","Clematis-type","Ranunculus sect. Batrachium-type","cf. Ceratonia","Plantaginaceae","Aesculus","Picea","Liliaceae","Thymus/Mentha","Heliotropium-type","Loranthus europaeus","Filago-type","Euphorbia","Campanula-type","Humulus/Cannabis","Delphinium-type","Sanicula","Lomelosia rotata-type","Filipendula","Pediastrum duplex","Pseudopediastrum kawraiskyi","Bupleurum-type","Centaurea scabiosa-type","Solanum dulcamara","Pimpinella-type","Potamogeton","Theligonum","Calligonum","Thelypteris palustris-type","Monactinus simplex","Dipsacoideae","Cladium mariscus","Phyteuma-type","Asplenium","Caltha","Dianthus-type","Urtica dioica-type","Polypodium","Cornus","Cirsium/Gundelia","Helleborus","Gentiana","Vicia-type","Aquilegia-type","Papaver","Centaurea cyanus-type","Knautia","Sphagnum","Ophioglossum","Equisetum","Nigella","Ranunculaceae","Stachys-type","Noaea-type","Lycopodium","Persicaria amphibia","Helianthemum","Cedrus","Arctium/Jurinea","Asphodeline","Valerianella","Taxus","Echinops","Sambucus nigra-type","Fagopyrum","Plantago ovata-type","Cousinia","Dipsacus-type","Allium","Alisma","Hippophaë","Iris pseudacorus","Lythrum","Lemna","Butomus umbellatus","Trifolium-type","Menyanthes trifoliata","Lysimachia","Malva","Scabiosa","Erodium","Linum","Convolvulus","Crassulaceae","Populus","Spergularia-type","Persicaria maculosa-type","Myrica","Valeriana","Lythrum portula-type","Leontice leontopetalum","Halothamnus-type","Melampyrum","Nuphar","Astragalus-type","Inula-type","Symphytum-type","Pediastrum undulatum","Sanguisorba officinalis","Matthiola","Hydrocharitaceae","Polygonaceae","Epilobium","Boraginaceae","Armeria/Limonium","Plumbaginaceae","Hedysarum/Ebenus","Onobrychis-type","cf. Campanulaceae","Juniperus sabina","Scabiosa columbaria-type","Fagopyrum tataricum","Laurus","Viburnum-type","Buxus","Thymelaeaceae","Ranunculus asiaticus-type","cf. Hypericum","cf. Sambucus","Malvaceae","Onagraceae","Ornithogalum-type","Xanthium","Anchusa/Pulmonaria","Saxifraga","Lamiaceae","Colchicum"
11265,11534,11009,150,NA,NA,4,1,1,2,NA,3,2,NA,1,1,NA,NA,NA,NA,8,1,7,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,3,NA,NA,1,49,1,4,NA,1,13,2,NA,NA,NA,3,10,NA,10,1,7,5,2,NA,9,NA,9,26,8,19,134,370,122,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13,1,NA,NA,2,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12695,12964,12440,170,NA,NA,8,NA,NA,2,NA,1,NA,NA,2,NA,NA,1,NA,1,11,NA,2,4,NA,NA,NA,NA,5,3,NA,2,NA,NA,1,6,NA,2,NA,94,1,5,NA,4,16,6,NA,8,NA,NA,14,NA,9,NA,7,10,7,NA,7,NA,12,30,4,9,196,401,848,5,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,40,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13768,14043,13511,185,NA,NA,6,1,NA,7,NA,3,NA,NA,1,1,NA,NA,1,2,13,4,2,4,NA,NA,NA,2,7,2,NA,4,NA,NA,4,17,NA,10,NA,220,10,10,NA,6,54,12,NA,4,NA,3,13,1,25,NA,7,17,15,1,25,NA,19,59,6,18,356,594,162,7,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,15,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14840,15120,14576,200,NA,NA,3,1,NA,16,NA,8,NA,1,2,1,NA,1,1,1,13,12,5,5,NA,NA,3,2,4,NA,NA,12,1,NA,NA,27,1,NA,NA,37,2,11,NA,6,25,8,NA,26,NA,1,5,2,12,1,NA,8,13,1,5,NA,9,11,3,11,296,396,4214,2,1,1,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,43,1,2,NA,NA,NA,NA,NA,NA,1720,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15555,15839,15285,210,NA,NA,NA,2,NA,29,NA,1,NA,NA,1,NA,NA,3,3,NA,19,NA,2,9,NA,NA,2,3,19,NA,NA,15,1,1,4,14,NA,2,NA,16,NA,33,NA,5,7,7,NA,43,NA,7,9,2,11,NA,NA,7,9,4,4,NA,9,16,NA,8,446,254,3300,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16271,16560,15992,220,NA,NA,NA,2,NA,3,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,3,NA,NA,NA,NA,NA,NA,NA,13,NA,1,NA,3,NA,293,NA,5,3,NA,3,NA,NA,4,6,1,4,NA,213,77,NA,NA,93,60,715,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16628,16923,16347,225,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,10,NA,NA,NA,1,NA,2,NA,NA,NA,29,NA,1,NA,1,NA,140,NA,15,3,1,1,NA,NA,3,7,NA,7,NA,126,73,NA,NA,44,43,250,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16986,17285,16701,230,NA,NA,NA,14,NA,1,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,9,NA,1,NA,NA,NA,4,4,NA,NA,2,NA,23,1,NA,1,6,NA,NA,NA,31,NA,4,NA,1,NA,295,NA,23,3,2,NA,NA,NA,5,10,NA,3,NA,112,49,NA,1,71,28,1200,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17343,17646,17053,235,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,9,NA,18,NA,1,NA,10,NA,NA,NA,48,NA,7,NA,4,NA,178,NA,35,2,1,1,NA,NA,NA,14,NA,2,NA,51,99,NA,NA,36,5,525,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17701,18007,17405,240,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,4,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,14,1,3,NA,4,NA,NA,NA,72,NA,1,NA,NA,NA,614,NA,27,2,1,2,NA,NA,6,9,NA,3,NA,335,57,1,1,95,33,941,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18058,18367,17756,245,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,7,NA,NA,NA,2,NA,NA,NA,26,NA,1,NA,11,NA,76,NA,12,2,2,1,NA,NA,3,8,NA,1,NA,14,55,1,NA,35,6,334,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18416,18729,18107,250,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,34,NA,3,NA,2,NA,298,NA,26,1,NA,1,NA,NA,3,9,NA,1,NA,34,23,NA,NA,47,4,1200,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18773,19091,18458,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,1,2,NA,2,NA,NA,NA,15,NA,1,NA,NA,NA,358,NA,6,NA,NA,1,NA,NA,NA,NA,NA,1,NA,25,20,NA,NA,7,1,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19131,19453,18809,260,NA,NA,NA,11,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,10,2,1,NA,4,NA,1,NA,136,NA,13,NA,4,NA,639,NA,22,NA,NA,1,NA,NA,2,9,NA,1,NA,23,43,NA,NA,81,9,320,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19488,19815,19159,265,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,15,NA,NA,9,4,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19846,20178,19510,270,NA,NA,NA,9,NA,3,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,2,NA,3,1,NA,7,NA,7,4,6,NA,2,NA,1,NA,93,NA,9,NA,6,NA,413,NA,21,NA,NA,1,NA,NA,2,36,NA,2,NA,12,64,NA,1,78,11,119,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20203,20543,19862,275,NA,1,NA,9,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,2,NA,NA,4,NA,5,NA,1,NA,2,NA,NA,NA,99,NA,3,NA,NA,NA,149,NA,25,1,2,NA,NA,NA,NA,37,NA,1,NA,2,69,NA,2,32,7,11,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20561,20906,20211,280,NA,NA,NA,12,NA,8,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,27,NA,NA,NA,NA,5,2,12,NA,NA,13,NA,4,6,9,NA,4,NA,NA,NA,158,NA,13,NA,2,NA,170,NA,8,NA,NA,NA,NA,NA,NA,60,NA,3,NA,19,59,NA,NA,75,9,11,NA,NA,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,49,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21276,21634,20912,290,NA,NA,NA,10,NA,1,NA,NA,5,NA,1,NA,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,10,NA,4,6,3,NA,NA,NA,NA,NA,105,NA,4,NA,4,NA,114,NA,16,NA,NA,NA,NA,NA,4,74,5,5,NA,12,64,1,1,43,11,82,NA,1,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,25,460,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21991,22362,21611,300,NA,NA,NA,11,NA,11,NA,NA,7,2,1,NA,NA,3,1,4,NA,14,NA,1,NA,NA,3,NA,10,NA,NA,8,NA,1,7,3,1,4,NA,NA,6,169,NA,8,NA,6,NA,118,NA,12,3,6,2,NA,NA,4,180,11,9,NA,44,83,2,1,179,19,128,NA,NA,NA,NA,1,NA,2,20,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,96,1360,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
