"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rumex acetosa-type","Galium-type","Aster-type","Urtica dioica","Unknown (trilete)","Fungi (type 65, HdV)","Lasiosphaeria sp. (type 63C, HdV)","Microthyrium sp.? (Type 8B)","Alternaria","Chaetomium sp. (type 7A, HdV)","Apiaceae","Ranunculaceae","Glomus cf. G. fasciculatum (type 207, HdV)","Corylus","Liliaceae undiff.","Sambucus","Scrophulariaceae","Pinus pinaster-type","Pinus pinea-type","Cercophora-type/Cercophora sp. (type 112, HdV)","Pleospora sp. (type 3B, HdV)","Prunus-type","Salix","Amaranthaceae","Anthemis-type","Plantago lanceolata-type","Quercus suber-type","Cistus-type","Betula","Fraxinus","Alnus","Brassicaceae","Quercus ilex-type","Rosaceae undiff.","Rumex acetosella-type","Pteridium","Trichocladium opacum (type 10A, HdV)","Fungi (type 305, HdV)","Sordaria-type (type 55A, HdV)","Castanea","Fungi (type 18, HdV)","Cyperaceae","Fabaceae undiff.","Erica arborea-type","Olea","Cytisus-type","Poaceae","Quercus pyrenaica-type","Lycopodium clavatum","Pinus sylvestris-type","Cardueae","Poaceae (Cerealia)","Fungi (type 92, HdV)","Gelasinospora (type 1, HdV)","Armeria-type","Copepoda (type 28, HdV)","Amphisphaerella dispersella (type 310, HdV)","Juglans","Podospora-type (type 368, HdV)","Tardigrada (type 902, HdV)","Caryophyllaceae","Fagus","Vitis","Sporormiella (type 113, HdV)","Fungi (type 123, HdV)","Fungi (type 495, HdV)","Algae? (type 229, HdV)","Pseudoschizaea circula","Calluna vulgaris","Fungi (type 351, HdV)","Zygnema-type (type 314, HdV)","Spirogyra","Viburnum","Artemisia-type","Plantago coronopus-type","Ilex","Taxus","Byssothecium circinans (type 16C, HdV)","Secale cereale","Drosera-type","Cryptogramma crispa","Plantago major/P. media-type","Epilobium","Arbutus unedo","Lamiaceae","Campanula","Polygonum aviculare","Callitriche","Juniperus","cf. Richonia variospora (type 140, HdV)","Geranium","Unknown (type 708, HdV)","Erodium","Gelasinospora cf. G. retispora (type 2, HdV)","Asphodelus albus-type","Acer","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Fungi (type 461, HdV)","Unknown (monolete)","Fungi (type 20, HdV)","Fungi (type 19, HdV)","Bryophyta","Fungi (type 90, HdV)","Centaurea cyanus","Sphagnum","Ulmus","Neurospora crassa (type 55C, HdV)","Frangula","Riccia cf. R. sorocarpa (type 165, HdV)","cf. Persiciospora (type 124, HdV)","Botryococcus","Potamogeton","Malva"
331,NA,NA,36,9,1,NA,6,1,NA,NA,48,NA,NA,NA,1,NA,40,5,8,NA,4,NA,NA,1,16,6,NA,1,3,6,6,3,NA,5,7,14,10,10,15,48,11,1,26,17,11,62,32,27,7,43,202,70,82,10,2,6,6,NA,NA,NA,NA,NA,7,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,NA,NA,38,11,4,1,5,3,NA,NA,47,NA,NA,1,NA,NA,35,2,4,3,15,NA,NA,NA,77,NA,NA,NA,4,10,5,1,2,5,10,13,12,9,17,25,2,1,58,15,6,26,17,37,24,35,190,55,74,8,NA,12,5,NA,NA,NA,NA,1,2,NA,4,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,NA,NA,40,9,4,NA,5,NA,NA,2,1,NA,NA,1,3,2,13,9,2,NA,4,1,NA,NA,NA,5,2,2,2,15,7,4,1,4,9,6,10,4,17,32,4,NA,15,10,5,68,34,37,7,13,201,59,93,16,8,7,1,NA,NA,NA,NA,1,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,NA,NA,42,12,3,NA,8,1,1,NA,12,NA,NA,NA,4,4,21,3,3,2,8,1,1,2,NA,5,4,3,2,4,9,NA,NA,3,7,8,10,6,20,20,5,2,23,5,5,58,44,22,22,29,222,48,84,10,3,7,6,NA,NA,NA,NA,1,NA,5,7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,NA,NA,44,9,5,NA,4,1,NA,NA,NA,NA,NA,NA,4,4,31,2,4,NA,7,NA,NA,2,NA,3,2,4,1,11,5,5,NA,6,9,13,8,3,22,44,10,NA,26,11,24,76,37,20,9,19,195,67,58,19,3,6,7,1,NA,NA,NA,2,5,7,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640,NA,NA,46,5,NA,NA,6,1,NA,2,4,1,NA,1,NA,1,4,4,2,1,10,1,NA,3,1,5,4,1,2,10,10,2,NA,3,3,6,10,4,16,36,13,4,35,11,8,85,43,21,11,25,241,60,90,14,5,5,NA,1,NA,NA,NA,NA,NA,2,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,NA,NA,48,7,2,NA,3,1,NA,1,NA,NA,NA,NA,2,2,10,8,7,NA,7,2,NA,2,1,9,2,2,3,6,2,5,1,2,3,8,5,5,21,63,6,1,18,15,35,90,35,30,6,25,204,73,71,18,4,9,NA,1,NA,NA,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,1,1,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
764,NA,NA,50,6,2,NA,4,2,NA,2,3,1,NA,NA,NA,2,15,10,4,2,12,NA,NA,3,NA,7,4,2,1,8,9,4,3,3,7,11,5,3,10,54,4,1,27,10,8,62,20,48,6,15,201,56,107,28,12,5,NA,NA,1,NA,NA,1,2,NA,12,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,NA,NA,52,13,1,NA,15,3,NA,NA,NA,NA,NA,NA,1,1,8,8,5,NA,4,NA,NA,2,NA,6,2,2,1,6,4,5,3,5,9,6,10,4,8,88,NA,1,7,17,3,41,17,32,3,12,239,53,50,15,6,8,NA,NA,NA,NA,NA,1,1,NA,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,2,4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,NA,NA,54,11,3,NA,7,2,NA,1,NA,2,NA,1,NA,6,48,13,2,NA,3,1,NA,3,NA,3,2,3,1,8,12,3,1,4,8,11,11,2,15,43,NA,NA,19,9,8,28,24,36,5,19,223,57,123,23,3,5,1,NA,NA,NA,NA,2,3,NA,16,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,NA,NA,56,16,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,2,27,12,3,NA,NA,NA,NA,3,NA,4,4,2,NA,4,3,3,3,2,8,9,8,4,12,76,NA,9,18,10,NA,28,29,33,2,14,278,69,59,15,5,5,NA,1,NA,NA,NA,1,6,NA,6,NA,1,2,2,NA,NA,NA,NA,3,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,2,2,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,NA,NA,58,22,NA,NA,14,NA,NA,1,NA,NA,NA,1,1,2,15,16,3,NA,1,NA,NA,NA,1,6,1,1,1,3,3,2,1,1,8,8,6,4,4,73,NA,4,19,9,6,25,17,29,2,5,251,58,76,16,5,10,NA,NA,NA,NA,NA,1,3,NA,5,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,NA,NA,60,14,NA,NA,9,NA,NA,1,NA,NA,NA,1,4,1,19,9,2,NA,2,NA,NA,6,NA,NA,2,NA,1,6,2,2,2,4,4,8,10,NA,8,73,NA,2,12,7,NA,14,15,37,7,9,257,68,55,18,2,4,NA,NA,NA,NA,NA,NA,5,NA,11,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,1,2,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,NA,NA,62,11,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,4,22,5,NA,NA,NA,NA,2,NA,5,4,3,NA,3,NA,3,1,3,9,4,7,1,4,92,NA,3,6,13,NA,21,9,64,2,8,251,63,56,25,5,3,1,NA,NA,NA,NA,2,NA,NA,21,NA,NA,NA,1,NA,1,NA,1,2,NA,3,NA,1,2,NA,1,NA,3,NA,2,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1146,NA,NA,64,9,1,NA,10,NA,NA,NA,NA,NA,NA,NA,2,1,NA,12,3,NA,NA,1,NA,NA,NA,5,4,1,NA,2,1,NA,2,5,13,6,8,6,3,85,NA,1,3,13,NA,15,9,71,1,11,255,70,33,27,10,4,1,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,NA,NA,66,10,NA,NA,10,1,NA,1,NA,NA,1,NA,NA,NA,1,16,4,NA,2,NA,NA,NA,NA,4,3,NA,NA,7,NA,1,2,4,9,8,6,2,4,56,NA,4,7,14,2,13,14,65,1,9,248,54,51,16,8,4,NA,NA,NA,NA,2,NA,NA,NA,13,NA,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1219,NA,NA,68,9,1,NA,12,NA,NA,1,NA,NA,NA,1,1,1,NA,11,3,NA,NA,1,NA,NA,NA,3,2,1,NA,3,NA,4,3,2,16,3,5,1,2,56,NA,1,7,16,NA,13,10,58,1,5,307,67,19,21,8,7,NA,NA,NA,NA,1,NA,1,NA,11,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,2,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1255,NA,NA,70,11,5,NA,15,2,NA,NA,NA,NA,1,1,1,1,NA,25,2,NA,NA,NA,NA,1,NA,5,5,NA,NA,3,NA,1,3,3,13,11,7,8,5,66,NA,4,10,18,2,32,10,48,3,7,243,67,35,13,11,8,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,12,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1292,NA,NA,72,8,1,NA,23,NA,NA,3,NA,NA,NA,2,2,NA,NA,31,5,NA,1,NA,NA,NA,NA,3,4,1,1,6,NA,2,1,5,10,8,5,3,2,37,NA,NA,7,16,2,19,9,42,1,5,271,63,34,18,NA,7,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,1,7,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
1329,NA,NA,74,9,2,NA,12,NA,1,NA,NA,NA,NA,NA,NA,NA,4,21,4,NA,NA,3,NA,NA,NA,5,2,1,2,3,NA,2,1,4,12,8,8,5,1,44,NA,3,7,9,1,18,9,52,NA,9,259,46,32,14,6,6,NA,NA,NA,NA,2,NA,NA,NA,8,NA,NA,1,9,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1365,NA,NA,76,10,3,NA,16,1,NA,1,NA,NA,NA,NA,1,NA,NA,18,3,NA,NA,NA,NA,NA,NA,4,2,NA,3,5,NA,2,3,2,5,6,6,5,3,50,1,1,1,10,1,27,18,47,NA,3,317,51,32,22,7,6,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,NA,NA,78,10,1,NA,21,1,NA,1,NA,NA,NA,4,1,2,2,18,7,NA,NA,NA,NA,1,NA,10,5,NA,1,5,NA,NA,2,2,11,7,10,5,4,46,NA,3,10,23,NA,25,18,41,1,2,219,59,42,18,10,12,NA,NA,NA,NA,7,NA,NA,NA,17,NA,NA,3,11,NA,NA,NA,NA,5,NA,NA,NA,NA,2,1,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,NA,NA,NA,8,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1438,NA,NA,80,12,NA,NA,20,2,NA,NA,NA,NA,2,NA,1,NA,3,51,6,NA,NA,NA,NA,1,NA,5,3,NA,1,8,NA,2,2,1,12,2,5,2,3,67,NA,3,18,18,NA,30,17,53,NA,3,228,65,45,17,8,8,NA,NA,NA,NA,7,NA,NA,NA,18,1,NA,7,8,1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,17,5,1,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1450,NA,NA,82,12,2,NA,17,1,NA,1,NA,NA,NA,NA,NA,NA,1,36,7,NA,NA,NA,NA,6,NA,7,2,NA,NA,6,NA,1,6,1,11,5,6,1,5,86,NA,2,6,20,NA,45,20,60,NA,3,235,66,56,17,3,12,NA,NA,1,NA,3,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,1,2,NA,NA,1,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
1462,NA,NA,84,4,NA,NA,13,NA,1,NA,NA,NA,1,2,1,NA,4,37,9,NA,NA,NA,NA,2,NA,5,4,NA,1,7,NA,NA,10,2,18,3,6,NA,NA,61,NA,2,6,13,1,34,13,62,NA,4,188,59,82,15,7,13,NA,NA,1,NA,5,1,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,1,6,3,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1474,NA,NA,86,13,3,NA,17,2,NA,6,NA,NA,NA,1,1,1,5,57,11,NA,NA,NA,NA,NA,1,4,6,NA,NA,13,NA,NA,4,1,7,6,8,NA,3,61,NA,7,7,12,1,36,10,72,NA,5,196,53,60,17,10,13,NA,NA,NA,NA,6,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1485,NA,NA,88,14,2,NA,20,1,NA,NA,1,NA,NA,1,2,NA,NA,34,3,NA,NA,NA,NA,1,NA,7,NA,NA,1,3,NA,1,5,1,11,2,6,1,3,75,NA,5,7,27,1,44,16,76,NA,3,211,34,42,26,5,12,NA,NA,NA,NA,10,NA,1,NA,19,1,NA,3,NA,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,3,8,NA,NA,NA,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
